IDs:;240814 01_240812A_elasticity;03_DNAJB6_00_439_uM_exchange_expansion_compression_corrected;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
141.691;72.42045741129;27.693;16.31
142.671;72.9413250537377;32.067;19.838
143.673;72.755294762773;32.152;19.906
144.683;72.5614717566362;32.151;19.904
147.391;71.8830977289491;24.133;13.572
148.377;69.3704895207834;27.395;16.064
149.393;69.6393137547388;25.559;14.645
150.423;70.4074269654463;25.596;14.677
151.435;75.4356111914062;26.482;15.375
152.436;73.1377656775763;30.973;18.943
153.434;73.2519473122153;32.056;19.831
154.441;72.1638584007219;32.067;19.832
155.452;73.6902002863768;25.081;14.293
156.451;72.6653137547388;25.548;14.645
157.457;71.2144177825683;25.509;14.612
158.439;71.9552323139384;25.51;14.613
159.437;70.0929449013014;25.56;14.647
160.435;72.6510600923404;25.592;14.679
161.441;73.0526118544934;26.417;15.314
162.426;72.0573854409263;30.925;18.895
163.416;72.9726614229741;32.104;19.868
164.412;72.572750128136;32.107;19.867
165.397;75.6999422967162;28.062;16.615
166.387;71.5773369810662;26.215;15.154
167.367;73.3460362325887;25.806;14.845
168.368;68.8494782960365;25.698;14.748
169.375;72.6122951645062;25.64;14.716
170.371;68.9974774470413;25.652;14.715
171.408;74.5010193204878;25.657;14.734
172.41;72.40854060761;30.3;18.39
173.412;72.59771132811;32.134;19.89
174.394;72.1957999102811;32.137;19.889
175.395;73.6396390323137;28.606;17.038
176.443;70.2408072810658;27.239;15.946
177.452;69.2099449013014;25.564;14.647
178.455;70.56293490632;25.525;14.62
179.446;69.85493490632;25.528;14.62
180.46;70.33093490632;25.525;14.62
181.481;72.2565513485531;26.58;15.437
182.481;72.3068321384434;31.085;19.026
183.474;71.7518465439334;32.006;19.776
184.447;72.4919357889063;31.996;19.775
185.443;70.9803406987283;28.084;16.612
186.414;71.7518095389543;28.084;16.616
187.435;71.7026768026385;28.089;16.617
188.438;71.5969422967163;28.084;16.615
189.439;71.6596768026385;28.089;16.617
190.437;71.4710750759294;28.084;16.614
191.416;72.2012530189273;28.135;16.658
192.432;72.4378961671391;32.661;20.322
193.437;71.6168750469139;34.363;21.732
194.427;72.629788415632;34.35;21.733
195.41;72.118788415632;34.357;21.733
199.3;72.17691435712;34.343;21.72
200.294;70.3809270151987;27.046;15.792
201.374;66.7496538948438;25.288;14.425
202.372;71.8529072449298;30.006;18.146
203.377;72.33818006125;31.725;19.55
204.355;71.9982708069193;31.728;19.549
205.36;73.0367828312657;27.855;16.438
206.353;69.9642609381388;26.604;15.445
207.363;67.8706049309213;25.034;14.235
208.338;69.4723334089263;24.891;14.131
209.337;66.7227739061402;24.866;14.104
210.347;68.9667840951378;24.851;14.099
211.488;67.9431884064549;24.854;14.097
212.629;67.6809862339545;24.855;14.098
213.756;67.9401884064549;24.853;14.097
214.879;67.1792389375283;24.832;14.077
216;68.2801958950288;25.204;14.365
216.98;68.7177763955598;26.267;15.181
217.979;68.88994493608;26.264;15.18
218.978;68.8142821024009;26.262;15.178
219.978;68.8846193824614;26.259;15.176
220.973;67.1653955415033;25.03;14.231
221.973;70.4314113943262;28.101;16.619
222.973;71.0862138997229;31.59;19.429
223.974;71.2613055508909;31.588;19.428
225.07;71.5007639235267;31.581;19.423
226.087;65.1635285478295;23.83;13.317
227.094;71.456845281505;25.162;14.341
228.107;66.6893599091087;24.783;14.042
229.101;65.651269268502;24.825;14.067
230.111;67.7353906126438;24.854;14.096
231.123;66.3313285941606;24.91;14.136
232.118;70.9063419585233;28.262;16.749
233.135;72.5279803029917;31.382;19.269
234.134;70.8177014809651;31.402;19.272
235.172;70.904586371338;31.372;19.241
236.189;65.1151690505646;23.32;12.939
237.226;65.8122826197814;24.708;13.979
238.27;65.4638107040705;24.722;13.991
239.271;65.8795439824378;24.797;14.046
240.294;67.0179576857734;24.879;14.113
241.317;66.1787216946554;24.972;14.179
242.311;70.5204503784594;29.618;17.826
243.303;70.3849803029917;31.403;19.269
244.301;70.6960732607661;31.399;19.268
245.302;67.9791529839565;27.649;16.248
246.304;65.23573278163;25.441;14.53
247.303;68.04192884992;25.151;14.32
248.277;66.80064484375;25.064;14.25
249.271;64.8010390933965;25.071;14.248
250.263;64.4240390933965;25.074;14.248
251.354;66.6954404939975;25.132;14.302
252.363;70.2643423778113;29.784;17.955
253.35;70.3092320300642;31.572;19.407
254.343;70.967323853513;31.566;19.406
255.345;69.879053267821;28.977;17.306
256.344;67.589051337887;26.346;15.233
257.325;65.2040497887642;25.144;14.304
258.338;65.4295131712461;25.097;14.271
259.328;65.0843167865651;25.102;14.272
260.319;64.4727278295313;25.109;14.275
261.351;65.8978751176739;25.193;14.346
262.344;70.1728569306107;29.699;17.886
263.351;70.0163142282825;31.588;19.417
264.368;70.4311307620822;31.587;19.419
265.373;68.1269353753954;27.568;16.179
266.388;65.29029692079;25.808;14.81
267.401;63.9461801085385;25.265;14.391
268.418;66.0531499201786;25.168;14.324
269.416;65.2871499201786;25.17;14.324
270.418;63.9313446037237;25.176;14.323
271.424;66.2061434495418;25.636;14.684
272.434;70.3537270180253;30.143;18.243
273.453;69.68187496;31.571;19.4
