IDs:;DNAJB6_meas3;DNAJB6_00_439_uM_area_tension
Concentration [uM]:;0.439;
Area [mm^2];Surface tension [mJ/m^2];
50.8;57.9;
45.3;55.7;
39.9;54;
34.4;52.6;
28.6;51.7;
