IDs:;DNAJB6_meas3;01_DNAJB6_00_439_uM_compression_corrected;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
140.682;71.6108919230625;49.94;38.775
141.668;71.6028296657654;49.941;38.776
142.659;71.5417673990877;49.941;38.777
143.667;71.5440786386901;49.937;38.772
144.658;71.4910786386901;49.937;38.772
145.676;71.532580542752;49.948;38.78
146.689;71.4688919230625;49.941;38.775
147.681;71.5167673990877;49.944;38.777
148.683;71.4778919230625;49.943;38.775
149.678;71.4517673990877;49.944;38.777
150.682;71.4341408584845;49.939;38.771
151.674;71.4068296657654;49.945;38.776
152.679;71.4208296657654;49.944;38.776
153.683;71.380954170981;49.944;38.774
154.692;71.3547673990877;49.947;38.777
155.688;71.3798919230625;49.946;38.775
156.695;71.355580542752;49.952;38.78
157.683;71.347580542752;49.951;38.78
158.688;71.3418296657654;49.948;38.776
159.696;71.2937051230276;49.951;38.778
160.679;71.3177673990877;49.95;38.777
161.676;71.2697051230276;49.953;38.778
162.678;71.2623936019214;49.957;38.783
163.674;71.224580542752;49.956;38.78
164.673;71.2813312695255;49.958;38.784
165.673;71.2204559249232;49.96;38.782
166.681;71.1953936019214;49.961;38.783
167.692;71.1703936019214;49.962;38.783
168.694;71.1971442159534;49.966;38.787
169.693;71.1328946795546;49.971;38.791
170.702;71.1480818459615;49.969;38.788
171.712;71.1090818459615;49.971;38.788
172.726;71.0732689277335;49.968;38.785
173.722;71.1070818459615;49.97;38.788
174.721;71.0772065765435;49.97;38.786
175.697;71.0123312695255;49.97;38.784
176.691;71.0923936019214;49.966;38.783
177.7;70.9864559249232;49.97;38.782
178.695;71.0183312695255;49.971;38.784
179.692;70.9761442159534;49.975;38.787
180.685;70.9191442159534;49.977;38.787
181.695;70.8960194665657;49.979;38.789
182.698;70.9102689277335;49.976;38.785
183.691;70.8692689277335;49.977;38.785
184.702;70.8672065765435;49.978;38.786
185.705;70.779580542752;49.976;38.78
186.705;70.7682689277335;49.98;38.785
187.715;70.6805182385327;49.979;38.781
188.704;70.738580542752;49.977;38.78
189.704;70.6755182385327;49.98;38.781
190.711;70.658642837583;49.979;38.779
191.704;70.6233312695255;49.984;38.784
192.707;70.6153936019214;49.984;38.783
193.713;70.5674559249232;49.985;38.782
194.693;70.5194559249232;49.987;38.782
195.684;70.5424559249232;49.987;38.782
196.678;70.5125182385327;49.987;38.781
197.691;70.4552689277335;49.992;38.785
198.7;70.5034559249232;49.993;38.782
199.691;70.3293936019214;49.995;38.783
200.715;70.4161442159534;50;38.787
201.697;70.3055182385327;49.994;38.781
202.702;70.2852689277335;50;38.785
203.682;70.3352689277335;50.001;38.785
204.679;70.2832689277335;50.001;38.785
205.688;70.253957077764;50.009;38.79
206.702;70.1983936019214;50.003;38.783
207.681;70.2013936019214;50.002;38.783
208.672;70.1383936019214;50.004;38.783
209.676;70.058580542752;50.004;38.78
210.678;70.0482689277335;50.01;38.785
211.663;70.0261442159534;50.013;38.787
212.653;69.968957077764;50.02;38.79
213.655;69.9192065765435;50.016;38.786
214.639;69.8700818459615;50.021;38.788
215.634;69.853957077764;50.025;38.79
216.65;69.8450818459615;50.023;38.788
217.652;69.766957077764;50.028;38.79
218.654;69.7358322719355;50.032;38.792
219.665;69.690957077764;50.032;38.79
220.678;69.6900818459615;50.03;38.788
221.699;69.6403312695255;50.03;38.784
222.677;69.5850818459615;50.035;38.788
223.687;69.581957077764;50.037;38.79
224.693;69.4992689277335;50.035;38.785
225.7;69.4770194665657;50.039;38.789
226.711;69.4957698549047;50.048;38.793
227.725;69.4737074284604;50.05;38.794
228.71;69.4078322719355;50.051;38.792
229.7;69.2872065765435;50.046;38.786
230.697;69.3137698549047;50.055;38.793
231.713;69.2867698549048;50.057;38.793
232.718;69.2657698549048;50.058;38.793
233.719;69.1682689277335;50.051;38.785
234.718;69.1665200926264;50.067;38.797
235.734;69.1235200926264;50.069;38.797
236.743;69.0935200926264;50.07;38.797
237.725;69.0118322719355;50.068;38.792
238.731;69.0108322719355;50.07;38.792
239.72;68.9496449926005;50.075;38.795
240.727;68.8877074284604;50.077;38.794
241.717;68.8623951549667;50.085;38.799
242.72;68.8025825473231;50.084;38.796
243.735;68.8447074284604;50.082;38.794
244.745;68.7536449926005;50.086;38.795
245.735;68.7098322719355;50.085;38.792
246.754;68.595957077764;50.084;38.79
247.739;68.5630194665657;50.085;38.789
248.731;68.4851442159534;50.087;38.787
249.728;68.4738322719355;50.093;38.792
250.735;68.4308946795546;50.094;38.791
251.746;68.3938946795546;50.096;38.791
252.741;68.3467698549047;50.1;38.793
253.736;68.3008946795546;50.101;38.791
254.734;68.2527074284604;50.106;38.794
255.73;68.2206449926005;50.108;38.795
256.728;68.1727074284604;50.111;38.794
257.73;68.0857074284604;50.112;38.794
258.708;68.0647698549047;50.113;38.793
259.722;68.0120194665657;50.113;38.789
260.714;68.0007698549048;50.117;38.793
261.722;67.9438322719355;50.119;38.792
262.732;67.9125825473231;50.125;38.796
263.741;67.9297698549048;50.125;38.793
264.742;67.7917698549047;50.126;38.793
265.76;67.7975200926264;50.135;38.797
266.754;67.6847074284604;50.133;38.794
267.76;67.7175825473232;50.138;38.796
268.742;67.6876449926005;50.14;38.795
269.736;67.5438322719355;50.138;38.792
270.751;67.5595825473232;50.146;38.796
271.741;67.5435825473231;50.147;38.796
272.736;67.4507698549047;50.144;38.793
273.736;67.3508322719355;50.148;38.792
274.741;67.3247074284604;50.151;38.794
275.724;67.2917698549047;50.152;38.793
276.713;67.2607074284604;50.156;38.794
277.706;67.3005200926264;50.161;38.797
278.711;67.1478946795546;50.159;38.791
279.704;67.1787074284604;50.165;38.794
280.707;67.092957077764;50.16;38.79
281.702;67.0455200926264;50.173;38.797
282.692;66.9778322719355;50.167;38.792
283.687;66.918957077764;50.168;38.79
284.676;66.9234576285082;50.18;38.798
285.676;66.8605825473232;50.178;38.796
286.671;66.8127074284604;50.179;38.794
287.663;66.8003951549667;50.188;38.799
288.669;66.751332672;50.191;38.8
289.672;66.6616449926005;50.187;38.795
290.679;66.6155825473231;50.191;38.796
291.678;66.5705825473231;50.193;38.796
292.67;66.5386449926005;50.194;38.795
293.654;66.5006449926005;50.196;38.795
294.667;66.4616449926005;50.199;38.795
295.676;66.3995825473232;50.203;38.796
296.661;66.3795200926264;50.205;38.797
297.665;66.3496449926005;50.206;38.795
298.667;66.2975825473232;50.209;38.796
299.674;66.2404576285082;50.214;38.798
300.685;66.2057074284604;50.212;38.794
301.671;66.1485200926264;50.218;38.797
302.666;66.125207677783;50.224;38.802
303.67;66.0994576285082;50.222;38.798
304.649;66.063332672;50.227;38.8
