IDs:;DNAJB6_meas3_240729A;02_DNAJB6_05_000_uM_compression_corrected;
Concentration [uM]:;5;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
141.823;58.2593427506301;52.266;40.022
142.818;58.2571163199375;52.27;40.025
143.825;58.2283427506301;52.269;40.022
144.819;58.2492672855379;52.27;40.023
145.832;58.2243427506301;52.271;40.022
146.823;58.2144182039194;52.272;40.021
147.822;58.2164182039194;52.272;40.021
148.825;58.1944182039194;52.275;40.021
149.819;58.2043427506301;52.276;40.022
150.822;58.187493645408;52.275;40.02
151.823;58.1852672855379;52.278;40.023
152.826;58.1813427506301;52.279;40.022
153.816;58.167191808641;52.282;40.024
154.811;58.1411163199375;52.285;40.025
155.813;58.1461163199375;52.286;40.025
156.804;58.1241163199375;52.288;40.025
157.823;58.1210408194254;52.289;40.026
158.817;58.122191808641;52.289;40.024
159.819;58.1161163199375;52.291;40.025
160.825;58.1019653071027;52.294;40.027
161.822;58.0891163199375;52.293;40.025
162.82;58.0851163199375;52.295;40.025
163.823;58.0890408194254;52.296;40.026
164.812;58.0648897829676;52.299;40.028
165.813;58.085814247018;52.302;40.029
166.798;58.0699653071027;52.3;40.027
167.794;58.060191808641;52.299;40.024
168.799;58.0571163199375;52.301;40.025
169.798;58.0450408194254;52.303;40.026
170.782;58.0421163199375;52.304;40.025
171.766;58.0379653071027;52.306;40.027
172.78;58.0260408194254;52.306;40.026
173.761;58.0249653071027;52.308;40.027
174.755;58.0358897829676;52.312;40.028
175.756;57.995814247018;52.313;40.029
176.767;58.0031163199375;52.311;40.025
177.759;57.9930408194254;52.312;40.026
178.746;57.9840408194254;52.313;40.026
179.743;57.9689653071027;52.316;40.027
180.746;57.9789653071027;52.316;40.027
181.728;57.9638897829676;52.318;40.028
182.746;57.9619653071027;52.32;40.027
183.725;57.9418897829676;52.32;40.028
184.719;57.949814247018;52.323;40.029
185.709;57.9560408194254;52.322;40.026
186.738;57.935738699252;52.325;40.03
187.74;57.9378897829676;52.325;40.028
188.748;57.9226631396677;52.328;40.031
189.76;57.9126631396677;52.329;40.031
190.757;57.9108897829676;52.328;40.028
191.756;57.9328897829676;52.33;40.028
192.756;57.9019653071027;52.329;40.027
193.769;57.895814247018;52.332;40.029
194.762;57.8800408194254;52.331;40.026
195.76;57.8750408194254;52.332;40.026
196.771;57.8642672855379;52.33;40.023
197.784;57.8451163199375;52.334;40.025
198.785;57.8552672855379;52.334;40.023
199.783;57.8559653071027;52.338;40.027
200.77;57.8370408194254;52.336;40.026
201.773;57.8321163199375;52.337;40.025
202.773;57.8423427506301;52.337;40.022
203.785;57.8120408194254;52.341;40.026
204.793;57.7850408194254;52.34;40.026
205.8;57.801191808641;52.341;40.024
206.786;57.787493645408;52.338;40.02
