ID#	1
Name	AB(m1-42)_TIC
	Data Filename	Sample Type	Sample Name	Vial#	Ret. Time	Area	Conc.	Height	Std. Conc.	Accuracy[%]	Cal. Point	Peak Start	Peak End	Quant. Limit(QL)	S/N	Tailing F.
36	260105 seeded temp sol_10c7d_4_36_25.lcd	Unknown	10c7d_4	A9	4.347	121707	2.386	25654	-----	-----	-----	4.233	4.717	2.01	11.90	1.887
37	260105 seeded temp sol_21c7d_3_37_26.lcd	Unknown	21c7d_3	B8	4.352	47970	0.894	9844	-----	-----	-----	4.267	4.650	0.68	13.08	1.953
38	260105 seeded temp sol_21c7d_4_38_27.lcd	Unknown	21c7d_4	B9	4.353	40726	0.748	8475	-----	-----	-----	4.283	4.667	0.53	14.07	1.907
39	260105 seeded temp sol_37c7d_3_39_28.lcd	Unknown	37c7d_3	C8	4.355	7566	0.077	1280	-----	-----	-----	4.233	4.517	1.30	0.59	--
40	260105 seeded temp sol_37c7d_4_40_29.lcd	Unknown	37c7d_4	C9	4.362	4804	0.021	981	-----	-----	-----	4.300	4.517	0.25	0.85	1.736
41	260105 seeded temp sol_60c7d_3_41_30.lcd	Unknown	60c7d_3	D8	4.354	23479	0.399	4012	-----	-----	-----	4.267	4.733	1.91	2.08	2.746
42	260105 seeded temp sol_60c7d_4_42_31.lcd	Unknown	60c7d_4	D9	4.358	5812	0.041	1121	-----	-----	-----	4.283	4.533	0.73	0.56	1.981
43	260105 seeded temp sol_80c7d_3_43_32.lcd	Unknown	80c7d_3	E8	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
44	260105 seeded temp sol_80c7d_4_44_33.lcd	Unknown	80c7d_4	E9	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
45	260105 seeded temp sol_10c2d_5_45_34.lcd	Unknown	10c2d_5	A5	4.350	321517	6.429	62428	-----	-----	-----	4.267	5.200	1.67	38.48	2.035
46	260105 seeded temp sol_10c7d_5_46_35.lcd	Unknown	10c7d_5	A10	4.357	109924	2.148	22095	-----	-----	-----	4.117	4.733	1.92	11.20	1.830
47	260105 seeded temp sol_21c2d_5_47_36.lcd	Unknown	21c2d_5	B5	4.352	42179	0.777	8615	-----	-----	-----	4.267	5.233	0.76	10.16	1.935
48	260105 seeded temp sol_21c7d_5_48_37.lcd	Unknown	21c7d_5	B10	4.363	47491	0.885	9117	-----	-----	-----	4.300	5.250	1.49	5.94	1.936
49	260105 seeded temp sol_37c2d_5_49_38.lcd	Unknown	37c2d_5	C5	4.356	6529	0.056	1083	-----	-----	-----	4.283	4.567	0.29	1.91	--
50	260105 seeded temp sol_37c7d_5_50_39.lcd	Unknown	37c7d_5	C10	4.360	114519	2.241	16656	-----	-----	-----	4.250	5.183	2.07	10.83	2.952
51	260105 seeded temp sol_60c2d_5_51_40.lcd	Unknown	60c2d_5	D5	4.356	15917	0.246	2981	-----	-----	-----	4.25	4.583	1.03	2.38	2.355
52	260105 seeded temp sol_60c7d_5_52_41.lcd	Unknown	60c7d_5	D10	4.354	6361	0.052	1340	-----	-----	-----	4.283	4.500	0.72	0.73	--
53	260105 seeded temp sol_80c2d_5_53_42.lcd	Unknown	80c2d_5	E5	4.354	7295	0.071	1549	-----	-----	-----	-----	4.483	0.72	0.99	--
54	260105 seeded temp sol_80c7d_5_54_43.lcd	Unknown	80c7d_5	E10	4.361	12326	0.173	2184	-----	-----	-----	-----	4.533	1.45	1.20	--
55	260105 seeded temp sol_37c2d_1_55_44.lcd	Unknown	37c2d_1	H5	4.362	8895	0.104	1529	-----	-----	-----	4.250	4.567	1.08	0.96	2.298
56	260105 seeded temp sol_80c7d_1_56_45.lcd	Unknown	80c7d_1	H6	4.364	16555	0.259	2509	-----	-----	-----	4.250	4.600	1.75	1.48	--
57	260105 seeded temp sol_80c2d_2_57_46.lcd	Unknown	80c2d_2	H7	4.363	13028	0.187	2142	-----	-----	-----	-----	4.633	1.13	1.65	--
58	260105 seeded temp sol_none_0_47.lcd	Unknown	none	-1	4.356	2372	-0.028	390	-----	-----	-----	4.267	4.567	-0.06	5.01	1.637
59	260105 seeded temp sol_10c2d_B_58_48.lcd	Unknown	10c2d_B	A11	4.356	2639	-0.023	355	-----	-----	-----	-----	4.533	-1.25	0.18	--
60	260105 seeded temp sol_10c7d_B_59_49.lcd	Unknown	10c7d_B	A12	4.370	1522	-0.046	274	-----	-----	-----	-----	4.467	-2.00	0.23	--
61	260105 seeded temp sol_21c2d_B_60_50.lcd	Unknown	21c2d_B	B11	4.363	949	-0.057	163	-----	-----	-----	-----	4.500	-4.01	0.14	1.274
62	260105 seeded temp sol_21c7d_B_61_51.lcd	Unknown	21c7d_B	B12	4.356	1298	-0.050	152	-----	-----	-----	-----	4.550	-2.26	0.22	1.437
63	260105 seeded temp sol_37c7d_B_62_52.lcd	Unknown	37c7d_B	C12	4.374	1023	-0.056	193	-----	-----	-----	-----	4.433	-4.31	0.13	--
64	260105 seeded temp sol_60c2d_B_63_53.lcd	Unknown	60c2d_B	D11	4.367	559	-0.065	140	-----	-----	-----	-----	4.417	-4.04	0.16	--
65	260105 seeded temp sol_60c7d_B_64_54.lcd	Unknown	60c7d_B	D12	4.364	313	-0.070	86	-----	-----	-----	-----	4.433	-8.93	0.08	0.973
66	260105 seeded temp sol_final clean_65_55.lcd	Unknown	final clean	-1	4.353	398	-0.068	63	-----	-----	-----	4.317	4.517	-0.78	0.88	--
67	240428-std curve_0.11pmol ABm1-42_001_03.lcd	Standard(Calc.Point)	0.11pmol ABm1-42	B2	4.413	7391	0.073	2228	0.11	66.5	*	4.35	4.517	0.43	1.70	1.458
68	240428-std curve_0.11pmol ABm1-42_001_04.lcd	Standard(Calc.Point)	0.11pmol ABm1-42	B2	4.411	7114	0.068	1993	0.11	61.4	*	4.350	4.567	0.49	1.38	1.603
69	240428-std curve_0.33pmol ABm1-42_001_06.lcd	Standard(Calc.Point)	0.33pmol ABm1-42	B2	4.426	21744	0.364	6361	0.33	110.2	*	4.333	4.567	0.96	3.80	1.373
70	240428-std curve_0.33pmol ABm1-42_001_05.lcd	Standard(Calc.Point)	0.33pmol ABm1-42	B2	4.423	21860	0.366	6440	0.33	110.9	*	4.367	4.567	1.00	3.67	1.405
