IDs:;DNAJB6_meas2;02_DNAJB6_00_439_uM_to_DNAJB6_05_000_uM;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
851.945;60.041;26.254;15.004
852.93;60.062;26.255;15.006
853.942;59.965;26.257;15.007
854.946;60.133;26.258;15.008
855.943;59.933;26.261;15.01
856.998;60.009;26.265;15.013
857.991;59.978;26.266;15.013
858.976;59.955;26.265;15.012
859.976;60.009;26.261;15.01
861.017;60.015;26.261;15.01
862.012;59.938;26.261;15.01
863.017;59.997;26.261;15.01
863.999;59.969;26.262;15.01
865.059;59.952;26.262;15.011
866.074;59.977;26.265;15.012
867.113;59.986;26.265;15.013
868.107;59.979;26.265;15.012
869.106;59.952;26.266;15.013
870.137;59.998;26.264;15.013
871.121;59.98;26.266;15.013
872.206;59.966;26.266;15.014
873.202;59.962;26.242;14.995
874.197;59.952;26.242;14.995
875.188;59.905;26.241;14.994
876.191;59.93;26.24;14.994
877.193;60.037;26.242;14.995
878.186;59.967;26.241;14.995
879.167;59.922;26.239;14.993
880.215;59.85;26.24;14.994
881.243;59.824;26.241;14.993
882.263;59.864;26.242;14.994
883.243;59.956;26.24;14.993
884.244;59.942;26.241;14.994
885.255;59.997;26.239;14.993
886.254;59.809;26.237;14.991
887.278;59.921;26.238;14.992
888.284;59.938;26.239;14.992
889.291;59.866;26.24;14.993
890.287;59.8;26.238;14.992
891.284;59.922;26.238;14.992
892.269;59.941;26.237;14.991
893.275;60.009;26.237;14.991
894.264;60.066;26.238;14.992
895.243;59.886;26.24;14.994
896.245;59.901;26.239;14.992
897.229;59.801;26.24;14.993
898.261;59.864;26.241;14.994
899.241;59.821;26.243;14.996
900.254;59.835;26.244;14.996
901.266;59.926;26.244;14.996
902.257;59.889;26.242;14.995
903.271;59.862;26.241;14.994
904.29;59.842;26.241;14.994
905.274;59.905;26.244;14.995
906.283;59.863;26.244;14.996
907.286;59.872;26.246;14.997
908.294;59.881;26.246;14.998
909.28;59.787;26.247;14.998
910.261;59.978;26.25;15
911.266;59.823;26.248;14.999
912.254;59.849;26.248;14.999
913.27;59.777;26.246;14.997
914.272;59.749;26.247;14.999
915.27;59.957;26.253;15.002
916.268;59.872;26.25;15.001
917.273;59.87;26.252;15.002
918.285;59.748;26.252;15.002
919.296;59.806;26.25;15.001
920.28;59.994;26.253;15.002
921.262;59.888;26.254;15.002
922.254;59.828;26.253;15.002
923.257;59.842;26.253;15.003
924.272;59.765;26.252;15.002
925.257;59.748;26.253;15.002
926.245;59.895;26.255;15.003
927.231;59.784;26.251;15.001
928.209;59.821;26.252;15.002
929.204;59.818;26.254;15.003
930.189;59.806;26.252;15.003
931.186;59.767;26.251;15.001
932.177;59.883;26.252;15.002
933.177;59.865;26.256;15.004
934.193;59.862;26.25;15.001
935.189;59.779;26.249;15
936.18;59.756;26.251;15.001
937.182;59.791;26.25;15.001
938.175;59.739;26.252;15.002
939.198;59.855;26.25;15
940.264;59.731;26.251;15.001
941.244;59.851;26.253;15.003
942.298;59.774;26.255;15.004
943.318;59.856;26.254;15.004
944.311;59.751;26.255;15.003
945.3;59.812;26.253;15.002
946.285;59.789;26.256;15.005
947.289;59.778;26.256;15.004
948.309;59.825;26.258;15.006
949.306;59.762;26.26;15.008
950.293;59.834;26.257;15.005
951.295;59.775;26.257;15.006
952.29;59.766;26.26;15.007
953.296;59.706;26.258;15.006
954.285;59.758;26.258;15.007
955.285;59.71;26.258;15.006
956.301;59.734;26.258;15.006
957.294;59.707;26.257;15.005
958.288;59.73;26.258;15.006
959.291;59.61;26.259;15.006
960.282;59.905;26.263;15.008
961.268;59.726;26.258;15.005
962.243;59.762;26.259;15.007
963.249;59.709;26.262;15.009
964.224;59.756;26.26;15.008
965.221;59.837;26.259;15.008
966.217;59.729;26.259;15.007
967.238;59.634;26.258;15.005
968.242;59.758;26.261;15.009
969.241;59.783;26.261;15.008
970.255;59.83;26.262;15.009
971.262;59.702;26.261;15.008
972.25;59.739;26.261;15.008
973.308;59.766;26.264;15.011
974.303;59.792;26.265;15.011
975.354;59.82;26.266;15.011
976.354;59.82;26.264;15.01
977.346;59.813;26.264;15.011
978.339;59.752;26.264;15.01
979.342;59.713;26.264;15.011
980.324;59.716;26.263;15.009
981.316;59.789;26.262;15.009
982.317;59.867;26.264;15.01
983.36;59.727;26.263;15.009
984.358;59.467;26.235;14.988
985.375;59.646;26.231;14.985
986.389;59.754;26.232;14.985
987.398;59.667;26.228;14.983
988.392;59.654;26.23;14.984
989.395;59.698;26.23;14.985
990.398;59.653;26.228;14.983
991.429;59.674;26.228;14.983
992.423;59.689;26.227;14.982
993.441;59.633;26.226;14.981
994.437;59.606;26.226;14.981
995.414;59.624;26.226;14.981
996.414;59.65;26.227;14.982
997.417;59.671;26.228;14.983
998.4;59.66;26.226;14.982
999.403;59.66;26.225;14.981
1000.412;59.712;26.23;14.983
1001.409;61.952;27.838;16.231
1002.417;64.907;32.207;19.726
1003.396;64.66;32.205;19.724
1004.405;64.197;32.208;19.722
1005.399;60.402;28.547;16.771
1006.405;59.483;26.616;15.278
1007.417;59.45;26.308;15.042
1008.415;59.279;26.199;14.959
1009.426;59.348;26.166;14.933
1010.425;59.361;26.167;14.934
1011.451;60.784;27.249;15.767
1012.432;65.065;31.603;19.243
1013.435;65.193;32.645;20.088
1014.429;64.501;32.655;20.088
1015.447;57.4;26.062;14.841
1016.509;61.246;27.773;16.175
1017.531;59.38;26.26;15.004
1018.556;59.285;26.118;14.896
1019.541;59.191;26.08;14.867
1020.555;59.301;26.079;14.867
1021.544;61.245;27.381;15.873
1022.54;65.095;31.798;19.402
1023.533;65.036;32.554;20.012
1024.53;64.368;32.566;20.013
1025.515;57.208;26.566;15.224
1026.505;57.694;25.798;14.649
1027.523;59.081;26.047;14.84
1028.512;59.119;26.012;14.814
1029.503;59.107;25.98;14.791
1030.499;59.103;25.984;14.793
1031.488;60.482;27.257;15.773
1032.481;65.18;31.716;19.334
1033.475;64.83;32.47;19.942
1034.479;64.141;32.484;19.945
1035.47;55.634;24.826;13.907
1036.485;59.562;26.175;14.94
1037.483;58.925;25.988;14.796
1038.48;59.024;25.953;14.77
1039.495;59.003;25.945;14.764
1040.496;59.052;25.948;14.767
1041.477;61.424;27.13;15.68
1042.476;65.095;31.733;19.349
1043.483;64.937;32.514;19.978
1044.476;64.169;32.527;19.98
1047.398;57.471;24.217;13.465
1048.412;61.445;27.475;15.947
1049.417;59.001;25.97;14.784
1050.407;58.562;25.921;14.744
1051.397;61.068;26.764;15.395
1052.384;65.077;31.232;18.941
1053.379;64.993;32.414;19.898
1054.379;64.219;32.43;19.901
1055.394;60.014;29.625;17.614
1056.417;61.117;27.507;15.964
1057.41;59.295;26.027;14.827
1058.441;58.976;25.862;14.7
1059.444;58.72;25.821;14.67
1060.453;58.715;25.819;14.667
1061.436;61.197;26.715;15.359
1062.441;64.662;31.24;18.944
1063.456;64.665;32.307;19.808
1064.475;63.802;32.324;19.812
1065.458;60.742;28.27;16.554
1066.453;58.591;26.093;14.873
1067.478;58.489;25.853;14.691
1068.483;58.489;25.792;14.646
1069.478;58.554;25.789;14.644
1070.471;58.672;25.791;14.646
1071.469;61.549;26.996;15.576
1072.453;65.044;31.467;19.131
1073.453;64.203;32.303;19.8
1074.449;63.702;32.316;19.804
1075.518;59.854;28.34;16.605
1076.518;58.919;26.459;15.153
1077.519;59.222;25.718;14.595
1078.527;58.084;25.743;14.609
1079.523;58.624;25.76;14.62
1080.517;58.709;25.759;14.62
1081.522;61.343;27.234;15.759
1082.524;64.81;31.829;19.422
1083.524;64.13;32.374;19.857
1084.508;63.586;32.385;19.858
1085.523;59.04;28.356;16.612
1086.531;58.512;26.31;15.039
1087.553;57.826;25.763;14.62
1088.563;58.367;25.785;14.639
1089.539;58.519;25.754;14.617
1090.525;58.375;25.755;14.618
1091.512;60.824;27.077;15.635
1092.527;64.865;31.72;19.335
1093.508;64.103;32.28;19.779
1094.511;63.3;32.3;19.785
1095.614;62.777;32.307;19.785
1096.606;62.385;32.317;19.789
1097.609;62.202;32.328;19.793
1101.706;63.037;33.584;20.82
1102.705;61.405;32.383;19.835
1103.696;62.24;33;20.338
1104.698;61.89;33.018;20.349
1105.706;56.465;26.24;14.969
1106.701;58.208;26.775;15.389
1107.709;57.346;25.532;14.442
1108.738;57.319;25.236;14.221
1109.738;57.43;25.173;14.173
1110.753;57.585;25.172;14.174
1111.943;57.663;25.167;14.171
1113.076;57.694;25.171;14.174
1114.224;57.724;25.175;14.177
1115.362;58.236;25.782;14.638
1116.425;63.363;30.117;18.034
1117.429;61.933;30.171;18.061
1118.427;61.366;30.187;18.069
1119.425;60.983;30.201;18.077
1120.429;57.522;27.102;15.633
1121.452;56.843;25.866;14.694
1122.447;63.198;30.502;18.338
1123.438;62.547;31.402;19.053
1124.426;61.991;31.424;19.063
1125.426;58.755;28.414;16.655
1126.437;57.089;25.403;14.344
1127.434;57.42;25.234;14.219
1128.432;56.969;25.181;14.178
1129.421;57.41;25.176;14.175
1130.428;57.563;25.176;14.176
1131.409;58.239;25.994;14.795
1132.417;63.732;30.514;18.353
1133.402;62.975;31.706;19.302
1134.389;62.22;31.722;19.306
1135.524;57.726;27.735;16.122
1136.535;57.326;25.666;14.542
1137.556;57.111;25.32;14.282
1138.558;57.205;25.211;14.202
1139.59;57.252;25.213;14.203
1140.585;57.452;25.239;14.223
1141.586;60.216;27.059;15.618
1142.599;63.764;31.563;19.198
1143.603;62.641;31.826;19.395
1144.586;61.982;31.839;19.396
1145.591;52.613;24.171;13.407
1146.57;57.174;25.799;14.643
1147.56;57.182;25.415;14.353
1148.561;57.096;25.297;14.265
1149.552;57.265;25.277;14.25
1150.562;57.417;25.298;14.266
1151.548;59.572;26.836;15.446
1152.549;64.035;31.514;19.158
1153.544;62.73;31.921;19.472
1154.536;61.871;31.945;19.48
1155.527;53.125;23.689;13.055
1156.516;57.626;26.178;14.932
1157.509;56.678;25.321;14.281
1158.501;57.09;25.343;14.299
1159.484;57.114;25.343;14.3
1160.456;57.227;25.348;14.304
1161.46;59.647;26.477;15.17
1162.455;63.549;31.034;18.769
1163.459;62.432;31.951;19.494
1164.464;61.757;31.967;19.497
1165.486;54.015;25.663;14.519
1166.47;54.94;25.704;14.56
1167.463;56.762;25.504;14.418
1168.444;55.907;25.395;14.333
1169.434;57.006;25.366;14.316
1170.435;57.548;25.384;14.332
1171.427;59.322;26.268;15.012
1172.427;62.88;30.84;18.606
1173.427;62.306;31.942;19.485
1174.423;61.612;31.961;19.49
1175.427;56.974;28.447;16.663
1176.466;58.601;26.977;15.546
1177.46;56.495;25.417;14.351
1178.473;56.762;25.425;14.359
1179.486;56.853;25.387;14.33
1180.479;56.983;25.407;14.347
1181.48;59.398;26.613;15.273
1182.489;62.957;31.15;18.856
1183.505;62.075;31.968;19.502
1184.513;61.293;31.99;19.51
1188.392;58.155;28.015;16.343
1189.406;56.708;25.806;14.644
1190.438;56.431;25.443;14.371
1191.434;57.844;26.46;15.15
1192.441;62.834;31.065;18.785
1193.444;61.944;32.029;19.55
1194.455;61.12;32.049;19.555
1195.437;56.307;28.542;16.732
1196.441;59.709;27.007;15.576
1197.428;56.283;25.544;14.445
1198.444;56.491;25.408;14.345
1199.452;56.573;25.403;14.341
1200.455;56.676;25.405;14.343
1201.443;59.102;26.427;15.128
1202.455;62.821;31.159;18.859
1203.448;61.878;32.03;19.551
1204.44;61.02;32.054;19.557
1205.524;56.76;28.005;16.321
1206.524;56.199;25.718;14.574
1207.539;55.486;25.463;14.377
1208.536;56.207;25.431;14.36
1209.537;56.451;25.432;14.363
1210.538;56.47;25.434;14.364
1211.545;58.821;26.909;15.497
1212.533;62.763;31.385;19.042
1213.508;61.4;32.004;19.522
1214.509;60.871;32.015;19.525
1215.596;56.767;28.027;16.338
1216.593;56.321;26.051;14.827
1217.607;56.107;25.558;14.455
1218.594;56.042;25.456;14.379
1219.582;56.362;25.462;14.384
1220.597;56.492;25.467;14.388
1221.597;59.201;27.201;15.723
1222.595;62.866;31.63;19.241
1223.589;61.461;32.055;19.563
1224.583;60.74;32.073;19.569
1225.572;51.705;23.803;13.13
1226.563;54.754;25.813;14.638
1227.543;56.393;25.495;14.407
1228.538;55.91;25.494;14.405
1229.532;56.26;25.479;14.396
1230.523;56.399;25.481;14.398
1231.539;59.046;26.915;15.502
1232.528;62.559;31.422;19.069
1233.525;61.388;32.07;19.576
1234.535;60.667;32.088;19.58
1235.565;56.434;28.068;16.365
1236.565;56.012;26.027;14.807
1237.574;55.776;25.525;14.427
1238.586;55.957;25.524;14.428
1239.579;56.036;25.524;14.429
1240.596;56.229;25.526;14.432
1241.583;58.816;27.134;15.669
1242.579;62.768;31.753;19.338
1243.574;61.302;32.137;19.628
1244.575;60.549;32.16;19.637
1245.61;56.364;28.097;16.389
1246.617;55.611;25.609;14.491
1247.62;55.646;25.545;14.444
1248.622;55.643;25.512;14.419
1249.615;55.841;25.506;14.415
1250.612;56.159;25.535;14.438
1251.623;58.806;27.266;15.769
1252.617;62.844;31.823;19.393
1253.615;61.103;32.089;19.587
1254.616;60.407;32.103;19.589
1255.606;56.451;28.12;16.406
1256.597;55.38;25.862;14.678
1257.606;55.517;25.648;14.518
1258.602;55.634;25.54;14.44
1259.602;55.805;25.543;14.442
1260.606;55.891;25.543;14.443
1261.587;58.323;27.094;15.634
1262.599;62.44;31.689;19.283
1263.613;60.992;32.106;19.599
1264.606;60.304;32.122;19.603
1265.727;56.361;28.15;16.427
1266.724;55.273;25.804;14.633
1267.728;55.323;25.592;14.477
1268.719;55.544;25.56;14.453
1269.703;55.673;25.561;14.455
1270.687;55.884;25.563;14.458
1271.686;58.862;27.562;15.998
1272.681;62.619;32.055;19.578
1273.679;60.844;32.134;19.62
1274.665;60.212;32.151;19.625
1275.678;53.786;26.74;15.326
1278.95;54.684;24.635;13.759
1279.955;55.49;25.51;14.415
1280.948;54.156;25.57;14.454
1281.939;60.018;28.716;16.901
1282.936;61.541;32.173;19.661
1283.936;60.621;32.195;19.666
1284.93;60.079;32.214;19.674
1285.94;51.067;23.899;13.197
1286.944;54.976;25.746;14.589
1287.952;55.634;25.609;14.49
1288.932;55.312;25.523;14.425
1289.922;55.608;25.526;14.429
1290.907;55.684;25.528;14.431
1292.092;55.709;25.527;14.43
1293.226;55.941;25.534;14.435
1294.347;55.967;25.54;14.439
1295.507;58.779;27.047;15.602
1296.498;60.301;30.136;18.02
1297.499;59.538;30.192;18.056
1298.493;59.23;30.224;18.078
1299.499;59.022;30.237;18.085
1300.629;55.67;27.369;15.823
1301.616;55.573;26.611;15.248
1302.61;61.499;31.227;18.901
1303.595;60.302;31.631;19.209
1304.584;59.806;31.647;19.215
1305.657;56.813;28.892;17.008
1306.66;54.565;25.878;14.686
1307.652;54.644;25.6;14.477
1308.681;54.886;25.481;14.391
1309.678;55.125;25.488;14.397
1310.688;55.287;25.491;14.399
1311.673;58.484;27.322;15.81
1312.667;62.186;31.844;19.406
1313.669;60.471;32.031;19.533
1314.653;59.937;32.042;19.534
1315.7;55.657;28.03;16.328
1316.701;54.632;25.737;14.58
1317.726;54.772;25.585;14.466
1318.716;54.99;25.526;14.425
1319.711;55.189;25.508;14.411
1320.72;55.392;25.511;14.415
1321.7;58.661;27.587;16.015
1322.696;62.319;32.079;19.584
1323.696;60.465;32.076;19.568
1324.713;59.861;32.09;19.571
1325.702;50.349;24.92;13.939
1326.698;54.034;25.443;14.356
1327.673;54.354;25.531;14.425
1328.669;54.993;25.524;14.424
1329.677;55.003;25.533;14.431
1330.671;55.203;25.537;14.435
1331.677;58.431;27.463;15.919
1332.683;62.155;32.03;19.553
1333.675;60.47;32.165;19.64
1334.677;59.867;32.185;19.648
1335.69;49.005;23.832;13.135
1336.85;55.454;26.489;15.153
1337.851;55.134;25.826;14.65
1338.854;54.924;25.594;14.476
1339.836;55.016;25.545;14.44
1340.825;54.995;25.548;14.442
1341.803;59.192;28.042;16.372
1342.788;61.622;32.135;19.631
1343.782;60.352;32.159;19.633
1344.768;59.797;32.176;19.639
1345.771;50.824;25.544;14.405
1346.766;53.627;25.611;14.477
1347.76;53.946;25.576;14.456
1348.754;54.647;25.567;14.453
1349.742;54.943;25.566;14.455
1350.742;54.94;25.566;14.455
1351.744;58.664;27.749;16.14
1352.744;61.206;32.083;19.589
1353.723;60.28;32.122;19.602
1354.735;59.817;32.134;19.604
1355.751;55.436;28.11;16.388
1356.776;54.499;26.104;14.855
1357.812;54.534;25.686;14.541
1358.853;54.585;25.597;14.475
1359.864;54.736;25.563;14.45
1360.876;54.873;25.582;14.467
1361.853;59.03;28.223;16.511
1362.867;61.411;32.131;19.625
1363.869;60.156;32.152;19.625
1364.885;59.717;32.168;19.63
1365.884;51.612;24.279;13.479
1366.883;53.901;25.561;14.443
1367.896;54.375;25.585;14.465
1368.896;54.575;25.587;14.467
1369.91;54.843;25.593;14.472
1370.922;54.951;25.591;14.472
1371.912;58.951;28.295;16.565
1372.903;61.162;32.159;19.644
1373.88;60.126;32.176;19.645
1374.887;59.605;32.191;19.65
1377.442;52.365;23.863;13.177
1378.444;56.658;26.383;15.084
1379.451;56.769;25.889;14.707
1380.443;54.414;25.665;14.523
1381.457;56.876;26.377;15.078
1382.459;61.313;31.04;18.75
1383.459;60.489;32.183;19.655
1384.45;59.799;32.202;19.66
1385.443;54.472;28.658;16.799
1386.438;57.234;27.235;15.733
1387.446;54.065;25.644;14.505
1388.444;54.326;25.568;14.451
1389.445;54.612;25.562;14.449
1390.45;54.759;25.563;14.451
1391.432;55.597;26.101;14.864
1392.417;60.893;30.615;18.406
1393.417;60.473;32.117;19.602
1394.419;59.789;32.132;19.604
1395.403;59.491;32.145;19.609
1396.42;59.251;32.149;19.61
1397.394;59.169;32.154;19.612
1398.394;59.071;32.156;19.611
1399.414;59.002;32.159;19.612
1403.359;58.747;32.167;19.615
1404.415;48.557;23.202;12.675
1405.425;52.85;25.192;14.16
1406.451;53.071;24.925;13.964
1407.445;53.349;24.882;13.934
1408.463;53.62;24.886;13.938
1409.52;53.742;24.921;13.965
1410.532;54.134;24.978;14.01
1411.538;54.084;25.012;14.037
1412.577;54.173;25.021;14.045
1413.573;54.31;25.069;14.08
1414.564;54.508;25.109;14.11
1415.551;54.661;25.148;14.14
1416.558;54.69;25.158;14.148
1417.561;54.664;25.193;14.175
1418.556;54.847;25.226;14.2
1419.565;54.912;25.262;14.228
1420.565;54.932;25.279;14.239
1421.592;54.981;25.324;14.274
1422.588;55.032;25.329;14.278
1423.582;55.079;25.367;14.307
1424.584;55.26;25.405;14.336
1425.592;55.213;25.415;14.344
1426.573;55.163;25.454;14.373
1427.575;55.315;25.467;14.382
1428.558;55.307;25.499;14.406
1429.557;55.398;25.511;14.415
1430.604;55.389;25.517;14.42
1431.601;55.483;25.553;14.449
1432.608;55.32;25.561;14.454
1433.61;55.517;25.606;14.488
1434.593;55.491;25.614;14.493
1435.599;55.562;25.618;14.496
1436.608;55.581;25.652;14.522
1437.602;55.575;25.654;14.525
1438.603;55.659;25.696;14.555
1439.607;55.618;25.7;14.56
1440.606;55.585;25.708;14.565
1441.599;55.615;25.741;14.591
1442.593;55.735;25.749;14.597
1443.583;55.653;25.755;14.601
1444.587;55.695;25.781;14.621
1445.601;55.857;25.8;14.635
1446.604;55.87;25.807;14.64
1447.604;55.875;25.809;14.641
1448.646;55.87;25.837;14.663
1449.654;55.855;25.847;14.671
1450.635;55.813;25.851;14.673
1451.628;55.843;25.856;14.677
1452.663;55.815;25.882;14.698
1453.649;55.849;25.89;14.704
1454.641;55.829;25.896;14.708
1455.624;55.716;25.901;14.711
1456.621;56.006;25.924;14.728
1457.597;55.995;25.932;14.735
1458.606;55.996;25.937;14.739
1459.597;56.022;25.94;14.741
1460.591;55.896;25.974;14.767
1461.576;55.956;25.979;14.771
1462.579;55.912;25.984;14.774
1463.577;55.851;25.988;14.777
1464.563;56.001;25.99;14.779
1465.549;55.916;25.992;14.78
1466.526;56.022;26.023;14.804
1467.527;55.977;26.029;14.808
1468.509;55.926;26.03;14.81
1469.504;55.964;26.036;14.813
1470.511;55.873;26.037;14.814
1471.489;55.969;26.039;14.816
1472.489;55.88;26.038;14.816
1473.495;56.075;26.067;14.837
1474.484;56.083;26.072;14.841
1475.481;56.146;26.077;14.845
1476.483;56.005;26.076;14.845
1477.489;56.048;26.083;14.849
1478.487;56.036;26.084;14.85
1479.494;56.046;26.082;14.849
1480.575;56.002;26.081;14.85
1481.557;56.054;26.117;14.875
1482.548;55.853;26.118;14.877
1483.543;56.051;26.126;14.882
1484.539;56.036;26.128;14.884
1485.55;56.1;26.13;14.885
1486.554;55.865;26.127;14.883
1487.561;55.95;26.127;14.884
1488.558;56.015;26.132;14.887
1489.564;55.967;26.135;14.888
1490.561;55.914;26.134;14.889
1491.555;55.897;26.135;14.889
1492.576;55.924;26.136;14.89
1493.682;55.929;26.137;14.891
1494.664;56.022;26.164;14.912
1495.665;55.998;26.166;14.913
1496.664;56.005;26.167;14.914
1497.678;55.991;26.169;14.915
1498.679;55.981;26.171;14.917
1499.689;56.038;26.175;14.919
1500.681;55.868;26.175;14.92
1501.699;56.024;26.175;14.92
1502.717;56.015;26.175;14.92
1503.707;55.971;26.176;14.921
1504.729;56.011;26.178;14.922
1505.717;56;26.18;14.923
1506.72;55.945;26.18;14.923
1507.703;55.945;26.183;14.925
1508.692;56.141;26.214;14.949
1509.689;56.062;26.22;14.952
1510.664;56.112;26.22;14.953
1511.672;56.072;26.224;14.956
1512.65;56.162;26.222;14.955
1513.635;56.128;26.224;14.957
1514.645;55.932;26.227;14.958
1515.643;56.034;26.227;14.958
1516.64;55.972;26.227;14.957
1517.631;56.001;26.227;14.958
1518.634;55.952;26.23;14.96
1519.623;55.979;26.229;14.959
1520.63;55.898;26.233;14.962
1521.664;55.968;26.231;14.961
1522.682;55.946;26.231;14.961
1523.696;55.964;26.234;14.963
1524.7;55.948;26.233;14.963
1525.715;55.942;26.234;14.963
1526.718;55.982;26.232;14.962
1527.719;55.922;26.235;14.964
1528.746;55.939;26.235;14.964
1529.754;55.938;26.235;14.964
1530.769;55.877;26.236;14.964
1531.757;56.029;26.234;14.964
1532.812;55.909;26.237;14.965
1533.809;56.017;26.235;14.964
1534.82;56.028;26.237;14.966
1535.826;55.864;26.239;14.967
1536.824;55.969;26.238;14.967
1537.824;55.939;26.238;14.966
1538.824;55.928;26.239;14.967
1539.852;55.923;26.24;14.968
1540.854;55.957;26.24;14.968
1541.858;55.866;26.242;14.969
1542.883;55.946;26.243;14.969
1543.89;55.963;26.241;14.968
1544.998;55.893;26.242;14.968
1545.988;55.835;26.265;14.988
1547.001;55.986;26.269;14.989
1547.994;55.955;26.273;14.992
1549.008;56.014;26.272;14.992
1549.991;56.012;26.275;14.994
1550.983;55.99;26.276;14.994
1551.979;55.892;26.278;14.996
1552.969;56.056;26.277;14.996
1553.945;56.043;26.279;14.997
1554.944;55.975;26.279;14.997
1556;55.988;26.28;14.998
1557.014;56.026;26.278;14.997
1558.029;55.942;26.283;14.999
1559.041;55.907;26.284;15
1560.033;55.99;26.281;14.999
1561.032;55.946;26.284;15
1562.029;55.916;26.283;15
1563.03;55.959;26.282;14.999
1564.048;55.996;26.281;14.999
1565.05;55.918;26.283;15
1566.052;55.977;26.283;15
1567.095;55.935;26.286;15.002
1568.098;55.951;26.286;15.002
1569.096;55.942;26.286;15.002
1570.096;55.921;26.286;15.001
1571.107;55.926;26.285;15.001
1572.102;55.936;26.285;15.001
1573.108;55.931;26.284;15
1574.147;55.96;26.282;14.999
1575.148;55.865;26.285;15.001
1576.147;55.829;26.281;14.999
1577.139;56.029;26.283;15
1578.126;55.887;26.286;15.001
1579.121;55.794;26.282;14.999
1580.135;55.947;26.284;15
1581.126;55.941;26.285;15.002
1582.131;55.908;26.286;15.002
1583.137;55.795;26.285;15.001
1584.143;55.932;26.289;15.004
1585.14;55.937;26.29;15.005
1586.143;55.796;26.287;15.003
1587.144;55.918;26.289;15.004
1588.148;55.838;26.289;15.003
1589.147;55.933;26.286;15.002
1590.146;55.969;26.288;15.003
1591.157;55.842;26.288;15.002
1592.155;55.957;26.285;15.001
1593.133;55.874;26.283;14.999
1594.141;55.899;26.283;15
1595.136;55.831;26.282;14.998
1596.126;55.838;26.285;15
1597.149;56.003;26.28;14.997
1598.146;55.906;26.286;15.002
1599.15;55.895;26.285;15
1600.187;55.841;26.286;15.001
1601.174;55.911;26.289;15.003
1602.153;55.866;26.288;15.003
1603.151;55.903;26.287;15.002
1604.153;55.836;26.285;15.001
1605.148;55.841;26.286;15.001
1606.157;55.808;26.283;14.999
1607.139;55.881;26.282;14.997
1608.112;55.86;26.28;14.997
1609.12;55.832;26.282;14.998
1610.124;55.629;26.279;14.996
1611.11;55.841;26.281;14.998
1612.112;55.84;26.284;14.999
1613.113;55.814;26.285;15
1614.125;55.831;26.285;14.999
1615.147;55.793;26.285;14.999
1616.154;55.734;26.28;14.997
1617.13;55.84;26.285;15
1618.124;55.761;26.283;14.998
1619.095;55.867;26.281;14.998
1620.081;55.762;26.284;14.999
1621.07;55.838;26.285;15
1622.127;55.789;26.281;14.998
1623.135;55.793;26.285;15
1624.126;55.877;26.284;15
1625.101;55.82;26.286;15.001
1626.096;55.777;26.286;15.001
1627.126;55.789;26.287;15.001
1628.118;55.711;26.286;15
1629.117;55.838;26.287;15.001
1630.114;55.663;26.284;15
1631.103;55.678;26.283;14.999
1632.111;55.829;26.286;15.001
1633.101;55.806;26.286;15.001
1634.096;55.783;26.285;14.999
1635.075;55.77;26.285;15
1636.065;55.76;26.286;15
1637.057;55.824;26.286;15.001
1638.06;55.806;26.284;14.999
1639.037;55.895;26.305;15.016
1640.037;55.704;26.281;14.996
1641.043;55.731;26.274;14.991
1642.027;55.656;26.271;14.988
1643.013;55.777;26.267;14.986
1644.013;55.679;26.258;14.979
1645.007;55.668;26.274;14.991
1645.992;55.781;26.289;15.003
1646.994;55.639;26.286;15.001
1648.011;55.794;26.284;15
1649.001;55.701;26.287;15.002
1649.991;55.788;26.289;15.003
1650.974;55.755;26.292;15.004
1652.022;55.763;26.295;15.007
1653.028;55.77;26.287;15.002
1654.023;55.782;26.292;15.005
1655.069;55.74;26.292;15.005
1656.079;55.612;26.289;15.003
1657.062;55.736;26.293;15.005
1658.068;55.672;26.292;15.004
1659.068;55.818;26.291;15.004
1660.057;55.762;26.292;15.006
1661.056;55.673;26.294;15.005
1662.066;55.769;26.292;15.006
1663.06;55.66;26.293;15.006
1664.073;55.728;26.297;15.008
1665.071;55.756;26.297;15.009
1666.066;55.695;26.278;14.995
1667.068;55.716;26.28;14.996
1668.067;55.713;26.279;14.994
1669.103;55.701;26.279;14.995
1670.112;55.734;26.28;14.996
1671.113;55.711;26.281;14.996
1672.114;55.75;26.282;14.997
1673.114;55.561;26.278;14.995
1674.13;55.646;26.282;14.997
1675.14;55.726;26.283;14.998
1676.128;55.766;26.283;14.998
1677.14;55.546;26.283;14.998
1678.156;55.635;26.286;14.999
1679.162;55.72;26.287;15.001
1680.168;55.621;26.284;14.999
1681.186;55.659;26.283;14.999
1682.181;55.693;26.287;15.001
1683.217;55.675;26.29;15.002
1684.23;55.743;26.291;15.003
1685.237;55.661;26.292;15.004
1686.229;55.766;26.293;15.005
1687.218;55.653;26.296;15.007
1688.224;55.726;26.294;15.005
1689.212;55.701;26.295;15.006
1690.236;55.613;26.296;15.006
1691.241;55.726;26.296;15.007
1692.243;55.767;26.294;15.006
1693.252;55.69;26.296;15.008
1694.237;55.584;26.294;15.006
1695.232;55.657;26.298;15.008
1696.226;55.566;26.276;14.993
1697.234;55.524;26.277;14.993
1698.227;55.662;26.279;14.994
