IDs:;DNAJB6_meas2;02_DNAJB6_00_439_uM_to_DNAJB6_05_000_uM;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
201.746;68.431;26.212;15.01
202.807;68.187;26.209;15.008
203.823;68.111;26.208;15.006
204.82;68.215;26.209;15.007
205.83;68.06;26.209;15.007
206.821;67.895;26.209;15.007
207.824;68.023;26.209;15.006
208.807;68.182;26.211;15.008
209.812;68.296;26.212;15.009
210.842;67.828;26.212;15.009
211.846;67.876;26.215;15.01
212.848;68.006;26.186;14.99
213.903;67.818;26.182;14.985
214.904;67.703;26.18;14.984
215.889;67.813;26.182;14.985
216.899;67.791;26.183;14.986
217.952;67.826;26.183;14.986
218.975;67.635;26.185;14.986
219.979;67.638;26.185;14.987
220.971;67.628;26.184;14.987
221.989;67.624;26.186;14.987
223.005;67.328;26.186;14.987
224.002;67.613;26.187;14.988
224.994;67.513;26.187;14.987
225.993;67.4;26.187;14.988
226.983;67.47;26.189;14.99
227.956;67.458;26.19;14.99
228.983;67.42;26.191;14.99
229.983;67.562;26.193;14.992
230.986;67.266;26.193;14.992
231.986;67.212;26.193;14.991
232.999;67.166;26.192;14.99
234.005;67.156;26.191;14.99
235.012;67.187;26.195;14.993
236.015;67.106;26.194;14.992
236.997;67.071;26.193;14.99
237.991;67.007;26.194;14.991
238.99;67.127;26.198;14.994
240.011;67.04;26.194;14.992
241.012;67.064;26.199;14.995
242.034;67.039;26.197;14.993
243.04;67.067;26.196;14.993
244.037;66.923;26.201;14.996
245.05;67.04;26.206;14.998
246.063;66.78;26.202;14.997
247.037;66.706;26.201;14.996
248.053;66.592;26.203;14.998
249.062;66.602;26.208;15.001
250.054;66.859;26.208;15
251.061;66.81;26.208;15
252.054;66.387;26.207;15.001
253.091;66.465;26.208;15.001
254.09;66.618;26.209;15
255.085;66.299;26.209;15.001
256.08;66.375;26.208;15
257.079;66.168;26.207;14.999
258.079;66.326;26.207;14.999
259.06;66.223;26.21;15.001
260.059;66.22;26.21;15.001
261.059;66.377;26.215;15.004
262.059;66.342;26.209;15.001
263.056;66.146;26.209;15.001
264.046;65.982;26.213;15.003
265.038;66.066;26.212;15.003
266.041;65.915;26.215;15.004
267.025;66.029;26.215;15.004
268.048;66.047;26.217;15.005
269.038;65.947;26.215;15.004
270.042;65.954;26.216;15.004
271.05;65.951;26.214;15.003
272.046;65.846;26.214;15.003
273.068;65.824;26.212;15.001
274.096;65.825;26.215;15.003
275.102;65.671;26.218;15.005
276.109;65.772;26.22;15.006
277.101;65.785;26.222;15.007
278.097;65.743;26.221;15.007
279.11;65.547;26.221;15.007
280.119;65.556;26.222;15.007
281.114;65.447;26.223;15.007
282.116;65.517;26.226;15.01
283.12;65.629;26.225;15.009
284.097;65.6;26.226;15.01
285.125;65.524;26.226;15.009
286.135;65.536;26.225;15.009
287.131;65.474;26.226;15.01
288.163;65.319;26.228;15.01
289.16;65.4;26.225;15.008
290.171;65.487;26.228;15.011
291.224;65.36;26.228;15.01
292.245;65.308;26.227;15.009
293.246;65.209;26.229;15.011
294.245;65.449;26.228;15.011
295.248;65.294;26.23;15.011
296.258;65.175;26.229;15.01
297.255;65.132;26.232;15.012
298.281;65.118;26.231;15.011
299.256;65.161;26.231;15.011
300.287;65.149;26.23;15.011
301.294;64.795;26.206;14.991
302.284;64.936;26.203;14.989
303.282;65.028;26.203;14.99
304.272;64.894;26.2;14.987
305.264;64.952;26.201;14.988
306.26;64.776;26.2;14.987
307.258;64.597;26.201;14.987
308.256;64.655;26.2;14.985
309.249;64.754;26.201;14.986
310.248;64.739;26.199;14.985
311.241;64.691;26.197;14.983
312.241;64.675;26.195;14.982
313.232;64.757;26.195;14.982
314.229;64.616;26.192;14.98
315.214;64.665;26.196;14.982
316.217;64.435;26.198;14.983
317.199;64.726;26.196;14.982
318.185;64.722;26.196;14.982
319.165;64.516;26.198;14.983
320.174;64.388;26.201;14.985
321.177;64.405;26.199;14.984
