IDs:;DNAJB6_meas1;01_DNAJB6_00_439_uM_to_buffer;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
200.439;69.166;26.186;14.997
201.43;69.111;26.188;14.998
202.42;69.109;26.187;14.997
203.423;69.195;26.187;14.998
204.422;68.993;26.189;14.999
205.434;68.855;26.189;14.998
206.428;69.016;26.192;15.001
207.456;68.86;26.193;15.001
208.458;69.162;26.194;15.002
209.445;68.944;26.193;15.001
210.444;69.041;26.194;15.003
211.426;68.679;26.195;15.003
212.434;68.645;26.195;15.003
213.423;68.812;26.196;15.003
214.414;68.756;26.196;15.003
215.395;68.751;26.2;15.007
216.379;68.704;26.2;15.007
217.39;68.625;26.2;15.006
218.395;68.548;26.201;15.007
219.396;68.466;26.2;15.007
220.376;68.493;26.204;15.009
221.372;67.946;26.188;14.995
222.381;68.536;26.185;14.994
223.374;68.734;26.18;14.99
224.4;68.787;26.18;14.989
225.393;68.439;26.18;14.99
226.384;68.465;26.179;14.989
227.386;68.447;26.18;14.99
228.383;68.615;26.178;14.989
229.364;68.583;26.178;14.989
230.396;68.4;26.18;14.99
231.391;68.386;26.179;14.99
232.423;68.389;26.182;14.991
233.417;68.333;26.184;14.992
234.432;68.514;26.184;14.993
235.422;68.45;26.184;14.992
236.427;68.072;26.182;14.992
237.429;68.214;26.183;14.992
238.416;68.124;26.184;14.993
239.403;68.301;26.183;14.992
240.395;68.089;26.184;14.992
241.389;68.191;26.182;14.991
242.433;68.104;26.184;14.992
243.437;67.921;26.183;14.992
244.459;67.972;26.185;14.994
245.473;67.91;26.188;14.994
246.479;67.941;26.188;14.995
247.479;67.92;26.186;14.994
248.483;67.793;26.19;14.996
249.498;67.731;26.187;14.994
250.514;67.82;26.191;14.997
251.506;67.734;26.191;14.996
252.504;67.769;26.192;14.997
253.508;67.857;26.193;14.998
254.493;67.73;26.191;14.996
255.478;67.76;26.192;14.996
256.474;67.659;26.192;14.997
257.489;67.712;26.193;14.997
258.503;67.627;26.191;14.997
259.502;67.752;26.195;14.999
260.518;67.771;26.195;14.999
261.5;67.724;26.194;14.998
262.512;67.613;26.193;14.998
263.521;67.608;26.193;14.997
264.519;67.471;26.198;15
265.549;67.63;26.195;14.999
266.57;67.558;26.197;15
267.577;67.47;26.198;15
268.579;67.564;26.198;15.001
269.58;67.385;26.199;15
270.583;67.427;26.198;15.001
271.565;67.444;26.197;15
272.61;67.337;26.2;15.001
273.613;67.487;26.2;15.001
274.631;67.311;26.197;14.999
275.649;67.34;26.199;15
276.646;67.167;26.197;14.998
277.647;67.285;26.196;14.998
278.616;67.161;26.196;14.997
279.607;66.976;26.198;14.999
280.622;67.079;26.199;14.999
281.62;67.134;26.198;15
282.621;66.926;26.199;14.999
283.614;67.101;26.201;15.001
284.583;66.944;26.201;15
285.564;67.088;26.2;15
286.594;67.055;26.201;15.001
287.59;67.024;26.201;15.001
288.583;66.906;26.2;15
289.571;66.768;26.201;15.001
290.559;66.841;26.203;15.002
291.564;66.671;26.206;15.003
292.559;66.798;26.206;15.004
293.554;66.76;26.206;15.004
294.551;66.802;26.205;15.003
295.557;66.736;26.206;15.004
296.557;66.66;26.205;15.003
297.551;66.429;26.21;15.005
298.549;66.849;26.209;15.005
299.549;66.474;26.212;15.006
300.57;66.631;26.211;15.007
301.575;66.592;26.212;15.007
302.591;66.613;26.212;15.007
