IDs:;DNAJB6_meas1;01_DNAJB6_00_439_uM_to_buffer;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
847.939;60.068;26.256;15.01
848.931;60.143;26.255;15.01
849.95;60.104;26.254;15.009
850.956;60.052;26.258;15.011
851.95;60.056;26.257;15.011
852.929;60.071;26.257;15.011
853.916;60.123;26.257;15.011
854.906;60.04;26.259;15.012
855.919;60.078;26.258;15.012
856.917;60.094;26.258;15.012
857.92;60.121;26.258;15.012
858.926;60.057;26.26;15.013
859.909;60.048;26.259;15.013
860.909;60.098;26.258;15.012
861.908;60.184;26.258;15.012
862.889;60.057;26.263;15.015
863.903;60.921;26.254;15.011
864.907;59.954;26.265;15.016
865.933;59.749;26.252;15.006
866.937;60.18;26.244;15.001
867.944;59.974;26.248;15.004
868.947;59.969;26.245;15.001
869.928;60.051;26.247;15.003
870.923;59.97;26.247;15.003
871.913;59.985;26.249;15.004
872.945;60.256;26.245;15.002
873.944;60.007;26.247;15.003
874.978;60.018;26.249;15.005
875.969;59.941;26.25;15.004
876.987;60.201;26.245;15.002
877.991;59.875;26.249;15.004
878.973;59.825;26.248;15.003
879.966;60.032;26.249;15.004
881.003;60.043;26.245;15.002
882.008;60.064;26.245;15.001
883.009;60.014;26.243;15
883.999;60.179;26.24;14.998
884.994;59.953;26.243;15
885.972;60.347;26.236;14.996
886.972;60.043;26.242;14.999
887.978;60.266;26.236;14.995
888.96;60.283;26.235;14.994
889.942;59.778;26.243;14.998
890.94;60.177;26.241;14.999
891.94;60.152;26.24;14.998
892.944;60.318;26.239;14.998
893.944;59.976;26.243;15
894.953;60.007;26.246;15.002
895.96;59.932;26.245;15.001
896.951;59.976;26.244;15
897.952;59.971;26.245;15.002
898.951;60.042;26.243;15
899.95;60.026;26.244;15
900.941;60.009;26.243;15
901.922;59.987;26.244;15
902.935;60.036;26.245;15.001
903.957;60;26.245;15.001
904.949;60.002;26.244;15
905.927;60.098;26.243;15
906.926;60.004;26.243;14.999
907.922;59.993;26.245;15.001
908.916;60.038;26.246;15.002
909.895;59.999;26.246;15.002
910.898;60.012;26.246;15.002
911.91;59.957;26.25;15.004
912.91;60.022;26.247;15.003
913.899;59.913;26.249;15.004
914.912;59.941;26.25;15.005
915.91;60.005;26.248;15.004
916.916;59.959;26.25;15.004
917.916;59.921;26.25;15.005
918.918;59.899;26.251;15.006
919.927;60.003;26.25;15.005
920.943;59.879;26.252;15.006
921.932;59.863;26.253;15.006
922.915;60.008;26.25;15.005
923.924;59.971;26.25;15.005
924.983;60.019;26.25;15.005
925.973;59.96;26.25;15.005
927.005;59.948;26.251;15.005
928.021;59.961;26.253;15.007
929.012;59.881;26.254;15.007
930.015;59.979;26.255;15.008
931.053;59.887;26.256;15.009
932.08;59.915;26.255;15.009
933.111;59.973;26.255;15.008
934.143;59.808;26.258;15.01
935.138;59.954;26.257;15.01
936.18;59.863;26.258;15.01
937.167;60.135;26.24;14.998
938.22;59.979;26.239;14.997
939.224;60.04;26.236;14.994
940.229;59.837;26.239;14.995
941.229;59.832;26.239;14.995
942.231;59.84;26.242;14.997
943.218;59.808;26.241;14.998
944.215;59.844;26.241;14.997
945.198;59.925;26.24;14.997
946.219;60.236;26.234;14.994
947.214;60.531;26.231;14.993
948.204;59.912;26.242;14.998
949.216;59.846;26.241;14.997
950.219;59.998;26.24;14.997
951.225;59.943;26.243;14.999
952.227;59.834;26.245;15
953.234;59.74;26.245;14.999
954.251;59.784;26.248;15.002
955.236;59.838;26.246;15.001
956.244;59.822;26.247;15.002
957.229;59.812;26.249;15.003
958.215;59.747;26.249;15.003
959.215;59.835;26.248;15.003
960.212;59.85;26.25;15.004
961.208;59.861;26.248;15.002
962.209;59.879;26.249;15.003
963.239;59.821;26.25;15.004
964.224;59.725;26.252;15.005
965.245;59.796;26.251;15.005
966.272;59.806;26.252;15.006
967.301;59.855;26.252;15.006
968.303;59.853;26.251;15.005
969.289;59.77;26.252;15.005
970.283;59.776;26.255;15.008
971.326;59.752;26.254;15.007
972.311;59.78;26.256;15.008
973.318;59.703;26.255;15.007
974.4;59.746;26.256;15.008
975.384;59.927;26.232;14.99
976.375;59.804;26.232;14.99
977.372;59.863;26.232;14.99
978.382;59.965;26.231;14.99
979.373;59.868;26.231;14.989
980.366;59.919;26.229;14.988
981.371;59.817;26.23;14.989
982.354;59.797;26.232;14.99
983.35;59.759;26.231;14.989
984.341;59.714;26.232;14.99
985.364;59.758;26.232;14.99
986.364;59.887;26.231;14.989
987.375;59.722;26.231;14.989
988.398;59.773;26.234;14.991
989.376;59.827;26.233;14.99
990.38;59.738;26.233;14.99
991.413;59.835;26.233;14.99
992.425;59.708;26.237;14.993
993.415;59.862;26.235;14.992
994.399;59.752;26.235;14.992
995.396;59.771;26.234;14.991
996.39;59.753;26.233;14.991
997.449;59.698;26.234;14.991
998.469;59.776;26.235;14.993
999.504;59.752;26.236;14.993
1000.498;59.739;26.235;14.992
1001.488;60.927;27.29;15.804
1002.475;65.166;31.867;19.459
1003.471;65.393;32.484;19.965
1004.473;64.729;32.498;19.967
1005.517;58.082;26.052;14.841
1006.601;61.549;27.802;16.205
1007.595;58.794;26.181;14.947
1008.603;58.997;26.159;14.93
1009.596;59.591;26.165;14.936
1010.61;59.57;26.168;14.939
1011.633;60.435;26.548;15.229
1012.636;64.768;31.088;18.828
1013.625;65.101;32.63;20.081
1014.625;64.963;32.643;20.087
1015.643;61.175;28.835;17.005
1016.691;62.334;27.838;16.237
1017.687;58.417;26.031;14.832
1018.701;59.867;26.044;14.846
1019.704;59.315;26.048;14.847
1020.711;59.332;26.048;14.847
1021.7;60.15;26.967;15.553
1022.685;64.579;31.388;19.069
1023.704;65.056;32.554;20.016
1024.702;64.711;32.564;20.021
1025.713;58.276;25.926;14.748
1026.773;60.407;27.77;16.175
1027.82;59.045;26.192;14.955
1028.842;59.257;26.024;14.829
1029.859;59.509;25.977;14.794
1030.86;59.25;25.98;14.796
1031.847;61.246;27.54;16.001
1032.837;65.673;31.986;19.562
1033.832;65.111;32.467;19.946
1034.831;64.337;32.481;19.949
1037.716;58.115;24.266;13.505
1038.717;61.968;26.477;15.187
1039.719;59.793;25.725;14.605
1040.724;60.073;25.888;14.729
1041.735;60.941;26.957;15.551
1042.749;65.127;31.559;19.212
1043.753;64.976;32.473;19.95
1044.744;64.46;32.482;19.951
1045.735;60.313;29.205;17.288
1046.746;59.176;27.643;16.073
1047.718;59.668;26.065;14.862
1048.722;59.348;25.874;14.714
1049.723;59.097;25.83;14.681
1050.723;59.124;25.832;14.684
1051.739;60.403;26.892;15.497
1052.739;64.902;31.445;19.115
1053.746;64.761;32.332;19.834
1054.725;64.38;32.349;19.841
1055.852;60.484;28.371;16.638
1056.887;59.395;26.282;15.022
1057.88;59.09;25.886;14.723
1058.871;59.078;25.816;14.67
1059.862;59.151;25.82;14.672
1060.873;58.931;25.822;14.675
1061.859;61.117;27.486;15.959
1062.854;65.343;31.897;19.485
1063.85;64.63;32.329;19.828
1064.831;64.236;32.341;19.833
1065.829;55.656;24.086;13.364
1066.837;60.194;26.143;14.923
1067.833;60.163;25.839;14.692
1068.843;59.124;25.782;14.643
1069.852;59.163;25.775;14.638
1070.857;59.184;25.772;14.636
1071.856;60.846;27.334;15.839
1072.842;65.414;31.832;19.433
1073.836;64.726;32.249;19.765
1074.819;64.04;32.268;19.772
1075.805;60.501;28.285;16.572
1076.787;58.507;26.72;15.354
1077.795;58.647;25.901;14.732
1078.795;58.43;25.828;14.675
1079.805;58.466;25.694;14.575
1080.793;58.78;25.685;14.57
1081.804;59.913;26.881;15.486
1082.797;65.125;31.382;19.066
1083.79;64.937;32.266;19.779
1084.78;64.051;32.283;19.784
1085.833;63.759;32.29;19.786
1086.847;63.301;32.3;19.791
1087.84;63.185;32.306;19.793
1096.531;66.37;37.606;24.23
1097.528;61.432;32.128;19.628
1098.523;61.805;32.133;19.636
1099.532;61.708;32.147;19.647
1100.531;58.519;28.896;17.031
1101.638;60;26.505;15.198
1102.643;63.907;31.132;18.853
1103.633;64.633;33.029;20.399
1104.629;64.144;33.047;20.407
1105.629;60.313;29.031;17.152
1106.637;62.139;26.639;15.31
1107.622;58.674;25.051;14.091
1108.624;57.222;25.1;14.123
1109.631;57.807;25.057;14.094
1110.655;58.307;25.04;14.084
1111.675;59.685;25.878;14.72
1112.675;63.668;30.338;18.215
1113.673;63.911;31.611;19.239
1114.672;63.593;31.622;19.244
1115.669;58.426;27.901;16.258
1116.694;60.499;26.682;15.338
1117.694;57.065;25.095;14.119
1118.702;57.811;25.142;14.157
1119.706;58.393;25.132;14.151
1120.694;58.652;25.131;14.151
1121.702;59.76;25.81;14.67
1122.705;64.07;30.392;18.262
1123.712;64.438;31.694;19.311
1124.695;63.619;31.712;19.317
1125.669;58.3;26.872;15.467
1126.656;59.772;26.667;15.321
1127.653;57.917;25.044;14.084
1128.653;58.973;25.175;14.187
1129.656;58.607;25.187;14.193
1130.642;58.517;25.189;14.195
1131.658;58.739;25.21;14.212
1132.647;63.633;29.936;17.897
1133.642;64.294;31.792;19.39
1134.642;63.663;31.808;19.395
1135.637;63.546;31.715;19.319
1136.631;56.777;23.586;12.999
1137.654;58.343;25.237;14.228
1138.66;58.428;25.276;14.259
1139.644;58.495;25.254;14.244
1140.644;58.652;25.261;14.248
1141.651;59.214;25.848;14.695
1142.644;64.016;30.485;18.339
1143.644;64.209;31.836;19.424
1144.656;63.713;31.85;19.429
1145.753;58.751;27.836;16.211
1146.755;58.697;25.449;14.39
1147.773;57.839;25.367;14.325
1148.753;58.258;25.288;14.268
1149.764;58.586;25.28;14.262
1150.76;58.569;25.283;14.264
1151.754;60.082;26.196;14.962
1152.765;64.445;30.835;18.621
1153.762;64.294;31.827;19.417
1154.765;63.658;31.843;19.423
1155.769;56.657;25.407;14.347
1156.776;58.288;25.712;14.585
1157.768;57.915;25.408;14.355
1158.757;58.742;25.318;14.294
1159.762;58.468;25.307;14.282
1160.74;58.805;25.323;14.296
1161.741;59.997;26.48;15.179
1162.732;64.616;30.933;18.701
1163.732;64.239;31.862;19.448
1164.739;63.681;31.882;19.455
1165.735;60.576;27.897;16.268
1166.734;58.246;25.42;14.367
1167.731;58.679;25.408;14.36
1168.723;58.552;25.398;14.351
1169.734;58.574;25.39;14.345
1170.746;58.671;25.39;14.346
1171.753;60.141;26.529;15.217
1172.75;64.587;31.111;18.844
1173.757;64.211;31.945;19.512
1174.756;63.678;31.956;19.516
1178.661;59.8;28.01;16.352
1179.658;59.722;25.647;14.544
1180.662;58.631;25.45;14.39
1181.655;59.065;25.675;14.563
1182.649;63.81;30.226;18.128
1183.652;64.416;31.977;19.541
1184.656;63.75;31.997;19.549
1185.657;59.268;27.928;16.286
1186.666;59.496;26.997;15.577
1187.664;56.936;25.085;14.11
1188.656;57.855;25.443;14.382
1189.642;58.492;25.399;14.352
1190.647;58.553;25.398;14.351
1191.668;59.596;26.063;14.86
1192.674;64.365;30.722;18.53
1193.683;64.209;31.924;19.495
1194.663;63.674;31.935;19.499
1195.802;58.542;27.788;16.174
1196.788;58.952;25.742;14.613
1197.785;58.268;25.445;14.386
1198.778;58.315;25.404;14.355
1199.76;58.381;25.4;14.352
1200.743;58.515;25.401;14.353
1201.752;59.983;26.484;15.181
1202.749;64.509;30.986;18.743
1203.744;64.386;31.934;19.506
1204.742;63.716;31.955;19.515
1205.845;59.731;27.935;16.294
1206.834;58.013;25.524;14.444
1207.875;58.714;25.486;14.418
1208.872;58.471;25.45;14.39
1209.858;58.398;25.434;14.378
1210.901;58.517;25.435;14.379
1211.885;61.104;27.227;15.759
1212.88;65.12;31.695;19.321
1213.875;64.173;31.989;19.548
1214.881;63.663;31.999;19.549
1215.965;59.843;28.105;16.429
1216.958;57.86;25.569;14.476
1217.962;58.041;25.58;14.486
1218.968;58.021;25.524;14.445
1219.981;58.436;25.471;14.406
1220.986;58.565;25.462;14.399
1221.98;61.342;27.435;15.92
1222.975;65.378;32.006;19.576
1223.975;64.224;32.047;19.596
1224.961;63.637;32.065;19.603
1226.056;55.996;23.782;13.139
1227.055;58.24;25.746;14.61
1228.08;58.931;25.578;14.488
1229.094;58.399;25.522;14.442
1230.088;58.592;25.494;14.423
1231.074;58.647;25.492;14.422
1232.069;61.539;28.011;16.369
1233.06;65.072;32.001;19.568
1234.058;64.202;32.026;19.577
1235.063;63.631;32.039;19.581
1236.055;56.124;23.598;13.006
1237.056;59.868;26.236;14.99
1238.055;58.313;25.564;14.475
1239.032;59.916;25.523;14.452
1240.027;58.049;25.515;14.437
1241.019;58.586;25.502;14.429
1242.032;61.519;27.846;16.241
1243.047;64.552;32.008;19.567
1244.047;64.252;32.019;19.572
1245.037;63.632;32.03;19.573
1246.032;56.433;23.691;13.074
1247.036;57.966;25.903;14.727
1248.024;57.096;25.474;14.403
1249.024;58.585;25.482;14.415
1250.022;58.505;25.483;14.415
1251;58.586;25.487;14.418
1252.003;61.327;27.61;16.056
1252.991;65.162;32.002;19.57
1253.981;64.182;32.019;19.572
1254.97;63.757;32.032;19.577
1255.973;56.004;25.206;14.195
1257.052;60.013;27.056;15.62
1258.041;58.392;25.595;14.5
1259.03;58.103;25.502;14.428
1260.036;58.584;25.486;14.417
1261.076;58.624;25.48;14.413
1262.074;61.915;28.052;16.402
1263.057;65.866;32.048;19.615
1264.049;64.226;32.083;19.623
1265.054;63.727;32.097;19.63
1266.049;57.146;25.657;14.536
1269.238;57.684;24.623;13.769
1270.247;60.274;25.925;14.758
1271.266;56.191;25.57;14.473
1272.386;58.336;25.552;14.468
1273.508;58.54;25.548;14.466
1274.655;58.673;25.556;14.471
1275.796;62.029;28.196;16.515
1276.802;64.027;31.152;18.872
1277.798;63.396;31.181;18.887
1278.789;63.084;31.198;18.897
1279.788;62.678;31.214;18.906
1280.768;54.475;24.097;13.365
1281.756;60.937;27.556;16.012
1282.741;65.299;31.999;19.569
1283.735;64.937;33.121;20.48
1284.738;64.433;33.135;20.484
1285.803;59.136;27.932;16.289
1286.804;58.024;25.725;14.596
1287.804;58.204;25.375;14.331
1288.794;58.371;25.406;14.357
1289.783;58.316;25.409;14.359
1290.77;57.901;25.43;14.371
1291.759;59.656;26.391;15.111
1292.768;64.478;30.987;18.744
1293.78;64.4;31.934;19.507
1294.796;63.704;31.949;19.511
1295.926;59.381;28.093;16.416
1296.957;59.076;26.02;14.824
1297.945;58.259;25.538;14.456
1298.959;58.476;25.475;14.409
1299.959;58.362;25.449;14.389
1300.962;58.464;25.45;14.39
1301.944;60.893;27.355;15.856
1302.93;65.342;31.744;19.362
1303.923;64.442;31.976;19.54
1304.935;63.75;31.995;19.546
1305.942;56.196;23.847;13.188
1306.954;59.842;25.687;14.575
1307.948;57.929;25.47;14.402
1308.944;58.405;25.462;14.398
1309.948;58.435;25.468;14.403
1310.94;58.309;25.477;14.41
1311.926;61.09;27.244;15.771
1312.916;65.165;31.728;19.349
1313.91;64.372;32.041;19.593
1314.897;63.847;32.055;19.597
1315.903;60.093;28.085;16.411
1316.905;55.211;25.628;14.512
1317.9;58.321;25.54;14.46
1318.915;58.222;25.498;14.425
1319.912;58.591;25.491;14.421
1320.904;58.51;25.492;14.421
1321.914;60.705;26.966;15.556
1322.898;65.279;31.491;19.157
1323.907;64.467;32.059;19.608
1324.897;63.805;32.079;19.616
1325.897;56.801;25.738;14.596
1326.97;61.335;27.007;15.589
1327.961;58.432;25.602;14.506
1328.957;58.242;25.543;14.459
1329.956;58.485;25.496;14.424
1330.965;58.284;25.502;14.428
1331.962;61.059;27.373;15.87
1332.953;65.174;31.807;19.413
1333.948;64.25;32.011;19.569
1334.957;63.847;32.026;19.573
1335.957;55.791;24.606;13.747
1336.971;57.98;25.926;14.746
1337.973;58.612;25.593;14.499
1338.99;58.51;25.52;14.443
1340.026;58.445;25.48;14.413
1341.015;58.114;25.491;14.421
1342.024;61.478;27.638;16.078
1343.021;65.126;32.015;19.58
1344.005;64.373;32.03;19.582
1345.002;63.813;32.042;19.586
1346.111;56.3;23.812;13.163
1347.126;58.506;25.952;14.769
1348.111;57.367;25.537;14.451
1349.138;58.493;25.518;14.441
1350.137;58.527;25.516;14.44
1351.131;58.529;25.52;14.443
1352.125;61.785;28.134;16.466
1353.115;65.539;32.035;19.599
1354.12;64.375;32.055;19.603
1355.126;63.75;32.071;19.609
1356.142;56.263;25.285;14.255
1357.132;57.273;25.757;14.616
1358.13;57.966;25.578;14.485
1359.148;58.391;25.514;14.439
1360.153;58.532;25.516;14.44
1361.17;58.698;25.525;14.449
1362.172;62.08;28.213;16.529
1363.178;64.997;32.099;19.646
1364.177;64.325;32.114;19.65
1365.165;63.798;32.127;19.654
1368.598;59.821;28.184;16.487
1369.577;60.326;25.783;14.648
1370.566;58.295;25.621;14.517
1371.614;58.565;25.579;14.49
1372.602;63.952;30.201;18.109
1373.583;64.58;32.063;19.613
1374.566;64.02;32.081;19.62
1375.57;63.558;32.087;19.618
1376.552;58.653;27.169;15.705
1377.529;58.832;25.661;14.551
1378.547;57.944;25.537;14.453
1379.54;58.439;25.488;14.418
1380.527;58.426;25.482;14.413
1381.535;57.574;25.509;14.43
1382.543;63.356;29.299;17.389
1383.541;64.645;32.02;19.58
1384.523;64.215;32.036;19.585
1385.52;63.379;31.339;19.016
1386.516;61.902;27.145;15.699
1387.5;58.875;25.663;14.551
1388.494;58.473;25.55;14.466
1389.489;58.343;25.5;14.429
1390.488;58.654;25.501;14.429
1391.611;58.778;25.53;14.453
1392.599;64.152;30.145;18.066
1393.615;64.712;32.03;19.588
1394.605;64.15;32.044;19.591
1395.592;59.666;28.3;16.576
1396.588;59.163;25.705;14.586
1397.599;57.293;25.626;14.519
1398.597;58.72;25.539;14.458
1399.59;58.247;25.534;14.454
1400.593;58.389;25.533;14.454
1401.577;58.447;25.54;14.458
1402.58;58.389;25.549;14.466
1403.641;58.281;25.56;14.474
1404.635;58.557;25.579;14.489
1405.652;58.693;25.592;14.499
1406.66;59.048;25.626;14.524
1407.676;58.886;25.656;14.546
1408.678;58.819;25.674;14.56
1409.681;58.87;25.68;14.565
1410.663;58.825;25.699;14.58
1411.655;58.742;25.709;14.587
1412.672;58.823;25.715;14.592
1413.672;58.905;25.744;14.614
1414.673;59.099;25.755;14.622
1415.685;58.654;25.778;14.638
1416.674;59.003;25.785;14.645
1417.654;59.055;25.791;14.649
1418.647;58.791;25.82;14.671
1419.628;58.915;25.825;14.677
1420.638;58.874;25.831;14.681
1421.652;59.149;25.848;14.695
1422.652;58.957;25.869;14.71
1423.632;59.023;25.876;14.715
1424.67;58.954;25.882;14.72
1425.689;59.005;25.889;14.725
1426.677;58.558;25.913;14.742
1427.667;58.905;25.935;14.759
1428.667;58.898;25.943;14.766
1429.67;59.005;25.945;14.768
1430.675;59.038;25.95;14.771
1431.71;58.988;25.952;14.773
1432.707;58.98;25.958;14.778
1433.692;58.97;25.959;14.778
1434.695;59.03;25.971;14.788
1435.687;59.152;25.992;14.802
1436.694;59.031;25.995;14.805
1437.681;58.994;25.998;14.808
1438.675;59.032;26.003;14.811
1439.685;59.052;26.007;14.814
1440.682;59.118;26.009;14.817
1441.685;59.173;26.037;14.837
1442.707;59.162;26.048;14.846
1443.712;59.03;26.055;14.851
1444.704;59.06;26.059;14.854
1445.708;59.145;26.065;14.857
1446.706;59.03;26.066;14.86
1447.708;59.127;26.073;14.864
1448.701;59.029;26.07;14.863
1449.715;59.083;26.074;14.866
1450.697;59.057;26.076;14.868
1451.698;58.995;26.076;14.867
1452.712;59.055;26.079;14.869
1453.693;59.186;26.082;14.871
1454.817;59.191;26.08;14.87
1455.801;59.117;26.104;14.889
1456.806;59.118;26.111;14.894
1457.808;59.106;26.114;14.896
1458.805;59.19;26.116;14.898
1459.805;59.17;26.119;14.9
1460.788;59.197;26.123;14.903
1461.781;59.198;26.126;14.905
1462.785;59.192;26.128;14.907
1463.79;59.184;26.129;14.907
1464.791;59.151;26.132;14.91
1465.787;59.206;26.132;14.91
1466.79;59.197;26.136;14.913
1467.786;59.192;26.136;14.913
1468.789;59.154;26.14;14.916
1469.77;59.251;26.143;14.918
1470.757;59.221;26.143;14.918
1471.796;59.265;26.166;14.935
1472.797;59.375;26.172;14.94
1473.797;59.467;26.176;14.943
1474.837;59.262;26.179;14.945
1475.836;59.281;26.181;14.947
1476.834;59.338;26.183;14.948
1477.821;59.304;26.186;14.951
1478.819;59.436;26.186;14.951
1479.835;59.153;26.193;14.956
1480.885;59.216;26.194;14.957
1481.918;59.178;26.198;14.96
1482.919;59.12;26.199;14.961
1483.938;59.235;26.199;14.961
1484.925;59.25;26.201;14.962
1485.925;59.282;26.208;14.968
1486.921;59.461;26.213;14.972
1487.913;59.31;26.202;14.964
1488.908;59.252;26.198;14.959
1489.908;59.202;26.191;14.954
1490.909;59.277;26.179;14.945
1491.921;59.309;26.214;14.972
1492.939;59.407;26.211;14.971
1493.951;59.265;26.215;14.972
1494.95;59.321;26.216;14.974
1495.952;59.207;26.219;14.976
1496.94;59.271;26.218;14.975
1497.92;59.249;26.221;14.977
1498.913;59.302;26.221;14.977
1499.909;59.31;26.223;14.98
1500.893;59.234;26.226;14.981
1501.89;59.232;26.226;14.981
1502.883;59.327;26.229;14.983
1503.898;59.313;26.229;14.984
1504.883;59.332;26.23;14.984
1505.88;59.225;26.233;14.987
1506.883;59.251;26.234;14.987
1507.927;59.286;26.235;14.988
1508.928;59.211;26.235;14.988
1509.933;59.325;26.235;14.988
1510.94;59.326;26.237;14.989
1511.958;59.349;26.236;14.989
1512.986;59.359;26.237;14.99
1513.991;59.324;26.24;14.991
1515.043;59.339;26.242;14.993
1516.051;59.36;26.242;14.993
1517.057;59.334;26.244;14.995
1518.038;59.41;26.245;14.996
1519.049;59.328;26.247;14.997
1520.064;59.418;26.24;14.992
1521.047;59.354;26.241;14.993
1522.059;59.316;26.244;14.995
1523.057;59.307;26.244;14.994
1524.058;59.364;26.245;14.995
1525.047;59.35;26.247;14.997
1526.08;59.316;26.247;14.997
1527.067;59.353;26.247;14.997
1528.078;59.361;26.249;14.998
1529.094;59.261;26.244;14.994
1530.086;59.432;26.244;14.995
1531.094;59.31;26.244;14.995
1532.092;59.354;26.245;14.996
1533.122;59.391;26.247;14.997
1534.141;59.357;26.247;14.997
1535.135;59.371;26.247;14.998
1536.186;59.362;26.247;14.998
1537.192;59.312;26.249;14.999
1538.197;59.359;26.25;14.999
1539.189;59.465;26.245;14.996
1540.206;59.344;26.245;14.996
1541.236;59.296;26.247;14.997
1542.247;59.29;26.249;14.998
1543.229;59.397;26.248;14.998
1544.234;59.387;26.249;14.999
1545.224;59.347;26.245;14.995
1546.232;59.445;26.246;14.997
1547.216;59.336;26.246;14.996
1548.225;59.42;26.248;14.998
1549.237;59.373;26.247;14.997
1550.237;59.356;26.246;14.996
1551.245;59.356;26.248;14.997
1552.238;59.369;26.249;14.998
1553.237;59.461;26.25;15
1554.237;59.347;26.252;15.001
1555.229;59.408;26.251;15.001
1556.233;59.268;26.247;14.996
1557.233;59.302;26.245;14.996
1558.243;59.324;26.247;14.997
1559.231;59.34;26.249;14.998
1560.227;59.409;26.249;14.999
1561.221;59.322;26.252;15.001
1562.21;59.31;26.253;15.002
1563.208;59.382;26.244;14.995
1564.196;59.337;26.245;14.995
1565.18;59.362;26.245;14.996
1566.177;59.329;26.246;14.996
1567.173;59.346;26.246;14.997
1568.168;59.36;26.247;14.997
1569.171;59.341;26.249;14.998
1570.18;59.376;26.251;15
1571.167;59.39;26.251;15
1572.227;59.328;26.243;14.994
1573.221;59.349;26.244;14.995
1574.216;59.364;26.246;14.996
1575.217;59.327;26.245;14.996
1576.223;59.383;26.246;14.996
1577.222;59.36;26.247;14.998
1578.238;59.417;26.249;14.999
1579.221;59.4;26.251;15
1580.222;59.335;26.251;15
1581.276;59.412;26.252;15.001
1582.286;59.454;26.252;15.002
1583.282;59.404;26.254;15.003
1584.287;59.382;26.252;15.001
1585.408;59.437;26.254;15.003
1586.429;59.369;26.247;14.997
1587.416;59.386;26.245;14.996
1588.413;59.334;26.249;14.998
1589.422;59.338;26.249;14.999
1590.416;59.372;26.249;14.999
1591.391;59.33;26.249;14.999
1592.403;59.406;26.251;15.001
1593.404;59.32;26.251;15
1594.414;59.353;26.254;15.002
1595.455;59.382;26.253;15.002
1596.464;59.308;26.244;14.995
1597.461;59.349;26.245;14.996
1598.482;59.367;26.245;14.995
1599.513;59.266;26.245;14.995
1600.511;59.375;26.246;14.996
1601.508;59.401;26.246;14.997
1602.524;59.338;26.247;14.997
1603.506;59.429;26.248;14.998
1604.491;59.358;26.245;14.996
1605.488;59.349;26.249;14.999
1606.472;59.442;26.25;15
1607.486;59.428;26.25;14.999
1608.468;59.422;26.252;15.001
1609.46;59.414;26.252;15.001
1610.465;59.288;26.253;15.001
1611.455;59.446;26.254;15.002
1612.451;59.323;26.256;15.004
1613.437;59.765;26.246;14.999
1614.45;59.354;26.246;14.997
1615.467;59.388;26.246;14.997
1616.456;59.418;26.245;14.996
1617.45;59.341;26.245;14.996
1618.452;59.337;26.245;14.995
1619.466;59.313;26.246;14.996
1620.48;59.275;26.248;14.998
1621.472;59.292;26.249;14.999
1622.483;59.373;26.247;14.997
1623.492;59.365;26.25;14.999
1624.512;59.382;26.25;14.999
1625.499;59.346;26.252;15.001
1626.486;59.355;26.254;15.002
1627.474;59.402;26.255;15.003
1628.476;59.356;26.245;14.996
1629.489;59.297;26.242;14.993
1630.48;59.333;26.24;14.992
1631.482;59.283;26.241;14.992
1632.483;59.416;26.238;14.99
1633.473;59.337;26.239;14.991
1634.48;59.325;26.24;14.991
1635.475;59.353;26.24;14.991
1636.476;59.349;26.245;14.995
1637.509;59.344;26.246;14.996
1638.558;59.4;26.248;14.998
1639.562;59.421;26.248;14.998
1640.556;59.435;26.248;14.999
1641.551;59.386;26.249;14.999
1642.545;59.394;26.25;14.999
1643.544;59.435;26.251;15.001
1644.536;59.44;26.253;15.002
1645.525;59.46;26.253;15.002
1646.525;59.367;26.256;15.004
1647.514;59.406;26.257;15.005
1648.532;59.395;26.259;15.006
1649.546;59.391;26.249;14.998
1650.549;59.335;26.25;14.999
1651.554;59.37;26.249;14.998
1652.536;59.391;26.246;14.996
1653.545;59.36;26.245;14.995
1654.571;59.414;26.244;14.995
1655.553;59.417;26.245;14.995
1656.563;59.344;26.244;14.995
1657.558;59.448;26.245;14.996
1658.543;59.403;26.247;14.997
1659.537;59.363;26.244;14.995
1660.542;59.4;26.244;14.995
1661.546;59.462;26.246;14.997
1662.546;59.324;26.247;14.997
1663.567;59.358;26.248;14.998
1664.565;59.433;26.251;15
1665.558;59.283;26.251;15
1666.553;59.353;26.252;15.001
1667.554;59.41;26.254;15.002
1668.566;59.359;26.256;15.003
1669.563;59.49;26.255;15.004
1670.555;59.495;26.256;15.004
1671.557;59.325;26.255;15.003
1672.548;59.315;26.254;15.003
1673.576;59.43;26.254;15.002
1674.561;59.298;26.257;15.004
1675.587;59.29;26.258;15.005
1676.604;59.326;26.259;15.006
1677.604;58.903;26.25;14.998
1678.606;59.361;26.247;14.997
1679.605;59.425;26.244;14.995
1680.595;59.397;26.242;14.994
1681.579;59.385;26.242;14.994
1682.589;59.405;26.242;14.994
1683.6;59.464;26.242;14.994
1684.584;59.381;26.244;14.995
1685.587;59.453;26.245;14.995
1686.574;59.445;26.244;14.995
1687.558;59.387;26.246;14.996
1688.552;59.413;26.246;14.996
1689.536;59.384;26.245;14.996
1690.544;59.382;26.248;14.998
1691.555;59.456;26.247;14.997
1692.558;59.428;26.25;14.999
1693.544;59.402;26.25;15
1694.582;59.356;26.252;15.001
1695.597;59.436;26.253;15.002
1696.614;59.326;26.254;15.002
