ID#	1
Name	AB(m1-42)_TIC
	Data Filename	Sample Type	Sample Name	Vial#	Ret. Time	Area	Height	Conc.	Std. Conc.	Accuracy[%]	Cal. Point	Peak Start	Peak End	Quant. Limit(QL)	S/N	Tailing F.
6	250328 4d sol_5deg_50uM_1_001_02.lcd	Unknown	5deg_50uM_1	A7	4.485	55593	16919	1.388	-----	-----	-----	4.417	4.817	0.30	45.71	1.337
7	250328 4d sol_5deg_50uM_1_001_01.lcd	Unknown	5deg_50uM_1	A7	4.483	12728	3761	0.252	-----	-----	-----	4.400	4.717	0.09	28.16	1.329
8	250328 4d sol_5deg_25uM_3_001_09.lcd	Unknown	5deg_25uM_3	H7	4.474	23282	6617	0.532	-----	-----	-----	4.367	4.650	0.47	11.35	1.479
9	250328 4d sol_5deg_25uM_2_001_06.lcd	Unknown	5deg_25uM_2	E7	4.482	17935	5367	0.390	-----	-----	-----	4.417	4.733	0.74	5.24	1.369
10	250328 4d sol_5deg_25uM_1_001_03.lcd	Unknown	5deg_25uM_1	B7	4.475	18901	5036	0.416	-----	-----	-----	4.183	4.650	0.48	8.66	1.458
11	250328 4d sol_5deg_12uM_3_001_10.lcd	Unknown	5deg_12uM_3	A8	4.483	72305	21830	1.830	-----	-----	-----	4.417	4.783	0.49	37.38	1.310
12	250328 4d sol_5deg_12uM_2_001_07.lcd	Unknown	5deg_12uM_2	F7	4.475	84474	23405	2.152	-----	-----	-----	4.350	4.817	0.36	60.02	1.525
13	250328 4d sol_5deg_12uM_1_001_04.lcd	Unknown	5deg_12uM_1	C7	4.485	79553	23767	2.022	-----	-----	-----	4.400	4.783	0.56	36.08	1.320
14	240428-std curve_9pmol ABm1-42_001_12.lcd	Standard(Calc.Point)	9pmol ABm1-42	C2	4.420	358256	102631	9.403	9	104.5	*	4.350	4.767	0.67	139.42	1.468
15	240428-std curve_9pmol ABm1-42_001_11.lcd	Standard(Calc.Point)	9pmol ABm1-42	C2	4.424	365754	100119	9.601	9	106.7	*	4.367	4.783	0.63	151.83	1.581
16	240428-std curve_3pmol ABm1-42_001_10.lcd	Standard(Calc.Point)	3pmol ABm1-42	C2	4.420	119212	34878	3.072	3	102.4	*	4.350	4.717	0.40	77.08	1.455
17	240428-std curve_3pmol ABm1-42_001_09.lcd	Standard(Calc.Point)	3pmol ABm1-42	C2	4.419	117134	34470	3.017	3	100.6	*	4.333	4.717	0.41	73.66	1.410
18	240428-std curve_27pmol ABm1-42_001_14.lcd	Standard(Calc.Point)	27pmol ABm1-42	C2	4.418	1003271	299506	26.485	27	98.1	*	4.317	4.833	0.62	427.58	1.398
19	240428-std curve_27pmol ABm1-42_001_13.lcd	Standard(Calc.Point)	27pmol ABm1-42	C2	4.417	986063	277910	26.029	27	96.4	*	4.317	4.833	0.73	356.68	1.488
20	240428-std curve_1pmol ABm1-42_001_08.lcd	Standard(Calc.Point)	1pmol ABm1-42	B2	4.427	46839	13408	1.156	1	115.6	*	4.350	4.683	0.68	16.94	1.461
21	240428-std curve_1pmol ABm1-42_001_07.lcd	Standard(Calc.Point)	1pmol ABm1-42	B2	4.421	49674	14924	1.231	1	123.1	*	4.367	4.717	0.76	16.25	1.354
22	240428-std curve_0.33pmol ABm1-42_001_06.lcd	Standard(Calc.Point)	0.33pmol ABm1-42	B2	4.428	17005	5093	0.366	0.33	110.8	*	4.367	4.567	0.53	6.88	1.434
23	240428-std curve_0.33pmol ABm1-42_001_05.lcd	Standard(Calc.Point)	0.33pmol ABm1-42	B2	4.424	17586	5045	0.381	0.33	115.5	*	4.350	4.567	0.55	6.90	1.463
24	240428-std curve_0.11pmol ABm1-42_001_04.lcd	Standard(Calc.Point)	0.11pmol ABm1-42	B2	4.412	6043	1674	0.075	0.11	68.6	*	4.350	4.517	0.28	2.69	--
25	240428-std curve_0.11pmol ABm1-42_001_03.lcd	Standard(Calc.Point)	0.11pmol ABm1-42	B2	4.414	5598	1791	0.064	0.11	57.8	*	4.350	4.500	0.20	3.12	1.286
	Average				4.448	161613	46686	4.195		100.0		4.352	4.712	0.48	73.72	1.412
	%RSD				0.696641	177.620116	178.018923	181.206588		19.039454		1.326301	2.404307	40.230532	152.394414	5.529380
	Maximum				4.485	1003271	299506	26.485		123.1		4.417	4.933	0.76	427.58	1.581
	Minimum				4.412	5598	1674	0.064		57.8		4.183	4.500	0.09	2.69	1.286
	Std. Dev.				0.030984	287057.875161	83109.459146	7.602111		19.039454		0.057714	0.113294	0.191753	112.344968	0.078088

ID#	3
Name	AB(m1-42)_1162
	Data Filename	Sample Type	Sample Name	Vial#	Ret. Time	Area	Height	Conc.	Std. Conc.	Accuracy[%]	Cal. Point	Peak Start	Peak End	Quant. Limit(QL)	S/N	Tailing F.
1	250328 4d sol_none_001_01.lcd	Control	none	-1	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
2	250328 4d sol_clean_001_12.lcd	Control	clean	-1	4.284	341	69	-0.023	-----	-----	-----	4.233	4.367	-0.17	1.33	--
3	250328 4d sol_5deg_B_001_11.lcd	Unknown	5deg_B	B8	4.469	543	36	-0.005	-----	-----	-----	4.083	4.633	-2.00	0.03	0.718
4	250328 4d sol_5deg_50uM_3_001_08.lcd	Unknown	5deg_50uM_3	G7	4.366	419	94	-0.016	-----	-----	-----	4.067	4.417	-1.46	0.11	--
5	250328 4d sol_5deg_50uM_2_001_05.lcd	Unknown	5deg_50uM_2	D7	4.476	2968	822	0.206	-----	-----	-----	4.400	4.617	2.76	0.75	1.779
6	250328 4d sol_5deg_50uM_1_001_02.lcd	Unknown	5deg_50uM_1	A7	4.480	16617	5039	1.398	-----	-----	-----	4.400	4.650	3.21	4.35	1.351
7	250328 4d sol_5deg_50uM_1_001_01.lcd	Unknown	5deg_50uM_1	A7	4.481	4279	1314	0.321	-----	-----	-----	4.433	4.633	0.76	4.23	1.259
8	250328 4d sol_5deg_25uM_3_001_09.lcd	Unknown	5deg_25uM_3	H7	4.470	6337	1827	0.501	-----	-----	-----	4.367	4.700	3.50	1.43	1.403
9	250328 4d sol_5deg_25uM_2_001_06.lcd	Unknown	5deg_25uM_2	E7	4.479	3848	1160	0.283	-----	-----	-----	4.417	4.567	4.45	0.64	1.281
10	250328 4d sol_5deg_25uM_1_001_03.lcd	Unknown	5deg_25uM_1	B7	4.469	4534	1454	0.343	-----	-----	-----	4.400	4.617	3.11	1.10	1.344
11	250328 4d sol_5deg_12uM_3_001_10.lcd	Unknown	5deg_12uM_3	A8	4.479	19275	5400	1.630	-----	-----	-----	4.417	4.717	4.37	3.73	1.563
12	250328 4d sol_5deg_12uM_2_001_07.lcd	Unknown	5deg_12uM_2	F7	4.471	23170	6810	1.971	-----	-----	-----	4.400	4.817	2.88	6.85	1.297
13	250328 4d sol_5deg_12uM_1_001_04.lcd	Unknown	5deg_12uM_1	C7	4.480	20969	6061	1.778	-----	-----	-----	4.367	4.700	5.46	3.26	1.429
14	240428-std curve_9pmol ABm1-42_001_12.lcd	Standard(Calc.Point)	9pmol ABm1-42	C2	4.417	106331	31682	9.234	9	102.6	*	4.333	4.683	3.75	24.61	1.353
15	240428-std curve_9pmol ABm1-42_001_11.lcd	Standard(Calc.Point)	9pmol ABm1-42	C2	4.422	115664	32490	10.049	9	111.7	*	4.350	4.683	4.34	23.14	1.335
16	240428-std curve_3pmol ABm1-42_001_10.lcd	Standard(Calc.Point)	3pmol ABm1-42	C2	4.415	35101	9790	3.013	3	100.4	*	4.350	4.900	3.23	9.32	1.501
17	240428-std curve_3pmol ABm1-42_001_09.lcd	Standard(Calc.Point)	3pmol ABm1-42	C2	4.415	35711	10255	3.066	3	102.2	*	4.350	6.383	2.72	11.27	1.601
18	240428-std curve_27pmol ABm1-42_001_14.lcd	Standard(Calc.Point)	27pmol ABm1-42	C2	4.413	280518	78907	24.446	27	90.5	*	4.283	4.733	4.91	49.79	1.491
