"Molec.Weight","S_Apparent","S_20_W","D_Apparent","D_20_W","f/f0","Vbar20","Concentration","Conc.Percent"
"4.4210e+06","5.0457e-12","5.0872e-12","9.9203e-08","9.9252e-08","2.0000e+00","7.1870e-01","1.9286e-05"," 0.00 %"
"4.4534e+06","5.0703e-12","5.1120e-12","9.8962e-08","9.9011e-08","2.0000e+00","7.1870e-01","2.2188e-06"," 0.00 %"
"1.9377e+06","5.0949e-12","5.1368e-12","2.2855e-07","2.2866e-07","1.1429e+00","7.1870e-01","1.1011e-05"," 0.00 %"
"4.4858e+06","5.0949e-12","5.1368e-12","9.8723e-08","9.8772e-08","2.0000e+00","7.1870e-01","2.6213e-05"," 0.01 %"
"4.5184e+06","5.1195e-12","5.1616e-12","9.8485e-08","9.8534e-08","2.0000e+00","7.1870e-01","7.6239e-05"," 0.01 %"
"4.5510e+06","5.1441e-12","5.1865e-12","9.8250e-08","9.8298e-08","2.0000e+00","7.1870e-01","1.0907e-04"," 0.02 %"
"4.5837e+06","5.1688e-12","5.2113e-12","9.8015e-08","9.8064e-08","2.0000e+00","7.1870e-01","5.4853e-05"," 0.01 %"
"4.6164e+06","5.1934e-12","5.2361e-12","9.7783e-08","9.7831e-08","2.0000e+00","7.1870e-01","1.0903e-05"," 0.00 %"
"4.6493e+06","5.2180e-12","5.2609e-12","9.7552e-08","9.7600e-08","2.0000e+00","7.1870e-01","1.2689e-05"," 0.00 %"
"4.7152e+06","5.2672e-12","5.3105e-12","9.7095e-08","9.7143e-08","2.0000e+00","7.1870e-01","8.7883e-06"," 0.00 %"
"1.6788e+06","5.2918e-12","5.3353e-12","2.7399e-07","2.7412e-07","1.0000e+00","7.1870e-01","3.0479e-06"," 0.00 %"
"4.7483e+06","5.2918e-12","5.3353e-12","9.6869e-08","9.6917e-08","2.0000e+00","7.1870e-01","2.1621e-05"," 0.00 %"
"4.8147e+06","5.3410e-12","5.3850e-12","9.6422e-08","9.6469e-08","2.0000e+00","7.1870e-01","3.7151e-05"," 0.01 %"
"4.8480e+06","5.3656e-12","5.4098e-12","9.6200e-08","9.6248e-08","2.0000e+00","7.1870e-01","4.3626e-05"," 0.01 %"
"4.9149e+06","5.4149e-12","5.4594e-12","9.5762e-08","9.5809e-08","2.0000e+00","7.1870e-01","1.9569e-05"," 0.00 %"
"4.9484e+06","5.4395e-12","5.4842e-12","9.5545e-08","9.5592e-08","2.0000e+00","7.1870e-01","2.2676e-05"," 0.00 %"
"1.7614e+06","5.4641e-12","5.5090e-12","2.6963e-07","2.6977e-07","1.0000e+00","7.1870e-01","5.8158e-06"," 0.00 %"
"4.9821e+06","5.4641e-12","5.5090e-12","9.5330e-08","9.5377e-08","2.0000e+00","7.1870e-01","1.5879e-05"," 0.00 %"
"5.0158e+06","5.4887e-12","5.5338e-12","9.5116e-08","9.5163e-08","2.0000e+00","7.1870e-01","5.6519e-05"," 0.01 %"
