"Molec.Weight","S_Apparent","S_20_W","D_Apparent","D_20_W","f/f0","Vbar20","Concentration","Conc.Percent"
"3.4799e+05","9.4925e-13","9.5714e-13","2.3710e-07","2.3724e-07","1.9524e+00","7.1870e-01","4.9878e-06"," 0.00 %"
"3.6080e+05","9.4925e-13","9.5714e-13","2.2868e-07","2.2882e-07","2.0000e+00","7.1870e-01","1.8034e-05"," 0.00 %"
"3.6452e+05","9.6342e-13","9.7143e-13","2.2972e-07","2.2986e-07","1.9841e+00","7.1870e-01","6.6698e-06"," 0.00 %"
"3.6890e+05","9.6342e-13","9.7143e-13","2.2700e-07","2.2713e-07","2.0000e+00","7.1870e-01","5.4898e-05"," 0.01 %"
"3.5046e+05","9.7759e-13","9.8571e-13","2.4245e-07","2.4260e-07","1.9048e+00","7.1870e-01","2.4625e-05"," 0.00 %"
"3.5926e+05","9.7759e-13","9.8571e-13","2.3652e-07","2.3666e-07","1.9365e+00","7.1870e-01","7.2427e-06"," 0.00 %"
"3.6369e+05","9.7759e-13","9.8571e-13","2.3364e-07","2.3378e-07","1.9524e+00","7.1870e-01","1.4218e-05"," 0.00 %"
"3.7259e+05","9.7759e-13","9.8571e-13","2.2805e-07","2.2819e-07","1.9841e+00","7.1870e-01","1.5645e-05"," 0.00 %"
"3.7707e+05","9.7759e-13","9.8571e-13","2.2534e-07","2.2548e-07","2.0000e+00","7.1870e-01","5.1472e-05"," 0.01 %"
"2.0228e+05","9.9175e-13","1.0000e-12","4.2614e-07","4.2640e-07","1.3016e+00","7.1870e-01","1.4788e-05"," 0.00 %"
"3.5811e+05","9.9175e-13","1.0000e-12","2.4072e-07","2.4086e-07","1.9048e+00","7.1870e-01","1.5097e-05"," 0.00 %"
"3.8072e+05","9.9175e-13","1.0000e-12","2.2642e-07","2.2655e-07","1.9841e+00","7.1870e-01","5.5058e-05"," 0.01 %"
"3.8530e+05","9.9175e-13","1.0000e-12","2.2373e-07","2.2386e-07","2.0000e+00","7.1870e-01","2.5170e-04"," 0.03 %"
