"Molec.Weight","S_Apparent","S_20_W","D_Apparent","D_20_W","f/f0","Vbar20","Concentration","Conc.Percent"
"2.0083e+05","7.3405e-13","7.4020e-13","3.1769e-07","3.1790e-07","1.7500e+00","7.1870e-01","1.7627e-03"," 0.42 %"
"2.4537e+05","7.3405e-13","7.4020e-13","2.6002e-07","2.6020e-07","2.0000e+00","7.1870e-01","4.3548e-04"," 0.10 %"
"9.1116e+04","7.5846e-13","7.6482e-13","7.2352e-07","7.2401e-07","1.0000e+00","7.1870e-01","9.0403e-02","21.57 %"
"1.2734e+05","7.5846e-13","7.6482e-13","5.1771e-07","5.1806e-07","1.2500e+00","7.1870e-01","1.3072e-03"," 0.31 %"
"1.6739e+05","7.5846e-13","7.6482e-13","3.9383e-07","3.9410e-07","1.5000e+00","7.1870e-01","1.8122e-04"," 0.04 %"
"2.1094e+05","7.5846e-13","7.6482e-13","3.1253e-07","3.1274e-07","1.7500e+00","7.1870e-01","5.9791e-04"," 0.14 %"
"2.5772e+05","7.5846e-13","7.6482e-13","2.5580e-07","2.5598e-07","2.0000e+00","7.1870e-01","3.5910e-04"," 0.09 %"
"1.3354e+05","7.8288e-13","7.8945e-13","5.0957e-07","5.0992e-07","1.2500e+00","7.1870e-01","1.8631e-03"," 0.44 %"
"1.7554e+05","7.8288e-13","7.8945e-13","3.8764e-07","3.8791e-07","1.5000e+00","7.1870e-01","1.4586e-03"," 0.35 %"
"2.3163e+05","8.0730e-13","8.1407e-13","3.0293e-07","3.0314e-07","1.7500e+00","7.1870e-01","5.9428e-05"," 0.01 %"
"2.8300e+05","8.0730e-13","8.1407e-13","2.4795e-07","2.4811e-07","2.0000e+00","7.1870e-01","1.8221e-05"," 0.00 %"
"2.1816e+05","9.0497e-13","9.1256e-13","3.6055e-07","3.6079e-07","1.5000e+00","7.1870e-01","1.1129e-04"," 0.03 %"
"2.7492e+05","9.0497e-13","9.1256e-13","2.8612e-07","2.8631e-07","1.7500e+00","7.1870e-01","4.2431e-05"," 0.01 %"
"2.2705e+05","9.2939e-13","9.3719e-13","3.5578e-07","3.5602e-07","1.5000e+00","7.1870e-01","1.0691e-04"," 0.03 %"
"2.8612e+05","9.2939e-13","9.3719e-13","2.8233e-07","2.8252e-07","1.7500e+00","7.1870e-01","1.6976e-05"," 0.00 %"
"3.4957e+05","9.2939e-13","9.3719e-13","2.3109e-07","2.3124e-07","2.0000e+00","7.1870e-01","9.6257e-06"," 0.00 %"
"2.3606e+05","9.5381e-13","9.6181e-13","3.5120e-07","3.5143e-07","1.5000e+00","7.1870e-01","1.7027e-05"," 0.00 %"
"3.6344e+05","9.5381e-13","9.6181e-13","2.2811e-07","2.2826e-07","2.0000e+00","7.1870e-01","1.4064e-05"," 0.00 %"
"3.7748e+05","9.7823e-13","9.8643e-13","2.2524e-07","2.2540e-07","2.0000e+00","7.1870e-01","4.3818e-05"," 0.01 %"
"2.5442e+05","1.0027e-12","1.0111e-12","3.4254e-07","3.4277e-07","1.5000e+00","7.1870e-01","3.2946e-05"," 0.01 %"
"2.6377e+05","1.0271e-12","1.0357e-12","3.3844e-07","3.3867e-07","1.5000e+00","7.1870e-01","8.2790e-05"," 0.02 %"
"4.0610e+05","1.0271e-12","1.0357e-12","2.1982e-07","2.1997e-07","2.0000e+00","7.1870e-01","1.5205e-05"," 0.00 %"
"2.0786e+05","1.0515e-12","1.0603e-12","4.3970e-07","4.3999e-07","1.2500e+00","7.1870e-01","1.5039e-05"," 0.00 %"
"4.2067e+05","1.0515e-12","1.0603e-12","2.1726e-07","2.1740e-07","2.0000e+00","7.1870e-01","2.6953e-05"," 0.01 %"
"3.1218e+05","1.1492e-12","1.1588e-12","3.1996e-07","3.2017e-07","1.5000e+00","7.1870e-01","1.1495e-05"," 0.00 %"
"4.0599e+05","1.1736e-12","1.1834e-12","2.5125e-07","2.5142e-07","1.7500e+00","7.1870e-01","3.2388e-07"," 0.00 %"
"4.9603e+05","1.1736e-12","1.1834e-12","2.0564e-07","2.0578e-07","2.0000e+00","7.1870e-01","6.8101e-06"," 0.00 %"
"5.1159e+05","1.1980e-12","1.2080e-12","2.0354e-07","2.0368e-07","2.0000e+00","7.1870e-01","3.3848e-06"," 0.00 %"
"4.5771e+05","1.2713e-12","1.2819e-12","2.4140e-07","2.4157e-07","1.7500e+00","7.1870e-01","9.9866e-07"," 0.00 %"
"5.5922e+05","1.2713e-12","1.2819e-12","1.9759e-07","1.9772e-07","2.0000e+00","7.1870e-01","1.3493e-06"," 0.00 %"
"5.7541e+05","1.2957e-12","1.3065e-12","1.9572e-07","1.9585e-07","2.0000e+00","7.1870e-01","8.1908e-06"," 0.00 %"
"5.9175e+05","1.3201e-12","1.3312e-12","1.9390e-07","1.9403e-07","2.0000e+00","7.1870e-01","6.2854e-06"," 0.00 %"
"6.2489e+05","1.3689e-12","1.3804e-12","1.9041e-07","1.9054e-07","2.0000e+00","7.1870e-01","1.4536e-06"," 0.00 %"
"6.4169e+05","1.3933e-12","1.4050e-12","1.8873e-07","1.8886e-07","2.0000e+00","7.1870e-01","1.4340e-07"," 0.00 %"
"6.5863e+05","1.4178e-12","1.4297e-12","1.8710e-07","1.8723e-07","2.0000e+00","7.1870e-01","2.5926e-07"," 0.00 %"
"6.7572e+05","1.4422e-12","1.4543e-12","1.8551e-07","1.8563e-07","2.0000e+00","7.1870e-01","5.6064e-07"," 0.00 %"
"7.1033e+05","1.4910e-12","1.5035e-12","1.8244e-07","1.8257e-07","2.0000e+00","7.1870e-01","3.6855e-07"," 0.00 %"
