7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	[Not merged]	[Not merged]
240914_noSeedspH7p4_platereader2_file1to4: A01 X	240914_noSeedspH7p4_platereader2_file1to4: A01 Y	240914_noSeedspH7p4_platereader2_file1to4: A02 X	240914_noSeedspH7p4_platereader2_file1to4: A02 Y	240914_noSeedspH7p4_platereader2_file1to4: A03 X	240914_noSeedspH7p4_platereader2_file1to4: A03 Y	240914_noSeedspH7p4_platereader2_file1to4: A04 X	240914_noSeedspH7p4_platereader2_file1to4: A04 Y	240914_noSeedspH7p4_platereader2_file1to4: A05 X	240914_noSeedspH7p4_platereader2_file1to4: A05 Y	240914_noSeedspH7p4_platereader2_file1to4: B10 X	240914_noSeedspH7p4_platereader2_file1to4: B10 Y
11040.0	0.0006323615453261282	40320.0	0.0008715992066668606	40320.0	0.00014627314315386838	40320.0	-0.0002782448796893556	40320.0	0.0011309927735514364	157280.0	0.0003444134374227358
11200.0	-0.0004905234417015952	40480.0	0.0010494765957825432	40480.0	0.0007679340015578091	40480.0	-0.00039922091433689194	40480.0	0.000297629677250378	157440.0	-0.00022960895828181047
11360.0	0.00018911747149939528	40640.0	0.00016008965020413048	40640.0	-0.00018284142894233547	40640.0	0.001657371674671226	40640.0	-0.00021826176331694386	157600.0	0.001978169486735675
11520.0	0.0010460560142310788	40800.0	-0.00019566512802723462	40800.0	0.0014627314315386838	40800.0	0.00032663529354832614	40800.0	0.0008532050747844169	157760.0	-0.0005828535094846082
11680.0	-1.7729762953080066e-05	40960.0	0.000960537901224702	40960.0	-0.00014627314315386838	40960.0	8.468322425325343e-05	40960.0	-5.95259354500756e-05	157920.0	0.0007418135575258831
11840.0	-0.0002541266023273376	41120.0	-0.0002846038225850759	41120.0	-0.0006947974299808748	41120.0	-0.0006411729836319646	41120.0	-0.0007341532038842658	158080.0	-0.0005828535094846082
12000.0	-0.0004905234417015952	41280.0	0.0002490283447619717	41280.0	-0.00113361685944248	41280.0	-9.678082771805109e-05	41280.0	-0.0005357334190506804	158240.0	-0.00031792009608250986
12160.0	-0.0007269202810758527	41440.0	-0.0013963375045580918	41440.0	0.00021940971473080256	41440.0	-0.0012460531568696464	41440.0	-0.0005754173760173975	158400.0	-0.0006711646472853075
12320.0	-7.682897279664446e-05	41600.0	-0.0005514199062585997	41600.0	-0.0009142071447116774	41600.0	-0.00021775686236558743	41600.0	0.0003373136342170951	158560.0	-0.000759475785086007
12480.0	0.00018911747149939528	41760.0	-0.0008627053372110442	41760.0	0.00047538771525007224	41760.0	0.0008105394321384715	41760.0	-0.0004960494620839634	158720.0	7.948002402063751e-05
12640.0	-0.00028367620724911984	41920.0	-0.0010405827263267268	41920.0	0.0007679340015578091	41920.0	-0.00039922091433689194	41920.0	-0.0006944692469175487	158880.0	-0.0005828535094846082
12800.0	-0.0004018746269362486	42080.0	2.668160836736856e-05	42080.0	-0.00021940971473080256	42080.0	0.0015363956400236895	42080.0	-0.0006151013329841145	159040.0	-0.00018545338938146075
12960.0	-0.00013592818264020884	42240.0	-0.000151195780748314	42240.0	-0.0006582291441924078	42240.0	-3.629281039428291e-05	42240.0	0.00037699759118381215	159200.0	-8.831113780061911e-06
13120.0	-0.0007564698859976349	42400.0	-0.0021523164082997426	42400.0	-0.001097048573654013	42400.0	-0.0019719093647548643	42400.0	-0.0012500446444515876	159360.0	0.00038856900632308546
13280.0	-0.0004018746269362486	42560.0	-0.0010405827263267268	42560.0	-0.0013530265741732825	42560.0	0.0018993237439662986	42560.0	-0.0008532050747844169	159520.0	-0.00031792009608250986
13440.0	-0.0012588131696679322	42720.0	-0.0013963375045580918	42720.0	-0.0013164582883848155	42720.0	-0.0017299572954597917	42720.0	-9.920989241679266e-05	159680.0	0.0015807693666325276
13600.0	-0.001524759613963972	42880.0	-0.0022857244501365047	42880.0	-0.0013530265741732825	42880.0	-0.0006411729836319646	42880.0	0.0005357334190506804	159840.0	-0.0008477869228867064
13760.0	-0.0012588131696679322	43040.0	-0.002463601839252187	43040.0	-0.0016455728604810192	43040.0	-0.00039922091433689194	43040.0	-0.0012500446444515876	160027.0	0.0011833692465293803
13920.0	-0.0004018746269362486	43200.0	-0.000640358600816441	43200.0	-0.0005850925726154735	43200.0	-0.0013670291915171826	43200.0	-0.0023215114825529486	160187.0	0.0011833692465293803
14080.0	-0.0011997139598243678	43360.0	-0.002196785755578663	43360.0	-0.00025597800051926965	43360.0	-0.0015484932434884871	43360.0	-0.001408780472318456	160347.0	0.0004768801441237849
14240.0	-0.0002541266023273376	43520.0	-0.0012184601154424093	43520.0	-0.0008045022873462761	43520.0	-0.0004597089316606601	43520.0	-0.002043723783785929	160507.0	0.00025610229962203635
14400.0	-0.0015838588238075363	43680.0	-0.0012184601154424093	43680.0	-0.0020843922899426246	43680.0	-0.0023348374686974734	43680.0	-0.0009325729887178511	160667.0	0.0006976579886255335
14560.0	-0.001968003687790705	43840.0	-0.002107847061020822	43840.0	-0.00113361685944248	43840.0	-0.0006411729836319646	43840.0	-0.002678667095253402	160827.0	0.00025610229962203635
14720.0	-0.0005200730466233774	44000.0	-0.001752092282789457	44000.0	-0.0013164582883848155	44000.0	-0.0018509333301073281	44000.0	0.00037699759118381215	160987.0	0.0008742802642269323
14880.0	-0.0012883627745897143	44160.0	-0.002463601839252187	44160.0	-0.0006947974299808748	44160.0	-0.0005201969489844283	44160.0	-0.0010516248596180023	161147.0	-0.0008919424917870561
15040.0	-0.0006087218613887239	44320.0	-0.0010850520736056474	44320.0	-0.0013530265741732825	44320.0	-0.003000205659258923	44320.0	-0.0011309927735514364	161307.0	-0.00018545338938146075
15200.0	-0.001820255663181794	44480.0	-0.0019299696719051395	44480.0	-0.001097048573654013	44480.0	-0.002274349451373705	44480.0	-0.0018453039989523435	161467.0	0.0005210357130241346
15360.0	-0.00122926356474615	44640.0	-0.002107847061020822	44640.0	-0.002303802004673427	44640.0	-0.002153373416726169	44640.0	-0.002242143568619514	161627.0	0.0004327245752234352
15520.0	-0.0012883627745897143	44800.0	-0.0013073988100002504	44800.0	-0.0003291145720962039	44800.0	-0.003242157728553996	44800.0	-0.0016865681710854753	161787.0	0.0006535024197251838
15680.0	-0.0006973706761540706	44960.0	-0.002952764659320314	44960.0	-0.0007679340015578091	44960.0	-0.0019114213474310962	44960.0	-0.001369096515351739	161947.0	-0.0006270090783849579
15840.0	-0.001820255663181794	45120.0	-0.002196785755578663	45120.0	-0.0008410705731347432	45120.0	-0.0019114213474310962	45120.0	-0.0008532050747844169	162107.0	-0.0015984315941926514
16000.0	-0.0012883627745897143	45280.0	-0.0024191324919732664	45280.0	-0.0010239120020770786	45280.0	-0.0024558135033450096	45280.0	-0.0009722569456845682	162267.0	0.0005651912819244843
16160.0	-0.0014952100090421898	45440.0	-0.0017965616300683776	45440.0	-0.0012798900025963484	45440.0	-0.0031816697112302277	45440.0	-0.0033532943636875923	162427.0	-0.0005386979405842585
16320.0	-0.002293049341930309	45600.0	-0.0012629294627213299	45600.0	-0.0021209605757310916	45600.0	-0.0026977655726400825	45600.0	-0.0012103606874848706	162587.0	0.0008742802642269323
16480.0	-0.00217485092224318	45760.0	-0.0012629294627213299	45760.0	-0.0019746874325772233	45760.0	-0.003000205659258923	45760.0	-0.002043723783785929	162747.0	-0.00022960895828181047
16640.0	-0.0018498052681035762	45920.0	-0.0019744390191840603	45920.0	-0.002194097147308026	45920.0	-0.0031816697112302277	45920.0	-0.0016468842141187582	162907.0	0.00012363559292098721
16800.0	-0.001997553292712487	46080.0	-0.004197906383130092	46080.0	-0.0009142071447116774	46080.0	-0.00112507712222211	46080.0	-0.0007341532038842658	163067.0	0.0005651912819244843
16960.0	-0.0016725076385728829	46240.0	-0.0035308661739462824	46240.0	-0.00226723371888496	46240.0	-0.0002782448796893556	46240.0	-0.0013294125583850217	163227.0	0.00030025786852238607
17120.0	-0.0019089044779471405	46400.0	-0.0030417033538781553	46400.0	-0.0007679340015578091	46400.0	-0.003907525919115446	46400.0	-0.0017659360850189095	163387.0	-0.00014129782048111103
17280.0	-0.0009928667253718926	46560.0	-0.0017076229355105362	46560.0	-0.0017918460036348877	46560.0	-0.0013065411741934145	46560.0	-0.002004039826819212	163547.0	-0.0006711646472853075
17440.0	-0.0015838588238075363	46720.0	-0.002463601839252187	46720.0	-0.002230665433096493	46720.0	-0.0012460531568696464	46720.0	-0.0011706767305181534	163707.0	-0.00018545338938146075
17600.0	-0.0015838588238075363	46880.0	-0.003130642048435997	46880.0	-0.002962031148865835	46880.0	-0.0031816697112302277	46880.0	-0.001408780472318456	163867.0	-0.0004062312338832093
17760.0	-0.0026476446009916954	47040.0	-0.002374663144694346	47040.0	-0.002340370290461894	47040.0	-0.0034236217805253006	47040.0	-0.0017262521280521925	164027.0	0.0004768801441237849
