[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]
240914_noSeedspH7p4_platereader2_longTimes: C09 X	240914_noSeedspH7p4_platereader2_longTimes: C09 Y	240914_noSeedspH7p4_platereader2_longTimes: C10 X	240914_noSeedspH7p4_platereader2_longTimes: C10 Y	240914_noSeedspH7p4_platereader2_longTimes: C11 X	240914_noSeedspH7p4_platereader2_longTimes: C11 Y	240914_noSeedspH7p4_platereader2_longTimes: B04 X	240914_noSeedspH7p4_platereader2_longTimes: B04 Y	240914_noSeedspH7p4_platereader2_longTimes: B05 X	240914_noSeedspH7p4_platereader2_longTimes: B05 Y
1215547.0	-3.747142803611678e-05	183707.0	0.0003464650376016361	1228667.0	-3.183435946085329e-05	603387.0	9.391123730816244e-05	603387.0	4.992483538672836e-05
1215707.0	0.0005245999925057201	183867.0	-0.0008763527421688816	1228827.0	0.0006685215486779191	603547.0	0.0002872579023543999	603547.0	-3.328322359114383e-05
1215867.0	0.00014988571214449552	184027.0	0.000171776783348705	1228987.0	-0.00041384667299109275	603707.0	0.0003148788545038624	603707.0	-0.00028290740052476043
1216027.0	-0.00016237618815652497	184187.0	0.0006667268370653431	1229147.0	0.0007321902675996257	603867.0	-0.00023754018848538751	603867.0	-0.00014422730222830675
1216187.0	0.0005870523725659242	184347.0	-0.0003231732703679332	1229307.0	-0.0006685215486779191	604027.0	-0.000209919236335925	604027.0	0.00046596513027608933
1216347.0	-0.00016237618815652497	184507.0	0.00025912091047517057	1229467.0	0.00015917179730426644	604187.0	-0.00048612875783054995	604187.0	-8.87552629097253e-05
1216507.0	-0.0016612333096014233	184667.0	-0.000614320360789485	1229627.0	0.0016872210514252244	604347.0	0.0003424998066533249	604347.0	0.00010539687470530983
1216667.0	0.0006495047526261283	184827.0	-0.0004105173974943987	1229787.0	-9.550307838255987e-05	604507.0	-0.0007070963750262499	604507.0	0.0011316296020990669
1216827.0	-0.00022482856821672906	184987.0	0.0008123003822761191	1229947.0	-0.0002865092351476796	604667.0	0.0003701207588027874	604667.0	-0.0010872519706441916
1216987.0	0.0003372428523251078	185147.0	-3.20261799463813e-05	1230107.0	-0.0017508897703469308	604827.0	0.0002320159980554749	604827.0	-0.00011649128256901603
1217147.0	0.00021233809220469962	185307.0	0.00020089149239086018	1230267.0	-0.00022284051622597302	604987.0	-0.00026516114063485	604987.0	0.0003827570712982171
1217307.0	-0.00022482856821672906	185467.0	-0.001109270414506123	1230427.0	0.001432546175738398	605147.0	0.00012153218945762494	605147.0	0.000604645228572543
