[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]
240914_noSeedspH7p4_platereader2_longTimes: C02 X	240914_noSeedspH7p4_platereader2_longTimes: C02 Y	240914_noSeedspH7p4_platereader2_file1to4: C03 X	240914_noSeedspH7p4_platereader2_file1to4: C03 Y	240914_noSeedspH7p4_platereader2_longTimes: C04 X	240914_noSeedspH7p4_platereader2_longTimes: C04 Y	240914_noSeedspH7p4_platereader2_file1to4: C05 X	240914_noSeedspH7p4_platereader2_file1to4: C05 Y	240914_noSeedspH7p4_platereader2_file1to4: C06 X	240914_noSeedspH7p4_platereader2_file1to4: C06 Y	240914_noSeedspH7p4_platereader2_longTimes: C09 X	240914_noSeedspH7p4_platereader2_longTimes: C09 Y
428507.0	0.00012310798416831324	378587.0	-0.0006343960696950406	428507.0	-0.00016552180749813787	336507.0	-0.0005613414359283957	78720.0	0.0008509695115435004	1215547.0	-3.747142803611678e-05
428667.0	0.00028725196305939756	378747.0	-0.00022867765302960337	428667.0	-0.00045518497061987915	336667.0	-0.0006038673022866082	78880.0	0.0018800489208519195	1215707.0	0.0005245999925057201
428827.0	0.00028725196305939756	378907.0	0.0003983417181806178	428827.0	-8.276090374906894e-05	336827.0	0.0005868569557433386	79040.0	-0.0009301294661056865	1215867.0	0.00014988571214449552
428987.0	-0.00016414397889108432	379067.0	-0.0004499786075743873	428987.0	-0.0015724571712323098	336987.0	0.0003742276239522767	79200.0	-0.0009697094433867796	1216027.0	-0.00016237618815652497
429147.0	0.00014362598152969878	379227.0	-0.0005237455924226486	429147.0	0.0001241413556236034	337147.0	-0.0001786086387044843	79360.0	-1.978998864054652e-05	1216187.0	0.0005870523725659242
429307.0	-0.0005129499340346385	379387.0	0.0010622445818149696	429307.0	0.00033104361499627574	337307.0	0.0004592793566687015	79520.0	-0.0002968498296081978	1216347.0	-0.00016237618815652497
429467.0	-0.000266733965698012	379547.0	0.00010327377878757256	429467.0	0.00020690225937267234	337467.0	-0.0006889190350030329	79680.0	-0.0008509695115435004	1216507.0	-0.0016612333096014233
429627.0	0.0003898419498663253	379707.0	-0.0005606290848467793	429627.0	0.00033104361499627574	337627.0	0.0007994862875344006	79840.0	0.000494749716013663	1216667.0	0.0006495047526261283
429787.0	-0.00012310798416831324	379867.0	0.0006196426727254018	429787.0	0.0002482827112472068	337787.0	-0.0005613414359283957	80000.0	-0.0007322295797002212	1216827.0	-0.00022482856821672906
