"Molec.Weight","S_Apparent","S_20_W","D_Apparent","D_20_W","f/f0","Vbar20","Concentration","Conc.Percent"
"2.0664e+04","2.4674e-13","2.4887e-13","1.0378e-06","1.0388e-06","1.1429e+00","7.1870e-01","2.4681e-03"," 0.51 %"
"1.9504e+04","2.7134e-13","2.7368e-13","1.2091e-06","1.2103e-06","1.0000e+00","7.1870e-01","1.8292e-05"," 0.00 %"
"2.2216e+04","2.9594e-13","2.9850e-13","1.1578e-06","1.1589e-06","1.0000e+00","7.1870e-01","4.7379e-07"," 0.00 %"
"2.7980e+04","3.4514e-13","3.4812e-13","1.0721e-06","1.0732e-06","1.0000e+00","7.1870e-01","2.3839e-05"," 0.00 %"
"1.2357e+05","5.4193e-13","5.4662e-13","3.8118e-07","3.8156e-07","1.7143e+00","7.1870e-01","5.1427e-07"," 0.00 %"
"1.3933e+05","5.4193e-13","5.4662e-13","3.3806e-07","3.3839e-07","1.8571e+00","7.1870e-01","2.6258e-06"," 0.00 %"
"1.5571e+05","5.4193e-13","5.4662e-13","3.0249e-07","3.0279e-07","2.0000e+00","7.1870e-01","6.6057e-06"," 0.00 %"
"1.5714e+05","7.6332e-13","7.6992e-13","4.2220e-07","4.2262e-07","1.4286e+00","7.1870e-01","8.2854e-06"," 0.00 %"
"1.8129e+05","7.6332e-13","7.6992e-13","3.6596e-07","3.6632e-07","1.5714e+00","7.1870e-01","1.6372e-05"," 0.00 %"
"2.0656e+05","7.6332e-13","7.6992e-13","3.2118e-07","3.2150e-07","1.7143e+00","7.1870e-01","1.5063e-05"," 0.00 %"
"2.3291e+05","7.6332e-13","7.6992e-13","2.8484e-07","2.8512e-07","1.8571e+00","7.1870e-01","2.3165e-05"," 0.00 %"
"2.6030e+05","7.6332e-13","7.6992e-13","2.5488e-07","2.5513e-07","2.0000e+00","7.1870e-01","3.0491e-05"," 0.01 %"
"2.7298e+05","7.8792e-13","7.9474e-13","2.5087e-07","2.5111e-07","2.0000e+00","7.1870e-01","9.3742e-07"," 0.00 %"
"2.8586e+05","8.1252e-13","8.1955e-13","2.4704e-07","2.4728e-07","2.0000e+00","7.1870e-01","7.0330e-06"," 0.00 %"
"3.1222e+05","8.6172e-13","8.6917e-13","2.3988e-07","2.4012e-07","2.0000e+00","7.1870e-01","3.1936e-05"," 0.01 %"
"1.6787e+05","8.8632e-13","8.9398e-13","4.5890e-07","4.5935e-07","1.2857e+00","7.1870e-01","1.5020e-05"," 0.00 %"
"2.2682e+05","8.8632e-13","8.9398e-13","3.3962e-07","3.3995e-07","1.5714e+00","7.1870e-01","2.0155e-05"," 0.00 %"
"2.5845e+05","8.8632e-13","8.9398e-13","2.9806e-07","2.9836e-07","1.7143e+00","7.1870e-01","7.0248e-06"," 0.00 %"
"3.2568e+05","8.8632e-13","8.9398e-13","2.3653e-07","2.3676e-07","2.0000e+00","7.1870e-01","3.2714e-05"," 0.01 %"
"3.0363e+05","9.1092e-13","9.1880e-13","2.6075e-07","2.6100e-07","1.8571e+00","7.1870e-01","2.1796e-05"," 0.00 %"
"3.3933e+05","9.1092e-13","9.1880e-13","2.3332e-07","2.3354e-07","2.0000e+00","7.1870e-01","1.5979e-04"," 0.03 %"
"2.4597e+05","9.3552e-13","9.4361e-13","3.3057e-07","3.3089e-07","1.5714e+00","7.1870e-01","1.3645e-05"," 0.00 %"
"3.1602e+05","9.3552e-13","9.4361e-13","2.5730e-07","2.5755e-07","1.8571e+00","7.1870e-01","6.8570e-05"," 0.01 %"
"3.5317e+05","9.3552e-13","9.4361e-13","2.3023e-07","2.3045e-07","2.0000e+00","7.1870e-01","2.5103e-04"," 0.05 %"
"1.5861e+05","9.6012e-13","9.6842e-13","5.2611e-07","5.2663e-07","1.1429e+00","7.1870e-01","1.5768e-04"," 0.03 %"
"1.8926e+05","9.6012e-13","9.6842e-13","4.4091e-07","4.4134e-07","1.2857e+00","7.1870e-01","2.1525e-04"," 0.04 %"
"2.2167e+05","9.6012e-13","9.6842e-13","3.7645e-07","3.7682e-07","1.4286e+00","7.1870e-01","9.2626e-05"," 0.02 %"
"2.5574e+05","9.6012e-13","9.6842e-13","3.2630e-07","3.2663e-07","1.5714e+00","7.1870e-01","3.8796e-05"," 0.01 %"
"2.9139e+05","9.6012e-13","9.6842e-13","2.8638e-07","2.8666e-07","1.7143e+00","7.1870e-01","3.5256e-05"," 0.01 %"
"3.6719e+05","9.6012e-13","9.6842e-13","2.2726e-07","2.2748e-07","2.0000e+00","7.1870e-01","2.2223e-05"," 0.00 %"
