"Molec.Weight","S_Apparent","S_20_W","D_Apparent","D_20_W","f/f0","Vbar20","Concentration","Conc.Percent"
"3.5698e+05","1.6492e-12","1.6632e-12","4.0155e-07","4.0186e-07","1.1429e+00","7.1870e-01","6.8973e-05"," 0.02 %"
"5.7556e+05","1.6492e-12","1.6632e-12","2.4905e-07","2.4924e-07","1.5714e+00","7.1870e-01","2.9440e-05"," 0.01 %"
"8.2641e+05","1.6492e-12","1.6632e-12","1.7345e-07","1.7359e-07","2.0000e+00","7.1870e-01","3.0574e-05"," 0.01 %"
"2.9874e+05","1.6738e-12","1.6880e-12","4.8698e-07","4.8735e-07","1.0000e+00","7.1870e-01","5.4800e-03"," 1.29 %"
"3.6500e+05","1.6738e-12","1.6880e-12","3.9859e-07","3.9889e-07","1.1429e+00","7.1870e-01","6.8897e-05"," 0.02 %"
"5.1010e+05","1.6738e-12","1.6880e-12","2.8520e-07","2.8542e-07","1.4286e+00","7.1870e-01","2.3137e-06"," 0.00 %"
"7.5608e+05","1.6738e-12","1.6880e-12","1.9242e-07","1.9256e-07","1.8571e+00","7.1870e-01","1.9908e-05"," 0.00 %"
"3.0536e+05","1.6984e-12","1.7128e-12","4.8344e-07","4.8381e-07","1.0000e+00","7.1870e-01","1.2963e-02"," 3.05 %"
"8.6367e+05","1.6984e-12","1.7128e-12","1.7092e-07","1.7105e-07","2.0000e+00","7.1870e-01","3.0352e-05"," 0.01 %"
"3.1201e+05","1.7230e-12","1.7376e-12","4.7997e-07","4.8034e-07","1.0000e+00","7.1870e-01","7.1040e-03"," 1.67 %"
"7.0032e+05","1.7230e-12","1.7376e-12","2.1384e-07","2.1401e-07","1.7143e+00","7.1870e-01","3.0417e-05"," 0.01 %"
"8.8251e+05","1.7230e-12","1.7376e-12","1.6970e-07","1.6983e-07","2.0000e+00","7.1870e-01","3.0056e-05"," 0.01 %"
"3.1872e+05","1.7476e-12","1.7624e-12","4.7658e-07","4.7695e-07","1.0000e+00","7.1870e-01","9.4505e-03"," 2.22 %"
"8.0664e+05","1.7476e-12","1.7624e-12","1.8831e-07","1.8845e-07","1.8571e+00","7.1870e-01","2.3959e-05"," 0.01 %"
"9.0148e+05","1.7476e-12","1.7624e-12","1.6850e-07","1.6863e-07","2.0000e+00","7.1870e-01","4.3017e-05"," 0.01 %"
"3.2548e+05","1.7722e-12","1.7872e-12","4.7326e-07","4.7363e-07","1.0000e+00","7.1870e-01","6.3024e-03"," 1.48 %"
"6.4115e+05","1.7722e-12","1.7872e-12","2.4025e-07","2.4043e-07","1.5714e+00","7.1870e-01","5.3867e-05"," 0.01 %"
"9.2058e+05","1.7722e-12","1.7872e-12","1.6732e-07","1.6745e-07","2.0000e+00","7.1870e-01","3.2007e-05"," 0.01 %"
"3.3228e+05","1.7968e-12","1.8120e-12","4.7001e-07","4.7037e-07","1.0000e+00","7.1870e-01","6.5452e-03"," 1.54 %"
"8.4095e+05","1.7968e-12","1.8120e-12","1.8571e-07","1.8585e-07","1.8571e+00","7.1870e-01","1.1177e-05"," 0.00 %"
"9.3982e+05","1.7968e-12","1.8120e-12","1.6617e-07","1.6630e-07","2.0000e+00","7.1870e-01","5.2767e-06"," 0.00 %"
