Sample IDs:;251006_251002G_tht_4days;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
460;7.40581274032593;7.2966194152832;7.47455263137817
460.450012207031;7.55294561386108;7.52698278427124;7.6948504447937
461.059997558594;8.27152824401855;8.26371097564697;8.48546028137207
461.510009765625;8.72933387756348;8.62497329711914;8.77437114715576
461.959991455078;9.27892971038818;9.13075065612793;9.39604663848877
462.570007324219;10.0119800567627;9.91855907440186;10.1455135345459
463.029998779297;10.4748764038086;10.235728263855;10.5436248779297
463.480010986328;10.9527349472046;10.8401546478271;11.2158966064453
463.929992675781;11.4257917404175;11.1999778747559;11.6045341491699
464.540008544922;12.2810697555542;12.1490354537964;12.4415950775146
465;12.9203310012817;12.6392345428467;13.1207675933838
465.450012207031;13.3425540924072;13.0570116043091;13.50221824646
466.059997558594;14.1654825210571;14.0886144638062;14.426851272583
466.510009765625;14.5306253433228;14.438362121582;14.7713022232056
466.959991455078;15.4144124984741;15.2535457611084;15.681263923645
467.570007324219;16.1515693664551;15.9277534484863;16.2975597381592
468.029998779297;16.8391284942627;16.6204795837402;17.0702629089355
468.480010986328;17.6791896820068;17.0938701629639;17.6962928771973
468.929992675781;18.0362491607666;17.7151546478271;18.1400547027588
469.540008544922;18.8554229736328;18.5841846466064;19.0402011871338
470;19.4093132019043;19.1161117553711;19.6145057678223
470.440002441406;20.0158176422119;19.6267833709717;20.1184959411621
471.040008544922;20.8745441436768;20.3283100128174;21.003776550293
471.489990234375;21.1624221801758;20.7398719787598;21.3075485229492
471.940002441406;21.7941551208496;21.4919567108154;21.9655494689941
472.529998779297;22.1137390136719;22.0121059417725;22.6812019348145
472.980010986328;22.8036823272705;22.6292419433594;23.2451877593994
473.429992675781;23.3037090301514;23.0724906921387;23.7185897827148
474.019989013672;23.7868938446045;23.6051273345947;24.2559928894043
474.470001220703;24.2818794250488;24.17795753479;24.7540607452393
475.070007324219;24.6573734283447;24.3870830535889;25.2282733917236
475.519989013672;25.3027667999268;25.0277976989746;25.6454734802246
475.970001220703;25.5169410705566;25.4203758239746;25.9307422637939
476.559997558594;26.0297832489014;25.9389362335205;26.5067958831787
477.010009765625;26.5236053466797;26.2273616790771;26.752046585083
477.459991455078;26.6201801300049;26.5511951446533;26.9854888916016
478.049987792969;27.2086925506592;27.0159282684326;27.4330539703369
478.5;27.455545425415;27.0623931884766;27.7128982543945
478.950012207031;27.7394847869873;27.4082641601562;27.8538093566895
479.549987792969;27.7847080230713;27.4692897796631;28.3479557037354
480;27.8359031677246;27.8816699981689;28.5381240844727
480.450012207031;27.9752750396729;27.9776878356934;28.7194786071777
481.059997558594;28.3907337188721;28.2766304016113;28.7522811889648
481.510009765625;28.3740062713623;28.3816528320313;29.0676612854004
481.959991455078;28.3958377838135;28.5999011993408;29.1016216278076
482.570007324219;28.6308097839355;28.7596454620361;29.2353363037109
483.029998779297;28.4856929779053;28.8023567199707;29.4675273895264
483.480010986328;28.5311145782471;28.7784519195557;29.3788661956787
483.929992675781;28.4288787841797;28.8055248260498;29.4174365997314
484.540008544922;28.4443073272705;28.9799003601074;29.3877468109131
485;28.3839244842529;29.099853515625;29.499002456665
485.450012207031;28.3681678771973;28.9420928955078;29.5574054718018
486.059997558594;28.2972965240479;28.940486907959;29.363941192627
486.510009765625;28.3536968231201;29.0160369873047;29.353967666626
486.959991455078;28.3762302398682;28.8953685760498;29.5040130615234
487.570007324219;28.2283535003662;28.8519172668457;29.2360363006592
488.029998779297;27.9486999511719;28.8113307952881;29.2527561187744
488.480010986328;28.0290241241455;28.6411552429199;29.1697864532471
488.929992675781;27.9533405303955;28.6342792510986;29.0902137756348
489.540008544922;27.8331604003906;28.5281467437744;29.0828914642334
490;27.5069046020508;28.4257888793945;28.7883205413818
490.440002441406;27.535099029541;28.238977432251;28.6057434082031
491.040008544922;27.4820671081543;28.1260719299316;28.5621719360352
491.489990234375;27.3737487792969;28.0170726776123;28.4019336700439
491.940002441406;27.3035545349121;27.8738899230957;28.2198352813721
492.529998779297;27.0374431610107;27.6896457672119;28.0012168884277
492.980010986328;26.8309535980225;27.560941696167;27.8584117889404
493.429992675781;26.7471809387207;27.299596786499;27.7302017211914
494.019989013672;26.7178802490234;27.1692943572998;27.5870742797852
494.470001220703;26.3650608062744;27.048511505127;27.3197021484375
495.070007324219;26.1678981781006;26.862117767334;27.2905769348145
495.519989013672;26.072566986084;26.5897541046143;26.8982906341553
495.970001220703;25.8852500915527;26.4841327667236;26.7016754150391
496.559997558594;25.6611347198486;26.2848949432373;26.6988315582275
497.010009765625;25.4085597991943;25.9220809936523;26.3487510681152
497.459991455078;25.2302322387695;26.0262565612793;26.1014938354492
498.049987792969;25.0626068115234;25.6542053222656;26.0451393127441
498.5;24.7430057525635;25.3820323944092;25.7001094818115
498.950012207031;24.7280368804932;25.3647079467773;25.6551380157471
499.549987792969;24.5632190704346;25.0994567871094;25.257173538208
500;24.1986312866211;24.9240531921387;25.1536350250244
500.440002441406;24.0142154693604;24.6997890472412;24.9214515686035
501.040008544922;23.8381443023682;24.5984802246094;24.6339912414551
501.489990234375;23.622200012207;24.2108936309814;24.6474990844727
501.940002441406;23.3384304046631;24.0015125274658;24.3771476745605
502.529998779297;23.2865352630615;23.8446769714355;24.0912914276123
502.980010986328;23.0738983154297;23.6299247741699;23.8097686767578
503.429992675781;22.9686393737793;23.4150810241699;23.6260967254639
504.019989013672;22.7527599334717;23.3022727966309;23.3788089752197
504.470001220703;22.3161201477051;23.0205631256104;23.2744331359863
505.070007324219;22.0694198608398;22.8435497283936;22.9616966247559
505.519989013672;21.8276443481445;22.4938316345215;22.6058311462402
505.970001220703;21.6674861907959;22.4725875854492;22.4568405151367
