Sample IDs:;251006_buffer;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
460;-0.00867502018809319;-0.0088508278131485;-0.0239925645291805
460.450012207031;-0.0112503878772259;-0.0206304006278515;-0.0166299529373646
461.059997558594;-0.0113562047481537;-0.0102829858660698;-0.0251431986689568
461.510009765625;-0.0239027068018913;-0.0124006345868111;-0.030459251254797
461.959991455078;-0.0165382847189903;-0.0196406356990337;-0.0287323277443647
462.570007324219;-0.0235638245940208;-0.020272184163332;-0.0204420387744904
463.029998779297;-0.0160708464682102;-0.0221604518592358;-0.0235979519784451
463.480010986328;-0.0248788706958294;-0.0217327140271664;-0.0234177596867085
463.929992675781;-0.0237066633999348;-0.023766178637743;-0.0134572498500347
464.540008544922;-0.012937244027853;-0.0215854123234749;-0.0175052918493748
465;-0.0262815393507481;-0.0214627310633659;-0.0277767963707447
465.450012207031;-0.00678012892603874;-0.0320747271180153;-0.036089975386858
466.059997558594;-0.0193571820855141;-0.0266092997044325;-0.0449152514338493
466.510009765625;-0.0173147954046726;-0.030988372862339;-0.0366982817649841
466.959991455078;-0.0339480824768543;-0.0305979680269957;-0.027403561398387
467.570007324219;-0.0365568026900291;-0.0345088616013527;-0.0288674887269735
468.029998779297;-0.0365383550524712;-0.0306174922734499;-0.0367629006505013
468.480010986328;-0.0296353977173567;-0.030508104711771;-0.0430170297622681
468.929992675781;-0.0319745317101479;-0.0350567102432251;-0.0386248081922531
469.540008544922;-0.0388028770685196;-0.0374485775828362;-0.0380925089120865
470;-0.0262821763753891;-0.0387809351086617;-0.0297272317111492
470.440002441406;-0.0325624421238899;-0.0205370709300041;-0.0414808839559555
471.040008544922;-0.0394737347960472;-0.0304378196597099;-0.0453287065029144
471.489990234375;-0.0344996266067028;-0.0391437187790871;-0.0351833254098892
471.940002441406;-0.0268218666315079;-0.0462092459201813;-0.0296550318598747
472.529998779297;-0.0377088040113449;-0.0322403386235237;-0.0503581874072552
472.980010986328;-0.0248938538134098;-0.0381686016917229;-0.043950155377388
473.429992675781;-0.0312995128333569;-0.0371840931475162;-0.0365773588418961
474.019989013672;-0.0299748294055462;-0.0422442890703678;-0.0321810469031334
474.470001220703;-0.0355707928538322;-0.0422470197081566;-0.0390141233801842
475.070007324219;-0.0399070158600807;-0.038232609629631;-0.036652997136116
475.519989013672;-0.0346372053027153;-0.0407255105674267;-0.0293138846755028
475.970001220703;-0.0296481866389513;-0.0447698459029198;-0.0420555025339127
476.559997558594;-0.0325663313269615;-0.0253071933984756;-0.0325752049684525
477.010009765625;-0.0459001772105694;-0.0472843647003174;-0.0454699844121933
477.459991455078;-0.0331217348575592;-0.0383112281560898;-0.0517787374556065
478.049987792969;-0.0455961301922798;-0.0527562983334065;-0.0443979650735855
478.5;-0.0355639159679413;-0.0397500805556774;-0.0305115934461355
478.950012207031;-0.0408835187554359;-0.0334682464599609;-0.0403611324727535
479.549987792969;-0.0302274134010077;-0.0408585295081139;-0.0340132266283035
480;-0.0414890274405479;-0.0388824418187141;-0.0453471876680851
480.450012207031;-0.0494726747274399;-0.0368849486112595;-0.0369725860655308
481.059997558594;-0.0425380691885948;-0.0344067513942719;-0.0398015677928925
481.510009765625;-0.0414595678448677;-0.047810684889555;-0.0344881638884544
481.959991455078;-0.0422576852142811;-0.0340385362505913;-0.0512990579009056
482.570007324219;-0.0454608164727688;-0.037600964307785;-0.033958412706852
483.029998779297;-0.0415103659033775;-0.0434203706681728;-0.0384287498891354
483.480010986328;-0.0412579402327538;-0.0400383658707142;-0.0448504164814949
483.929992675781;-0.0370911210775375;-0.0359465554356575;-0.0428781025111675
484.540008544922;-0.0471379905939102;-0.0438827984035015;-0.0414735898375511
485;-0.0281429030001163;-0.0493296720087528;-0.047834113240242
485.450012207031;-0.0344306901097298;-0.0438296049833298;-0.0443777218461037
486.059997558594;-0.0377617180347443;-0.0343288220465183;-0.0340233892202377
486.510009765625;-0.0359319671988487;-0.0468901172280312;-0.041960384696722
486.959991455078;-0.0405690297484398;-0.039422120898962;-0.0399627313017845
487.570007324219;-0.0309658050537109;-0.0537650100886822;-0.0360089987516403
488.029998779297;-0.0374646112322807;-0.0463411770761013;-0.0434365980327129
488.480010986328;-0.0483200401067734;-0.0433596521615982;-0.0409150011837482
488.929992675781;-0.03074343316257;-0.0487929210066795;-0.0395821556448936
489.540008544922;-0.0437272563576698;-0.0433783605694771;-0.0405366122722626
490;-0.0437793917953968;-0.0487990006804466;-0.0454153381288052
490.440002441406;-0.0413478314876556;-0.0483473055064678;-0.0488214120268822
491.040008544922;-0.0469318479299545;-0.0503276996314526;-0.0356771871447563
491.489990234375;-0.0402119718492031;-0.0513249523937702;-0.0429854020476341
491.940002441406;-0.0516650415956974;-0.0434417836368084;-0.0458662807941437
492.529998779297;-0.0382164306938648;-0.0415249690413475;-0.0488846115767956
492.980010986328;-0.0502292737364769;-0.0430010110139847;-0.0532912239432335
493.429992675781;-0.0487528778612614;-0.0474290400743484;-0.0498284660279751
494.019989013672;-0.0386184900999069;-0.0448851548135281;-0.0458797588944435
494.470001220703;-0.0444725230336189;-0.0547438450157642;-0.0582127943634987
495.070007324219;-0.0461675897240639;-0.0478345341980457;-0.0398936569690704
495.519989013672;-0.0511914379894733;-0.0369472801685333;-0.0557472482323647
495.970001220703;-0.0355474650859833;-0.0413878075778484;-0.052300687879324
496.559997558594;-0.043583232909441;-0.0403910204768181;-0.0517679341137409
497.010009765625;-0.0394676811993122;-0.0423650816082954;-0.0459211654961109
497.459991455078;-0.0406725630164146;-0.0537684708833694;-0.0527867339551449
498.049987792969;-0.0349477082490921;-0.034034326672554;-0.0354732349514961
498.5;-0.0532291904091835;-0.046391423791647;-0.0527572222054005
498.950012207031;-0.046684168279171;-0.0413877665996551;-0.0527659691870213
499.549987792969;-0.0431377366185188;-0.054271325469017;-0.0532713830471039
500;-0.0451763719320297;-0.03750991076231;-0.0369868315756321
500.440002441406;-0.0391150340437889;-0.0385004431009293;-0.0375406965613365
501.040008544922;-0.0365815423429012;-0.0379440560936928;-0.0350684635341167
501.489990234375;-0.0409023612737656;-0.0483149401843548;-0.0464248731732368
501.940002441406;-0.0557061545550823;-0.0532536953687668;-0.0429063886404038
502.529998779297;-0.0404744520783424;-0.0419108979403973;-0.0414434149861336
502.980010986328;-0.0383106246590614;-0.0438633635640144;-0.0419417284429073
503.429992675781;-0.0457311421632767;-0.0379608161747456;-0.0414432138204575
504.019989013672;-0.0254337228834629;-0.041368406265974;-0.0419603027403355
504.470001220703;-0.0492058992385864;-0.0369254238903522;-0.0380308777093887
505.070007324219;-0.0241963639855385;-0.0314450412988663;-0.0385171659290791
505.519989013672;-0.0217169225215912;-0.034416887909174;-0.0316075757145882
505.970001220703;-0.0303773246705532;-0.0328642874956131;-0.0330569632351398
506.559997558594;-0.0253581665456295;-0.0199753455817699;-0.0227350145578384
507.010009765625;-0.018510214984417;-0.019121240824461;-0.013510350137949
507.459991455078;-0.00668745115399361;-0.00649327412247658;-0.0111798197031021
508.049987792969;0.00140869617462158;-0.0170887596905231;-0.0120546817779541
508.5;0.00534995645284653;0.0146093666553497;0.0022035725414753
508.950012207031;0.00751141458749771;-0.000384394079446793;0.0131378993391991
509.549987792969;0.0185923203825951;0.0132384225726128;0.0149538815021515
510;0.0326028689742088;0.015938401222229;0.0236610993742943
510.440002441406;0.0365005210042;0.0314028114080429;0.0288812145590782
511.040008544922;0.0457025766372681;0.0442247316241264;0.0395672991871834
511.489990234375;0.0669129490852356;0.0611559152603149;0.0485321059823036
511.940002441406;0.0692592412233353;0.0526701882481575;0.0467918291687965
512.530029296875;0.0726101100444794;0.0832191109657288;0.0808687955141068
512.97998046875;0.0748592615127564;0.0672266408801079;0.0638646855950356
513.429992675781;0.0734829753637314;0.0753786712884903;0.0771939307451248
514.02001953125;0.0870038866996765;0.099911168217659;0.0924858599901199
514.469970703125;0.0974443703889847;0.0950032323598862;0.0889851152896881
515.070007324219;0.11000856757164;0.0984479933977127;0.114971518516541
515.52001953125;0.112015023827553;0.0987518429756165;0.099785640835762
515.969970703125;0.103835880756378;0.103466302156448;0.105464845895767
516.559997558594;0.128083869814873;0.104508280754089;0.11188730597496
517.010009765625;0.117147341370583;0.123621538281441;0.101426005363464
517.460021972656;0.10481296479702;0.125987380743027;0.123111248016357
518.049987792969;0.106470063328743;0.113778471946716;0.118915528059006
518.5;0.106642514467239;0.108544036746025;0.116480335593224
518.950012207031;0.107495903968811;0.114724323153496;0.100050255656242
519.549987792969;0.0939600914716721;0.110960423946381;0.106184780597687
520;0.0992960780858994;0.0858131945133209;0.07915960252285
520.440002441406;0.0849234610795975;0.0869655609130859;0.0969206094741821
521.02001953125;0.0840129852294922;0.0620063096284866;0.0768784433603287
521.469970703125;0.0761311799287796;0.0841597765684128;0.0647008940577507
522.049987792969;0.0632958561182022;0.0626834258437157;0.0625457391142845
522.5;0.0506139248609543;0.056781217455864;0.0656473189592361
522.940002441406;0.0546095371246338;0.0449767559766769;0.05256387591362
523.52001953125;0.0370444059371948;0.0279866307973862;0.0418767482042313
523.969970703125;0.0261746123433113;0.0259614065289497;0.0249591320753098
524.549987792969;0.0219590961933136;0.00602200627326965;0.00844787061214447
525;0.0198967605829239;0.0190705060958862;0.0122953429818153
525.440002441406;0.00562020391225815;-0.000401996076107025;0.00732035934925079
526.02001953125;0.00691692531108856;-0.00877722352743149;-0.00550998002290726
526.469970703125;-0.00180181488394737;-0.00817204639315605;-0.00503667816519737
527.049987792969;-0.0155111774802208;-0.0378159508109093;-0.0198072902858257
527.5;-0.0192967392504215;-0.0241152867674828;-0.018082857131958
527.940002441406;-0.0224859826266766;-0.0220626965165138;-0.0297027826309204
