Sample IDs:;251006_251002E_tht_4days;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
460;3.9097945690155;3.72769832611084;3.55322360992432
460.450012207031;4.10268497467041;3.82272100448608;3.68474674224854
461.059997558594;4.53099250793457;4.18779897689819;3.93948554992676
461.510009765625;4.75899314880371;4.32418584823608;4.15435552597046
461.959991455078;5.00080585479736;4.56739330291748;4.3758864402771
462.570007324219;5.28003263473511;4.88117742538452;4.59350728988647
463.029998779297;5.41659832000732;5.01722621917725;4.8349723815918
463.480010986328;5.63420724868774;5.3086404800415;5.0421781539917
463.929992675781;5.65163564682007;5.4244499206543;5.21862363815308
464.540008544922;5.95662593841553;5.79339408874512;5.57089614868164
465;6.14318418502808;6.06394004821777;5.80052995681763
465.450012207031;6.27950429916382;6.2198224067688;5.98012161254883
466.059997558594;6.73169040679932;6.65846347808838;6.36472845077515
466.510009765625;7.08783483505249;6.76761484146118;6.523606300354
466.959991455078;7.35397815704346;7.07163047790527;6.77371835708618
467.570007324219;7.73680019378662;7.3904242515564;7.0103554725647
468.029998779297;8.16047477722168;7.60846185684204;7.32702159881592
468.480010986328;8.57556247711182;7.89620685577393;7.51185750961304
468.929992675781;9.18450546264648;8.00002384185791;7.6102294921875
469.540008544922;9.71603107452393;8.40011024475098;8.00685977935791
470;10.0703392028809;8.54530239105225;8.05641841888428
470.440002441406;10.0296077728271;8.81742668151855;8.31991195678711
471.040008544922;10.0750789642334;9.07881736755371;8.59826755523682
471.489990234375;10.0463781356812;9.15607357025146;8.72619438171387
471.940002441406;9.97843265533447;9.42635154724121;8.98576927185059
472.529998779297;10.2035827636719;9.56888389587402;9.07959175109863
472.980010986328;10.5347881317139;9.74511432647705;9.31786251068115
473.429992675781;10.4309225082397;9.93057441711426;9.53310108184814
474.019989013672;10.8095464706421;10.0951929092407;9.59089756011963
474.470001220703;11.071756362915;10.3077726364136;9.74989414215088
475.070007324219;11.3513431549072;10.3297719955444;9.97556686401367
475.519989013672;11.5540294647217;10.574520111084;10.0587291717529
475.970001220703;11.8815956115723;10.7439756393433;10.1767082214355
476.559997558594;12.0559282302856;10.8168592453003;10.3068332672119
477.010009765625;12.4022703170776;10.941593170166;10.5734405517578
477.459991455078;12.4061107635498;11.0334711074829;10.5697345733643
478.049987792969;12.6849899291992;11.1270809173584;10.7824201583862
478.5;12.7418174743652;11.2478885650635;10.6883201599121
478.950012207031;12.9676103591919;11.441388130188;10.8570413589478
479.549987792969;12.9945297241211;11.4757146835327;10.9012813568115
480;12.8699893951416;11.5916872024536;10.9482765197754
480.450012207031;12.6884660720825;11.7261724472046;11.0393552780151
481.059997558594;12.6471996307373;11.8393335342407;11.1116991043091
481.510009765625;12.4903841018677;12.0291156768799;11.0232572555542
481.959991455078;12.5712442398071;12.1083736419678;11.1143760681152
482.570007324219;12.5843448638916;12.2757339477539;11.15367603302
483.029998779297;12.6043930053711;12.3250503540039;11.2127084732056
483.480010986328;12.6622266769409;12.3680620193481;11.247257232666
483.929992675781;12.4966449737549;12.378791809082;11.257360458374
484.540008544922;12.5666093826294;12.3815021514893;11.2129507064819
485;12.5805988311768;12.376127243042;11.2911443710327
485.450012207031;12.4275503158569;12.4948644638062;11.1702346801758
486.059997558594;12.5932378768921;12.5655450820923;11.2693853378296
486.510009765625;12.7787075042725;12.5797863006592;11.1754236221313
486.959991455078;12.9889116287231;12.7776098251343;11.0908193588257
487.570007324219;13.1851921081543;12.8358554840088;11.0928030014038
488.029998779297;13.4732465744019;12.8548746109009;11.1234340667725
488.480010986328;13.5239715576172;12.9460382461548;11.018593788147
488.929992675781;13.539568901062;13.0422325134277;11.0512552261353
489.540008544922;13.5902328491211;13.0248670578003;10.8944873809814
490;13.6396551132202;13.0996599197388;10.8883028030396
490.440002441406;13.6666164398193;13.03089427948;10.8563356399536
491.040008544922;13.5331974029541;12.9900484085083;10.7475070953369
491.489990234375;13.3268232345581;13.0070104598999;10.7183609008789
491.940002441406;13.1615772247314;12.9885139465332;10.6344785690308
492.529998779297;12.8387155532837;12.9103345870972;10.5733871459961
492.980010986328;12.5032444000244;12.9099941253662;10.4844903945923
493.429992675781;12.2867269515991;12.8036451339722;10.4519052505493
494.019989013672;11.9036931991577;12.6465768814087;10.295844078064
494.470001220703;11.7368955612183;12.5361652374268;10.2155323028564
495.070007324219;11.4698305130005;12.2541189193726;10.0876817703247
495.519989013672;11.3236846923828;12.1698036193848;10.1130104064941
495.970001220703;11.1710710525513;12.0510950088501;10.0724573135376
496.559997558594;11.147723197937;11.7579374313354;9.94791603088379
497.010009765625;10.9678201675415;11.5966596603394;9.84496307373047
497.459991455078;10.9900169372559;11.4842891693115;9.78950786590576
498.049987792969;10.9367961883545;11.2808523178101;9.70558643341064
498.5;10.738790512085;11.1377792358398;9.57894325256348
498.950012207031;10.7512874603271;11.0477418899536;9.51680946350098
499.549987792969;10.6053705215454;10.8049945831299;9.40011215209961
500;10.5971536636353;10.7324151992798;9.32098770141602
500.440002441406;10.5697231292725;10.5432167053223;9.30826950073242
501.040008544922;10.4820251464844;10.4186143875122;9.19063091278076
501.489990234375;10.4381132125854;10.2170305252075;9.15015983581543
501.940002441406;10.2468452453613;10.1289777755737;9.03705310821533
502.529998779297;10.2407245635986;9.9081335067749;8.87837791442871
502.980010986328;10.1460027694702;9.77669143676758;8.77103328704834
503.429992675781;10.0188722610474;9.60680675506592;8.7098445892334
504.019989013672;10.0674819946289;9.43313503265381;8.62342262268066
504.470001220703;10.1645793914795;9.23745059967041;8.50704288482666
505.070007324219;10.3735656738281;9.10280895233154;8.42540264129639
505.519989013672;10.3354425430298;8.976149559021;8.32123184204102
505.970001220703;10.4977340698242;8.86162185668945;8.27369594573975
506.559997558594;10.6817111968994;8.76908206939697;8.15468883514404
507.010009765625;10.8104038238525;8.5969705581665;8.04172515869141
507.459991455078;11.2648468017578;8.45958232879639;8.0203800201416
508.049987792969;11.3613500595093;8.24608421325684;7.9157190322876
508.5;11.3164663314819;8.09540843963623;7.8289270401001
508.950012207031;11.299916267395;8.12057971954346;7.76176929473877
509.549987792969;11.0256195068359;7.90851593017578;7.6815333366394
510;10.8029413223267;7.76228713989258;7.56074380874634
510.440002441406;10.6164903640747;7.62767314910889;7.57035064697266
511.040008544922;10.2594451904297;7.57291221618652;7.4645299911499
511.489990234375;9.97689819335938;7.55717945098877;7.33320093154907
511.940002441406;9.59929275512695;7.31960296630859;7.23915195465088
512.530029296875;9.12135791778564;7.29696178436279;7.11396455764771
512.97998046875;8.84982967376709;7.23868131637573;7.13045740127564
513.429992675781;8.39692878723145;7.11808013916016;7.09915256500244
514.02001953125;7.97071886062622;7.0554461479187;6.93903255462647
514.469970703125;7.6217885017395;6.94818544387817;6.87657833099365
515.070007324219;7.24837923049927;6.75733470916748;6.82894563674927
