Sample IDs:;251006_251002F_tht_4days;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
460;2.6120970249176;2.73402237892151;2.27367162704468
460.450012207031;2.68496322631836;2.78925609588623;2.31268835067749
461.059997558594;2.91404104232788;3.03545641899109;2.50662851333618
461.510009765625;3.06472492218018;3.1244912147522;2.6059730052948
461.959991455078;3.21291899681091;3.21932458877563;2.77175450325012
462.570007324219;3.40498232841492;3.4485719203949;2.9141480922699
463.029998779297;3.5281810760498;3.49666786193848;3.05259132385254
463.480010986328;3.7233669757843;3.72183132171631;3.19949913024902
463.929992675781;3.92751336097717;3.77288389205933;3.34932541847229
464.540008544922;4.27410221099854;3.96018409729004;3.51060485839844
465;4.60009860992432;4.07147693634033;3.65260457992554
465.450012207031;4.98426246643066;4.16796731948853;3.78222489356995
466.059997558594;5.43357086181641;4.31607294082642;3.98080825805664
466.510009765625;5.73267698287964;4.47369909286499;4.09752321243286
466.959991455078;6.1778073310852;4.65624332427978;4.30529642105103
467.570007324219;6.65598201751709;4.89350652694702;4.434410572052
468.029998779297;7.14680099487305;5.00533008575439;4.60909080505371
468.480010986328;7.61179780960083;5.13642740249634;4.82828903198242
468.929992675781;7.99485158920288;5.19350337982178;4.90055131912231
469.540008544922;8.60855484008789;5.36244487762451;5.10313892364502
470;9.02806758880615;5.50092649459839;5.17431592941284
470.440002441406;9.26242828369141;5.68565273284912;5.33985614776611
471.040008544922;9.70914554595947;5.75305891036987;5.59008073806763
471.489990234375;9.68860340118408;5.88584423065186;5.66389465332031
471.940002441406;9.72173595428467;5.98339509963989;5.87946176528931
472.529998779297;9.33201217651367;6.19853353500366;5.99979257583618
472.980010986328;8.87317276000977;6.25040006637573;6.15036344528198
473.429992675781;8.6605806350708;6.29759407043457;6.35528802871704
474.019989013672;8.53285026550293;6.37540626525879;6.48250579833984
474.470001220703;8.31980895996094;6.53181123733521;6.53138542175293
475.070007324219;8.16493701934814;6.63921070098877;6.6939058303833
475.519989013672;7.88687133789063;6.72743368148804;6.87870788574219
475.970001220703;7.52942943572998;6.68695306777954;6.97047996520996
476.559997558594;7.45341062545776;6.88852119445801;7.01898336410522
477.010009765625;7.36488199234009;6.95903205871582;7.11938714981079
477.459991455078;7.27365922927856;6.93349885940552;7.112060546875
478.049987792969;7.00260925292969;7.06193113327026;7.30683374404907
478.5;7.05854892730713;7.20586013793945;7.3276743888855
478.950012207031;7.11762380599976;7.29326391220093;7.31762266159058
479.549987792969;7.13124847412109;7.3112940788269;7.45396709442139
480;7.15824031829834;7.47361755371094;7.50743913650513
480.450012207031;7.0661096572876;7.51897716522217;7.54425096511841
481.059997558594;7.1397008895874;7.53004121780396;7.58759117126465
481.510009765625;7.12192916870117;7.73806142807007;7.59005737304687
481.959991455078;7.08881378173828;7.76449537277222;7.60837697982788
482.570007324219;7.1146879196167;7.78670644760132;7.63638067245483
483.029998779297;7.16161060333252;7.97308588027954;7.63765430450439
483.480010986328;6.99332666397095;7.9139289855957;7.60055446624756
483.929992675781;7.00029039382935;8.07219886779785;7.54964923858643
484.540008544922;7.01300001144409;8.08980846405029;7.57638502120972
485;6.99781274795532;8.06776714324951;7.46844482421875
485.450012207031;7.00786113739014;8.17063808441162;7.53198671340942
486.059997558594;6.96402359008789;8.20256614685059;7.52639293670654
486.510009765625;6.96200847625732;8.18308258056641;7.42315626144409
486.959991455078;6.92545413970947;8.26700210571289;7.53522634506226
487.570007324219;6.86189603805542;8.23460578918457;7.44065237045288
488.029998779297;6.82968235015869;8.31125831604004;7.47105073928833
488.480010986328;6.79344940185547;8.33520603179932;7.31306076049805
