Sample IDs:;251006_251002H_tht_4days;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
460;8.26666831970215;8.58197116851807;8.417799949646
460.450012207031;8.7236852645874;8.89733028411865;8.73594951629639
461.059997558594;9.53699493408203;9.90791893005371;9.73432636260986
461.510009765625;9.95051574707031;10.3322601318359;10.1722984313965
461.959991455078;10.5442123413086;11.0356073379517;10.8165817260742
462.570007324219;11.3671226501465;11.987268447876;11.7685136795044
463.029998779297;11.9720916748047;12.4987497329712;12.2516555786133
463.480010986328;12.8950662612915;13.3439521789551;13.0395002365112
463.929992675781;13.2982730865479;13.7851219177246;13.6630887985229
464.540008544922;14.5063199996948;14.9687585830688;14.6535139083862
465;15.1181888580322;15.610631942749;15.3206129074097
465.450012207031;15.6528701782227;16.2264099121094;16.0447883605957
466.059997558594;16.8776435852051;17.4391288757324;17.1173839569092
466.510009765625;17.2871170043945;18.0076122283936;17.6363487243652
466.959991455078;18.2537670135498;18.8879833221436;18.5325450897217
467.570007324219;19.0934791564941;19.8145771026611;19.4618511199951
468.029998779297;20.0087394714355;20.693790435791;20.2143497467041
468.480010986328;20.5671939849854;21.4471244812012;20.982837677002
468.929992675781;21.0948867797852;21.9473762512207;21.6713714599609
469.540008544922;22.2490406036377;22.987735748291;22.6636257171631
470;22.7328643798828;23.6151371002197;23.3373355865479
470.440002441406;23.7653160095215;24.3999519348145;24.0537796020508
471.040008544922;24.6045703887939;25.4400501251221;24.9822483062744
471.489990234375;25.3523101806641;25.7813987731934;25.4585914611816
471.940002441406;25.9454383850098;26.7084884643555;26.1561698913574
472.529998779297;27.0666790008545;27.4099006652832;26.789192199707
472.980010986328;27.579044342041;28.1596584320068;27.5212173461914
473.429992675781;28.1603355407715;28.4873695373535;28.0069923400879
474.019989013672;28.6988658905029;29.2481594085693;28.7207260131836
474.470001220703;29.4133720397949;29.9765644073486;29.363712310791
475.070007324219;29.8206081390381;30.4980049133301;29.6322727203369
475.519989013672;30.3914585113525;30.9515419006348;30.266206741333
475.970001220703;30.4043102264404;31.3367156982422;30.8588390350342
476.559997558594;30.9363880157471;32.0915451049805;31.1781749725342
477.010009765625;31.4504299163818;32.4161491394043;31.5257472991943
477.459991455078;31.4553813934326;32.6689224243164;31.8777809143066
478.049987792969;31.9007167816162;33.022159576416;32.5564117431641
478.5;32.1731147766113;33.3264961242676;32.5719375610352
478.950012207031;32.5689392089844;33.6130218505859;32.7359771728516
479.549987792969;32.7698516845703;34.1073570251465;33.0321273803711
480;33.0997734069824;34.2722434997559;33.4211311340332
480.450012207031;33.3615608215332;34.4622039794922;33.4694442749023
481.059997558594;33.5284690856934;34.4966049194336;33.5367393493652
481.510009765625;33.4914398193359;34.5728950500488;33.6341819763184
481.959991455078;34.1245536804199;34.6515960693359;33.6354103088379
482.570007324219;34.101016998291;34.8390121459961;33.81640625
483.029998779297;34.3851661682129;35.0126686096191;33.8761978149414
483.480010986328;34.0448570251465;34.9483108520508;33.8305740356445
483.929992675781;33.9633522033691;34.8633193969727;33.921085357666
484.540008544922;33.7930946350098;34.8893241882324;33.7927474975586
485;33.6191291809082;34.8084869384766;33.7996482849121
485.450012207031;33.7164726257324;34.7754020690918;33.8209114074707
486.059997558594;33.3642768859863;34.6027450561523;33.6373672485352
486.510009765625;33.4363288879395;34.541561126709;33.4265174865723
486.959991455078;33.3529167175293;34.3631973266602;33.430850982666
487.570007324219;33.136344909668;34.4034805297852;33.206729888916
488.029998779297;33.1762580871582;34.0788269042969;32.9821968078613
488.480010986328;32.9121475219727;34.1457481384277;33.0495643615723
488.929992675781;32.7985382080078;33.8702125549316;32.6223793029785
489.540008544922;32.4441146850586;33.5040969848633;32.3405647277832
490;32.4069557189941;33.3121757507324;32.1163787841797
490.440002441406;32.1658096313477;33.2756423950195;32.0421524047852
491.040008544922;32.0391120910645;33.0398750305176;31.7380294799805
491.489990234375;31.679515838623;32.585521697998;31.5867347717285
491.940002441406;31.5257625579834;32.5256500244141;31.4111175537109
492.529998779297;31.1538829803467;32.4579734802246;31.0692024230957
492.980010986328;31.1556587219238;32.1348495483398;30.8318653106689
493.429992675781;30.8741798400879;31.9646472930908;30.3679504394531
494.019989013672;30.7324161529541;31.7194442749023;30.3724403381348
494.470001220703;30.34787940979;31.3007545471191;30.1824741363525
495.070007324219;29.9512367248535;31.0208892822266;29.7294101715088
495.519989013672;29.8996658325195;30.7521476745605;29.7161903381348
495.970001220703;29.6342468261719;30.6062698364258;29.3845634460449
496.559997558594;29.3143329620361;30.2662448883057;29.1604347229004
497.010009765625;29.1328887939453;29.8438167572022;28.7082099914551
497.459991455078;28.8941841125488;29.7232074737549;28.5781345367432
498.049987792969;28.646125793457;29.5472068786621;28.2659778594971
498.5;28.2926502227783;29.2417106628418;28.0606441497803
498.950012207031;28.1258659362793;29.1054077148438;27.874683380127
499.549987792969;27.7830333709717;28.8152675628662;27.4719161987305
500;27.532844543457;28.6780910491943;27.1737880706787
500.440002441406;27.4194221496582;28.2804908752441;26.9323883056641
501.040008544922;27.1140403747559;27.9770126342773;26.6346569061279
501.489990234375;26.7741241455078;27.6877841949463;26.354606628418
501.940002441406;26.5510292053223;27.3204174041748;26.1202812194824
502.529998779297;26.3674926757813;27.3586826324463;25.9476451873779
502.980010986328;26.0425148010254;26.8769378662109;25.7118396759033
503.429992675781;25.7913093566895;26.5922222137451;25.3468265533447
504.019989013672;25.4819736480713;26.3853530883789;25.1341533660889
504.470001220703;25.2998504638672;25.9974174499512;24.9524974822998
505.070007324219;25.0318450927734;25.7934379577637;24.5515880584717
505.519989013672;24.7623023986816;25.5390453338623;24.2637691497803
505.970001220703;24.4646606445313;25.2113628387451;24.1535511016846
506.559997558594;24.1733131408691;24.922664642334;23.7054100036621
507.010009765625;23.8493251800537;24.6200046539307;23.5009765625
507.459991455078;23.8821086883545;24.474271774292;23.395866394043
508.049987792969;23.324405670166;24.1256237030029;23.0882015228271
508.5;23.372257232666;23.9856777191162;22.90797996521
508.950012207031;23.0721473693848;23.6259727478027;22.7250480651855
509.549987792969;22.6596355438232;23.3483448028564;22.1586856842041
510;22.4775276184082;23.0891990661621;22.1019248962402
510.440002441406;22.2888793945313;22.8291034698486;21.8544597625732
511.040008544922;22.0134944915771;22.5721607208252;21.6280651092529
511.489990234375;21.674560546875;22.2236289978027;21.3669166564941
511.940002441406;21.4525718688965;22.0499820709229;21.1881332397461
512.530029296875;21.1785583496094;21.7341041564941;20.8091487884521
512.97998046875;20.9311695098877;21.607349395752;20.5653133392334
513.429992675781;20.6966381072998;21.3773899078369;20.461332321167
514.02001953125;20.3824329376221;20.9862327575684;20.2003803253174
514.469970703125;20.2838687896729;20.9650764465332;19.8752288818359
515.070007324219;20.0872211456299;20.4945735931396;19.6618213653564
515.52001953125;19.6609039306641;20.2249126434326;19.398889541626
515.969970703125;19.5157470703125;19.920581817627;19.1861743927002
516.559997558594;19.2883625030518;19.8392543792725;18.9335269927979
517.010009765625;19.1438865661621;19.8353214263916;18.7762317657471
517.460021972656;18.8309631347656;19.2970714569092;18.476863861084
518.049987792969;18.6620101928711;19.1466312408447;18.2913837432861
518.5;18.3598003387451;18.9022884368896;17.9498691558838
518.950012207031;18.1067390441895;18.6215286254883;17.6880950927734
519.549987792969;17.7897548675537;18.3981800079346;17.3841724395752
520;17.5096969604492;17.9322986602783;17.2338466644287
520.440002441406;17.5382747650146;17.8408031463623;16.992790222168
521.02001953125;17.0703086853027;17.5079441070557;16.7158164978027
521.469970703125;16.89528465271;17.3407974243164;16.4925899505615
522.049987792969;16.6018352508545;17.0563812255859;16.267427444458
522.5;16.3943271636963;16.8075332641602;15.9927892684937
522.940002441406;16.2370204925537;16.5763969421387;15.8364667892456
523.52001953125;15.7924995422363;16.2952480316162;15.5021238327026
523.969970703125;15.7706985473633;16.060884475708;15.3934764862061
524.549987792969;15.4263143539429;15.7616891860962;15.1185350418091
525;15.3477325439453;15.6524209976196;14.8549041748047
525.440002441406;15.0648803710938;15.4572401046753;14.7796659469604
526.02001953125;14.7528486251831;15.1088771820068;14.3061685562134
526.469970703125;14.6934509277344;15.134485244751;14.2987260818481
527.049987792969;14.4453191757202;14.728217124939;13.9382066726685
527.5;14.2266635894775;14.4732341766357;13.7982797622681
527.940002441406;14.0384550094604;14.3658103942871;13.5931768417358
528.52001953125;13.8228597640991;14.0351781845093;13.3527212142944
528.969970703125;13.6262626647949;13.9359731674194;13.1229639053345
529.549987792969;13.4010572433472;13.5196714401245;12.877984046936
530;13.2719240188599;13.4093046188354;12.7482013702393
530.440002441406;13.0425930023193;13.330265045166;12.5294542312622
531.039978027344;12.8550281524658;13.1965913772583;12.3783798217773
531.489990234375;12.665509223938;12.980767250061;12.1613636016846
531.940002441406;12.5003652572632;12.7447576522827;12.0169372558594
532.530029296875;12.4242296218872;12.5198564529419;11.8627033233643
532.97998046875;12.0290822982788;12.266583442688;11.6177892684937
533.429992675781;12.0062351226807;12.1315984725952;11.4943037033081
534.02001953125;11.7874126434326;11.8235750198364;11.2435607910156
534.469970703125;11.6258411407471;11.7453699111938;11.136173248291
535.070007324219;11.4505395889282;11.5002727508545;10.9178895950317
535.52001953125;11.3076972961426;11.390230178833;10.7062978744507
535.969970703125;11.1758890151978;11.2834329605103;10.5235118865967
536.559997558594;10.8993864059448;11.0350255966187;10.4091730117798
537.010009765625;10.912504196167;10.8732948303223;10.3093967437744
537.460021972656;10.7294416427612;10.704665184021;10.1160469055176
538.049987792969;10.5532341003418;10.5115661621094;9.99554443359375
538.5;10.4634838104248;10.3186311721802;9.80358219146729
538.950012207031;10.261700630188;10.2336854934692;9.74339389801025
539.549987792969;10.1541128158569;10.0640077590942;9.59498405456543
540;9.96787071228027;9.89339256286621;9.39124584197998
540.440002441406;9.82991123199463;9.77397537231445;9.25989627838135
541.02001953125;9.6500825881958;9.61806774139404;9.0535192489624
541.469970703125;9.61390113830566;9.49853038787842;8.93833351135254
542.049987792969;9.38559150695801;9.25451946258545;8.81527233123779
542.5;9.34970283508301;9.16584587097168;8.75872230529785
542.940002441406;9.27474975585938;9.03635883331299;8.63372135162354
543.52001953125;9.140625;8.88116455078125;8.43441295623779
543.969970703125;8.93206882476807;8.86306953430176;8.32355880737305
544.549987792969;8.74417591094971;8.6575231552124;8.1270866394043
545;8.6465425491333;8.53690910339356;8.06814670562744
545.440002441406;8.64880561828613;8.49003982543945;8.05459403991699
546.02001953125;8.3692741394043;8.19858741760254;7.84590578079224
546.469970703125;8.37360763549805;8.21789836883545;7.85089492797852
547.049987792969;8.21407508850098;8.01735019683838;7.57907962799072
547.5;8.12819290161133;7.91298818588257;7.45739889144897
547.940002441406;7.96474504470825;7.69758462905884;7.40667247772217
548.52001953125;7.81368017196655;7.56286525726318;7.24632263183594
548.969970703125;7.86239671707153;7.4786810874939;7.12652015686035
549.549987792969;7.60200548171997;7.38095378875732;7.08350372314453
550;7.60466051101685;7.34255790710449;6.9637598991394
550.440002441406;7.41742610931396;7.21646451950073;6.79790639877319
551.039978027344;7.34451580047607;7.05125188827515;6.7102370262146
551.489990234375;7.31855726242065;6.99817752838135;6.67251062393188
551.940002441406;7.26757907867432;6.86186456680298;6.58617639541626
552.530029296875;7.13336038589478;6.80202579498291;6.47123146057129
552.97998046875;6.96527004241943;6.65851497650146;6.42638158798218
553.429992675781;6.96628665924072;6.58204793930054;6.29894399642944
554.02001953125;6.84304761886597;6.41751146316528;6.14812183380127
554.469970703125;6.61827182769775;6.40218496322632;6.04615879058838
555.070007324219;6.6169753074646;6.26524925231934;6.00950908660889
555.52001953125;6.48826837539673;6.18588829040527;5.92263650894165
555.969970703125;6.46367454528809;6.16360473632813;5.90572547912598
556.559997558594;6.37737226486206;6.05673313140869;5.75777387619019
557.010009765625;6.33579683303833;5.92914628982544;5.70804262161255
557.460021972656;6.18779420852661;5.91161727905273;5.62380695343018
558.049987792969;6.04249858856201;5.71327018737793;5.48780488967895
558.5;6.03538703918457;5.65633249282837;5.54455137252808
558.950012207031;5.9296236038208;5.59409713745117;5.39264917373657
559.549987792969;5.81874656677246;5.50808382034302;5.2661075592041
560;5.73543834686279;5.49286890029907;5.20749568939209
