Sample IDs:;251003_251002D_tht_1days;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
460;0.225813910365105;0.239075735211372;0.241123035550118
460.450012207031;0.218900606036186;0.243325188755989;0.250228017568588
461.059997558594;0.240270301699638;0.261490225791931;0.279002010822296
461.510009765625;0.246366813778877;0.255910485982895;0.27355831861496
461.959991455078;0.249933734536171;0.270287543535233;0.293675065040588
462.570007324219;0.246474251151085;0.258094012737274;0.328743278980255
463.029998779297;0.268368244171143;0.290320962667465;0.31351500749588
463.480010986328;0.270885616540909;0.283988684415817;0.326986312866211
463.929992675781;0.268027126789093;0.318207591772079;0.343264162540436
464.540008544922;0.295880913734436;0.3122798204422;0.352172613143921
465;0.312115877866745;0.333494544029236;0.361812144517899
465.450012207031;0.312221318483353;0.339611947536468;0.349173337221146
466.059997558594;0.308589190244675;0.337213665246964;0.360783070325851
466.510009765625;0.317560642957687;0.349117785692215;0.366523206233978
466.959991455078;0.328504174947739;0.358138144016266;0.408457726240158
467.570007324219;0.363677352666855;0.38123407959938;0.411025583744049
468.029998779297;0.360465586185455;0.384085685014725;0.430476009845734
468.480010986328;0.368886262178421;0.392887949943542;0.43531060218811
468.929992675781;0.361838221549988;0.393304705619812;0.438006550073624
469.540008544922;0.382193922996521;0.39584481716156;0.465334206819534
470;0.386858344078064;0.411367177963257;0.462133854627609
470.440002441406;0.392971366643906;0.433546513319015;0.46796390414238
471.040008544922;0.38112610578537;0.433827042579651;0.463458031415939
471.489990234375;0.401396363973618;0.434936076402664;0.484281927347183
471.940002441406;0.434624910354614;0.437526673078537;0.497771054506302
472.529998779297;0.405339509248734;0.471155017614365;0.488144665956497
472.980010986328;0.428582191467285;0.461152106523514;0.509818553924561
473.429992675781;0.465072959661484;0.466727942228317;0.492399781942368
474.019989013672;0.45187321305275;0.460678786039352;0.498602539300919
474.470001220703;0.432094097137451;0.467686265707016;0.530714750289917
475.070007324219;0.45784005522728;0.496405273675919;0.526757538318634
475.519989013672;0.447618156671524;0.499930292367935;0.546733319759369
475.970001220703;0.450221806764603;0.496159464120865;0.563588857650757
476.559997558594;0.464118450880051;0.515332937240601;0.571286082267761
477.010009765625;0.472274988889694;0.529838144779205;0.546694278717041
477.459991455078;0.471733063459396;0.51985365152359;0.566136538982391
478.049987792969;0.482764929533005;0.512404561042786;0.559156060218811
478.5;0.479301244020462;0.510323345661163;0.573566854000092
478.950012207031;0.478184252977371;0.527245938777924;0.591321349143982
479.549987792969;0.492152839899063;0.561020195484161;0.570231258869171
480;0.50527960062027;0.533563435077667;0.57246994972229
480.450012207031;0.515546977519989;0.547826766967773;0.584627211093903
481.059997558594;0.479554742574692;0.54876571893692;0.598188579082489
481.510009765625;0.487158805131912;0.563748478889465;0.60319596529007
481.959991455078;0.501076340675354;0.545792996883392;0.594224870204926
482.570007324219;0.520090281963348;0.566536724567413;0.611809551715851
483.029998779297;0.524435579776764;0.549574673175812;0.624390482902527
483.480010986328;0.482468813657761;0.552848517894745;0.599987328052521
483.929992675781;0.519359052181244;0.549757778644562;0.615063309669495
484.540008544922;0.493522137403488;0.572859942913055;0.63805627822876
485;0.519418895244598;0.555454432964325;0.61398321390152
485.450012207031;0.52349978685379;0.559349298477173;0.585712254047394
486.059997558594;0.514749705791473;0.549216687679291;0.58980143070221
486.510009765625;0.504003763198853;0.547009944915771;0.647343516349793
486.959991455078;0.52286833524704;0.558319330215454;0.62458473443985
487.570007324219;0.515182912349701;0.565981030464172;0.609070777893066
488.029998779297;0.51149445772171;0.566714644432068;0.627374708652496
488.480010986328;0.485078006982803;0.540395557880402;0.603342235088348
488.929992675781;0.522819459438324;0.573367714881897;0.607624709606171
489.540008544922;0.468198508024216;0.546267509460449;0.60126930475235
490;0.503946602344513;0.555627703666687;0.589695990085602
490.440002441406;0.491121083498001;0.539288878440857;0.629240334033966
491.040008544922;0.51313316822052;0.573739767074585;0.621960461139679
491.489990234375;0.530565917491913;0.540108203887939;0.596150934696198
491.940002441406;0.508795201778412;0.576179683208466;0.609737515449524
492.529998779297;0.489217430353165;0.545053720474243;0.619900345802307
492.980010986328;0.472850948572159;0.568378090858459;0.595208823680878
493.429992675781;0.498913377523422;0.527679622173309;0.604350030422211
494.019989013672;0.472580403089523;0.557247817516327;0.587996006011963
494.470001220703;0.488192707300186;0.533167123794556;0.591356635093689
495.070007324219;0.483715027570724;0.52196592092514;0.597803592681885
495.519989013672;0.475133627653122;0.514654397964478;0.592696011066437
495.970001220703;0.489069253206253;0.552609384059906;0.588465392589569
496.559997558594;0.493894904851913;0.528290927410126;0.5708327293396
497.010009765625;0.478566497564316;0.513536274433136;0.573828637599945
497.459991455078;0.487484008073807;0.509244680404663;0.571443438529968
498.049987792969;0.490799635648727;0.521949946880341;0.550925970077515
498.5;0.476797729730606;0.530872702598572;0.596481800079346
498.950012207031;0.48404535651207;0.515178203582764;0.557636141777039
499.549987792969;0.457515031099319;0.516343295574188;0.576161324977875
500;0.471293359994888;0.503133416175842;0.558129370212555
500.440002441406;0.449641972780228;0.510220766067505;0.566920340061188
501.040008544922;0.45879527926445;0.499250262975693;0.551921188831329
501.489990234375;0.448493748903275;0.503585577011108;0.529675185680389
501.940002441406;0.438714057207108;0.51013046503067;0.535889029502869
502.529998779297;0.457366436719894;0.497617155313492;0.537441194057465
502.980010986328;0.4383564889431;0.496608644723892;0.530029237270355
503.429992675781;0.442259699106216;0.48123362660408;0.538390636444092
504.019989013672;0.466462701559067;0.485482007265091;0.55388343334198
504.470001220703;0.438051581382751;0.493469029664993;0.544199287891388
505.070007324219;0.455522984266281;0.488430351018906;0.552215576171875
505.519989013672;0.440360933542252;0.504878997802734;0.51733136177063
505.970001220703;0.444278538227081;0.471634119749069;0.559599280357361
506.559997558594;0.451361209154129;0.500349819660187;0.517930448055267
507.010009765625;0.447476774454117;0.481677204370499;0.544076502323151
507.459991455078;0.43168905377388;0.473908394575119;0.548761546611786
508.049987792969;0.469836384057999;0.487402588129044;0.524905860424042
508.5;0.455659478902817;0.507013022899628;0.543698728084564
508.950012207031;0.455626934766769;0.499736577272415;0.530807912349701
509.549987792969;0.446572929620743;0.5016188621521;0.553668916225433
510;0.471245378255844;0.513145327568054;0.53520542383194
510.440002441406;0.468247383832932;0.494274169206619;0.574374854564667
511.040008544922;0.471498101949692;0.516580283641815;0.549398899078369
511.489990234375;0.467724472284317;0.530973434448242;0.57806259393692
511.940002441406;0.468222349882126;0.518533408641815;0.547157108783722
512.530029296875;0.506091475486755;0.513183832168579;0.568789720535278
512.97998046875;0.483317822217941;0.505005836486816;0.560632109642029
513.429992675781;0.523045718669891;0.538282155990601;0.578517615795135
514.02001953125;0.497622162103653;0.523678123950958;0.577586114406586
514.469970703125;0.513015270233154;0.527446091175079;0.589312732219696
515.070007324219;0.48911264538765;0.5440953373909;0.604694426059723
515.52001953125;0.516703546047211;0.533801019191742;0.578454792499542
515.969970703125;0.501417696475983;0.54645425081253;0.585361063480377
516.559997558594;0.499332040548325;0.52678394317627;0.576280236244202
517.010009765625;0.501836776733398;0.532830893993378;0.590148568153381
517.460021972656;0.492309480905533;0.543574929237366;0.567636847496033
518.049987792969;0.487012594938278;0.525187790393829;0.558519005775452
518.5;0.480445355176926;0.514421880245209;0.556251704692841
518.950012207031;0.49151811003685;0.499377936124802;0.550689041614532
519.549987792969;0.464186459779739;0.511135995388031;0.531513571739197
520;0.431664675474167;0.486332207918167;0.554246664047241
520.440002441406;0.453639775514603;0.484903663396835;0.531913876533508
521.02001953125;0.452000230550766;0.464293271303177;0.500818729400635
521.469970703125;0.427461534738541;0.479352802038193;0.480697721242905
522.049987792969;0.44581001996994;0.439329415559769;0.491720825433731
522.5;0.406594097614288;0.409400105476379;0.485266178846359
522.940002441406;0.407544195652008;0.438500136137009;0.440715223550796
523.52001953125;0.394442766904831;0.396070271730423;0.411399632692337
523.969970703125;0.348399966955185;0.388519406318665;0.42455005645752
524.549987792969;0.347010314464569;0.365556478500366;0.415138363838196
525;0.347944170236588;0.389210850000381;0.407655537128449
525.440002441406;0.335207670927048;0.364539504051209;0.397257268428802
526.02001953125;0.327630400657654;0.347602158784866;0.371202886104584
526.469970703125;0.304600685834885;0.338744014501572;0.389326155185699
527.049987792969;0.294493347406387;0.33902034163475;0.34851348400116
527.5;0.296185910701752;0.310882389545441;0.356704503297806
527.940002441406;0.280928164720535;0.30785009264946;0.334745228290558
528.52001953125;0.271866738796234;0.326506048440933;0.330270558595657
528.969970703125;0.272398114204407;0.297119677066803;0.327765941619873
529.549987792969;0.257389724254608;0.276606678962708;0.313948780298233
530;0.243334546685219;0.273405283689499;0.326360195875168
530.440002441406;0.24394129216671;0.285032212734222;0.308910846710205
531.039978027344;0.260176807641983;0.283817023038864;0.286118298768997
531.489990234375;0.255286753177643;0.275117129087448;0.290172189474106
531.940002441406;0.256150126457214;0.296423465013504;0.300773322582245
532.530029296875;0.262391090393066;0.253673195838928;0.270091593265533
532.97998046875;0.221816971898079;0.254741609096527;0.280549168586731
533.429992675781;0.23456247150898;0.269602000713348;0.26597648859024
534.02001953125;0.229290589690208;0.260919272899628;0.280202656984329
534.469970703125;0.224542394280434;0.269549071788788;0.276459574699402
535.070007324219;0.220980241894722;0.244692280888557;0.271310925483704
535.52001953125;0.208373233675957;0.240570351481438;0.27430933713913
535.969970703125;0.199621126055717;0.257024556398392;0.277868151664734
536.559997558594;0.222837761044502;0.239611908793449;0.261544853448868
537.010009765625;0.188351273536682;0.23747281730175;0.253119260072708
537.460021972656;0.205670967698097;0.240093156695366;0.258748680353165
538.049987792969;0.194589301943779;0.233521297574043;0.253028243780136
538.5;0.208613589406014;0.228813633322716;0.246249809861183
538.950012207031;0.207402244210243;0.218317314982414;0.252387881278992
539.549987792969;0.208305820822716;0.225855246186256;0.251299977302551
540;0.209033235907555;0.219176843762398;0.23212893307209
540.440002441406;0.189159169793129;0.214908048510551;0.225691810250282
541.02001953125;0.190549552440643;0.225460603833199;0.230999961495399
541.469970703125;0.184627935290337;0.191567108035088;0.225304201245308
542.049987792969;0.181500509381294;0.212102547287941;0.20696447789669
542.5;0.176433622837067;0.203008934855461;0.223153337836266
542.940002441406;0.180461928248405;0.193882837891579;0.21534951031208
543.52001953125;0.159772098064423;0.197766110301018;0.218576982617378
543.969970703125;0.1589694917202;0.185692325234413;0.207667753100395
544.549987792969;0.171663612127304;0.183869540691376;0.205257579684258
545;0.177556023001671;0.179568156599998;0.189459502696991
545.440002441406;0.170741140842438;0.178146615624428;0.206252530217171
546.02001953125;0.157499104738235;0.190284296870232;0.208461627364159
546.469970703125;0.16161435842514;0.181945115327835;0.200084015727043
547.049987792969;0.153291076421738;0.197740063071251;0.181345269083977
547.5;0.149644002318382;0.1670041680336;0.208415850996971
547.940002441406;0.131651967763901;0.16202799975872;0.185994803905487
548.52001953125;0.145897448062897;0.165387079119682;0.173269018530846
548.969970703125;0.144916355609894;0.147820934653282;0.174038052558899
549.549987792969;0.144686654210091;0.157442301511765;0.176334261894226
550;0.145585924386978;0.184187144041061;0.18581123650074
550.440002441406;0.142222017049789;0.16332383453846;0.178539752960205
551.039978027344;0.147169589996338;0.162125334143639;0.181607276201248
551.489990234375;0.144940689206123;0.151243329048157;0.176366910338402
551.940002441406;0.125751197338104;0.149251982569695;0.156282722949982
552.530029296875;0.140505343675613;0.149799689650536;0.183114230632782
552.97998046875;0.126991018652916;0.149201244115829;0.164898931980133
553.429992675781;0.121219649910927;0.152840077877045;0.174819096922874
554.02001953125;0.12264047563076;0.145038619637489;0.164944142103195
554.469970703125;0.136438071727753;0.146415367722511;0.1738061606884
555.070007324219;0.12798884510994;0.138340845704079;0.155911892652512
555.52001953125;0.12480728328228;0.13232633471489;0.150027349591255
555.969970703125;0.118088766932487;0.137476608157158;0.15748704969883
556.559997558594;0.124062746763229;0.144242361187935;0.141271114349365
557.010009765625;0.116623416543007;0.132175609469414;0.132395252585411
557.460021972656;0.120317429304123;0.14442577958107;0.144096821546555
558.049987792969;0.128846451640129;0.123671919107437;0.131116211414337
558.5;0.111647993326187;0.117004677653313;0.133677199482918
558.950012207031;0.108022272586823;0.124469578266144;0.137737885117531
559.549987792969;0.0995319932699203;0.135888993740082;0.133080989122391
560;0.0978842824697495;0.128640934824944;0.126536935567856
