Sample IDs:;251006_251002C_tht_4days;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
460;3.14320707321167;3.20287823677063;3.53226113319397
460.450012207031;3.24242901802063;3.22998380661011;3.5777153968811
461.059997558594;3.45682740211487;3.49049496650696;3.93845510482788
461.510009765625;3.63679933547974;3.63796210289001;4.11927223205566
461.959991455078;3.87998414039612;3.9037868976593;4.28629112243652
462.570007324219;4.07379674911499;4.13481712341309;4.61171436309814
463.029998779297;4.30553531646729;4.30318355560303;4.78785371780396
463.480010986328;4.54716014862061;4.58319282531738;4.99378633499146
463.929992675781;4.72740793228149;4.71054649353027;5.20364713668823
464.540008544922;5.02058267593384;5.03597021102905;5.52578783035278
465;5.1440634727478;5.24568462371826;5.71143007278442
465.450012207031;5.29818677902222;5.40210151672363;5.90364694595337
466.059997558594;5.61214399337769;5.78475522994995;6.20917797088623
466.510009765625;5.82184362411499;5.85808134078979;6.40257835388184
466.959991455078;6.07760238647461;6.13044166564941;6.71490335464478
467.570007324219;6.19611310958862;6.34646224975586;6.94509172439575
468.029998779297;6.49536800384521;6.62201642990112;7.19047880172729
468.480010986328;6.73782730102539;6.75539636611938;7.38367748260498
468.929992675781;6.84072494506836;6.81653213500977;7.56027793884277
469.540008544922;7.09813404083252;7.21633911132813;7.85637140274048
470;7.28641080856323;7.29574918746948;7.99535703659058
470.440002441406;7.55026769638062;7.41717433929443;8.24345397949219
471.040008544922;7.68162107467651;7.72410154342651;8.42331123352051
471.489990234375;7.88581848144531;7.8649001121521;8.55595016479492
471.940002441406;7.94988679885864;8.01699829101562;8.76352024078369
472.529998779297;8.14152336120605;8.20817756652832;8.951828956604
472.980010986328;8.35189056396484;8.39520168304443;9.08004856109619
473.429992675781;8.52880764007568;8.40700244903564;9.19705772399902
474.019989013672;8.57393455505371;8.64682579040527;9.37702083587646
474.470001220703;8.6661901473999;8.72795677185059;9.50886631011963
475.070007324219;8.8233060836792;8.91691970825195;9.57594203948975
475.519989013672;8.94654846191406;9.01107788085938;9.70480060577393
475.970001220703;9.13401317596436;9.0746374130249;9.71393871307373
476.559997558594;9.25934028625488;9.22406578063965;9.83470344543457
477.010009765625;9.29911041259766;9.25698089599609;9.9301176071167
477.459991455078;9.2153377532959;9.36020088195801;10.0044260025024
478.049987792969;9.3182954788208;9.45829391479492;10.0198221206665
478.5;9.48290252685547;9.49686527252197;10.0750675201416
478.950012207031;9.51813793182373;9.49731826782227;10.1021757125854
479.549987792969;9.62164974212647;9.55778217315674;10.1501588821411
480;9.60729789733887;9.61119365692139;10.1819877624512
480.450012207031;9.58854866027832;9.73392772674561;10.1590881347656
481.059997558594;9.57003021240234;9.65547561645508;10.2038507461548
481.510009765625;9.60794544219971;9.68582248687744;10.2839221954346
481.959991455078;9.68953704833984;9.8227481842041;10.271598815918
482.570007324219;9.70906639099121;9.72439670562744;10.2411251068115
483.029998779297;9.61192893981934;9.66595554351807;10.214207649231
483.480010986328;9.62942028045654;9.66373825073242;10.2541990280151
483.929992675781;9.60373973846436;9.74728107452393;10.2603950500488
484.540008544922;9.67097282409668;9.6079740524292;10.0868434906006
485;9.6922550201416;9.69739627838135;10.1671457290649
485.450012207031;9.59188652038574;9.55384254455566;10.1473712921143
486.059997558594;9.61100578308105;9.52293014526367;10.0148668289185
486.510009765625;9.56982517242432;9.46341037750244;9.99862098693848
486.959991455078;9.55427837371826;9.50775527954102;9.92442607879639
487.570007324219;9.45575523376465;9.43515777587891;9.84120273590088
488.029998779297;9.37948799133301;9.39516735076904;9.84754657745361
488.480010986328;9.35160064697266;9.31455230712891;9.8625373840332
488.929992675781;9.47651863098145;9.28743076324463;9.70818710327148
489.540008544922;9.31522083282471;9.30871772766113;9.7429895401001
490;9.16811847686768;9.15650272369385;9.57436847686768
490.440002441406;9.14617729187012;9.11254596710205;9.58849716186523
491.040008544922;9.10850620269775;9.01220035552979;9.48856639862061
491.489990234375;9.05413436889648;8.99921321868897;9.45790958404541
491.940002441406;8.95627689361572;8.98754024505615;9.30777168273926
492.529998779297;8.98921775817871;8.85888576507568;9.27900791168213
492.980010986328;8.92119026184082;8.83542060852051;9.26495170593262
493.429992675781;8.79800987243652;8.79429244995117;9.13138198852539
494.019989013672;8.77785015106201;8.66036701202393;8.9801664352417
494.470001220703;8.7929162979126;8.6895923614502;8.99654293060303
495.070007324219;8.8262882232666;8.51265907287598;8.81320953369141
495.519989013672;8.61668395996094;8.52051639556885;8.85322952270508
495.970001220703;8.55304145812988;8.5493631362915;8.7688570022583
496.559997558594;8.43770503997803;8.369215965271;8.72623348236084
497.010009765625;8.47590351104736;8.26981067657471;8.58106136322022
497.459991455078;8.28509426116943;8.2500524520874;8.60870838165283
498.049987792969;8.25227832794189;8.12009048461914;8.48874950408936
498.5;8.2131290435791;8.09496116638184;8.46433734893799
498.950012207031;8.0991792678833;8.04097938537598;8.4158525466919
499.549987792969;8.0134801864624;7.96613073348999;8.22729396820068
500;8.03748512268066;7.95411252975464;8.14417552947998
500.440002441406;8.05148124694824;7.89046239852905;8.07466220855713
501.040008544922;8.02094173431396;7.70657968521118;8.07087993621826
501.489990234375;7.86686897277832;7.67393445968628;7.91654300689697
501.940002441406;7.69196748733521;7.558509349823;7.91893672943115
502.529998779297;7.74929666519165;7.5994725227356;7.84472608566284
502.980010986328;7.57707929611206;7.48969554901123;7.75699615478516
503.429992675781;7.55130290985107;7.50076055526733;7.65220499038696
504.019989013672;7.4848747253418;7.35121774673462;7.6368727684021
504.470001220703;7.39891529083252;7.25157785415649;7.4918065071106
505.070007324219;7.32349681854248;7.22920989990234;7.38618993759155
505.519989013672;7.23913240432739;7.11501264572144;7.33356523513794
505.970001220703;7.22346639633179;6.9570460319519;7.29802656173706
506.559997558594;7.1335654258728;6.96491861343384;7.21371698379517
507.010009765625;7.00104761123657;6.91259860992432;7.06913137435913
507.459991455078;6.93261575698852;6.86445093154907;7.07313776016235
508.049987792969;6.91837310791016;6.79579973220825;6.95866823196411
508.5;6.84058046340942;6.72471332550049;6.96834516525269
508.950012207031;6.7760534286499;6.63569021224976;6.87861824035645
509.549987792969;6.7098069190979;6.52702379226685;6.79914951324463
510;6.68232727050781;6.5612964630127;6.66654205322266
510.440002441406;6.49851322174072;6.44145393371582;6.62052822113037
511.040008544922;6.55563640594482;6.39388561248779;6.60056829452515
511.489990234375;6.44422006607056;6.31073427200317;6.51720285415649
511.940002441406;6.36893320083618;6.21503496170044;6.40014123916626
512.530029296875;6.31489944458008;6.1969518661499;6.30560636520386
512.97998046875;6.27826881408691;6.13524103164673;6.30273199081421
513.429992675781;6.17966604232788;6.1420431137085;6.23619890213013
514.02001953125;6.03169727325439;5.99419403076172;6.12357473373413
514.469970703125;5.99066495895386;5.90200281143188;6.01668071746826
515.070007324219;5.92097568511963;5.78270387649536;6.02101802825928
515.52001953125;5.77103614807129;5.73796510696411;5.90574026107788
515.969970703125;5.69652032852173;5.68343496322632;5.83229875564575
516.559997558594;5.59696531295776;5.64630174636841;5.72243022918701
517.010009765625;5.58428955078125;5.49453210830688;5.74792766571045
517.460021972656;5.4293646812439;5.51525688171387;5.64860916137695
518.049987792969;5.42725610733032;5.44127607345581;5.46848726272583
518.5;5.2990403175354;5.31419324874878;5.43171691894531
518.950012207031;5.23583936691284;5.27652168273926;5.43644618988037
519.549987792969;5.05705547332764;5.14886808395386;5.23169231414795
520;5.01575613021851;5.06792688369751;5.15367460250854
520.440002441406;4.99638843536377;5.06550168991089;5.06261444091797
521.02001953125;4.84627962112427;4.90332174301147;5.04007196426392
521.469970703125;4.7791428565979;4.81094598770142;4.98728132247925
522.049987792969;4.63308763504028;4.70446681976318;4.89134883880615
522.5;4.54628467559814;4.72842264175415;4.84778451919556
522.940002441406;4.51775026321411;4.67550945281982;4.72613573074341
523.52001953125;4.39587211608887;4.5315842628479;4.64600419998169
523.969970703125;4.29004192352295;4.53335237503052;4.53134346008301
524.549987792969;4.22635364532471;4.34163427352905;4.49271583557129
525;4.21028900146484;4.34548044204712;4.448166847229
525.440002441406;4.09172058105469;4.29882478713989;4.31556844711304
526.02001953125;4.06738758087158;4.15369558334351;4.21913433074951
526.469970703125;3.88556790351868;4.12332773208618;4.21903705596924
527.049987792969;3.85029983520508;4.01714658737183;4.14832353591919
527.5;3.83401036262512;3.95668506622314;4.06523609161377
527.940002441406;3.76945042610168;3.89110803604126;3.95421504974365
528.52001953125;3.70871424674988;3.87271618843079;3.84427714347839
528.969970703125;3.63897204399109;3.77190208435059;3.83573269844055
529.549987792969;3.56517243385315;3.70054483413696;3.76711487770081
530;3.53001618385315;3.66771531105041;3.7185800075531
530.440002441406;3.45645570755005;3.6216766834259;3.66061425209045
531.039978027344;3.35398554801941;3.56193733215332;3.62531924247742
531.489990234375;3.30661106109619;3.51975750923157;3.57608890533447
531.940002441406;3.21729469299316;3.39451718330383;3.49823689460754
532.530029296875;3.15543174743652;3.38658952713013;3.39790368080139
532.97998046875;3.1318736076355;3.31637358665466;3.3978865146637
533.429992675781;3.10569763183594;3.23523187637329;3.31028485298157
534.02001953125;3.01924824714661;3.16859364509583;3.27047944068909
534.469970703125;3.00265073776245;3.15881729125977;3.25477504730225
535.070007324219;2.94131898880005;3.04735565185547;3.1251974105835
535.52001953125;2.85263299942017;3.07724142074585;3.10112476348877
535.969970703125;2.86013913154602;3.03039741516113;3.01931834220886
536.559997558594;2.79456543922424;2.89948892593384;2.98448204994202
537.010009765625;2.72481441497803;2.87723755836487;2.91739010810852
537.460021972656;2.68370485305786;2.85832071304321;2.92224359512329
538.049987792969;2.59547257423401;2.81197094917297;2.86245465278626
538.5;2.55234742164612;2.81218314170837;2.84704613685608
538.950012207031;2.5717978477478;2.67553496360779;2.80443859100342
539.549987792969;2.52926397323608;2.67721390724182;2.7045750617981
540;2.46421504020691;2.65361332893372;2.67715764045715
540.440002441406;2.42131090164185;2.59832286834717;2.65247535705566
541.02001953125;2.38062191009521;2.57320976257324;2.59139680862427
541.469970703125;2.3288688659668;2.53019833564758;2.54669189453125
542.049987792969;2.24840617179871;2.47226071357727;2.52331304550171
542.5;2.26531147956848;2.45044040679932;2.45224499702454
542.940002441406;2.18228697776794;2.44198846817017;2.43872785568237
543.52001953125;2.22134399414062;2.35069751739502;2.43447208404541
543.969970703125;2.15295076370239;2.37279272079468;2.36878299713135
544.549987792969;2.13321757316589;2.24935078620911;2.32117438316345
545;2.08977174758911;2.20834255218506;2.29423213005066
545.440002441406;2.05486965179443;2.18797254562378;2.26095199584961
546.02001953125;2.01710176467896;2.17620992660522;2.25875067710876
546.469970703125;1.99970269203186;2.17875576019287;2.17295551300049
547.049987792969;1.95151162147522;2.10028195381165;2.16409635543823
547.5;1.91155600547791;2.06994915008545;2.12959122657776
547.940002441406;1.8796694278717;2.01513004302979;2.09084582328796
548.52001953125;1.85865688323975;2.01096773147583;2.06685972213745
548.969970703125;1.84143924713135;2.00020790100098;1.99092626571655
549.549987792969;1.78874826431274;1.92975354194641;1.96000242233276
550;1.77640521526337;1.92670512199402;1.94392871856689
550.440002441406;1.7770357131958;1.88586461544037;1.87958860397339
551.039978027344;1.71971023082733;1.86635518074036;1.83676671981812
551.489990234375;1.65815913677216;1.83505201339722;1.81617307662964
551.940002441406;1.64257073402405;1.83346700668335;1.803839802742
552.530029296875;1.64512276649475;1.77152299880981;1.78949499130249
552.97998046875;1.59990930557251;1.73948490619659;1.79801368713379
553.429992675781;1.57623875141144;1.6920462846756;1.70147085189819
554.02001953125;1.52961456775665;1.69862174987793;1.69571328163147
554.469970703125;1.53324508666992;1.63437533378601;1.6648645401001
555.070007324219;1.48734092712402;1.6085923910141;1.65924513339996
555.52001953125;1.47638654708862;1.58077836036682;1.65227174758911
555.969970703125;1.4443610906601;1.55499982833862;1.60313200950623
556.559997558594;1.40493822097778;1.5243376493454;1.58851182460785
557.010009765625;1.38382065296173;1.51287269592285;1.54031765460968
557.460021972656;1.40026259422302;1.50804650783539;1.50506925582886
558.049987792969;1.33054184913635;1.45665442943573;1.46940851211548
558.5;1.32149255275726;1.47554910182953;1.49433660507202
558.950012207031;1.31172716617584;1.42915868759155;1.48611891269684
559.549987792969;1.27384316921234;1.38244318962097;1.42351007461548
560;1.24236238002777;1.40788412094116;1.37939071655273
