Sample IDs:;251006_251002A_tht_4days;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
460;0.170496493577957;0.267379105091095;0.225395783782005
460.450012207031;0.162643730640411;0.2534259557724;0.229246661067009
461.059997558594;0.195899501442909;0.252716779708862;0.235245779156685
461.510009765625;0.186577796936035;0.27080225944519;0.249508634209633
461.959991455078;0.202307894825935;0.264033377170563;0.267741203308105
462.570007324219;0.194169417023659;0.268031537532806;0.244987353682518
463.029998779297;0.224704638123512;0.304209589958191;0.284032344818115
463.480010986328;0.197980001568794;0.300243198871613;0.282838582992554
463.929992675781;0.247924283146858;0.31438934803009;0.279785633087158
464.540008544922;0.222152456641197;0.329036712646484;0.307290554046631
465;0.245811060070992;0.326933443546295;0.304699599742889
465.450012207031;0.248465403914452;0.362840116024017;0.31070077419281
466.059997558594;0.251480281352997;0.383238673210144;0.306389629840851
466.510009765625;0.279260277748108;0.371575176715851;0.316844701766968
466.959991455078;0.266438841819763;0.391569316387177;0.333790123462677
467.570007324219;0.29050749540329;0.412211954593658;0.316933274269104
468.029998779297;0.280595123767853;0.39926141500473;0.367779731750488
468.480010986328;0.304583430290222;0.400799870491028;0.368707120418549
468.929992675781;0.291136801242828;0.432035028934479;0.359589517116547
469.540008544922;0.314781308174133;0.422795355319977;0.362628698348999
470;0.320274114608765;0.444301128387451;0.365304589271545
470.440002441406;0.331464469432831;0.466923415660858;0.364477217197418
471.040008544922;0.32553905248642;0.489163637161255;0.400982260704041
471.489990234375;0.319193363189697;0.465257465839386;0.392181754112244
471.940002441406;0.323331952095032;0.491759061813354;0.406359851360321
472.529998779297;0.315243303775787;0.503516733646393;0.409039914608002
472.980010986328;0.325183153152466;0.508967399597168;0.39940220117569
473.429992675781;0.31171190738678;0.534510254859924;0.436689555644989
474.019989013672;0.341413795948029;0.526278257369995;0.410171270370483
474.470001220703;0.329182088375092;0.534026324748993;0.437906920909882
475.070007324219;0.339494585990906;0.53890073299408;0.440006971359253
475.519989013672;0.364075422286987;0.562480568885803;0.431324660778046
475.970001220703;0.390866696834564;0.543988168239594;0.443707525730133
476.559997558594;0.35716187953949;0.583851873874664;0.453394532203674
477.010009765625;0.377241432666779;0.565993905067444;0.456857860088348
477.459991455078;0.414794147014618;0.55709320306778;0.451277256011963
478.049987792969;0.408267378807068;0.576389908790588;0.45750367641449
478.5;0.394835531711578;0.595522046089172;0.476550102233887
478.950012207031;0.408214867115021;0.598810315132141;0.463946521282196
479.549987792969;0.410282254219055;0.613992810249329;0.456198632717133
480;0.403234243392944;0.607310891151428;0.464652121067047
480.450012207031;0.423911690711975;0.617336988449097;0.470274806022644
481.059997558594;0.419725835323334;0.616172015666962;0.45566326379776
481.510009765625;0.43115246295929;0.614882051944733;0.463753581047058
481.959991455078;0.438455760478973;0.627580344676971;0.458923637866974
482.570007324219;0.446636855602264;0.618987679481506;0.468228399753571
483.029998779297;0.419165253639221;0.604318201541901;0.471918702125549
483.480010986328;0.439028859138489;0.623125195503235;0.478676557540894
483.929992675781;0.438231587409973;0.623676717281342;0.475778222084045
484.540008544922;0.426779448986053;0.617818892002106;0.489854276180267
485;0.414695799350738;0.608463943004608;0.484469473361969
485.450012207031;0.41847437620163;0.649451851844788;0.480946004390717
486.059997558594;0.42851722240448;0.628310978412628;0.479182958602905
486.510009765625;0.41430139541626;0.621257126331329;0.469151079654694
486.959991455078;0.398785650730133;0.642918288707733;0.46080756187439
487.570007324219;0.425599873065948;0.619440317153931;0.476524233818054
488.029998779297;0.400175154209137;0.630616903305054;0.481781601905823
488.480010986328;0.384576320648193;0.632099628448486;0.472343981266022
488.929992675781;0.397203207015991;0.588239014148712;0.461576640605927
489.540008544922;0.394631206989288;0.645714938640594;0.466186463832855
490;0.387004494667053;0.619153141975403;0.46799099445343
490.440002441406;0.379290759563446;0.59363979101181;0.466679930686951
491.040008544922;0.386858224868774;0.614989578723907;0.477769672870636
491.489990234375;0.399379849433899;0.612579107284546;0.467750310897827
491.940002441406;0.407468974590302;0.598026216030121;0.448419809341431
492.529998779297;0.380904376506805;0.604486227035522;0.458823204040527
492.980010986328;0.387173175811768;0.59115993976593;0.463254988193512
493.429992675781;0.398521244525909;0.587213158607483;0.464970707893372
494.019989013672;0.391061365604401;0.592094600200653;0.448304653167725
494.470001220703;0.384446859359741;0.582639932632446;0.460603356361389
495.070007324219;0.375539004802704;0.564147591590881;0.452317357063293
495.519989013672;0.393716096878052;0.575104236602783;0.45024174451828
495.970001220703;0.395460546016693;0.543351054191589;0.454435586929321
496.559997558594;0.381675839424133;0.560070931911468;0.429280519485474
497.010009765625;0.38130259513855;0.540095448493958;0.450723230838776
497.459991455078;0.361700236797333;0.538138687610626;0.444351375102997
498.049987792969;0.387737989425659;0.5169637799263;0.402932643890381
498.5;0.39645904302597;0.554232180118561;0.438344120979309
498.950012207031;0.379889965057373;0.53637421131134;0.436507821083069
499.549987792969;0.373526036739349;0.518980383872986;0.434470176696777
500;0.356706321239471;0.523643910884857;0.424787998199463
500.440002441406;0.372835338115692;0.514114618301392;0.412185847759247
501.040008544922;0.344986140727997;0.482832074165344;0.397340297698975
501.489990234375;0.396047711372375;0.49376916885376;0.39788419008255
501.940002441406;0.366354048252106;0.475618362426758;0.413862586021423
502.529998779297;0.367538928985596;0.48798930644989;0.408944129943848
502.980010986328;0.378856062889099;0.488085806369782;0.404189348220825
503.429992675781;0.369747281074524;0.471548974514008;0.425610482692719
504.019989013672;0.344548225402832;0.466967344284058;0.383887231349945
504.470001220703;0.35145890712738;0.485251843929291;0.431507170200348
505.070007324219;0.359585285186768;0.457204878330231;0.398708820343018
505.519989013672;0.36003178358078;0.454779624938965;0.407486736774445
505.970001220703;0.352203547954559;0.462575435638428;0.416182816028595
506.559997558594;0.353720903396606;0.469568967819214;0.39597225189209
507.010009765625;0.37307620048523;0.446127355098724;0.418354153633118
507.459991455078;0.349437594413757;0.444173812866211;0.405217826366425
508.049987792969;0.361820518970489;0.451656699180603;0.423642635345459
508.5;0.386285543441772;0.445592939853668;0.398213446140289
508.950012207031;0.374808728694916;0.447738587856293;0.431714534759521
509.549987792969;0.380511701107025;0.463952720165253;0.427625834941864
510;0.38643342256546;0.46470832824707;0.447113633155823
510.440002441406;0.40099173784256;0.468526184558868;0.439948618412018
511.040008544922;0.406952857971191;0.451648890972137;0.432550847530365
511.489990234375;0.422848224639893;0.458303987979889;0.442810356616974
511.940002441406;0.405070781707764;0.452633142471313;0.447359502315521
512.530029296875;0.398340284824371;0.472066104412079;0.469725787639618
512.97998046875;0.424381792545319;0.484964549541473;0.436165392398834
513.429992675781;0.418056845664978;0.478049874305725;0.460041701793671
514.02001953125;0.437028050422668;0.489954590797424;0.460689127445221
514.469970703125;0.428524374961853;0.478442490100861;0.443045556545258
515.070007324219;0.434205591678619;0.492364883422852;0.480551838874817
515.52001953125;0.426649570465088;0.495131850242615;0.459151089191437
515.969970703125;0.446816027164459;0.482696831226349;0.460757791996002
516.559997558594;0.435774385929108;0.448783874511719;0.461791932582855
517.010009765625;0.463111221790314;0.471222877502441;0.44501394033432
517.460021972656;0.441800951957703;0.473937332630157;0.463817536830902
518.049987792969;0.441617250442505;0.466365337371826;0.454527974128723
518.5;0.415308713912964;0.451920688152313;0.447374761104584
518.950012207031;0.426445603370666;0.462870240211487;0.423155844211578
519.549987792969;0.402258336544037;0.430156469345093;0.425761699676514
520;0.397680222988129;0.430683016777039;0.434683263301849
520.440002441406;0.400453567504883;0.451974391937256;0.419840514659882
521.02001953125;0.374404191970825;0.419837296009064;0.405317544937134
521.469970703125;0.372885525226593;0.399399697780609;0.411638379096985
522.049987792969;0.361350953578949;0.380944848060608;0.370475590229034
522.5;0.341743230819702;0.361103475093842;0.360972821712494
