Sample IDs:;251006_251002B_tht_4days;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
460;0.174990266561508;0.218222722411156;0.206761673092842
460.450012207031;0.182427227497101;0.213608548045158;0.208943232893944
461.059997558594;0.184404850006104;0.221436604857445;0.228110268712044
461.510009765625;0.189336091279984;0.237344339489937;0.230128362774849
461.959991455078;0.195507481694222;0.221253171563149;0.242782101035118
462.570007324219;0.199715688824654;0.231377229094505;0.246401712298393
463.029998779297;0.221466168761253;0.266976177692413;0.261272847652435
463.480010986328;0.192303135991097;0.258713841438293;0.266027092933655
463.929992675781;0.223874881863594;0.258576452732086;0.288772821426392
464.540008544922;0.235801711678505;0.284457921981812;0.282399475574493
465;0.245362505316734;0.292492806911468;0.28144770860672
465.450012207031;0.231286242604256;0.284379720687866;0.310136258602142
466.059997558594;0.248198166489601;0.284766614437103;0.305792152881622
466.510009765625;0.22921784222126;0.295818567276001;0.299311339855194
466.959991455078;0.260782241821289;0.293896496295929;0.317401528358459
467.570007324219;0.279953241348267;0.316907346248627;0.32718825340271
468.029998779297;0.269229769706726;0.32197767496109;0.334158718585968
468.480010986328;0.273373425006866;0.345834791660309;0.347187221050262
468.929992675781;0.274093568325043;0.352071344852447;0.342989087104797
469.540008544922;0.293432474136353;0.349622547626495;0.376085460186005
470;0.294522047042847;0.3454829454422;0.336148262023926
470.440002441406;0.326624155044556;0.362691581249237;0.371094644069672
471.040008544922;0.294184744358063;0.374496042728424;0.387616217136383
471.489990234375;0.307092845439911;0.395133852958679;0.38905668258667
471.940002441406;0.314681828022003;0.37691742181778;0.380599021911621
472.529998779297;0.323444962501526;0.363566815853119;0.392251074314117
472.980010986328;0.311484456062317;0.405713260173798;0.416348040103912
473.429992675781;0.318424940109253;0.407924592494965;0.415888667106628
474.019989013672;0.341186702251434;0.402552306652069;0.403900027275085
474.470001220703;0.338873565196991;0.423703968524933;0.421737194061279
475.070007324219;0.34247899055481;0.421148240566254;0.434527933597565
475.519989013672;0.338680922985077;0.440498888492584;0.416224420070648
475.970001220703;0.363761603832245;0.432963728904724;0.447409927845001
476.559997558594;0.359274089336395;0.425272405147553;0.426408767700195
477.010009765625;0.36427229642868;0.414482116699219;0.443954825401306
477.459991455078;0.37248694896698;0.432869374752045;0.429797649383545
478.049987792969;0.37026458978653;0.451813399791718;0.445930540561676
478.5;0.405305683612823;0.427159607410431;0.461256563663483
478.950012207031;0.366408824920654;0.416153728961945;0.443921625614166
479.549987792969;0.395097613334656;0.445542097091675;0.431033551692963
480;0.3952796459198;0.429067313671112;0.442039608955383
480.450012207031;0.396967351436615;0.458254396915436;0.457736074924469
481.059997558594;0.423724830150604;0.443243026733398;0.461162745952606
481.510009765625;0.415727555751801;0.444330036640167;0.464556515216827
481.959991455078;0.413501024246216;0.462372004985809;0.477158546447754
482.570007324219;0.415464341640472;0.440180778503418;0.468266427516937
483.029998779297;0.404808104038239;0.478858709335327;0.474222362041473
483.480010986328;0.409011602401733;0.454332172870636;0.474309384822845
483.929992675781;0.429906249046326;0.484569668769836;0.485201239585876
484.540008544922;0.432551681995392;0.47210955619812;0.473476350307465
485;0.453256070613861;0.451839029788971;0.475090801715851
485.450012207031;0.420651018619537;0.468851327896118;0.458289682865143
486.059997558594;0.445171058177948;0.460794389247894;0.471299946308136
486.510009765625;0.433557868003845;0.457611083984375;0.460335731506348
486.959991455078;0.443993330001831;0.450643360614777;0.501606822013855
487.570007324219;0.448403060436249;0.450252294540405;0.49248880147934
488.029998779297;0.465027511119843;0.471540093421936;0.469904482364655
488.480010986328;0.449015974998474;0.455793857574463;0.482944309711456
488.929992675781;0.460919737815857;0.460662961006165;0.467749953269959
489.540008544922;0.449696898460388;0.474618077278137;0.448921978473663
490;0.469287812709808;0.456486225128174;0.479262292385101
490.440002441406;0.479856073856354;0.465868651866913;0.462268114089966
491.040008544922;0.478778660297394;0.474224507808685;0.468840360641479
491.489990234375;0.465062081813812;0.443916499614716;0.4532750248909
491.940002441406;0.477658629417419;0.434153199195862;0.437775075435638
492.529998779297;0.468531131744385;0.455327153205872;0.478876948356628
492.980010986328;0.461674988269806;0.443967044353485;0.453360438346863
493.429992675781;0.477244079113007;0.437009215354919;0.477994740009308
494.019989013672;0.510325253009796;0.456100106239319;0.42817234992981
494.470001220703;0.507052779197693;0.441091597080231;0.451505482196808
495.070007324219;0.492217302322388;0.443888545036316;0.429495692253113
