Sample IDs:;251003_251002K_tht_1days;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
460;0.247286304831505;0.229635253548622;0.246982589364052
460.450012207031;0.245923087000847;0.234202578663826;0.244545832276344
461.059997558594;0.247143641114235;0.241754576563835;0.239423289895058
461.510009765625;0.255501836538315;0.265722095966339;0.257941782474518
461.959991455078;0.264365553855896;0.275660485029221;0.279041677713394
462.570007324219;0.275743275880814;0.266161531209946;0.27829310297966
463.029998779297;0.284896910190582;0.26680463552475;0.3080974817276
463.480010986328;0.291151106357574;0.290408939123154;0.303351551294327
463.929992675781;0.298692882061005;0.299782484769821;0.300908476114273
464.540008544922;0.301128089427948;0.306101441383362;0.291202008724213
465;0.341458886861801;0.313044905662537;0.318571388721466
465.450012207031;0.330573379993439;0.316037863492966;0.317947745323181
466.059997558594;0.336977243423462;0.339424639940262;0.342417448759079
466.510009765625;0.349676847457886;0.334570288658142;0.363294571638107
466.959991455078;0.343434065580368;0.351553559303284;0.34845757484436
467.570007324219;0.385191053152084;0.374242156744003;0.362722009420395
468.029998779297;0.408608227968216;0.376100718975067;0.352753341197968
468.480010986328;0.384777635335922;0.376902341842651;0.39734810590744
468.929992675781;0.402462154626846;0.382707238197327;0.402290761470795
469.540008544922;0.423182785511017;0.400672733783722;0.413208723068237
470;0.426363885402679;0.432354003190994;0.415740996599197
470.440002441406;0.441190153360367;0.412120938301086;0.434130251407623
471.040008544922;0.404809921979904;0.415387272834778;0.449549168348312
471.489990234375;0.438908815383911;0.422914296388626;0.434767037630081
471.940002441406;0.456909984350204;0.428358405828476;0.444271594285965
472.529998779297;0.47004297375679;0.44729408621788;0.465037673711777
472.980010986328;0.479592770338058;0.455905050039291;0.504925489425659
473.429992675781;0.461764186620712;0.463708847761154;0.493388146162033
474.019989013672;0.46073654294014;0.490529328584671;0.508415281772614
474.470001220703;0.464289754629135;0.475513011217117;0.512483894824982
475.070007324219;0.507400453090668;0.480362385511398;0.487554103136063
475.519989013672;0.510649085044861;0.491213649511337;0.491323679685593
475.970001220703;0.5119509100914;0.483869761228561;0.490007370710373
476.559997558594;0.516052305698395;0.490585535764694;0.501288950443268
477.010009765625;0.51580274105072;0.490991324186325;0.506966710090637
477.459991455078;0.527428150177002;0.530794441699982;0.522548496723175
478.049987792969;0.536614537239075;0.529060840606689;0.514754772186279
478.5;0.525518953800201;0.503765821456909;0.531264066696167
478.950012207031;0.534074068069458;0.482587724924088;0.526220500469208
479.549987792969;0.563104391098022;0.512493193149567;0.538742542266846
480;0.548183977603912;0.569415748119354;0.54027658700943
480.450012207031;0.572739899158478;0.53755509853363;0.539406180381775
481.059997558594;0.523842632770538;0.518407583236694;0.559479296207428
481.510009765625;0.572275221347809;0.510643601417542;0.554749727249146
481.959991455078;0.53705883026123;0.537841200828552;0.544954180717468
482.570007324219;0.58721387386322;0.561585545539856;0.526377141475678
483.029998779297;0.558001518249512;0.548767805099487;0.571394741535187
483.480010986328;0.573391675949097;0.546564698219299;0.581157922744751
483.929992675781;0.572149157524109;0.534876108169556;0.542119264602661
484.540008544922;0.579614460468292;0.570533692836761;0.560680329799652
485;0.58027184009552;0.561280369758606;0.557401835918426
485.450012207031;0.581768095493317;0.528056502342224;0.560984194278717
486.059997558594;0.574912488460541;0.550561368465424;0.570931851863861
486.510009765625;0.581767737865448;0.539575278759003;0.580837309360504
486.959991455078;0.581460416316986;0.579053938388824;0.563066363334656
487.570007324219;0.576217472553253;0.544120967388153;0.582188189029694
488.029998779297;0.579700469970703;0.558641016483307;0.571776747703552
488.480010986328;0.58567202091217;0.554189920425415;0.580272138118744
488.929992675781;0.569933474063873;0.550740838050842;0.577389419078827
489.540008544922;0.567797780036926;0.55139684677124;0.57482773065567
490;0.567304313182831;0.55796492099762;0.542312145233154
490.440002441406;0.581797778606415;0.555499315261841;0.56843113899231
