Sample IDs:;251006_251002Q_tht_4days;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
460;3.56865668296814;3.48216271400452;3.58206582069397
460.450012207031;3.71670889854431;3.58412051200867;3.65096139907837
461.059997558594;3.95925903320313;3.83537244796753;3.92017555236816
461.510009765625;4.15714025497437;4.01076698303223;4.11797380447388
461.959991455078;4.4083399772644;4.26411199569702;4.31848812103271
462.570007324219;4.66966724395752;4.44992160797119;4.66758108139038
463.029998779297;4.8965539932251;4.65535926818848;4.85466194152832
463.480010986328;5.22371625900269;4.93313312530518;5.06789255142212
463.929992675781;5.3945779800415;5.1217770576477;5.22212696075439
464.540008544922;5.70417165756226;5.41175270080566;5.56839466094971
465;5.81850051879883;5.59585428237915;5.83104133605957
465.450012207031;5.99428939819336;5.78665637969971;5.96726322174072
466.059997558594;6.28489875793457;6.10618257522583;6.3416919708252
466.510009765625;6.32234954833984;6.26298904418945;6.46685695648193
466.959991455078;6.59913492202759;6.5069785118103;6.69726705551148
467.570007324219;6.78605318069458;6.74395227432251;6.97786808013916
468.029998779297;7.05114078521729;6.95255136489868;7.21575736999512
468.480010986328;7.18444490432739;7.24647903442383;7.38698053359985
468.929992675781;7.22118902206421;7.27065372467041;7.5393500328064
469.540008544922;7.63300514221191;7.60817861557007;7.90287685394287
470;7.62759447097778;7.87346458435059;7.98523473739624
470.440002441406;7.89026308059692;7.99858808517456;8.1835994720459
471.040008544922;8.07084083557129;8.29666233062744;8.37608051300049
471.489990234375;8.13824367523193;8.36650276184082;8.50351619720459
471.940002441406;8.23241233825684;8.51433277130127;8.70738792419434
472.529998779297;8.47348308563232;8.75253009796143;8.93822193145752
472.980010986328;8.77082252502441;8.79427146911621;9.20846557617187
473.429992675781;8.81075763702393;9.05714511871338;9.22803783416748
474.019989013672;9.01802253723145;9.2828369140625;9.37353801727295
474.470001220703;9.19075584411621;9.31365489959717;9.53615760803223
475.070007324219;9.32243728637695;9.4960241317749;9.73036766052246
475.519989013672;9.6118106842041;9.53297996520996;9.722900390625
475.970001220703;9.67455291748047;9.81035709381103;9.81549453735352
476.559997558594;9.84813404083252;9.76474857330322;9.98205947875977
477.010009765625;10.0568828582764;9.9296293258667;9.95688533782959
477.459991455078;10.0418109893799;9.93285465240478;10.0115346908569
478.049987792969;10.1684198379517;9.97233295440674;10.2057304382324
478.5;10.163685798645;10.0167894363403;10.1839904785156
478.950012207031;10.3081064224243;10.1290645599365;10.2662029266357
479.549987792969;10.4907188415527;10.2218255996704;10.3195381164551
480;10.5969181060791;10.3092775344849;10.3183755874634
480.450012207031;10.6205368041992;10.2776441574097;10.3285312652588
481.059997558594;10.6730079650879;10.4202976226807;10.3785200119019
481.510009765625;10.6756391525269;10.3695554733276;10.4044332504272
481.959991455078;10.8279085159302;10.3281698226929;10.3971681594849
