Sample IDs:;251003_251002I_tht_1days;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
460;0.242612197995186;0.291458606719971;0.333584249019623
460.450012207031;0.25452932715416;0.278257519006729;0.331799566745758
461.059997558594;0.268361181020737;0.289606392383575;0.332388579845428
461.510009765625;0.260498493909836;0.294822037220001;0.343612402677536
461.959991455078;0.289745092391968;0.319256037473679;0.366891652345657
462.570007324219;0.280468732118607;0.339526414871216;0.386772274971008
463.029998779297;0.296597689390182;0.33076348900795;0.390526443719864
463.480010986328;0.311314404010773;0.364362776279449;0.401297748088837
463.929992675781;0.322662025690079;0.380985945463181;0.408232271671295
464.540008544922;0.318368345499039;0.374238342046738;0.419445514678955
465;0.341073274612427;0.375063061714172;0.456086128950119
465.450012207031;0.363038092851639;0.411876708269119;0.451126366853714
466.059997558594;0.362857729196548;0.41711151599884;0.463703781366348
466.510009765625;0.355766981840134;0.406661033630371;0.46146622300148
466.959991455078;0.366721659898758;0.415038377046585;0.506595075130463
467.570007324219;0.374626964330673;0.455844074487686;0.499062389135361
468.029998779297;0.379536747932434;0.460679441690445;0.536833882331848
468.480010986328;0.409552991390228;0.492337673902512;0.533972859382629
468.929992675781;0.415242314338684;0.490220338106155;0.554460287094116
469.540008544922;0.419289231300354;0.484991937875748;0.563140749931335
470;0.440827816724777;0.538980305194855;0.596783936023712
470.440002441406;0.459140092134476;0.528413832187653;0.606314957141876
471.040008544922;0.475995808839798;0.544455766677856;0.626596927642822
471.489990234375;0.467087298631668;0.552983701229095;0.630405187606812
471.940002441406;0.463494151830673;0.569207370281219;0.611894428730011
472.529998779297;0.471244305372238;0.558229923248291;0.638883888721466
472.980010986328;0.477559059858322;0.564665794372559;0.660664260387421
473.429992675781;0.477660149335861;0.560329258441925;0.665049016475677
474.019989013672;0.490335017442703;0.576232433319092;0.694117963314056
474.470001220703;0.524417519569397;0.596006333827972;0.708718717098236
475.070007324219;0.532971739768982;0.588701725006104;0.699999868869782
475.519989013672;0.546650052070618;0.601060330867767;0.742285490036011
475.970001220703;0.540960133075714;0.604168057441711;0.723593950271606
476.559997558594;0.54740035533905;0.62800407409668;0.742371261119843
477.010009765625;0.548814117908478;0.619949162006378;0.737731218338013
477.459991455078;0.557300984859467;0.636908054351807;0.790651679039001
478.049987792969;0.555966794490814;0.62719339132309;0.749624609947205
478.5;0.568956851959229;0.652886033058167;0.782112061977386
478.950012207031;0.547483861446381;0.629741728305817;0.764451563358307
479.549987792969;0.56440943479538;0.660653054714203;0.805783867835999
480;0.591248035430908;0.656628429889679;0.799690425395966
480.450012207031;0.527576446533203;0.647198855876923;0.821014106273651
481.059997558594;0.562832057476044;0.673808395862579;0.827262818813324
481.510009765625;0.583060145378113;0.673880577087402;0.823671579360962
481.959991455078;0.574213325977325;0.680815160274506;0.806809663772583
482.570007324219;0.574597001075745;0.676021873950958;0.812129139900207
483.029998779297;0.576099157333374;0.687175750732422;0.841682493686676
483.480010986328;0.594982624053955;0.684762358665466;0.81674587726593
483.929992675781;0.588054180145264;0.684017598628998;0.825378596782684
484.540008544922;0.584851741790771;0.68069988489151;0.820350110530853
485;0.59826010465622;0.686527907848358;0.831849098205566
485.450012207031;0.587394177913666;0.697825729846954;0.847151041030884
486.059997558594;0.576753437519074;0.69899320602417;0.824108719825745
486.510009765625;0.589384853839874;0.688193678855896;0.842220425605774
486.959991455078;0.601093590259552;0.717419147491455;0.833385467529297
487.570007324219;0.595868527889252;0.708957314491272;0.890653550624847
488.029998779297;0.601591169834137;0.69385153055191;0.837769865989685
488.480010986328;0.583969533443451;0.703037619590759;0.827520728111267
488.929992675781;0.60593831539154;0.688292324542999;0.859113156795502
489.540008544922;0.586955428123474;0.722398519515991;0.857738196849823
490;0.605955541133881;0.709797739982605;0.868335604667664
490.440002441406;0.589178562164307;0.715664565563202;0.848163664340973
491.040008544922;0.589347243309021;0.690786480903625;0.861911952495575
491.489990234375;0.582983136177063;0.70717990398407;0.86976033449173
491.940002441406;0.592431664466858;0.673960149288178;0.875307500362396
492.529998779297;0.607350945472717;0.715320289134979;0.84822404384613
492.980010986328;0.591280579566956;0.702938735485077;0.855612635612488
493.429992675781;0.593827784061432;0.683799862861633;0.833241462707519
494.019989013672;0.573986947536468;0.69368577003479;0.856407284736633
494.470001220703;0.58734929561615;0.677976906299591;0.830054104328156
495.070007324219;0.613226354122162;0.661091029644012;0.833365142345428
495.519989013672;0.580071806907654;0.685490965843201;0.839495897293091
495.970001220703;0.570196092128754;0.668718278408051;0.822652518749237
496.559997558594;0.571103453636169;0.679741322994232;0.833680689334869
497.010009765625;0.586534917354584;0.656653463840485;0.824147522449493
497.459991455078;0.569728016853333;0.645904779434204;0.800745069980621
498.049987792969;0.546221017837524;0.671845197677612;0.82439774274826
498.5;0.565997660160065;0.682419836521149;0.80159729719162
498.950012207031;0.571839392185211;0.653065204620361;0.822597086429596
499.549987792969;0.555737972259521;0.647729158401489;0.797575950622559
500;0.567386448383331;0.652349293231964;0.799343943595886
500.440002441406;0.55453884601593;0.651606440544128;0.797344326972961
501.040008544922;0.566410064697266;0.639025211334228;0.787278056144714
501.489990234375;0.540300130844116;0.623777568340302;0.77841067314148
501.940002441406;0.547019600868225;0.639908015727997;0.780376076698303
502.529998779297;0.521510303020477;0.625831782817841;0.772263169288635
502.980010986328;0.536999106407166;0.63627028465271;0.799216985702515
503.429992675781;0.551076948642731;0.61734014749527;0.805286884307861
504.019989013672;0.534289538860321;0.646475553512573;0.77978652715683
504.470001220703;0.515529632568359;0.646733999252319;0.775270462036133
505.070007324219;0.538267552852631;0.630472540855408;0.795848608016968
505.519989013672;0.538238406181335;0.635312616825104;0.769066870212555
505.970001220703;0.531169891357422;0.638591468334198;0.7576544880867
506.559997558594;0.547300696372986;0.608819127082825;0.788156032562256
507.010009765625;0.544714450836182;0.655113697052002;0.767291724681854
507.459991455078;0.53994882106781;0.618504703044891;0.770870804786682
508.049987792969;0.524658799171448;0.637212872505188;0.771808862686157
508.5;0.545388221740723;0.625325798988342;0.791742384433746
508.950012207031;0.53510719537735;0.632297933101654;0.778922319412231
509.549987792969;0.558319807052612;0.620164692401886;0.795120656490326
510;0.541918933391571;0.660472333431244;0.797632992267609
510.440002441406;0.553496181964874;0.645705103874207;0.767172634601593
511.040008544922;0.543425440788269;0.643538594245911;0.800928771495819
511.489990234375;0.579573333263397;0.659580051898956;0.791036546230316
511.940002441406;0.589119911193848;0.67576789855957;0.791741788387299
512.530029296875;0.562735795974731;0.665662407875061;0.783540368080139
512.97998046875;0.584699213504791;0.659009277820587;0.783113598823547
513.429992675781;0.59392386674881;0.661494731903076;0.796396136283875
514.02001953125;0.593952894210815;0.656172692775726;0.791757643222809
514.469970703125;0.589569389820099;0.647111713886261;0.801205813884735
515.070007324219;0.582876682281494;0.695414245128632;0.8099604845047
515.52001953125;0.60534006357193;0.678853332996368;0.800204038619995
515.969970703125;0.604356169700623;0.685906827449799;0.773676097393036
516.559997558594;0.58749920129776;0.661557734012604;0.802704393863678
517.010009765625;0.587115347385406;0.648996472358704;0.749467790126801
517.460021972656;0.591045916080475;0.656317293643951;0.789758145809174
518.049987792969;0.561694622039795;0.64711856842041;0.784517049789429
518.5;0.559564769268036;0.632693648338318;0.76965868473053
518.950012207031;0.570039868354797;0.620184361934662;0.730497479438782
519.549987792969;0.549199640750885;0.621494591236115;0.738159716129303
520;0.525013625621796;0.612038195133209;0.754106163978577
520.440002441406;0.560119688510895;0.609601736068726;0.729204177856445
521.02001953125;0.509539663791657;0.589182436466217;0.715076386928558
521.469970703125;0.509853482246399;0.564526617527008;0.697947680950165
522.049987792969;0.492346435785294;0.549713671207428;0.674680233001709
522.5;0.49305734038353;0.546521604061127;0.624826073646545
522.940002441406;0.468615561723709;0.52308851480484;0.650646448135376
523.52001953125;0.452282398939133;0.489972800016403;0.631982266902924
523.969970703125;0.423902809619904;0.503831684589386;0.643421769142151
524.549987792969;0.397016286849976;0.493436008691788;0.616173148155212
525;0.419047445058823;0.466876655817032;0.591483950614929
525.440002441406;0.412692874670029;0.470114856958389;0.567948520183563
526.02001953125;0.379246383905411;0.474718898534775;0.557857632637024
526.469970703125;0.390540450811386;0.446267992258072;0.529576778411865
527.049987792969;0.388191312551498;0.428446173667908;0.516456246376038
527.5;0.360961228609085;0.434252321720123;0.513081610202789
527.940002441406;0.347539186477661;0.402783513069153;0.540835320949554
528.52001953125;0.346937626600265;0.418390154838562;0.529782652854919
528.969970703125;0.337054342031479;0.397211968898773;0.511722564697266
529.549987792969;0.353496789932251;0.390272051095962;0.479409068822861
530;0.325457185506821;0.39400577545166;0.481170147657394
530.440002441406;0.318113505840302;0.394706100225449;0.479979664087296
531.039978027344;0.30827397108078;0.378739684820175;0.460705906152725
531.489990234375;0.313679963350296;0.361245900392532;0.468354016542435
531.940002441406;0.318355113267899;0.352257192134857;0.460866302251816
532.530029296875;0.292067289352417;0.370497465133667;0.434837192296982
532.97998046875;0.307469636201858;0.367082059383392;0.442623108625412
533.429992675781;0.288665413856506;0.331866830587387;0.443782031536102
534.02001953125;0.301733672618866;0.348695576190948;0.421163231134415
534.469970703125;0.273944675922394;0.326466530561447;0.423472851514816
535.070007324219;0.271213531494141;0.331917703151703;0.420401632785797
535.52001953125;0.274469137191772;0.33816534280777;0.419361144304276
535.969970703125;0.30359011888504;0.352708429098129;0.422942310571671
536.559997558594;0.268071472644806;0.337055504322052;0.424415469169617
537.010009765625;0.273605734109879;0.330472320318222;0.404190897941589
537.460021972656;0.272827595472336;0.332106709480286;0.395873725414276
538.049987792969;0.248937800526619;0.297464221715927;0.395515203475952
538.5;0.264817655086517;0.322326123714447;0.385493814945221
538.950012207031;0.252601742744446;0.327348500490189;0.394597500562668
539.549987792969;0.258337646722794;0.300225496292114;0.383424788713455
540;0.250049650669098;0.296181946992874;0.377138197422028
540.440002441406;0.24897675216198;0.289178848266602;0.371491819620132
541.02001953125;0.224694982171059;0.284636050462723;0.373896777629852
541.469970703125;0.235447451472282;0.291201442480087;0.365793466567993
542.049987792969;0.228766873478889;0.281676262617111;0.379961013793945
542.5;0.241133078932762;0.273945152759552;0.358908891677856
542.940002441406;0.213270023465157;0.266664922237396;0.368611246347427
543.52001953125;0.235907182097435;0.280116766691208;0.356155663728714
543.969970703125;0.223273560404778;0.288356631994247;0.347327411174774
544.549987792969;0.233290478587151;0.246653720736504;0.33546507358551
545;0.239064052700996;0.25740110874176;0.343323588371277
545.440002441406;0.21667517721653;0.269375175237656;0.350291609764099
546.02001953125;0.215233966708183;0.25383648276329;0.33027571439743
546.469970703125;0.208491668105125;0.255042046308517;0.31605738401413
547.049987792969;0.223064288496971;0.251831620931625;0.310581296682358
547.5;0.215790376067162;0.240376338362694;0.310343861579895
547.940002441406;0.202328488230705;0.243200734257698;0.316031366586685
548.52001953125;0.179671943187714;0.231001302599907;0.289367020130157
548.969970703125;0.194195300340652;0.255782961845398;0.298073470592499
549.549987792969;0.195613175630569;0.228113576769829;0.302084356546402
550;0.207525208592415;0.232401981949806;0.292463183403015
550.440002441406;0.181421548128128;0.237476482987404;0.287636667490006
551.039978027344;0.187681749463081;0.216967776417732;0.280103921890259
551.489990234375;0.179111108183861;0.229146018624306;0.28958448767662
551.940002441406;0.180483371019363;0.21001772582531;0.270848006010056
552.530029296875;0.171597078442574;0.217727527022362;0.292104631662369
552.97998046875;0.172366812825203;0.210455283522606;0.293674111366272
553.429992675781;0.169184729456902;0.208894923329353;0.277386218309402
554.02001953125;0.174323469400406;0.228870496153831;0.257529884576797
554.469970703125;0.179288685321808;0.203276976943016;0.269369125366211
555.070007324219;0.180490598082542;0.208794668316841;0.255699396133423
555.52001953125;0.184508949518204;0.175697445869446;0.260736525058746
555.969970703125;0.155786320567131;0.209751859307289;0.257476210594177
556.559997558594;0.149007692933083;0.184019953012466;0.240896418690681
557.010009765625;0.164412885904312;0.204353109002113;0.259958684444427
557.460021972656;0.151490539312363;0.189305350184441;0.248129025101662
558.049987792969;0.147359728813171;0.180648908019066;0.247422143816948
558.5;0.159092098474503;0.198903277516365;0.237352028489113
558.950012207031;0.146331965923309;0.179824098944664;0.228173837065697
559.549987792969;0.139729127287865;0.18812669813633;0.235942676663399
560;0.148365467786789;0.176013290882111;0.245047435164452
