Sample IDs:;251003_251002J_tht_1days;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
460;0.274727046489716;0.276619523763657;0.280867904424667
460.450012207031;0.253733575344086;0.259923309087753;0.2739597260952
461.059997558594;0.246085301041603;0.265259206295013;0.290572106838226
461.510009765625;0.267571359872818;0.277685314416885;0.28518071770668
461.959991455078;0.273221492767334;0.299119144678116;0.322305619716644
462.570007324219;0.301391750574112;0.318130105733871;0.317212909460068
463.029998779297;0.309186935424805;0.328380346298218;0.351768374443054
463.480010986328;0.326114058494568;0.33274108171463;0.365127950906754
463.929992675781;0.310221314430237;0.327990591526031;0.321314722299576
464.540008544922;0.34285569190979;0.347505390644073;0.355993568897247
465;0.331707566976547;0.374253273010254;0.400276333093643
465.450012207031;0.356657862663269;0.3575419485569;0.390343099832535
466.059997558594;0.371049523353577;0.38279977440834;0.408037155866623
466.510009765625;0.381651997566223;0.392007380723953;0.411072641611099
466.959991455078;0.366349399089813;0.396809875965118;0.412988871335983
467.570007324219;0.406021744012833;0.39401376247406;0.422197103500366
468.029998779297;0.403689086437225;0.445332497358322;0.441116213798523
468.480010986328;0.419882476329803;0.452940255403519;0.456587702035904
468.929992675781;0.425691902637482;0.452047258615494;0.482179969549179
469.540008544922;0.437460035085678;0.449353069067001;0.498262315988541
470;0.43933093547821;0.475077122449875;0.481792062520981
470.440002441406;0.432919025421143;0.493964463472366;0.516346275806427
471.040008544922;0.48443791270256;0.483747571706772;0.522130846977234
471.489990234375;0.456182330846786;0.50312876701355;0.516046702861786
471.940002441406;0.474978476762772;0.520982623100281;0.519509673118591
472.529998779297;0.501091480255127;0.495723575353622;0.549460291862488
472.980010986328;0.499060660600662;0.529427468776703;0.537416875362396
473.429992675781;0.515679240226746;0.53296571969986;0.585162460803986
474.019989013672;0.510064363479614;0.55277281999588;0.571231603622437
474.470001220703;0.502862989902496;0.549684047698975;0.566381573677063
475.070007324219;0.51252692937851;0.554274499416351;0.564653098583221
475.519989013672;0.535698056221008;0.568833231925964;0.606360614299774
475.970001220703;0.51935464143753;0.567938685417175;0.580990552902222
476.559997558594;0.559329986572266;0.583747386932373;0.596194982528686
477.010009765625;0.551425933837891;0.608312666416168;0.620824217796326
477.459991455078;0.55668443441391;0.587287068367004;0.573492765426636
478.049987792969;0.562392473220825;0.590629935264587;0.630057156085968
478.5;0.59249222278595;0.603724539279938;0.628486931324005
478.950012207031;0.568236351013184;0.589898705482483;0.633011281490326
479.549987792969;0.553815901279449;0.61819988489151;0.63463968038559
480;0.579603910446167;0.605881989002228;0.633972823619843
480.450012207031;0.56149697303772;0.641617000102997;0.641735374927521
481.059997558594;0.588137626647949;0.62306135892868;0.643819272518158
481.510009765625;0.593157231807709;0.616353631019592;0.647652864456177
481.959991455078;0.59834623336792;0.612920582294464;0.647087514400482
482.570007324219;0.597732603549957;0.617994070053101;0.635932624340057
483.029998779297;0.586650907993317;0.598380208015442;0.661674082279205
483.480010986328;0.585844337940216;0.640802502632141;0.660803437232971
483.929992675781;0.596033453941345;0.619610667228699;0.666954398155212
484.540008544922;0.60705292224884;0.625876486301422;0.675149500370026
485;0.594100952148438;0.61247718334198;0.652865648269653
485.450012207031;0.577952980995178;0.640472531318665;0.67795318365097
486.059997558594;0.582118332386017;0.623205125331879;0.682647228240967
486.510009765625;0.601479113101959;0.635279536247253;0.657679200172424
486.959991455078;0.583206295967102;0.633691132068634;0.652823269367218
487.570007324219;0.589749872684479;0.618143320083618;0.679989457130432
488.029998779297;0.593205332756042;0.642635464668274;0.6768838763237
488.480010986328;0.610359013080597;0.650345206260681;0.655965507030487
488.929992675781;0.577406048774719;0.659727334976196;0.668624639511108
489.540008544922;0.602771759033203;0.623757660388947;0.641298115253448
490;0.592928290367127;0.628006041049957;0.656944870948792
490.440002441406;0.609442234039307;0.627319574356079;0.65150785446167
491.040008544922;0.591363489627838;0.620649993419647;0.621107459068298
491.489990234375;0.590883016586304;0.583738327026367;0.684611856937408
491.940002441406;0.590872228145599;0.632627069950104;0.66570907831192
492.529998779297;0.596573054790497;0.612377226352692;0.663737177848816
492.980010986328;0.582516968250275;0.625011920928955;0.614186525344849
493.429992675781;0.557398974895477;0.605712950229645;0.648298025131226
494.019989013672;0.568928778171539;0.615643322467804;0.642080247402191
494.470001220703;0.599346578121185;0.613936483860016;0.623171031475067
495.070007324219;0.55961000919342;0.618964493274689;0.628803372383118
495.519989013672;0.574565052986145;0.611647963523865;0.647294938564301
495.970001220703;0.583571970462799;0.585456728935242;0.636429190635681
496.559997558594;0.590315699577332;0.601764500141144;0.632516920566559
497.010009765625;0.569600403308868;0.624215722084045;0.628058552742004
497.459991455078;0.554445207118988;0.582320034503937;0.634404540061951
498.049987792969;0.534350752830505;0.593865931034088;0.608540415763855
