Sample IDs:;251002_buffer;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
460;0.0833525210618973;0.030622772872448;0.0334120243787766
460.450012207031;0.0924154669046402;0.0337908938527107;0.0312895849347115
461.059997558594;0.0709878653287888;0.0343075469136238;0.0282480269670486
461.510009765625;0.0821862295269966;0.028448298573494;0.0446325987577438
461.959991455078;0.0780259519815445;0.0392954163253307;0.0279835872352123
462.570007324219;0.0595940127968788;0.0276098735630512;0.0280992649495602
463.029998779297;0.0807557627558708;0.0306192003190517;0.0329263918101788
463.480010986328;0.0747648403048515;0.0270689316093922;0.0302449092268944
463.929992675781;0.0543932095170021;0.0308428294956684;0.0200127586722374
464.540008544922;0.0541732311248779;0.0348209179937839;0.028916846960783
465;0.0492566712200642;0.0181640423834324;0.0313806608319283
465.450012207031;0.0408928878605366;0.030906617641449;0.0160472840070724
466.059997558594;0.0535224825143814;0.00615227594971657;0.0187070462852716
466.510009765625;0.0433805473148823;0.0215359330177307;0.0316050015389919
466.959991455078;0.0385500676929951;0.014853447675705;0.0261353850364685
467.570007324219;0.0436153262853622;0.0245275534689426;0.0285245515406132
468.029998779297;0.0511447340250015;0.0109861493110657;0.0155169293284416
468.480010986328;0.0504327081143856;0.020213209092617;0.0110234543681145
468.929992675781;0.0361562743782997;0.00125597324222326;0.015873946249485
469.540008544922;0.0445738919079304;0.0138753447681665;0.024652112275362
470;0.0261133275926113;0.00903220660984516;0.0110664553940296
470.440002441406;0.0281196907162666;0.0154050551354885;0.00613519549369812
471.040008544922;0.0245114862918854;0.000273999758064747;0.0100193787366152
471.489990234375;0.0144412573426962;0.00512192025780678;0.0202295519411564
471.940002441406;0.0323233231902122;0.0108846481889486;0.0163397509604692
472.529998779297;0.0333537198603153;0.0138919334858656;0.0167954843491316
472.980010986328;0.0296952463686466;0.016935084015131;0.00700572319328785
473.429992675781;0.0213656984269619;0.0115421898663044;0.0279573313891888
474.019989013672;0.0171304848045111;0.0140634812414646;0.00219594221562147
474.470001220703;0.0191640220582485;0.00528321787714958;0.0151821579784155
475.070007324219;0.0241106338799;0.00716262124478817;0.0114221815019846
475.519989013672;0.0228685811161995;0.013671537861228;0.00797355175018311
475.970001220703;0.0258499346673489;0.00731605105102062;0.0171744152903557
476.559997558594;0.021474227309227;0.00978616811335087;0.0147172752767801
477.010009765625;0.0201503299176693;0.0122797321528196;0.0131694562733173
477.459991455078;0.0141330901533365;-0.00254175532609224;-0.00124378222972155
