Sample IDs:;251006_251002P_tht_4days;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
460;3.9762167930603;4.23499393463135;3.75642347335815
460.450012207031;4.09328317642212;4.41140508651733;3.93262815475464
461.059997558594;4.44137239456177;4.72791576385498;4.27791166305542
461.510009765625;4.66718769073486;4.90828990936279;4.42086505889893
461.959991455078;4.91777038574219;5.14735841751099;4.59834289550781
462.570007324219;5.35392618179321;5.49741840362549;5.06518745422363
463.029998779297;5.55135488510132;5.64764308929443;5.16107130050659
463.480010986328;5.85581827163696;5.93082237243652;5.43793964385986
463.929992675781;6.12007236480713;6.1289758682251;5.62810611724854
464.540008544922;6.50996351242065;6.54716730117798;6.02252626419067
465;6.72165441513062;6.72202301025391;6.30742931365967
465.450012207031;7.02852582931519;6.95909547805786;6.42653274536133
466.059997558594;7.51318311691284;7.34637022018433;6.74762010574341
466.510009765625;7.72053956985474;7.58769845962524;6.93709278106689
466.959991455078;8.05243492126465;7.91466903686523;7.21010446548462
467.570007324219;8.37770843505859;8.16422176361084;7.47221517562866
468.029998779297;8.80386066436768;8.44039726257324;7.82231473922729
468.480010986328;9.11557292938232;8.71278476715088;8.00198078155518
468.929992675781;9.37720680236816;8.81086158752441;8.13106441497803
469.540008544922;9.89986991882324;9.21890068054199;8.54959678649902
470;10.0547151565552;9.37799263000488;8.65029430389404
470.440002441406;10.522819519043;9.58345508575439;8.84916305541992
471.040008544922;10.6654462814331;9.88821506500244;9.11360359191895
471.489990234375;10.8044528961182;10.0483198165894;9.32712459564209
471.940002441406;11.0062084197998;10.2982568740845;9.5623893737793
472.529998779297;11.3804912567139;10.4552993774414;9.71181964874268
472.980010986328;11.7422981262207;10.6759958267212;9.94559574127197
473.429992675781;11.9197101593018;10.7792119979858;10.1038618087769
474.019989013672;12.0251588821411;10.9674034118652;10.1587610244751
474.470001220703;12.0199241638184;11.1027956008911;10.4300985336304
475.070007324219;12.1826076507568;11.3638582229614;10.525972366333
475.519989013672;12.3033409118652;11.4347133636475;10.7216606140137
475.970001220703;12.5892639160156;11.5150184631348;10.8148641586304
476.559997558594;12.6512584686279;11.6783018112183;10.8745756149292
477.010009765625;12.7552537918091;11.7928380966187;10.8655986785889
477.459991455078;12.8564443588257;11.8304643630981;11.0970296859741
478.049987792969;12.9401998519897;12.0346879959106;11.1245470046997
478.5;12.8541288375854;12.1099424362183;11.1905813217163
478.950012207031;13.0577239990234;12.0879745483398;11.3764457702637
479.549987792969;12.9209136962891;12.1720809936523;11.3265228271484
480;12.9725217819214;12.2346925735474;11.3109903335571
480.450012207031;13.0572118759155;12.3001899719238;11.4001808166504
481.059997558594;13.0304470062256;12.4112901687622;11.4450225830078
481.510009765625;12.9614858627319;12.352650642395;11.4292612075806
481.959991455078;12.9977989196777;12.3440189361572;11.5563936233521
482.570007324219;13.0835189819336;12.4245910644531;11.5355463027954
483.029998779297;13.0312690734863;12.477222442627;11.5225515365601
483.480010986328;13.097710609436;12.4571561813354;11.5264701843262
483.929992675781;13.029821395874;12.3622760772705;11.4826650619507
484.540008544922;12.9640140533447;12.4099159240723;11.5681571960449
485;12.9961137771606;12.4155492782593;11.5613927841187
485.450012207031;13.1453037261963;12.3586015701294;11.556001663208
486.059997558594;13.1563730239868;12.3557195663452;11.3975849151611
486.510009765625;12.9477376937866;12.3536281585693;11.4656267166138
486.959991455078;13.0432291030884;12.202488899231;11.3690576553345
487.570007324219;13.0485563278198;12.1926565170288;11.4009132385254
488.029998779297;13.0746326446533;12.1597242355347;11.3430652618408
488.480010986328;13.0005884170532;12.0960483551025;11.3789405822754
488.929992675781;12.8356552124023;12.0535011291504;11.3541049957275
489.540008544922;12.719048500061;11.971137046814;11.2337741851807
490;12.7286233901978;11.9757289886475;11.1386556625366
490.440002441406;12.6771936416626;11.94069480896;11.0800113677979
491.040008544922;12.7333726882935;11.8374166488647;11.0451049804688
491.489990234375;12.664984703064;11.6947383880615;10.9492969512939
491.940002441406;12.5903635025024;11.6563501358032;10.9442920684814
492.529998779297;12.4618797302246;11.4455976486206;10.776647567749
492.980010986328;12.4963855743408;11.5067167282104;10.7765378952026
493.429992675781;12.2919626235962;11.3436698913574;10.6348438262939
494.019989013672;12.3307638168335;11.2950668334961;10.6007719039917
494.470001220703;12.213565826416;11.131365776062;10.5251522064209
495.070007324219;12.197169303894;11.1101016998291;10.4900875091553
495.519989013672;12.1625385284424;11.0586032867432;10.3262424468994
495.970001220703;11.916618347168;10.8935527801514;10.4246807098389
496.559997558594;11.9208908081055;10.8012599945068;10.2753629684448
497.010009765625;11.745361328125;10.7416191101074;10.0804224014282
497.459991455078;11.6190233230591;10.5795269012451;10.1911935806274
498.049987792969;11.6746349334717;10.4577465057373;9.95078754425049
498.5;11.6137971878052;10.4481058120728;9.88351631164551
498.950012207031;11.6032781600952;10.42041015625;9.80620193481445
499.549987792969;11.3530387878418;10.1902942657471;9.74169254302979
500;11.2569980621338;10.24769115448;9.71678638458252
500.440002441406;11.2264680862427;10.1507139205933;9.57577896118164
501.040008544922;11.132248878479;10.0175943374634;9.54083633422852
501.489990234375;11.0440092086792;9.98830032348633;9.40821170806885
501.940002441406;10.9726963043213;9.80508518218994;9.36225032806397
502.529998779297;10.8665657043457;9.72055530548096;9.31411743164062
502.980010986328;10.7171316146851;9.53976535797119;9.07139301300049
503.429992675781;10.7253665924072;9.50967884063721;9.10159301757812
504.019989013672;10.6564359664917;9.36904048919678;9.03345680236816
504.470001220703;10.5069484710693;9.34242343902588;8.89246940612793
505.070007324219;10.4484119415283;9.27591705322266;8.87910842895508
505.519989013672;10.2764577865601;9.07227420806885;8.7586030960083
505.970001220703;10.2319259643555;9.02445793151855;8.73552322387695
506.559997558594;10.0634164810181;8.89050769805908;8.59457683563232
507.010009765625;10.0332317352295;8.83199596405029;8.47803211212158
507.459991455078;9.90985488891602;8.84489727020264;8.3820333480835
508.049987792969;9.88673305511475;8.64812183380127;8.33310222625732
508.5;9.7598705291748;8.61045360565186;8.24462985992432
508.950012207031;9.68054103851318;8.50845718383789;8.13328647613525
509.549987792969;9.56270694732666;8.31573963165283;8.1165828704834
510;9.5628137588501;8.32233905792236;8.00254344940186
510.440002441406;9.4484920501709;8.18731307983398;7.93638038635254
511.040008544922;9.30074024200439;8.16480159759522;7.87853860855103
511.489990234375;9.25016117095947;8.04466915130615;7.7659740447998
511.940002441406;9.25787734985352;7.98801374435425;7.74078464508057
512.530029296875;9.0554895401001;7.84277772903442;7.6079740524292
512.97998046875;8.83999443054199;7.78333330154419;7.61731386184692
513.429992675781;8.83365058898926;7.75884866714478;7.5177149772644
514.02001953125;8.77218627929688;7.56569957733154;7.42558431625366
514.469970703125;8.6599178314209;7.46504354476929;7.29712772369385
515.070007324219;8.4164981842041;7.43867635726929;7.13325452804565
515.52001953125;8.36100578308105;7.35483455657959;7.10703945159912
515.969970703125;8.23229122161865;7.24196815490723;7.01857900619507
516.559997558594;8.12324810028076;7.12719964981079;6.95192241668701
517.010009765625;8.10024356842041;7.09493684768677;6.84951305389404
517.460021972656;7.94223356246948;6.98754596710205;6.75735425949097
518.049987792969;7.81776523590088;6.93313837051392;6.73985147476196
518.5;7.67111873626709;6.76470232009888;6.60622119903564
518.950012207031;7.56727123260498;6.7346248626709;6.52159738540649
519.549987792969;7.4790244102478;6.50577688217163;6.40613985061646
520;7.37445640563965;6.47084283828735;6.34585571289063
520.440002441406;7.20406866073608;6.42020416259766;6.26211929321289
521.02001953125;7.08275365829468;6.24327325820923;6.12121486663818
521.469970703125;6.88019180297852;6.21215105056763;6.10017251968384
522.049987792969;6.84292125701904;6.02005290985107;5.94497776031494
522.5;6.76111507415772;5.97036266326904;5.93281269073486
522.940002441406;6.66528511047363;5.91781997680664;5.83730125427246
523.52001953125;6.50786924362183;5.73611736297607;5.75236368179321
523.969970703125;6.43213510513306;5.72658681869507;5.61566066741943
524.549987792969;6.28678178787231;5.59477615356445;5.42527294158936
525;6.23277711868286;5.51683330535889;5.44250774383545
525.440002441406;6.1099214553833;5.49323701858521;5.32629728317261
526.02001953125;6.03285074234009;5.287034034729;5.24983596801758
526.469970703125;5.90868091583252;5.29575300216675;5.2115273475647
527.049987792969;5.77812194824219;5.1662654876709;5.0617356300354
527.5;5.73448801040649;5.07902765274048;5.01049184799194
527.940002441406;5.67481517791748;4.97606229782105;4.94235181808472
528.52001953125;5.53487730026245;4.96930932998657;4.82070827484131
528.969970703125;5.48930263519287;4.87326812744141;4.74863910675049
529.549987792969;5.37313032150269;4.76180553436279;4.67495536804199
530;5.36121559143066;4.7071008682251;4.62551689147949
530.440002441406;5.25024271011353;4.6755199432373;4.58115577697754
531.039978027344;5.22701215744019;4.58965682983398;4.50663709640503
531.489990234375;5.05022621154785;4.46209669113159;4.44709634780884
531.940002441406;5.13649320602417;4.43436717987061;4.3973708152771
532.530029296875;4.9844913482666;4.34793329238892;4.2862229347229
532.97998046875;4.97760677337646;4.2780385017395;4.26151084899902
533.429992675781;4.89121913909912;4.24458503723145;4.14538764953613
534.02001953125;4.83624410629272;4.15213251113892;4.08738708496094
534.469970703125;4.76850509643555;4.13885021209717;4.08530521392822
535.070007324219;4.63880205154419;4.03670120239258;4.00497579574585
535.52001953125;4.65725612640381;3.98268842697144;3.96813869476318
535.969970703125;4.65448331832886;3.95234775543213;3.89418840408325
