Sample IDs:;251006_251002O_tht_4days;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
460;4.60055160522461;4.54059171676636;4.67178821563721
460.450012207031;4.73483085632324;4.68312835693359;4.77885150909424
461.059997558594;5.02124214172363;5.11440563201904;5.22039604187012
461.510009765625;5.29114818572998;5.28654718399048;5.36780405044556
461.959991455078;5.53389501571655;5.578369140625;5.72353935241699
462.570007324219;5.92515134811401;5.93651866912842;6.01588153839111
463.029998779297;6.17877864837646;6.19116640090942;6.30222702026367
463.480010986328;6.46827697753906;6.46390867233276;6.60437774658203
463.929992675781;6.73923444747925;6.77994298934937;6.8383674621582
464.540008544922;7.16621208190918;7.15219640731812;7.17605543136597
465;7.28836822509766;7.48892021179199;7.44326019287109
465.450012207031;7.59733533859253;7.65790367126465;7.6795916557312
466.059997558594;8.01934242248535;8.04976654052734;8.08085632324219
466.510009765625;8.2099723815918;8.32039165496826;8.39717292785645
466.959991455078;8.42635440826416;8.59195137023926;8.63060092926025
467.570007324219;8.76411056518555;8.98153305053711;9.00404167175293
468.029998779297;9.09943294525146;9.34563446044922;9.42812347412109
468.480010986328;9.42761898040771;9.67298889160156;9.61035823822022
468.929992675781;9.64293193817139;9.71528244018555;9.82168388366699
469.540008544922;10.1027002334595;10.1766986846924;10.1627416610718
470;10.3020801544189;10.364278793335;10.3256454467773
470.440002441406;10.6204986572266;10.6786289215088;10.6502504348755
471.040008544922;10.9919662475586;11.0764656066895;11.0303192138672
471.489990234375;11.0879907608032;11.1117353439331;11.2490339279175
471.940002441406;11.5357484817505;11.4405345916748;11.460919380188
472.529998779297;11.6842927932739;11.6963586807251;11.6081218719482
472.980010986328;11.9293994903564;11.833872795105;11.8635873794556
473.429992675781;12.1361932754517;12.1102695465088;11.9142923355103
474.019989013672;12.3248062133789;12.2394847869873;12.2864618301392
474.470001220703;12.6440591812134;12.4406929016113;12.2777509689331
475.070007324219;12.750171661377;12.6606092453003;12.5303821563721
475.519989013672;12.9465208053589;12.8609685897827;12.8719043731689
475.970001220703;13.0899333953857;12.8971719741821;12.7882957458496
476.559997558594;13.3332567214966;13.2066450119019;13.0713949203491
477.010009765625;13.4775438308716;13.2425575256348;13.2231521606445
477.459991455078;13.6454744338989;13.2990922927856;13.3007078170776
478.049987792969;13.7231826782227;13.5182504653931;13.2412767410278
478.5;13.8014583587646;13.5113306045532;13.4226408004761
478.950012207031;13.8542165756226;13.5473871231079;13.5510597229004
479.549987792969;13.7936363220215;13.7114810943604;13.6222810745239
480;14.000789642334;13.7597599029541;13.6660594940186
480.450012207031;14.0799474716187;13.9193639755249;13.7375288009644
481.059997558594;14.1371831893921;13.7540531158447;13.7431936264038
481.510009765625;14.1959810256958;13.9564456939697;13.7865743637085
481.959991455078;14.3735580444336;13.951828956604;13.786262512207
482.570007324219;14.3071441650391;13.8745441436768;13.8568096160889
483.029998779297;14.2145767211914;13.9628973007202;13.8693428039551
483.480010986328;14.318431854248;14.0132541656494;13.7920904159546
483.929992675781;14.5053625106812;13.8365087509155;13.8352336883545
484.540008544922;14.3951444625854;13.8677711486816;13.7524852752686
485;14.4471788406372;13.8461818695068;13.9189338684082
485.450012207031;14.2967700958252;14.0283517837524;13.8241395950317
486.059997558594;14.3510303497314;13.8754596710205;13.7354784011841
486.510009765625;14.5199966430664;13.7680292129517;13.7250776290894
486.959991455078;14.4378690719604;13.7213516235352;13.66162109375
487.570007324219;14.4408884048462;13.7603549957275;13.5605335235596
488.029998779297;14.3879766464233;13.6258420944214;13.6053791046143
488.480010986328;14.5686817169189;13.6609191894531;13.5409450531006
488.929992675781;14.4695224761963;13.6031999588013;13.3330688476563
489.540008544922;14.3346462249756;13.5875978469849;13.5204133987427
490;14.3644609451294;13.5090713500977;13.3063888549805
490.440002441406;14.3126745223999;13.4829845428467;13.200140953064
491.040008544922;14.1707801818848;13.3902378082275;13.1450309753418
491.489990234375;14.1383228302002;13.3770895004272;13.0238256454468
491.940002441406;13.9946842193604;13.3175764083862;12.9453411102295
492.529998779297;13.995982170105;13.2740859985352;12.932562828064
492.980010986328;13.9648513793945;13.1494998931885;12.8022155761719
493.429992675781;13.8112726211548;13.1158866882324;12.7657804489136
494.019989013672;13.926905632019;12.9963493347168;12.520133972168
494.470001220703;13.725302696228;12.9479627609253;12.5923862457275
495.070007324219;13.6965236663818;12.7323627471924;12.4441938400269
495.519989013672;13.6141471862793;12.7440328598022;12.3107719421387
495.970001220703;13.5783948898315;12.6988315582275;12.2852392196655
496.559997558594;13.5555820465088;12.639518737793;12.1042222976685
497.010009765625;13.4119367599487;12.6686906814575;12.1330394744873
497.459991455078;13.2833833694458;12.4035511016846;11.9563150405884
498.049987792969;13.3625602722168;12.299464225769;11.887656211853
498.5;13.1956090927124;12.3510828018188;11.8125686645508
498.950012207031;13.1468353271484;12.2552433013916;11.7184181213379
499.549987792969;13.1012172698975;12.1020841598511;11.6315603256226
500;12.973087310791;11.9836387634277;11.5309000015259
500.440002441406;12.933801651001;12.0843381881714;11.4753932952881
501.040008544922;12.8655490875244;11.845703125;11.3396558761597
501.489990234375;12.74289894104;11.7783708572388;11.2595167160034
501.940002441406;12.6179904937744;11.6663312911987;11.0749359130859
502.529998779297;12.6152830123901;11.6594047546387;10.9978914260864
502.980010986328;12.4223594665527;11.3999032974243;10.8690843582153
503.429992675781;12.3352460861206;11.4447469711304;10.8359527587891
504.019989013672;12.2832698822021;11.3032493591309;10.7152452468872
504.470001220703;12.224494934082;11.2107448577881;10.5399303436279
505.070007324219;12.1912698745728;11.0656032562256;10.4364042282104
505.519989013672;12.016565322876;11.0111503601074;10.3842468261719
505.970001220703;11.9931335449219;10.9733190536499;10.2413578033447
506.559997558594;11.6815528869629;10.9029407501221;10.1863965988159
507.010009765625;11.75998878479;10.8133563995361;10.1018047332764
507.459991455078;11.6495265960693;10.7092409133911;10.0525550842285
508.049987792969;11.4881792068481;10.6424560546875;9.81033992767334
508.5;11.3872404098511;10.5746126174927;9.75179290771484
508.950012207031;11.384819984436;10.5177402496338;9.67033100128174
509.549987792969;11.2860622406006;10.4166784286499;9.65368366241455
510;11.2164220809937;10.3355598449707;9.56560230255127
510.440002441406;11.0195846557617;10.2186145782471;9.39379215240478
511.040008544922;11.0293788909912;10.2158937454224;9.30655765533447
511.489990234375;10.9020490646362;10.0523052215576;9.1794900894165
511.940002441406;10.7614221572876;9.9382152557373;9.13846206665039
512.530029296875;10.6886749267578;9.97685432434082;9.01245784759522
512.97998046875;10.6774444580078;9.74773979187012;8.91963481903076
513.429992675781;10.5439310073853;9.72481918334961;8.87868785858154
514.02001953125;10.40296459198;9.67663097381592;8.68782138824463
514.469970703125;10.3343849182129;9.58202934265137;8.61987590789795
515.070007324219;10.0778884887695;9.49061489105225;8.48799133300781
515.52001953125;9.98115158081055;9.3669261932373;8.44119930267334
515.969970703125;9.87793350219727;9.32304954528809;8.30110454559326
516.559997558594;9.80902671813965;9.28707027435303;8.17787170410156
517.010009765625;9.74931716918945;9.10908985137939;8.13500881195068
517.460021972656;9.47941398620605;9.03849124908447;7.98439645767212
518.049987792969;9.33492851257324;8.9921350479126;7.98945474624634
518.5;9.26848697662354;8.78812789916992;7.80549573898315
518.950012207031;9.20624542236328;8.82153701782227;7.70923805236816
519.549987792969;9.00791835784912;8.67856788635254;7.64166307449341
520;8.84535789489746;8.63778591156006;7.55390691757202
520.440002441406;8.79046058654785;8.5060863494873;7.48059701919556
521.02001953125;8.67423439025879;8.44617652893066;7.29473352432251
521.469970703125;8.60225105285645;8.32979297637939;7.22985029220581
522.049987792969;8.39128017425537;8.16324710845947;7.07109260559082
522.5;8.26066970825195;8.0763349533081;6.93262481689453
522.940002441406;8.11168003082275;7.98578596115112;6.8877272605896
523.52001953125;8.00236034393311;7.82715368270874;6.79763984680176
523.969970703125;7.93984842300415;7.77625608444214;6.7003583908081
524.549987792969;7.76269149780273;7.54995775222778;6.55644798278809
525;7.71132278442383;7.52026748657227;6.49151468276978
525.440002441406;7.5611629486084;7.43775749206543;6.3553032875061
526.02001953125;7.41736555099487;7.36675596237183;6.23711252212524
526.469970703125;7.42146873474121;7.30926942825317;6.19154644012451
527.049987792969;7.1736569404602;7.1370587348938;6.10576295852661
527.5;7.13165760040283;7.07427453994751;6.01926612854004
527.940002441406;7.04132795333862;6.9760570526123;5.89454221725464
528.52001953125;6.8987889289856;6.84996891021729;5.80546617507935
528.969970703125;6.85125112533569;6.76559734344482;5.66325569152832
529.549987792969;6.69886112213135;6.73204565048218;5.63564205169678
