wavelength/nm	10	10	22	22	37	37	60	60	80	10 av	22 av	37 av	60 av	80 av
214.00	-7.1165	-7.1049	-8.3988	-7.7909	-10.062	-9.3997	-5.5173	-5.9385	-2.8207	-7.1107	-8.0949	-9.7308	-5.7279	-2.8207
213.00	-6.7278	-6.7005	-7.9582	-7.3337	-9.6227	-9.0216	-5.3195	-5.8773	-2.7939	-6.7141	-7.6459	-9.3222	-5.5984	-2.7939
212.00	-6.2315	-6.1990	-7.3756	-6.7545	-9.0956	-8.5360	-5.1560	-5.6825	-2.7406	-6.2152	-7.0650	-8.8158	-5.4192	-2.7406
211.00	-5.6016	-5.6763	-6.7023	-6.1573	-8.4526	-7.8944	-4.9205	-5.4532	-2.6808	-5.6390	-6.4298	-8.1735	-5.1868	-2.6808
210.00	-4.8189	-4.9771	-5.9247	-5.4193	-7.7461	-7.1582	-4.6064	-5.1302	-2.5351	-4.8980	-5.6720	-7.4522	-4.8683	-2.5351
209.00	-3.9836	-4.1409	-4.9326	-4.5658	-6.8907	-6.2875	-4.2840	-4.7296	-2.4043	-4.0622	-4.7492	-6.5891	-4.5068	-2.4043
208.00	-3.0080	-3.1900	-3.9309	-3.4124	-5.9219	-5.4285	-3.8595	-4.2298	-2.2740	-3.0990	-3.6716	-5.6752	-4.0447	-2.2740
207.00	-1.9377	-2.1258	-2.7604	-2.4034	-4.7814	-4.4048	-3.3926	-3.6178	-2.0402	-2.0318	-2.5819	-4.5931	-3.5052	-2.0402
206.00	-0.72267	-0.93485	-1.4315	-1.1243	-3.5415	-3.2428	-2.7726	-3.0289	-1.8149	-0.82876	-1.2779	-3.3921	-2.9007	-1.8149
205.00	0.62323	0.33106	-0.064660	0.27408	-1.9964	-2.0260	-2.1413	-2.4246	-1.5861	0.47715	0.10471	-2.0112	-2.2829	-1.5861
204.00	2.1097	1.7190	1.4320	1.8948	-0.23842	-0.61083	-1.3982	-1.5252	-1.2683	1.9144	1.6634	-0.42462	-1.4617	-1.2683
203.00	3.5518	3.1939	3.0348	3.2935	1.7140	1.0802	-0.57000	-0.65998	-0.89387	3.3728	3.1641	1.3971	-0.61499	-0.89387
202.00	5.0440	4.5549	4.6499	4.8102	3.7478	3.1889	0.22591	0.17737	-0.55329	4.7994	4.7301	3.4684	0.20164	-0.55329
201.00	6.5009	5.8574	6.1246	6.3145	5.8508	5.0740	1.1084	1.0989	-0.16448	6.1792	6.2196	5.4624	1.1036	-0.16448
200.00	7.9146	7.1996	7.5175	7.9326	8.0090	6.9144	1.9844	2.0666	0.17076	7.5571	7.7250	7.4617	2.0255	0.17076
199.00	9.2004	8.3892	8.7522	9.1862	10.069	8.9569	2.7846	2.8946	0.40290	8.7948	8.9692	9.5127	2.8396	0.40290
198.00	10.463	9.3910	9.8271	10.306	11.784	10.388	3.4516	3.4997	0.63066	9.9272	10.066	11.086	3.4756	0.63066
197.00	11.414	10.244	10.780	11.389	13.409	11.785	4.3086	4.2602	0.86393	10.829	11.084	12.597	4.2844	0.86393
196.00	12.269	11.089	11.687	12.482	14.771	12.697	4.7968	4.8687	1.0432	11.679	12.084	13.734	4.8327	1.0432
195.00	12.905	11.700	12.254	12.917	15.686	13.266	5.1788	5.2221	1.1989	12.303	12.586	14.476	5.2005	1.1989
194.00	13.260	12.062	12.464	13.279	16.308	13.606	5.3975	5.3580	1.2974	12.661	12.872	14.957	5.3778	1.2974
193.00	13.255	12.111	12.648	13.578	16.415	13.731	5.5170	5.3659	1.3233	12.683	13.113	15.073	5.4415	1.3233
192.00	12.960	11.913	12.559	13.067	16.098	13.194	5.3559	4.9748	1.3888	12.437	12.813	14.646	5.1654	1.3888
191.00	12.257	11.405	11.858	12.488	15.660	12.694	5.1046	4.7304	1.2384	11.831	12.173	14.177	4.9175	1.2384
190.00	11.336	10.403	11.219	12.258	14.572	12.190	4.8695	4.3660	1.1338	10.870	11.738	13.381	4.6177	1.1338
189.00	10.007	9.4488	9.9288	11.370	13.273	11.536	4.2577	4.0257	0.88255	9.7277	10.649	12.405	4.1417	0.88255
188.00	8.4212	8.2800	8.7104	9.9833	11.888	9.7435	3.6434	3.2309	0.65707	8.3506	9.3468	10.816	3.4372	0.65707
187.00	6.9956	6.5321	6.8093	8.7340	10.212	8.6940	3.1385	2.7837	0.37337	6.7639	7.7717	9.4532	2.9611	0.37337
186.00	5.4413	5.1562	5.0306	7.3197	8.0662	7.1441	2.1554	2.1093	0.18559	5.2988	6.1751	7.6052	2.1324	0.18559
185.00	3.7153	3.9157	3.6156	5.6026	6.0180	4.5224	1.6637	1.1101	-0.25158	3.8155	4.6091	5.2702	1.3869	-0.25158
