wavelength / nm	10	10	22	22	37	37	60	60	80	80	10 av	22 av	37 av	60 av	80 av
217.00	-3.4773	-4.3532	-8.9253	-8.1022	-9.9485	-9.7734	-6.8841	-6.8077	-3.2881	-3.6520	-3.9152	-8.5137	-9.8609	-6.8459	-3.4700
216.00	-3.4345	-4.3059	-8.7889	-7.9372	-9.8036	-9.6086	-6.8385	-6.7470	-3.3128	-3.6240	-3.8702	-8.3631	-9.7061	-6.7927	-3.4684
215.00	-3.3950	-4.2043	-8.5572	-7.7121	-9.6320	-9.3771	-6.8659	-6.7512	-3.3359	-3.6134	-3.7996	-8.1346	-9.5046	-6.8085	-3.4747
214.00	-3.2740	-4.0627	-8.1876	-7.3452	-9.3676	-9.0602	-6.7336	-6.6002	-3.2913	-3.5351	-3.6683	-7.7664	-9.2139	-6.6669	-3.4132
213.00	-3.0893	-3.8638	-7.7345	-6.9065	-8.9535	-8.6736	-6.5871	-6.4347	-3.2376	-3.4781	-3.4766	-7.3205	-8.8135	-6.5109	-3.3578
212.00	-2.8794	-3.6051	-7.1759	-6.3938	-8.4097	-8.1767	-6.3521	-6.1817	-3.1812	-3.4002	-3.2423	-6.7848	-8.2932	-6.2669	-3.2907
211.00	-2.6214	-3.2969	-6.5951	-5.8465	-7.8384	-7.6068	-6.0733	-5.9433	-3.1162	-3.3166	-2.9591	-6.2208	-7.7226	-6.0083	-3.2164
210.00	-2.2680	-2.9185	-5.8904	-5.1853	-7.1928	-6.9309	-5.6909	-5.6507	-2.9680	-3.1767	-2.5932	-5.5379	-7.0618	-5.6708	-3.0724
209.00	-1.9025	-2.5109	-5.0319	-4.4550	-6.3466	-6.1741	-5.2543	-5.2627	-2.8286	-3.0738	-2.2067	-4.7435	-6.2604	-5.2585	-2.9512
208.00	-1.4714	-2.0155	-4.0477	-3.5794	-5.4341	-5.3872	-4.7150	-4.7382	-2.6928	-2.9121	-1.7434	-3.8136	-5.4107	-4.7266	-2.8025
207.00	-0.99625	-1.4624	-3.0351	-2.6552	-4.4240	-4.3413	-4.1789	-4.2040	-2.4356	-2.6794	-1.2293	-2.8451	-4.3827	-4.1915	-2.5575
206.00	-0.47196	-0.81522	-1.8272	-1.5679	-3.2599	-3.2406	-3.4753	-3.5552	-2.2133	-2.3793	-0.64359	-1.6976	-3.2502	-3.5153	-2.2963
205.00	0.11505	-0.074068	-0.54302	-0.34628	-1.8909	-1.9047	-2.7952	-2.8621	-1.9460	-2.0541	0.020492	-0.44465	-1.8978	-2.8286	-2.0000
