IDs:;240912_04_240712D;15_b02_DNAJB6_00_087_uM;
Concentration [uM]:;0.087;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.014;73.027;49.683;38.257
5.997;71.326;49.756;38.266
6.987;71.887;49.73;38.263
7.989;71.632;49.751;38.274
8.992;72.167;49.726;38.271
9.996;72.15;49.736;38.277
11.003;71.872;49.744;38.278
12.014;71.95;49.751;38.284
13.011;72.033;49.747;38.283
14.011;71.877;49.749;38.282
15.021;71.988;49.755;38.288
16.022;72.003;49.755;38.289
17.012;71.933;49.753;38.287
18.026;71.99;49.758;38.291
19.032;71.942;49.755;38.29
20.031;71.974;49.759;38.292
21.037;71.909;49.759;38.292
22.041;71.931;49.759;38.293
23.024;71.917;49.761;38.294
24.005;71.905;49.758;38.292
25.002;71.998;49.766;38.299
25.988;71.993;49.765;38.298
26.974;71.981;49.767;38.3
27.971;71.928;49.764;38.298
28.985;71.981;49.769;38.302
29.977;71.99;49.771;38.304
30.994;71.94;49.766;38.301
32;71.928;49.766;38.301
32.985;71.964;49.773;38.306
33.981;71.977;49.773;38.306
34.986;71.974;49.776;38.309
35.989;71.949;49.775;38.307
37.005;71.889;49.773;38.306
38.019;71.982;49.776;38.308
39.014;71.92;49.773;38.307
40.009;71.996;49.779;38.312
41.018;71.985;49.777;38.31
42.015;71.92;49.775;38.309
43.013;71.977;49.778;38.311
44.003;71.981;49.782;38.314
45.015;71.902;49.776;38.31
45.994;71.896;49.778;38.311
46.987;71.983;49.784;38.316
47.978;71.966;49.783;38.316
48.971;71.899;49.781;38.314
49.962;71.909;49.781;38.314
50.975;71.982;49.789;38.321
51.962;71.882;49.783;38.315
52.964;71.971;49.786;38.318
53.951;71.889;49.786;38.318
54.948;71.977;49.786;38.319
55.95;71.907;49.785;38.318
56.939;71.964;49.79;38.322
57.932;71.898;49.783;38.315
58.939;71.963;49.789;38.321
59.951;71.975;49.788;38.32
60.945;71.963;49.791;38.323
61.94;71.92;49.787;38.32
62.922;71.91;49.787;38.32
63.932;71.928;49.787;38.321
64.926;71.969;49.791;38.323
65.95;71.899;49.79;38.323
66.951;71.968;49.795;38.328
67.944;71.908;49.788;38.321
68.941;71.893;49.791;38.324
69.94;71.962;49.792;38.323
70.94;71.969;49.792;38.325
71.927;71.919;49.792;38.325
72.944;71.921;49.79;38.324
73.934;71.998;49.794;38.327
74.942;71.908;49.79;38.323
75.933;71.963;49.798;38.33
76.934;71.981;49.797;38.329
77.949;71.978;49.799;38.331
78.958;71.934;49.794;38.326
79.976;71.971;49.8;38.332
80.97;71.946;49.8;38.331
81.962;71.915;49.793;38.326
82.963;71.918;49.796;38.329
83.982;71.91;49.797;38.329
84.972;71.983;49.802;38.334
85.966;71.944;49.799;38.332
86.95;71.888;49.797;38.329
87.964;71.907;49.798;38.331
88.957;71.91;49.797;38.33
89.967;71.962;49.801;38.333
90.975;71.968;49.802;38.333
91.994;71.979;49.801;38.334
92.994;71.93;49.803;38.334
93.993;71.954;49.806;38.337
94.98;71.951;49.805;38.337
95.976;71.964;49.802;38.333
96.971;71.97;49.806;38.338
97.975;71.906;49.801;38.334
98.99;71.973;49.806;38.338
99.978;72.006;49.805;38.337
100.971;71.909;49.802;38.334
101.945;71.909;49.802;38.334
102.944;71.927;49.803;38.336
103.956;71.891;49.803;38.334
104.952;71.96;49.807;38.339
105.942;71.92;49.806;38.339
106.943;71.962;49.807;38.338
107.965;71.966;49.809;38.341
108.959;71.973;49.808;38.339
109.972;71.916;49.806;38.339
110.958;71.906;49.804;38.336
111.953;71.959;49.811;38.342
112.953;71.922;49.807;38.339
113.972;71.912;49.806;38.339
114.961;71.893;49.81;38.341
115.956;71.904;49.807;38.339
116.956;71.896;49.809;38.34
117.945;71.969;49.814;38.345
118.937;71.971;49.813;38.344
119.931;71.923;49.808;38.34
120.914;71.985;49.812;38.343
121.907;71.959;49.816;38.346
122.898;71.894;49.81;38.342
123.9;71.966;49.815;38.345
124.904;71.993;49.812;38.344
125.898;71.881;49.811;38.342
126.894;71.972;49.814;38.346
127.879;71.918;49.811;38.343
128.893;71.931;49.808;38.34
129.881;71.907;49.811;38.344
130.881;71.907;49.81;38.342
131.885;71.955;49.816;38.347
132.883;71.918;49.814;38.345
133.877;71.97;49.815;38.345
134.865;71.984;49.814;38.346
135.872;71.915;49.812;38.344
136.888;71.888;49.816;38.348
137.91;71.974;49.818;38.348
138.901;72.011;49.82;38.352
139.897;71.919;49.816;38.348
140.902;71.905;49.816;38.349
141.913;71.931;49.813;38.346
142.909;71.909;49.812;38.343
143.905;71.91;49.814;38.346
144.904;71.93;49.813;38.345
145.907;71.98;49.818;38.349
146.917;71.977;49.82;38.351
147.911;71.912;49.815;38.347
148.904;71.904;49.818;38.35
149.902;71.91;49.815;38.347
150.89;71.917;49.815;38.347
151.867;71.97;49.822;38.352
152.871;71.968;49.823;38.354
153.869;71.98;49.82;38.351
154.868;71.978;49.824;38.354
