IDs:;240715_08_240712F;08_DNAJB6_00_658_uM;;*shifted by 3 s
Concentration [uM]:;0.658;;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3];
5.121;70.941;50.434;38.931;
6.106;71.613;50.415;38.935;
7.11;71.192;50.425;38.931;
8.102;71.632;50.42;38.941;
9.093;71.685;50.421;38.944;
10.093;71.597;50.426;38.946;
11.087;71.486;50.434;38.948;
12.078;71.56;50.432;38.95;
13.067;71.521;50.433;38.949;
14.069;71.561;50.433;38.95;
15.067;71.529;50.437;38.953;
16.072;71.509;50.438;38.952;
17.081;71.53;50.439;38.955;
18.077;71.48;50.442;38.956;
19.075;71.492;50.444;38.957;
20.061;71.468;50.446;38.959;
21.081;71.454;50.45;38.961;
22.087;71.446;50.45;38.962;
23.111;71.436;50.451;38.962;
24.111;71.411;50.451;38.96;
25.108;71.408;50.452;38.961;
26.108;71.378;50.455;38.963;
27.105;71.368;50.456;38.963;
28.106;71.331;50.461;38.967;
29.101;71.311;50.462;38.967;
30.098;71.296;50.462;38.966;
31.077;71.194;50.463;38.968;
32.069;71.24;50.467;38.969;
33.06;71.193;50.469;38.969;
34.074;71.186;50.47;38.97;
35.091;71.167;50.472;38.971;
36.102;71.12;50.475;38.972;
37.098;71.039;50.471;38.968;
38.091;71.01;50.476;38.971;
39.073;70.983;50.477;38.97;
40.084;70.964;50.48;38.972;
41.084;70.936;50.483;38.973;
42.083;70.896;50.484;38.972;
43.096;70.876;50.487;38.973;
44.079;70.831;50.492;38.976;
45.08;70.797;50.494;38.976;
46.084;70.746;50.497;38.977;
47.103;70.698;50.504;38.98;
48.119;70.638;50.506;38.98;
49.119;70.617;50.509;38.981;
50.106;70.552;50.514;38.984;
51.108;70.519;50.513;38.981;
52.099;70.478;50.516;38.981;
53.094;70.419;50.519;38.981;
54.094;70.365;50.524;38.982;
55.091;70.309;50.527;38.983;
56.089;70.267;50.529;38.982;
57.089;70.191;50.536;38.985;
