IDs:;240717_13_240712J;13_DNAJB6_00_130_uM;
Concentration [uM]:;0.13;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.992;72.394;50.365;38.943
6.979;71.893;50.387;38.944
7.977;72.325;50.372;38.948
9.001;72.168;50.38;38.95
10.001;72.013;50.392;38.955
10.998;71.959;50.397;38.957
12.003;71.925;50.397;38.956
12.982;71.909;50.401;38.96
13.999;71.916;50.397;38.955
14.988;71.945;50.395;38.956
16.002;71.955;50.401;38.961
16.979;71.934;50.402;38.961
17.99;71.98;50.405;38.965
18.967;71.915;50.404;38.962
19.958;71.946;50.406;38.966
20.931;71.926;50.402;38.963
21.928;71.932;50.406;38.965
22.915;71.92;50.405;38.963
23.898;71.954;50.408;38.967
24.892;71.949;50.409;38.968
25.893;71.897;50.405;38.965
26.869;71.955;50.407;38.966
27.853;71.953;50.411;38.969
28.835;71.905;50.411;38.969
29.839;71.938;50.412;38.97
30.822;71.908;50.411;38.969
31.824;71.889;50.41;38.97
32.805;71.922;50.413;38.971
33.817;71.961;50.413;38.972
34.811;71.943;50.415;38.975
35.797;71.898;50.412;38.971
36.801;71.93;50.415;38.974
37.8;71.926;50.415;38.973
38.983;71.926;50.411;38.972
39.976;71.955;50.417;38.977
40.982;71.922;50.417;38.975
41.963;71.952;50.419;38.978
42.988;71.946;50.417;38.976
43.963;71.978;50.417;38.976
44.956;71.968;50.416;38.975
45.968;71.933;50.42;38.978
46.956;71.966;50.419;38.978
47.955;71.911;50.419;38.977
48.941;71.931;50.422;38.98
49.942;71.929;50.419;38.977
50.949;71.914;50.421;38.98
51.95;71.95;50.421;38.98
52.946;71.923;50.421;38.979
53.93;71.913;50.423;38.981
54.899;71.942;50.423;38.981
55.895;71.923;50.422;38.98
56.898;71.962;50.424;38.983
57.907;71.933;50.424;38.981
58.899;71.94;50.422;38.98
59.894;71.919;50.426;38.984
60.883;71.927;50.426;38.984
61.881;71.933;50.424;38.982
62.888;71.928;50.426;38.984
63.874;71.948;50.425;38.983
64.873;71.944;50.426;38.984
65.853;71.931;50.427;38.985
66.859;71.922;50.426;38.984
67.851;71.927;50.426;38.984
68.84;71.956;50.428;38.986
69.835;71.882;50.423;38.981
70.826;71.916;50.426;38.984
71.822;71.896;50.425;38.983
72.819;71.909;50.427;38.984
73.815;71.943;50.428;38.985
74.81;71.921;50.427;38.984
75.8;71.918;50.427;38.984
76.774;71.911;50.428;38.985
77.754;71.943;50.427;38.984
78.74;71.925;50.429;38.987
79.74;71.921;50.428;38.985
80.75;71.968;50.428;38.986
81.735;71.923;50.431;38.988
82.742;71.939;50.426;38.983
83.758;71.932;50.429;38.986
84.771;71.955;50.431;38.989
85.773;71.932;50.427;38.985
86.774;71.92;50.43;38.986
87.782;71.921;50.43;38.987
88.772;71.963;50.43;38.988
89.797;71.943;50.43;38.987
90.792;71.909;50.43;38.987
91.785;71.963;50.429;38.987
92.783;71.927;50.431;38.988
93.762;71.912;50.431;38.987
94.745;71.936;50.431;38.988
95.737;71.91;50.431;38.987
96.717;71.931;50.428;38.985
97.705;71.905;50.431;38.988
98.696;71.926;50.432;38.988
99.69;71.892;50.432;38.988
100.689;71.92;50.431;38.988
101.69;71.905;50.432;38.988
102.681;71.923;50.43;38.986
103.689;71.926;50.432;38.99
104.682;71.921;50.434;38.99
105.675;71.933;50.433;38.989
106.658;71.919;50.435;38.992
107.636;71.937;50.435;38.992
108.627;71.905;50.435;38.991
109.618;71.909;50.435;38.991
110.583;71.909;50.433;38.99
111.578;71.936;50.434;38.991
112.573;71.91;50.434;38.99
113.564;71.914;50.434;38.99
114.569;71.908;50.435;38.992
115.566;71.888;50.438;38.993
116.558;71.924;50.435;38.992
117.555;71.93;50.436;38.993
118.554;71.916;50.433;38.99
119.551;71.916;50.436;38.992
120.556;71.9;50.436;38.992
121.566;71.927;50.436;38.993
122.553;71.903;50.435;38.991
123.569;71.885;50.437;38.992
124.583;71.922;50.435;38.991
125.573;71.931;50.435;38.992
126.581;71.921;50.435;38.991
127.572;71.887;50.438;38.993
128.592;71.909;50.436;38.991
129.587;71.906;50.435;38.991
130.585;71.896;50.439;38.994
131.597;71.894;50.437;38.993
132.621;71.897;50.433;38.989
133.611;71.923;50.436;38.992
134.623;71.875;50.437;38.992
135.629;71.915;50.438;38.994
136.607;71.906;50.437;38.992
137.61;71.918;50.434;38.99
138.612;71.899;50.44;38.995
139.602;71.87;50.437;38.993
