IDs:;240715_02_240712A;02_DNAJB6_05_000_uM;
Concentration [uM]:;5;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.981;65.373;50.804;38.962
6.978;64.479;50.878;38.967
7.986;63.85;50.931;38.965
8.983;63.271;50.973;38.962
9.964;62.959;51.011;38.966
10.946;62.623;51.043;38.967
11.941;62.361;51.07;38.967
12.943;62.102;51.09;38.963
13.951;61.926;51.11;38.965
14.94;61.739;51.13;38.965
15.945;61.641;51.148;38.97
16.954;61.519;51.167;38.974
17.941;61.374;51.174;38.968
18.933;61.321;51.185;38.969
19.904;61.169;51.199;38.974
20.878;61.113;51.213;38.977
21.889;61.086;51.216;38.973
22.884;60.955;51.232;38.978
23.882;60.864;51.235;38.972
24.883;60.806;51.243;38.974
25.889;60.738;51.249;38.972
26.869;60.675;51.256;38.972
27.858;60.644;51.263;38.973
28.852;60.576;51.27;38.974
29.856;60.517;51.277;38.975
30.871;60.496;51.285;38.976
31.873;60.462;51.291;38.976
32.882;60.385;51.294;38.974
33.874;60.34;51.302;38.976
34.875;60.276;51.313;38.98
35.875;60.239;51.313;38.976
36.874;60.226;51.317;38.977
37.891;60.181;51.321;38.975
38.88;60.156;51.326;38.976
39.866;60.116;51.331;38.977
40.873;60.082;51.335;38.975
41.881;60.078;51.34;38.977
42.883;60.013;51.347;38.979
43.862;59.984;51.353;38.981
44.849;59.953;51.355;38.979
45.83;59.89;51.36;38.98
46.831;59.884;51.36;38.977
47.813;59.859;51.363;38.977
48.811;59.849;51.37;38.979
49.817;59.812;51.369;38.973
50.81;59.775;51.377;38.977
51.807;59.742;51.379;38.977
52.79;59.715;51.384;38.978
53.8;59.667;51.388;38.978
54.803;59.639;51.39;38.977
55.779;59.625;51.394;38.978
56.79;59.605;51.398;38.979
57.78;59.583;51.397;38.974
58.77;59.57;51.403;38.977
59.769;59.548;51.406;38.977
60.754;59.52;51.406;38.975
61.762;59.515;51.41;38.976
62.758;59.472;51.415;38.977
63.752;59.452;51.42;38.978
64.743;59.426;51.425;38.981
65.741;59.416;51.425;38.979
66.719;59.388;51.431;38.982
67.727;59.382;51.433;38.982
68.727;59.373;51.434;38.98
69.733;59.359;51.438;38.982
70.736;59.328;51.438;38.979
71.725;59.325;51.442;38.98
72.718;59.311;51.445;38.981
73.728;59.289;51.447;38.98
74.721;59.245;51.45;38.982
75.708;59.234;51.45;38.98
76.701;59.217;51.454;38.981
77.697;59.191;51.462;38.986
78.694;59.17;51.464;38.984
79.691;59.164;51.466;38.985
80.686;59.148;51.47;38.987
81.679;59.135;51.472;38.986
82.664;59.125;51.473;38.986
83.662;59.107;51.475;38.986
84.655;59.098;51.479;38.987
85.659;59.078;51.481;38.987
86.655;59.057;51.48;38.984
87.659;59.07;51.483;38.985
88.674;59.033;51.483;38.983
89.663;59.028;51.485;38.983
90.648;58.997;51.487;38.983
91.645;58.988;51.488;38.982
92.631;58.973;51.492;38.984
93.615;58.963;51.493;38.983
94.608;58.943;51.499;38.987
95.601;58.923;51.502;38.987
96.586;58.919;51.502;38.985
97.583;58.908;51.506;38.988
98.564;58.897;51.508;38.988
99.575;58.881;51.509;38.987
100.591;58.868;51.511;38.987
101.594;58.856;51.514;38.988
102.594;58.851;51.515;38.987
103.608;58.85;51.518;38.988
104.606;58.847;51.52;38.988
105.604;58.834;51.518;38.985
106.583;58.829;51.52;38.986
107.591;58.794;51.52;38.984
108.595;58.776;51.521;38.984
109.594;58.795;51.525;38.986
110.605;58.763;51.525;38.984
111.618;58.735;51.527;38.984
112.605;58.732;51.528;38.984
113.603;58.716;51.532;38.986
114.584;58.716;51.531;38.984
115.589;58.69;51.534;38.985
116.565;58.681;51.538;38.986
117.567;58.661;51.54;38.986
118.568;58.651;51.542;38.987
119.579;58.642;51.543;38.986
120.588;58.643;51.541;38.984
121.569;58.636;51.545;38.986
122.556;58.62;51.547;38.986
123.565;58.612;51.546;38.984
124.571;58.602;51.547;38.983
125.571;58.607;51.548;38.981
126.577;58.59;51.549;38.983
127.577;58.568;51.549;38.98
128.582;58.57;51.551;38.982
129.578;58.565;51.554;38.982
130.564;58.573;51.556;38.983
131.556;58.546;51.556;38.983
132.542;58.523;51.553;38.978
133.544;58.519;51.557;38.979
134.542;58.519;51.558;38.979
135.545;58.499;51.559;38.978
136.553;58.527;51.562;38.98
137.556;58.492;51.562;38.979
138.537;58.484;51.562;38.978
139.543;58.486;51.563;38.977
140.552;58.466;51.566;38.979
141.549;58.449;51.568;38.979
142.566;58.453;51.57;38.98
143.569;58.439;51.571;38.979
144.567;58.434;51.573;38.98
145.569;58.411;51.576;38.981
146.57;58.402;51.578;38.982
147.56;58.395;51.579;38.982
148.55;58.386;51.58;38.981
149.548;58.391;51.58;38.981
150.553;58.382;51.582;38.981
151.539;58.375;51.581;38.979
152.528;58.366;51.584;38.98
153.569;58.361;51.585;38.981
154.57;58.335;51.584;38.978
155.568;58.351;51.587;38.98
156.564;58.347;51.59;38.982
157.555;58.34;51.591;38.981
158.558;58.333;51.59;38.979
159.544;58.331;51.594;38.982
160.547;58.326;51.594;38.981
161.549;58.32;51.596;38.982
162.544;58.314;51.597;38.981
163.548;58.303;51.597;38.981
