IDs:;240715_03_240712B;03_DNAJB6_03_330_uM;
Concentration [uM]:;3.33;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
858.405;56.069;51.921;38.864
859.397;56.064;51.923;38.865
860.397;56.056;51.923;38.864
861.376;56.059;51.923;38.863
862.39;56.054;51.924;38.865
863.387;56.044;51.921;38.862
864.39;56.05;51.925;38.865
865.397;56.049;51.923;38.863
866.39;56.053;51.924;38.863
867.385;56.042;51.924;38.863
868.389;56.046;51.925;38.865
869.389;56.053;51.927;38.866
870.383;56.049;51.926;38.864
871.378;56.047;51.926;38.863
872.378;56.047;51.926;38.863
873.382;56.035;51.925;38.862
874.369;56.029;51.927;38.864
875.358;56.014;51.929;38.865
876.347;56.038;51.929;38.864
877.345;56.037;51.927;38.863
878.344;56.018;51.929;38.864
879.347;56.034;51.928;38.863
880.345;56.017;51.928;38.862
881.326;56.021;51.93;38.864
882.328;56.025;51.929;38.862
883.328;56.007;51.929;38.862
884.324;56.025;51.927;38.861
885.329;56.002;51.929;38.861
886.317;56.016;51.93;38.862
887.315;56.015;51.929;38.862
888.323;56.006;51.929;38.862
889.316;55.997;51.929;38.86
890.315;55.996;51.93;38.861
891.301;55.992;51.931;38.863
892.301;56;51.928;38.859
893.29;55.984;51.929;38.859
894.305;56;51.931;38.86
895.295;55.982;51.929;38.859
896.283;55.969;51.931;38.86
897.262;55.99;51.931;38.86
898.257;55.985;51.929;38.858
899.255;55.99;51.931;38.859
900.256;55.976;51.932;38.861
901.262;55.961;51.929;38.856
902.27;55.981;51.93;38.858
903.253;55.972;51.93;38.857
904.243;55.984;51.934;38.861
905.236;55.969;51.933;38.86
906.234;55.968;51.932;38.858
907.238;55.959;51.933;38.859
908.246;55.972;51.931;38.856
909.267;55.973;51.934;38.86
910.267;55.973;51.933;38.858
911.267;55.959;51.932;38.857
912.268;55.955;51.933;38.858
913.248;55.944;51.93;38.855
914.241;55.952;51.933;38.857
915.219;55.962;51.934;38.858
916.212;55.953;51.933;38.857
917.21;55.939;51.93;38.854
918.206;55.945;51.932;38.856
919.193;55.942;51.932;38.855
920.168;55.95;51.933;38.856
921.175;55.941;51.933;38.855
922.164;55.938;51.933;38.855
923.173;55.923;51.931;38.852
924.159;55.928;51.932;38.854
925.147;55.934;51.932;38.853
926.142;55.924;51.932;38.852
927.121;55.941;51.932;38.853
928.106;55.927;51.933;38.854
929.108;55.916;51.933;38.852
930.113;55.943;51.933;38.853
931.104;55.923;51.934;38.853
932.096;55.918;51.932;38.851
933.095;55.912;51.934;38.853
934.097;55.927;51.934;38.853
935.107;55.916;51.933;38.851
936.125;55.921;51.933;38.851
937.123;55.907;51.934;38.851
938.125;55.903;51.932;38.85
939.131;55.909;51.934;38.85
940.139;55.91;51.931;38.848
941.151;55.909;51.934;38.85
942.142;55.894;51.933;38.849
943.134;55.905;51.932;38.848
944.135;55.904;51.934;38.849
945.139;55.907;51.932;38.847
946.145;55.907;51.934;38.849
947.124;55.898;51.935;38.851
948.136;55.895;51.934;38.847
949.152;55.891;51.934;38.847
950.138;55.892;51.935;38.848
951.148;55.906;51.935;38.848
952.143;55.902;51.934;38.847
953.142;55.874;51.935;38.848
954.138;55.895;51.933;38.845
955.139;55.894;51.933;38.845
956.15;55.899;51.935;38.846
957.163;55.886;51.935;38.846
958.162;55.883;51.934;38.845
959.163;55.882;51.935;38.846
960.156;55.884;51.934;38.845
961.137;55.877;51.934;38.844
962.13;55.879;51.933;38.843
963.104;55.879;51.935;38.844
964.112;55.876;51.935;38.845
965.101;55.884;51.936;38.845
966.088;55.86;51.936;38.845
967.074;55.864;51.937;38.846
968.073;55.861;51.938;38.846
969.081;55.856;51.936;38.845
970.072;55.869;51.937;38.845
971.064;55.857;51.935;38.843
972.046;55.867;51.936;38.843
973.03;55.851;51.936;38.844
974.022;55.853;51.938;38.845
975.025;55.849;51.937;38.844
976.032;55.849;51.937;38.844
977.037;55.86;51.937;38.842
978.019;55.847;51.937;38.843
979.007;55.85;51.939;38.845
979.993;55.846;51.937;38.843
981.004;55.836;51.939;38.844
981.987;55.859;51.939;38.843
982.98;55.854;51.94;38.843
984;55.848;51.94;38.844
985.003;55.854;51.938;38.841
985.997;55.836;51.938;38.842
987.005;55.848;51.938;38.841
987.998;55.831;51.939;38.842
988.99;55.832;51.941;38.843
989.99;55.843;51.94;38.842
990.971;55.847;51.94;38.842
991.971;55.825;51.942;38.844
992.964;55.818;51.94;38.841
993.963;55.826;51.941;38.842
994.979;55.824;51.94;38.84
995.978;55.819;51.944;38.844
996.992;55.83;51.943;38.842
997.981;55.826;51.943;38.842
998.989;55.816;51.944;38.844
999.997;55.821;51.943;38.843
1001.013;55.828;51.943;38.842
1002.014;55.826;51.945;38.843
1003.015;55.812;51.945;38.844
1004.025;55.808;51.945;38.843
1005.036;55.807;51.945;38.842
1006.026;55.811;51.944;38.842
1007.022;55.806;51.946;38.843
1008.003;55.816;51.946;38.843
1009.013;55.802;51.946;38.843
1010.035;55.804;51.944;38.84
1011.021;55.797;51.946;38.842
1012.011;55.795;51.948;38.844
1013.005;55.798;51.947;38.842
1014.002;55.793;51.946;38.841
1014.98;55.786;51.948;38.843
1015.999;55.788;51.946;38.84
1016.99;55.793;51.946;38.84
1017.978;55.783;51.949;38.842
1018.981;55.789;51.944;38.838
1019.987;55.787;51.947;38.841
1020.974;55.786;51.947;38.84
1021.969;55.781;51.948;38.84
1022.953;55.779;51.947;38.84
1023.938;55.775;51.95;38.842
1024.934;55.779;51.949;38.841
1025.938;55.778;51.951;38.842
1026.921;55.773;51.951;38.842
1027.913;55.772;51.949;38.84
1028.901;55.773;51.951;38.841
1029.893;55.778;51.953;38.843
1030.899;55.775;51.953;38.842
1031.912;55.778;51.952;38.842
1032.913;55.772;51.952;38.841
1033.915;55.764;51.953;38.842
1034.923;55.762;51.952;38.839
1035.912;55.771;51.953;38.841
1036.904;55.761;51.955;38.843
1037.902;55.767;51.951;38.839
1038.905;55.765;51.953;38.84
1039.913;55.756;51.952;38.839
1040.89;55.764;51.95;38.837
1041.894;55.762;51.954;38.84
1042.897;55.758;51.953;38.84
1043.907;55.758;51.957;38.842
1044.919;55.753;51.955;38.841
1045.903;55.759;51.954;38.84
1046.892;55.754;51.955;38.841
1047.886;55.749;51.956;38.84
1048.886;55.755;51.955;38.84
1049.877;55.753;51.955;38.84
1050.873;55.748;51.955;38.838
1051.865;55.751;51.956;38.84
1052.851;55.747;51.956;38.84
1053.854;55.743;51.955;38.838
1054.848;55.744;51.958;38.84
1055.834;55.742;51.957;38.839
1056.83;55.745;51.958;38.84
1057.835;55.748;51.957;38.839
1058.825;55.735;51.96;38.841
1059.835;55.736;51.958;38.84
1060.827;55.739;51.959;38.841
1061.825;55.737;51.956;38.837
1062.832;55.735;51.959;38.839
1063.822;55.73;51.958;38.839
1064.845;55.731;51.959;38.839
1065.85;55.728;51.959;38.838
1066.863;55.733;51.96;38.84
1067.857;55.73;51.959;38.837
1068.857;55.724;51.959;38.838
1069.868;55.732;51.96;38.839
1070.859;55.727;51.959;38.837
1071.855;55.731;51.959;38.838
1072.871;55.721;51.959;38.837
1073.875;55.728;51.958;38.836
1074.884;55.719;51.959;38.837
1075.876;55.722;51.959;38.838
1076.871;55.718;51.958;38.835
1077.867;55.724;51.959;38.836
1078.867;55.724;51.959;38.836
1079.87;55.711;51.96;38.837
1080.874;55.715;51.959;38.836
1081.856;55.713;51.959;38.835
1082.874;55.711;51.96;38.837
1083.895;55.717;51.959;38.835
1084.886;55.713;51.96;38.836
1085.88;55.708;51.958;38.833
1086.878;55.708;51.957;38.832
1087.882;55.702;51.958;38.832
1088.854;55.702;51.959;38.833
1089.852;55.703;51.959;38.833
1090.856;55.698;51.959;38.833
1091.873;55.703;51.96;38.834
1092.872;55.706;51.958;38.832
1093.865;55.696;51.961;38.835
1094.84;55.7;51.961;38.833
1095.851;55.697;51.959;38.83
1096.845;55.694;51.959;38.831
1097.836;55.699;51.959;38.831
1098.831;55.7;51.954;38.826
1099.82;55.702;51.96;38.832
1100.796;55.69;51.961;38.832
1101.81;55.689;51.962;38.833
1102.798;55.692;51.96;38.831
1103.788;55.692;51.96;38.831
1104.788;55.689;51.963;38.834
1105.791;55.682;51.963;38.832
1106.787;55.691;51.961;38.831
1107.784;55.688;51.963;38.832
1108.792;55.692;51.96;38.829
1109.802;55.686;51.962;38.831
1110.786;55.693;51.959;38.829
1111.782;55.681;51.964;38.833
1112.781;55.679;51.964;38.832
1113.787;55.677;51.964;38.832
1114.767;55.679;51.962;38.83
1115.787;55.671;51.961;38.828
1116.776;55.681;51.959;38.827
1117.765;55.672;51.963;38.83
1118.755;55.674;51.96;38.827
1119.76;55.669;51.962;38.828
1120.771;55.668;51.963;38.829
1121.788;55.659;51.96;38.826
1122.787;55.673;51.962;38.83
1123.788;55.67;51.969;38.834
1124.789;55.66;51.962;38.827
1125.802;55.661;51.964;38.829
1126.802;55.658;51.962;38.827
1127.788;55.657;51.961;38.826
1128.773;55.654;51.961;38.826
1129.777;55.651;51.96;38.824
1130.791;55.656;51.959;38.822
1131.787;55.649;51.96;38.823
1132.769;55.652;51.959;38.821
1133.757;55.653;51.962;38.825
1134.748;55.648;51.962;38.825
1135.749;55.646;51.96;38.822
1136.733;55.645;51.961;38.823
1137.732;55.633;51.959;38.821
1138.735;55.644;51.961;38.823
1139.74;55.64;51.961;38.823
1140.737;55.645;51.958;38.82
1141.74;55.639;51.959;38.822
1142.745;55.648;51.96;38.821
1143.753;55.642;51.964;38.825
1144.737;55.648;51.962;38.824
1145.721;55.632;51.961;38.821
1146.712;55.634;51.961;38.822
1147.737;55.627;51.962;38.822
1148.736;55.627;51.956;38.817
1149.739;55.631;51.96;38.819
1150.742;55.631;51.961;38.821
1151.726;55.626;51.96;38.819
1152.71;55.616;51.963;38.821
1153.699;55.615;51.957;38.815
1154.692;55.626;51.961;38.82
1155.679;55.622;51.96;38.818
1156.675;55.619;51.959;38.817
1157.671;55.608;51.957;38.815
1158.679;55.618;51.96;38.818
1159.651;55.603;51.958;38.815
1160.644;55.616;51.961;38.818
1161.651;55.605;51.96;38.818
1162.645;55.616;51.96;38.817
1163.635;55.614;51.964;38.821
1164.637;55.613;51.965;38.822
1165.619;55.614;51.964;38.821
1166.621;55.608;51.966;38.821
1167.628;55.61;51.965;38.82
1168.63;55.607;51.96;38.814
1169.63;55.605;51.967;38.821
1170.627;55.598;51.963;38.817
1171.612;55.593;51.965;38.82
1172.598;55.592;51.967;38.821
1173.601;55.591;51.965;38.818
1174.581;55.591;51.964;38.817
1175.581;55.598;51.97;38.824
1176.585;55.589;51.964;38.817
1177.564;55.592;51.969;38.822
1178.547;55.595;51.962;38.813
1179.567;55.577;51.965;38.817
1180.562;55.589;51.97;38.823
1181.562;55.575;51.965;38.817
1182.564;55.591;51.965;38.814
1183.57;55.57;51.965;38.816
1184.547;55.575;51.963;38.814
1185.527;55.567;51.967;38.818
1186.55;55.568;51.967;38.818
1187.54;55.585;51.963;38.811
1188.564;55.575;51.967;38.817
1189.561;55.579;51.964;38.815
1190.56;55.567;51.964;38.814
1191.563;55.569;51.965;38.811
1192.548;55.573;51.962;38.809
1193.545;55.574;51.966;38.812
1194.541;55.567;51.962;38.808
1195.539;55.567;51.964;38.81
1196.515;55.569;51.965;38.811
1197.502;55.569;51.961;38.807
1198.485;55.564;51.964;38.81
1199.479;55.58;51.967;38.812
1200.472;55.565;51.966;38.811
1201.469;55.558;51.964;38.808
1202.467;55.56;51.966;38.81
1203.475;55.557;51.963;38.807
1204.475;55.553;51.966;38.809
1205.455;55.56;51.963;38.808
1206.441;55.564;51.963;38.808
1207.437;55.547;51.961;38.804
1208.441;55.57;51.965;38.809
1209.422;55.567;51.966;38.809
1210.432;55.55;51.963;38.806
1211.44;55.542;51.962;38.804
1212.45;55.547;51.963;38.805
1213.468;55.545;51.96;38.802
1214.462;55.545;51.965;38.807
1215.465;55.545;51.963;38.804
1216.474;55.546;51.963;38.805
1217.454;55.536;51.967;38.809
1218.444;55.536;51.967;38.81
1219.433;55.535;51.963;38.806
1220.428;55.535;51.964;38.806
1221.429;55.531;51.966;38.807
1222.43;55.551;51.97;38.81
1223.434;55.532;51.966;38.805
1224.447;55.535;51.965;38.805
1225.472;55.53;51.965;38.803
1226.463;55.535;51.966;38.806
1227.473;55.528;51.969;38.808
1228.477;55.526;51.969;38.809
1229.47;55.528;51.967;38.807
1230.467;55.525;51.967;38.806
1231.453;55.526;51.97;38.809
1232.452;55.529;51.966;38.805
1233.441;55.526;51.97;38.808
1234.434;55.522;51.97;38.808
1235.435;55.526;51.969;38.808
1236.426;55.516;51.968;38.806
1237.401;55.522;51.97;38.807
1238.413;55.528;51.968;38.805
1239.415;55.521;51.971;38.808
1240.39;55.516;51.97;38.806
1241.391;55.517;51.972;38.809
1242.382;55.514;51.971;38.808
1243.375;55.516;51.973;38.809
1244.378;55.509;51.972;38.808
1245.386;55.516;51.972;38.808
1246.402;55.508;51.97;38.806
1247.391;55.514;51.971;38.807
1248.373;55.514;51.972;38.807
1249.362;55.507;51.972;38.807
1250.353;55.512;51.972;38.807
1251.361;55.503;51.973;38.807
1252.367;55.51;51.972;38.806
1253.35;55.507;51.971;38.805
1254.343;55.507;51.976;38.809
1255.335;55.506;51.972;38.806
1256.364;55.502;51.973;38.807
1257.365;55.501;51.973;38.806
1258.34;55.51;51.976;38.809
1259.348;55.505;51.974;38.808
1260.339;55.504;51.974;38.806
1261.336;55.495;51.973;38.805
1262.331;55.498;51.973;38.805
1263.327;55.494;51.975;38.807
1264.327;55.501;51.974;38.806
1265.329;55.497;51.973;38.804
1266.314;55.498;51.976;38.807
1267.315;55.49;51.975;38.805
1268.325;55.492;51.974;38.805
1269.308;55.494;51.975;38.805
1270.318;55.489;51.972;38.802
1271.307;55.486;51.976;38.805
1272.31;55.489;51.976;38.805
1273.304;55.489;51.973;38.802
1274.289;55.483;51.975;38.804
1275.287;55.491;51.976;38.806
1276.27;55.485;51.974;38.803
1277.261;55.481;51.972;38.801
1278.26;55.482;51.974;38.803
1279.267;55.481;51.975;38.803
1280.254;55.479;51.972;38.8
1281.254;55.48;51.974;38.802
1282.232;55.476;51.974;38.801
1283.232;55.476;51.971;38.798
1284.232;55.473;51.974;38.801
1285.235;55.477;51.971;38.798
1286.232;55.471;51.975;38.802
1287.236;55.477;51.974;38.801
1288.246;55.477;51.974;38.801
1289.267;55.469;51.973;38.799
1290.265;55.473;51.975;38.802
1291.266;55.458;51.972;38.798
1292.268;55.468;51.978;38.804
1293.278;55.469;51.974;38.8
1294.293;55.468;51.976;38.802
1295.278;55.458;51.971;38.796
1296.268;55.456;51.973;38.798
1297.26;55.455;51.974;38.798
1298.261;55.467;51.974;38.799
1299.258;55.466;51.975;38.799
1300.245;55.466;51.978;38.802
1301.232;55.466;51.976;38.799
1302.23;55.469;51.976;38.8
1303.213;55.455;51.976;38.799
1304.213;55.468;51.978;38.802
1305.225;55.445;51.979;38.8
1306.22;55.464;51.974;38.798
1307.213;55.457;51.976;38.798
1308.214;55.456;51.977;38.799
1309.202;55.454;51.974;38.796
1310.201;55.446;51.97;38.792
1311.216;55.444;51.972;38.794
1312.226;55.443;51.973;38.794
1313.209;55.444;51.975;38.796
1314.201;55.446;51.973;38.794
1315.197;55.438;51.97;38.792
1316.2;55.443;51.974;38.794
1317.207;55.434;51.97;38.791
1318.2;55.426;51.973;38.794
1319.194;55.437;51.973;38.793
1320.195;55.422;51.972;38.793
1321.197;55.442;51.975;38.795
1322.208;55.429;51.967;38.787
1323.222;55.434;51.968;38.79
1324.235;55.434;51.971;38.792
1325.24;55.439;51.971;38.79
1326.247;55.424;51.971;38.79
1327.232;55.432;51.973;38.792
1328.248;55.427;51.973;38.792
1329.239;55.416;51.971;38.791
1330.229;55.416;51.967;38.785
1331.24;55.42;51.969;38.787
1332.229;55.409;51.971;38.788
1333.224;55.416;51.968;38.786
1334.206;55.413;51.969;38.787
1335.204;55.415;51.972;38.79
1336.206;55.412;51.969;38.786
1337.199;55.413;51.968;38.785
1338.199;55.401;51.968;38.785
1339.209;55.403;51.968;38.786
1340.188;55.4;51.967;38.784
1341.178;55.405;51.966;38.782
1342.153;55.402;51.969;38.786
1343.137;55.4;51.967;38.784
1344.138;55.41;51.969;38.786
1345.126;55.406;51.968;38.783
1346.119;55.406;51.969;38.786
1347.143;55.403;51.968;38.783
1348.146;55.404;51.967;38.783
1349.126;55.398;51.97;38.785
1350.11;55.403;51.968;38.783
1351.103;55.4;51.973;38.788
1352.106;55.395;51.969;38.784
1353.116;55.396;51.966;38.781
1354.102;55.389;51.969;38.783
1355.093;55.397;51.967;38.782
1356.088;55.398;51.965;38.778
1357.084;55.389;51.968;38.781
1358.088;55.383;51.967;38.781
1359.098;55.387;51.965;38.779
1360.079;55.382;51.968;38.781
1361.07;55.379;51.965;38.778
1362.06;55.381;51.962;38.775
1363.054;55.38;51.965;38.778
1364.051;55.379;51.963;38.775
1365.045;55.384;51.961;38.772
1366.044;55.379;51.964;38.776
1367.033;55.379;51.963;38.775
1368.037;55.373;51.965;38.776
1369.025;55.373;51.964;38.776
1370.026;55.372;51.962;38.773
1371.034;55.371;51.963;38.775
1372.018;55.371;51.964;38.775
1373.01;55.375;51.962;38.773
1374.016;55.371;51.965;38.775
1375.01;55.369;51.966;38.777
1376.016;55.374;51.963;38.775
1377.026;55.364;51.964;38.774
1378.025;55.37;51.963;38.774
1379.03;55.37;51.964;38.775
1380.026;55.363;51.963;38.773
1381.028;55.367;51.963;38.773
1382.037;55.365;51.963;38.773
1383.024;55.367;51.966;38.776
1384.044;55.365;51.961;38.771
1385.05;55.364;51.963;38.772
1386.056;55.363;51.964;38.773
1387.072;55.36;51.964;38.773
1388.073;55.355;51.968;38.777
1389.083;55.367;51.963;38.773
1390.083;55.358;51.964;38.772
1391.084;55.357;51.965;38.773
1392.088;55.356;51.963;38.771
1393.098;55.36;51.966;38.775
1394.108;55.359;51.966;38.774
1395.098;55.356;51.966;38.774
1396.087;55.351;51.964;38.771
1397.082;55.353;51.966;38.772
1398.081;55.357;51.967;38.773
1399.065;55.354;51.966;38.774
1400.063;55.352;51.967;38.773
1401.059;55.351;51.968;38.775
1402.066;55.355;51.965;38.772
1403.041;55.347;51.966;38.772
1404.046;55.354;51.967;38.773
1405.053;55.351;51.967;38.772
1406.04;55.351;51.966;38.772
1407.037;55.349;51.966;38.772
1408.055;55.348;51.967;38.772
1409.074;55.342;51.966;38.771
1410.083;55.343;51.967;38.773
1411.073;55.341;51.967;38.771
1412.065;55.345;51.966;38.771
1413.066;55.342;51.966;38.771
1414.045;55.341;51.965;38.769
1415.03;55.339;51.965;38.769
1416.022;55.34;51.967;38.771
1417.021;55.335;51.967;38.771
1418.028;55.335;51.967;38.77
1419.039;55.333;51.965;38.768
1420.029;55.337;51.965;38.769
1421.034;55.332;51.969;38.772
1422.04;55.331;51.966;38.769
1423.052;55.335;51.966;38.769
1424.042;55.328;51.965;38.767
1425.035;55.327;51.966;38.768
1426.032;55.329;51.965;38.767
1427.035;55.329;51.965;38.767
1428.012;55.321;51.967;38.77
1429.022;55.322;51.968;38.769
1430.006;55.319;51.967;38.768
1430.991;55.325;51.969;38.77
1431.978;55.324;51.967;38.768
1432.969;55.324;51.966;38.767
1433.963;55.316;51.966;38.767
1434.963;55.316;51.969;38.77
1435.964;55.317;51.964;38.764
1436.967;55.32;51.967;38.767
1437.961;55.316;51.967;38.766
1438.949;55.317;51.967;38.766
1439.932;55.317;51.969;38.768
1440.933;55.309;51.971;38.771
1441.929;55.314;51.969;38.768
1442.92;55.314;51.971;38.77
1443.917;55.314;51.971;38.77
1444.926;55.308;51.971;38.77
1445.917;55.308;51.972;38.772
1446.886;55.312;51.97;38.768
1447.877;55.301;51.97;38.77
1448.871;55.306;51.971;38.769
1449.872;55.29;51.975;38.772
1450.877;55.303;51.971;38.767
1451.862;55.301;51.973;38.77
1452.86;55.309;51.97;38.767
1453.858;55.304;51.97;38.767
1454.868;55.296;51.973;38.771
1455.883;55.292;51.974;38.77
1456.905;55.291;51.973;38.769
1457.903;55.298;51.972;38.768
1458.904;55.294;51.975;38.771
1459.912;55.301;51.973;38.768
1460.903;55.294;51.974;38.77
1461.894;55.29;51.973;38.769
1462.892;55.29;51.975;38.77
1463.895;55.284;51.976;38.771
1464.901;55.283;51.975;38.77
1465.918;55.28;51.975;38.769
1466.937;55.285;51.976;38.769
1467.958;55.278;51.977;38.771
1468.95;55.289;51.976;38.77
1469.952;55.283;51.975;38.769
1470.945;55.291;51.977;38.77
1471.937;55.277;51.979;38.772
1472.938;55.283;51.983;38.776
1473.935;55.291;51.981;38.775
1474.949;55.284;51.979;38.772
1475.949;55.278;51.981;38.774
1476.937;55.279;51.979;38.771
1477.937;55.279;51.978;38.77
1478.948;55.291;51.977;38.769
1479.94;55.273;51.98;38.771
1480.928;55.273;51.982;38.774
1481.929;55.278;51.981;38.773
1482.911;55.28;51.982;38.773
1483.907;55.278;51.984;38.775
1484.914;55.273;51.98;38.771
1485.926;55.27;51.984;38.774
1486.921;55.271;51.983;38.773
1487.922;55.273;51.985;38.775
1488.903;55.283;51.984;38.775
1489.889;55.28;51.984;38.774
1490.887;55.27;51.982;38.772
1491.89;55.269;51.986;38.775
1492.886;55.268;51.984;38.773
1493.887;55.268;51.987;38.776
1494.896;55.263;51.984;38.772
1495.875;55.266;51.986;38.774
1496.859;55.265;51.986;38.774
1497.848;55.266;51.989;38.777
1498.837;55.257;51.986;38.774
1499.838;55.266;51.987;38.775
1500.84;55.259;51.99;38.777
1501.847;55.258;51.988;38.774
1502.857;55.259;51.988;38.775
1503.868;55.254;51.989;38.775
1504.861;55.258;51.988;38.774
1505.845;55.247;51.987;38.773
1506.833;55.255;51.986;38.772
1507.832;55.253;51.987;38.773
1508.815;55.253;51.986;38.772
1509.801;55.25;51.986;38.771
1510.796;55.258;51.985;38.771
1511.805;55.246;51.985;38.77
1512.828;55.258;51.986;38.772
1513.823;55.252;51.985;38.77
1514.823;55.251;51.988;38.773
1515.827;55.249;51.987;38.771
1516.822;55.249;51.987;38.771
1517.835;55.245;51.988;38.773
1518.818;55.25;51.985;38.769
1519.819;55.245;51.987;38.771
1520.819;55.242;51.988;38.771
1521.854;55.246;51.987;38.77
1522.865;55.242;51.987;38.771
1523.84;55.24;51.987;38.77
1524.829;55.238;51.987;38.771
1525.827;55.25;51.985;38.768
1526.826;55.24;51.987;38.77
1527.827;55.246;51.986;38.769
1528.825;55.242;51.987;38.769
1529.827;55.24;51.989;38.771
1530.825;55.237;51.985;38.767
1531.837;55.236;51.988;38.771
1532.821;55.237;51.987;38.769
1533.825;55.234;51.989;38.771
1534.82;55.236;51.99;38.771
1535.819;55.233;51.986;38.767
1536.801;55.23;51.986;38.767
1537.801;55.229;51.988;38.769
1538.792;55.232;51.988;38.769
1539.795;55.235;51.989;38.769
1540.8;55.225;51.987;38.768
1541.814;55.227;51.988;38.769
1542.806;55.22;51.988;38.769
1543.808;55.228;51.988;38.768
1544.82;55.226;51.986;38.766
1545.809;55.228;51.987;38.767
1546.822;55.223;51.989;38.768
1547.834;55.228;51.989;38.769
1548.821;55.224;51.988;38.767
1549.813;55.224;51.987;38.766
1550.825;55.226;51.989;38.768
1551.831;55.218;51.987;38.765
1552.815;55.214;51.986;38.764
1553.814;55.218;51.989;38.767
1554.816;55.219;51.988;38.765
1555.8;55.219;51.987;38.766
1556.813;55.221;51.988;38.766
1557.799;55.219;51.986;38.764
1558.79;55.217;51.989;38.767
1559.781;55.218;51.989;38.767
1560.779;55.211;51.988;38.766
1561.778;55.216;51.99;38.767
1562.77;55.214;51.989;38.766
1563.764;55.213;51.989;38.767
1564.762;55.218;51.99;38.766
1565.766;55.214;51.99;38.766
1566.76;55.212;51.991;38.766
1567.771;55.211;51.989;38.765
1568.764;55.205;51.99;38.766
1569.751;55.206;51.989;38.766
1570.737;55.201;51.99;38.766
1571.728;55.208;51.986;38.762
1572.73;55.209;51.987;38.762
1573.712;55.206;51.988;38.763
1574.731;55.203;51.987;38.763
1575.721;55.206;51.987;38.763
1576.71;55.199;51.987;38.761
1577.708;55.2;51.987;38.761
1578.696;55.2;51.987;38.761
1579.724;55.199;51.986;38.759
1580.729;55.202;51.987;38.761
1581.752;55.202;51.986;38.76
1582.743;55.193;51.987;38.759
1583.743;55.19;51.987;38.759
1584.763;55.191;51.986;38.758
1585.755;55.189;51.985;38.757
1586.752;55.191;51.985;38.758
1587.753;55.188;51.983;38.756
1588.763;55.183;51.985;38.759
1589.776;55.19;51.984;38.757
1590.761;55.182;51.985;38.758
1591.779;55.183;51.983;38.755
1592.776;55.179;51.985;38.757
1593.773;55.179;51.984;38.756
1594.777;55.178;51.984;38.757
1595.774;55.176;51.985;38.757
1596.79;55.177;51.985;38.757
1597.793;55.177;51.983;38.754
1598.79;55.176;51.982;38.753
1599.796;55.177;51.982;38.753
1600.794;55.177;51.982;38.753
1601.781;55.173;51.984;38.755
1602.783;55.166;51.983;38.753
1603.793;55.175;51.982;38.753
1604.806;55.168;51.982;38.753
1605.805;55.17;51.983;38.755
1606.788;55.171;51.982;38.752
1607.786;55.166;51.981;38.751
1608.79;55.164;51.983;38.753
1609.8;55.166;51.981;38.752
1610.788;55.167;51.981;38.751
1611.784;55.166;51.982;38.751
1612.786;55.162;51.981;38.75
1613.796;55.163;51.981;38.75
1614.781;55.159;51.982;38.752
1615.76;55.161;51.982;38.75
1616.772;55.158;51.983;38.752
1617.762;55.158;51.982;38.751
1618.784;55.161;51.982;38.751
1619.78;55.159;51.98;38.748
1620.781;55.155;51.983;38.751
1621.784;55.149;51.981;38.749
1622.791;55.152;51.981;38.749
1623.801;55.153;51.98;38.748
1624.78;55.148;51.979;38.747
1625.801;55.146;51.979;38.747
1626.789;55.152;51.978;38.745
1627.781;55.147;51.98;38.747
1628.775;55.146;51.981;38.748
1629.768;55.146;51.98;38.746
1630.768;55.149;51.981;38.748
1631.745;55.149;51.982;38.749
1632.76;55.146;51.982;38.748
1633.758;55.14;51.983;38.748
1634.754;55.139;51.981;38.747
1635.743;55.142;51.98;38.746
1636.724;55.139;51.981;38.746
1637.726;55.142;51.98;38.746
1638.742;55.141;51.979;38.746
1639.724;55.141;51.981;38.747
1640.723;55.135;51.98;38.744
1641.727;55.136;51.981;38.746
1642.736;55.134;51.979;38.744
1643.754;55.137;51.98;38.746
1644.747;55.137;51.979;38.744
1645.733;55.136;51.98;38.745
1646.725;55.137;51.98;38.745
1647.73;55.13;51.979;38.744
1648.737;55.13;51.98;38.744
1649.723;55.133;51.98;38.744
1650.717;55.134;51.979;38.744
1651.717;55.135;51.981;38.745
1652.722;55.13;51.98;38.744
1653.731;55.131;51.981;38.745
1654.744;55.123;51.98;38.744
1655.76;55.131;51.978;38.742
1656.746;55.12;51.98;38.744
1657.741;55.125;51.98;38.743
1658.738;55.13;51.979;38.743
1659.741;55.121;51.981;38.744
1660.733;55.128;51.981;38.744
1661.722;55.126;51.98;38.742
1662.713;55.115;51.98;38.743
1663.713;55.121;51.982;38.744
1664.711;55.113;51.979;38.742
1665.707;55.118;51.98;38.743
1666.7;55.097;51.978;38.74
1667.692;55.111;51.979;38.741
1668.679;55.107;51.978;38.739
1669.666;55.11;51.981;38.742
1670.664;55.115;51.979;38.741
1671.673;55.115;51.98;38.742
1672.685;55.107;51.979;38.741
1673.698;55.11;51.981;38.743
1674.698;55.098;51.978;38.739
1675.691;55.096;51.978;38.739
1676.692;55.108;51.978;38.74
1677.68;55.103;51.978;38.738
1678.688;55.109;51.979;38.741
1679.705;55.094;51.977;38.737
1680.713;55.102;51.978;38.738
1681.712;55.106;51.978;38.738
1682.719;55.101;51.979;38.739
