IDs:;240715_06_240712E;06_DNAJB6_00_988_uM;
Concentration [uM]:;0.988;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
856.044;57.774;51.633;38.936
857.038;57.782;51.633;38.935
858.036;57.777;51.633;38.933
859.021;57.722;51.637;38.942
860.042;57.765;51.634;38.936
861.042;57.755;51.635;38.936
862.054;57.775;51.634;38.933
863.04;57.761;51.634;38.935
864.027;57.763;51.634;38.933
865.038;57.775;51.633;38.931
866.053;57.753;51.636;38.936
867.074;57.757;51.636;38.933
868.073;57.753;51.637;38.936
869.078;57.756;51.636;38.932
870.068;57.742;51.637;38.934
871.09;57.754;51.635;38.931
872.073;57.734;51.637;38.934
873.091;57.749;51.637;38.932
874.083;57.745;51.636;38.931
875.076;57.744;51.637;38.932
876.074;57.741;51.637;38.931
877.073;57.728;51.638;38.933
878.073;57.734;51.638;38.933
879.071;57.731;51.637;38.932
880.064;57.734;51.64;38.935
881.067;57.739;51.637;38.93
882.078;57.72;51.638;38.932
883.067;57.73;51.639;38.933
884.071;57.714;51.638;38.931
885.066;57.718;51.639;38.932
886.049;57.71;51.638;38.932
887.041;57.725;51.636;38.926
888.039;57.728;51.639;38.929
889.024;57.707;51.64;38.932
890.019;57.728;51.639;38.93
891.009;57.717;51.64;38.931
892.009;57.722;51.641;38.93
893.028;57.716;51.639;38.93
894.035;57.707;51.643;38.932
895.046;57.698;51.641;38.93
896.033;57.701;51.642;38.931
897.021;57.714;51.64;38.927
898.032;57.699;51.64;38.928
899.02;57.697;51.643;38.931
900.014;57.695;51.64;38.926
901.021;57.698;51.641;38.928
902.031;57.688;51.641;38.928
903.019;57.71;51.642;38.929
904.009;57.701;51.642;38.928
905.003;57.678;51.642;38.928
906.006;57.691;51.643;38.928
907.015;57.679;51.643;38.927
908.023;57.685;51.644;38.93
909.006;57.679;51.644;38.929
910.025;57.671;51.645;38.929
911.044;57.679;51.643;38.926
912.037;57.672;51.646;38.929
913.036;57.655;51.65;38.933
914.038;57.646;51.651;38.933
915.043;57.677;51.646;38.928
916.038;57.673;51.646;38.928
917.048;57.671;51.648;38.93
918.023;57.658;51.65;38.931
919.011;57.656;51.651;38.933
919.983;57.666;51.65;38.93
920.975;57.65;51.651;38.93
921.971;57.636;51.654;38.934
922.955;57.652;51.652;38.931
923.953;57.648;51.651;38.93
924.948;57.64;51.652;38.931
925.959;57.657;51.652;38.931
926.95;57.634;51.653;38.931
927.95;57.635;51.654;38.932
928.941;57.639;51.653;38.93
929.922;57.642;51.653;38.93
930.932;57.637;51.656;38.932
931.946;57.621;51.656;38.932
932.95;57.628;51.656;38.932
933.962;57.617;51.657;38.933
934.946;57.618;51.656;38.933
935.966;57.622;51.656;38.931
936.966;57.619;51.659;38.934
937.967;57.611;51.659;38.933
938.944;57.614;51.658;38.932
939.928;57.621;51.658;38.932
940.917;57.621;51.66;38.932
941.907;57.614;51.66;38.933
942.907;57.603;51.661;38.934
943.91;57.612;51.661;38.933
944.906;57.611;51.66;38.931
945.899;57.609;51.661;38.932
946.891;57.598;51.662;38.934
947.887;57.599;51.66;38.932
948.89;57.607;51.661;38.932
949.895;57.619;51.661;38.929
950.902;57.602;51.665;38.934
951.902;57.591;51.662;38.932
952.898;57.605;51.66;38.927
953.889;57.602;51.663;38.931
954.871;57.593;51.665;38.933
955.855;57.603;51.662;38.93
956.843;57.599;51.662;38.929
957.824;57.591;51.663;38.93
958.829;57.597;51.665;38.93
959.818;57.593;51.665;38.931
960.835;57.577;51.668;38.937
961.827;57.587;51.666;38.932
962.806;57.588;51.666;38.931
963.818;57.593;51.668;38.932
964.83;57.584;51.668;38.934
965.808;57.583;51.668;38.933
966.813;57.588;51.668;38.931
967.828;57.573;51.672;38.936
968.816;57.57;51.671;38.936
969.811;57.568;51.67;38.933
970.818;57.578;51.669;38.933
971.826;57.557;51.671;38.935
972.814;57.558;51.673;38.937
973.819;57.575;51.67;38.932
974.809;57.562;51.671;38.935
975.805;57.565;51.669;38.931
976.801;57.562;51.672;38.934
977.804;57.551;51.671;38.933
978.809;57.548;51.674;38.935
979.819;57.551;51.673;38.933
980.829;57.543;51.673;38.935
981.845;57.54;51.675;38.936
982.837;57.553;51.669;38.929
983.829;57.549;51.671;38.931
984.825;57.541;51.673;38.933
985.825;57.548;51.671;38.931
986.828;57.536;51.671;38.931
987.824;57.533;51.673;38.932
988.811;57.549;51.672;38.93
989.805;57.528;51.673;38.932
990.819;57.536;51.671;38.929
991.826;57.53;51.672;38.93
992.828;57.527;51.671;38.929
993.834;57.544;51.67;38.926
994.846;57.519;51.672;38.929
995.853;57.528;51.672;38.927
996.842;57.517;51.673;38.93
997.821;57.519;51.671;38.927
998.804;57.515;51.669;38.925
999.806;57.514;51.671;38.926
1000.814;57.516;51.672;38.927
1001.799;57.505;51.671;38.925
1002.8;57.519;51.672;38.926
1003.795;57.508;51.67;38.924
1004.793;57.503;51.671;38.925
1005.794;57.516;51.671;38.923
1006.801;57.506;51.672;38.925
1007.814;57.506;51.673;38.925
1008.798;57.499;51.673;38.925
1009.79;57.499;51.671;38.924
1010.784;57.511;51.673;38.924
1011.781;57.492;51.672;38.923
1012.785;57.491;51.674;38.925
1013.759;57.499;51.673;38.925
1014.772;57.491;51.671;38.923
1015.789;57.494;51.672;38.923
1016.808;57.488;51.672;38.922
1017.799;57.482;51.672;38.923
1018.794;57.467;51.671;38.921
1019.781;57.483;51.671;38.921
1020.777;57.485;51.671;38.921
1021.774;57.485;51.669;38.918
1022.78;57.481;51.671;38.92
1023.758;57.478;51.672;38.921
1024.761;57.477;51.67;38.916
1025.754;57.472;51.673;38.921
1026.745;57.478;51.671;38.919
1027.739;57.475;51.67;38.917
1028.731;57.461;51.671;38.918
1029.732;57.476;51.671;38.916
1030.724;57.465;51.67;38.917
1031.724;57.462;51.671;38.917
1032.71;57.473;51.67;38.916
1033.734;57.469;51.671;38.917
1034.713;57.461;51.671;38.916
1035.71;57.459;51.671;38.916
1036.716;57.458;51.671;38.916
1037.701;57.468;51.672;38.915
1038.689;57.459;51.671;38.913
1039.685;57.45;51.67;38.913
1040.687;57.449;51.673;38.915
1041.694;57.436;51.674;38.918
1042.707;57.428;51.675;38.919
1043.727;57.448;51.672;38.914
1044.718;57.449;51.67;38.912
1045.716;57.446;51.671;38.912
1046.716;57.442;51.672;38.914
1047.72;57.438;51.671;38.91
1048.701;57.444;51.669;38.909
1049.685;57.417;51.675;38.916
1050.706;57.418;51.67;38.91
1051.694;57.424;51.674;38.913
1052.688;57.446;51.673;38.912
1053.682;57.431;51.673;38.911
1054.684;57.419;51.677;38.915
1055.694;57.414;51.677;38.915
1056.7;57.416;51.677;38.915
1057.701;57.425;51.673;38.91
1058.683;57.419;51.678;38.914
1059.67;57.41;51.676;38.912
1060.67;57.417;51.677;38.914
1061.665;57.404;51.676;38.913
1062.663;57.411;51.676;38.912
1063.65;57.402;51.68;38.917
1064.668;57.405;51.68;38.915
1065.647;57.392;51.677;38.911
1066.634;57.399;51.679;38.915
1067.647;57.402;51.679;38.914
1068.648;57.382;51.683;38.918
1069.658;57.386;51.678;38.912
1070.642;57.382;51.679;38.913
1071.631;57.39;51.68;38.914
1072.624;57.39;51.677;38.908
1073.621;57.362;51.681;38.916
1074.622;57.375;51.676;38.909
1075.636;57.387;51.677;38.909
1076.651;57.385;51.678;38.91
1077.641;57.384;51.678;38.908
1078.638;57.366;51.68;38.912
1079.637;57.361;51.682;38.916
1080.642;57.372;51.683;38.915
1081.65;57.351;51.682;38.914
1082.661;57.352;51.682;38.914
1083.677;57.352;51.685;38.915
1084.669;57.355;51.682;38.913
1085.662;57.344;51.683;38.914
1086.663;57.35;51.684;38.914
1087.659;57.338;51.682;38.913
1088.652;57.354;51.678;38.906
1089.651;57.35;51.683;38.912
1090.658;57.344;51.68;38.909
1091.65;57.343;51.681;38.91
1092.656;57.329;51.685;38.915
1093.648;57.348;51.679;38.904
1094.647;57.328;51.683;38.911
1095.656;57.327;51.683;38.91
1096.651;57.335;51.683;38.91
1097.658;57.327;51.684;38.912
1098.651;57.316;51.685;38.912
1099.641;57.322;51.686;38.912
1100.651;57.334;51.679;38.903
1101.667;57.318;51.685;38.911
1102.66;57.315;51.682;38.907
1103.659;57.315;51.683;38.908
1104.662;57.309;51.684;38.909
1105.672;57.314;51.681;38.906
1106.661;57.298;51.684;38.909
1107.686;57.308;51.683;38.906
1108.685;57.297;51.681;38.906
1109.692;57.308;51.68;38.903
1110.703;57.305;51.681;38.904
1111.691;57.301;51.682;38.904
1112.688;57.294;51.685;38.908
1113.693;57.287;51.682;38.904
1114.699;57.289;51.684;38.906
1115.712;57.293;51.681;38.903
1116.7;57.29;51.685;38.907
1117.695;57.289;51.685;38.906
1118.693;57.279;51.684;38.906
1119.695;57.29;51.683;38.904
1120.701;57.288;51.682;38.902
1121.694;57.285;51.683;38.904
1122.687;57.277;51.684;38.906
1123.68;57.283;51.685;38.905
1124.67;57.276;51.683;38.902
1125.659;57.277;51.685;38.904
1126.64;57.273;51.689;38.909
1127.636;57.274;51.689;38.909
1128.63;57.277;51.687;38.906
1129.646;57.264;51.686;38.905
1130.648;57.275;51.689;38.908
1131.656;57.28;51.687;38.904
1132.654;57.257;51.69;38.908
1133.661;57.268;51.688;38.905
1134.673;57.262;51.688;38.905
1135.67;57.266;51.691;38.908
1136.649;57.276;51.69;38.906
1137.633;57.254;51.688;38.905
1138.623;57.254;51.69;38.907
1139.622;57.266;51.689;38.905
1140.627;57.255;51.688;38.904
1141.638;57.261;51.692;38.907
1142.633;57.257;51.689;38.903
1143.649;57.252;51.689;38.903
1144.633;57.248;51.692;38.907
1145.629;57.243;51.687;38.9
1146.628;57.243;51.69;38.905
1147.606;57.232;51.688;38.902
1148.618;57.243;51.69;38.903
1149.634;57.242;51.686;38.898
1150.626;57.243;51.691;38.904
1151.623;57.238;51.689;38.901
1152.622;57.23;51.691;38.902
1153.627;57.234;51.69;38.901
1154.602;57.236;51.689;38.9
1155.612;57.227;51.689;38.9
1156.598;57.221;51.689;38.9
1157.619;57.217;51.688;38.9
1158.611;57.22;51.689;38.9
1159.606;57.226;51.689;38.899
1160.608;57.23;51.689;38.899
1161.611;57.231;51.689;38.898
1162.604;57.229;51.688;38.896
1163.605;57.211;51.69;38.899
1164.618;57.215;51.688;38.896
1165.611;57.212;51.688;38.896
1166.603;57.203;51.69;38.899
1167.587;57.222;51.688;38.896
1168.587;57.224;51.686;38.893
1169.59;57.213;51.689;38.896
1170.587;57.21;51.69;38.895
1171.589;57.202;51.691;38.898
1172.573;57.204;51.691;38.897
1173.564;57.197;51.69;38.896
1174.563;57.203;51.689;38.895
1175.571;57.203;51.687;38.893
1176.562;57.195;51.689;38.893
1177.554;57.195;51.69;38.895
1178.553;57.2;51.69;38.894
1179.551;57.185;51.691;38.896
1180.552;57.192;51.691;38.895
1181.555;57.188;51.69;38.894
1182.571;57.17;51.693;38.899
1183.556;57.18;51.693;38.897
1184.546;57.179;51.692;38.895
1185.541;57.179;51.69;38.893
1186.541;57.18;51.692;38.895
1187.546;57.179;51.692;38.895
1188.554;57.172;51.693;38.894
1189.564;57.173;51.696;38.897
1190.55;57.166;51.693;38.896
1191.536;57.16;51.693;38.895
1192.566;57.173;51.693;38.894
1193.564;57.168;51.693;38.892
1194.568;57.167;51.693;38.894
1195.564;57.157;51.697;38.896
1196.565;57.149;51.699;38.899
1197.563;57.161;51.696;38.894
1198.564;57.166;51.695;38.892
1199.559;57.154;51.697;38.896
1200.541;57.148;51.697;38.895
1201.557;57.156;51.697;38.896
1202.568;57.144;51.697;38.895
1203.56;57.137;51.698;38.896
1204.554;57.157;51.697;38.893
1205.558;57.153;51.696;38.892
1206.565;57.15;51.699;38.896
1207.553;57.139;51.7;38.895
1208.555;57.143;51.696;38.891
1209.57;57.137;51.698;38.892
1210.571;57.124;51.701;38.896
1211.573;57.131;51.699;38.895
1212.562;57.133;51.696;38.892
1213.559;57.121;51.7;38.895
1214.562;57.125;51.699;38.894
1215.568;57.121;51.7;38.894
1216.555;57.123;51.696;38.891
1217.546;57.117;51.701;38.895
1218.552;57.103;51.704;38.897
1219.574;57.103;51.702;38.895
1220.571;57.102;51.702;38.895
1221.582;57.106;51.7;38.893
1222.574;57.102;51.702;38.895
1223.563;57.102;51.704;38.895
1224.556;57.106;51.702;38.894
1225.554;57.104;51.703;38.895
1226.556;57.111;51.703;38.893
1227.561;57.103;51.701;38.893
1228.551;57.09;51.701;38.891
1229.555;57.096;51.699;38.89
1230.548;57.104;51.701;38.891
1231.53;57.096;51.702;38.892
1232.525;57.095;51.702;38.892
1233.516;57.089;51.703;38.89
1234.514;57.064;51.703;38.892
1235.52;57.07;51.705;38.895
1236.522;57.078;51.704;38.892
1237.51;57.089;51.704;38.892
1238.494;57.076;51.702;38.89
1239.492;57.069;51.701;38.888
1240.511;57.059;51.703;38.889
1241.499;57.084;51.704;38.889
1242.495;57.071;51.705;38.892
1243.489;57.058;51.703;38.888
1244.5;57.079;51.702;38.887
1245.512;57.078;51.701;38.886
1246.502;57.06;51.701;38.885
1247.498;57.054;51.702;38.888
1248.501;57.045;51.703;38.889
1249.478;57.064;51.705;38.889
1250.463;57.053;51.704;38.889
1251.45;57.051;51.704;38.887
1252.441;57.044;51.702;38.885
1253.438;57.058;51.705;38.888
1254.438;57.066;51.707;38.888
1255.444;57.041;51.703;38.886
1256.451;57.06;51.705;38.887
1257.435;57.041;51.703;38.884
1258.454;57.043;51.706;38.888
1259.446;57.025;51.704;38.886
1260.44;57.045;51.704;38.885
1261.437;57.041;51.704;38.885
1262.437;57.044;51.704;38.884
1263.432;57.038;51.705;38.886
1264.427;57.038;51.707;38.889
1265.442;57.004;51.704;38.884
1266.446;57.042;51.705;38.885
1267.446;57.029;51.702;38.882
1268.442;57.029;51.704;38.884
1269.429;57.008;51.703;38.883
1270.419;57.029;51.703;38.88
1271.41;57.034;51.705;38.886
1272.391;57.028;51.704;38.883
1273.38;57.005;51.705;38.884
1274.378;57.028;51.702;38.878
1275.382;57.004;51.702;38.881
1276.383;57.006;51.702;38.879
1277.393;57.028;51.702;38.879
1278.38;57.008;51.704;38.882
1279.381;57.003;51.702;38.879
1280.387;57.004;51.704;38.881
1281.369;57.024;51.706;38.882
1282.388;56.987;51.705;38.882
1283.388;57.009;51.703;38.877
1284.396;56.985;51.704;38.879
1285.417;56.985;51.704;38.881
1286.41;56.986;51.704;38.88
1287.423;56.98;51.704;38.879
1288.439;57.002;51.706;38.882
1289.431;56.986;51.702;38.877
1290.428;56.976;51.704;38.879
1291.427;56.986;51.704;38.879
1292.434;56.966;51.702;38.876
1293.448;56.976;51.701;38.875
1294.431;56.977;51.7;38.873
1295.423;56.98;51.701;38.875
1296.415;56.971;51.701;38.874
1297.413;56.975;51.7;38.872
1298.415;56.985;51.704;38.878
1299.418;56.976;51.7;38.872
1300.413;56.962;51.702;38.875
1301.405;56.975;51.702;38.874
1302.393;56.957;51.702;38.875
1303.394;56.975;51.701;38.873
1304.392;56.959;51.703;38.875
1305.378;56.965;51.701;38.871
1306.362;56.954;51.703;38.872
1307.35;56.947;51.703;38.873
1308.346;56.962;51.703;38.874
1309.328;56.959;51.7;38.87
1310.319;56.955;51.7;38.869
1311.316;56.95;51.702;38.872
1312.296;56.957;51.702;38.872
1313.282;56.956;51.702;38.87
1314.274;56.947;51.701;38.87
1315.291;56.946;51.703;38.87
1316.283;56.947;51.701;38.869
1317.284;56.943;51.702;38.87
1318.295;56.949;51.701;38.87
1319.281;56.952;51.701;38.868
1320.275;56.943;51.702;38.869
1321.276;56.947;51.7;38.866
1322.278;56.938;51.703;38.869
1323.288;56.935;51.7;38.866
1324.301;56.951;51.702;38.869
1325.285;56.949;51.702;38.868
1326.273;56.933;51.7;38.865
1327.266;56.929;51.704;38.869
1328.26;56.921;51.705;38.872
1329.27;56.929;51.703;38.869
1330.277;56.935;51.703;38.867
1331.279;56.938;51.702;38.868
1332.272;56.938;51.703;38.867
1333.261;56.927;51.704;38.868
1334.267;56.917;51.705;38.869
1335.269;56.927;51.704;38.867
1336.283;56.93;51.703;38.866
1337.263;56.928;51.704;38.866
1338.258;56.929;51.705;38.866
1339.244;56.916;51.705;38.866
1340.252;56.924;51.704;38.866
1341.251;56.918;51.705;38.866
1342.231;56.923;51.703;38.863
1343.222;56.914;51.703;38.864
1344.225;56.915;51.704;38.863
1345.232;56.915;51.704;38.865
1346.228;56.909;51.704;38.865
1347.231;56.915;51.705;38.865
1348.219;56.897;51.707;38.866
1349.193;56.916;51.702;38.862
1350.2;56.913;51.7;38.859
1351.211;56.915;51.702;38.861
1352.225;56.9;51.704;38.863
1353.233;56.897;51.705;38.864
1354.241;56.902;51.704;38.862
1355.242;56.907;51.702;38.862
1356.234;56.893;51.703;38.862
1357.221;56.9;51.702;38.86
1358.211;56.885;51.705;38.862
1359.204;56.892;51.705;38.862
1360.206;56.894;51.703;38.86
1361.206;56.896;51.705;38.861
1362.197;56.888;51.705;38.862
1363.191;56.893;51.703;38.859
1364.21;56.883;51.705;38.86
1365.205;56.894;51.703;38.859
1366.188;56.885;51.706;38.862
1367.189;56.888;51.704;38.859
1368.191;56.883;51.702;38.858
1369.171;56.875;51.704;38.86
1370.177;56.871;51.706;38.861
1371.182;56.869;51.706;38.862
1372.173;56.871;51.704;38.859
1373.17;56.874;51.701;38.855
1374.169;56.874;51.703;38.857
1375.178;56.868;51.702;38.856
1376.195;56.868;51.705;38.858
1377.194;56.866;51.702;38.855
1378.191;56.869;51.704;38.857
1379.189;56.868;51.705;38.857
1380.171;56.857;51.705;38.858
1381.159;56.869;51.702;38.855
1382.162;56.851;51.705;38.857
1383.165;56.851;51.705;38.857
1384.174;56.858;51.705;38.858
1385.162;56.855;51.704;38.856
1386.172;56.851;51.705;38.856
1387.182;56.853;51.704;38.854
1388.199;56.859;51.704;38.855
1389.216;56.85;51.704;38.854
1390.21;56.843;51.706;38.856
1391.208;56.853;51.703;38.853
1392.214;56.837;51.706;38.856
1393.219;56.843;51.707;38.856
1394.207;56.841;51.705;38.854
1395.22;56.846;51.705;38.855
1396.21;56.839;51.704;38.853
1397.192;56.847;51.707;38.856
1398.19;56.84;51.705;38.855
1399.177;56.834;51.705;38.853
1400.184;56.836;51.704;38.853
1401.182;56.835;51.706;38.853
1402.195;56.826;51.707;38.854
1403.191;56.829;51.71;38.858
1404.176;56.829;51.708;38.855
1405.199;56.826;51.709;38.857
1406.201;56.823;51.708;38.854
1407.188;56.823;51.711;38.858
1408.181;56.825;51.708;38.854
1409.163;56.821;51.711;38.856
1410.177;56.814;51.711;38.858
1411.178;56.83;51.709;38.854
1412.181;56.826;51.71;38.856
1413.196;56.802;51.713;38.858
1414.182;56.815;51.711;38.854
1415.18;56.821;51.712;38.857
1416.183;56.809;51.712;38.855
1417.191;56.821;51.711;38.855
1418.171;56.818;51.711;38.854
1419.156;56.802;51.714;38.856
1420.149;56.809;51.714;38.858
1421.147;56.812;51.714;38.856
1422.163;56.804;51.715;38.858
1423.177;56.809;51.716;38.858
1424.164;56.796;51.719;38.861
1425.186;56.81;51.714;38.855
1426.181;56.801;51.714;38.856
1427.173;56.804;51.717;38.857
1428.171;56.81;51.715;38.857
1429.162;56.795;51.716;38.857
1430.16;56.793;51.717;38.858
1431.168;56.787;51.718;38.858
1432.16;56.801;51.718;38.857
1433.141;56.8;51.714;38.854
1434.146;56.799;51.714;38.852
1435.138;56.787;51.72;38.858
1436.126;56.798;51.718;38.856
1437.123;56.78;51.72;38.859
1438.124;56.788;51.716;38.856
1439.124;56.794;51.716;38.855
1440.121;56.783;51.717;38.854
1441.113;56.788;51.715;38.853
1442.112;56.778;51.719;38.857
1443.116;56.782;51.717;38.853
1444.126;56.784;51.716;38.852
1445.141;56.786;51.717;38.853
1446.145;56.783;51.717;38.853
1447.125;56.793;51.717;38.852
1448.103;56.775;51.715;38.852
1449.117;56.772;51.719;38.855
1450.102;56.777;51.717;38.853
1451.1;56.764;51.72;38.856
1452.104;56.768;51.718;38.854
1453.097;56.768;51.718;38.853
1454.068;56.772;51.718;38.851
1455.067;56.791;51.719;38.853
1456.065;56.773;51.718;38.852
1457.058;56.767;51.72;38.854
1458.05;56.759;51.721;38.855
1459.028;56.761;51.721;38.855
1460.029;56.768;51.718;38.851
1461.028;56.762;51.72;38.854
1462.01;56.76;51.718;38.851
1463.001;56.761;51.717;38.85
1464.009;56.76;51.718;38.852
1465.001;56.755;51.72;38.853
1466.008;56.758;51.719;38.852
1467.003;56.751;51.72;38.853
1467.997;56.751;51.721;38.855
1468.999;56.754;51.719;38.852
1469.977;56.755;51.722;38.853
1470.993;56.752;51.721;38.852
1471.993;56.75;51.72;38.851
1472.993;56.754;51.72;38.852
1474.003;56.757;51.721;38.853
1474.991;56.748;51.723;38.853
1475.984;56.746;51.722;38.851
1476.983;56.75;51.721;38.852
1477.985;56.747;51.721;38.85
1478.97;56.749;51.72;38.85
1479.96;56.744;51.722;38.852
1480.951;56.748;51.722;38.852
1481.933;56.746;51.722;38.851
1482.951;56.739;51.723;38.851
1483.942;56.744;51.723;38.852
1484.934;56.74;51.721;38.849
1485.933;56.739;51.723;38.851
1486.932;56.74;51.723;38.85
1487.921;56.735;51.72;38.848
1488.918;56.736;51.722;38.849
1489.905;56.737;51.721;38.85
1490.9;56.734;51.721;38.849
1491.892;56.733;51.722;38.848
1492.875;56.729;51.723;38.849
1493.868;56.737;51.72;38.847
1494.882;56.734;51.723;38.849
1495.875;56.737;51.723;38.848
1496.873;56.727;51.722;38.848
1497.86;56.728;51.723;38.849
1498.871;56.723;51.724;38.848
1499.856;56.719;51.724;38.847
1500.851;56.729;51.723;38.847
1501.85;56.723;51.723;38.847
1502.859;56.719;51.725;38.849
1503.846;56.723;51.724;38.849
1504.84;56.719;51.723;38.847
1505.839;56.715;51.725;38.848
1506.846;56.716;51.724;38.847
1507.827;56.709;51.722;38.845
1508.834;56.707;51.724;38.847
1509.848;56.717;51.722;38.845
1510.867;56.713;51.722;38.845
1511.889;56.713;51.723;38.845
1512.886;56.704;51.725;38.848
1513.892;56.709;51.723;38.845
1514.899;56.703;51.722;38.843
1515.909;56.7;51.725;38.847
1516.89;56.718;51.724;38.845
1517.875;56.706;51.723;38.845
1518.861;56.705;51.725;38.845
1519.851;56.704;51.725;38.845
1520.836;56.698;51.725;38.847
1521.832;56.704;51.724;38.844
1522.822;56.7;51.724;38.843
1523.824;56.707;51.727;38.848
1524.817;56.7;51.724;38.842
1525.821;56.692;51.725;38.844
1526.825;56.69;51.725;38.845
1527.817;56.691;51.722;38.841
1528.83;56.686;51.725;38.845
1529.834;56.693;51.724;38.842
1530.844;56.692;51.722;38.841
1531.84;56.682;51.723;38.842
1532.847;56.689;51.725;38.843
1533.842;56.688;51.725;38.843
1534.846;56.69;51.724;38.842
1535.83;56.686;51.725;38.842
1536.821;56.685;51.723;38.84
1537.822;56.691;51.723;38.84
1538.833;56.688;51.724;38.841
1539.847;56.675;51.727;38.844
1540.841;56.687;51.726;38.842
1541.841;56.687;51.724;38.84
1542.849;56.686;51.725;38.84
1543.859;56.682;51.724;38.84
1544.843;56.681;51.725;38.841
1545.832;56.677;51.723;38.839
1546.823;56.669;51.726;38.842
1547.82;56.679;51.725;38.842
1548.827;56.676;51.723;38.837
1549.836;56.673;51.726;38.841
1550.852;56.671;51.724;38.839
1551.842;56.676;51.723;38.838
1552.833;56.665;51.726;38.841
1553.826;56.673;51.725;38.839
1554.822;56.678;51.725;38.838
1555.823;56.663;51.727;38.84
1556.83;56.675;51.724;38.837
1557.823;56.676;51.724;38.838
1558.816;56.656;51.725;38.838
1559.814;56.663;51.727;38.84
1560.807;56.664;51.726;38.839
1561.797;56.662;51.726;38.837
1562.779;56.658;51.725;38.837
1563.759;56.662;51.724;38.836
1564.759;56.653;51.727;38.838
1565.761;56.658;51.724;38.834
1566.76;56.66;51.725;38.836
1567.749;56.65;51.727;38.839
1568.747;56.653;51.724;38.834
1569.75;56.644;51.727;38.838
1570.737;56.668;51.726;38.836
1571.716;56.647;51.727;38.839
1572.706;56.641;51.728;38.838
1573.705;56.644;51.728;38.839
1574.684;56.637;51.729;38.839
1575.694;56.641;51.729;38.838
1576.71;56.638;51.727;38.836
1577.706;56.648;51.725;38.833
1578.684;56.637;51.727;38.836
1579.666;56.632;51.73;38.838
1580.656;56.639;51.73;38.839
1581.652;56.636;51.726;38.833
1582.634;56.634;51.725;38.834
1583.643;56.63;51.726;38.835
1584.623;56.626;51.726;38.834
1585.606;56.64;51.724;38.831
1586.596;56.631;51.725;38.833
1587.588;56.63;51.726;38.834
1588.582;56.633;51.725;38.831
1589.553;56.625;51.725;38.832
1590.551;56.623;51.726;38.833
1591.555;56.631;51.725;38.831
1592.558;56.623;51.725;38.831
1593.557;56.625;51.726;38.832
1594.56;56.62;51.727;38.833
1595.542;56.614;51.726;38.832
1596.547;56.619;51.725;38.831
1597.546;56.61;51.727;38.832
1598.548;56.611;51.728;38.833
1599.534;56.609;51.726;38.831
1600.533;56.618;51.726;38.831
1601.508;56.605;51.727;38.832
1602.501;56.61;51.728;38.832
1603.51;56.611;51.727;38.831
1604.506;56.608;51.728;38.832
1605.511;56.613;51.725;38.828
1606.528;56.607;51.729;38.832
1607.527;56.601;51.728;38.831
1608.54;56.6;51.729;38.833
1609.553;56.607;51.729;38.832
1610.543;56.602;51.729;38.832
1611.535;56.596;51.728;38.83
1612.533;56.598;51.727;38.829
1613.535;56.597;51.729;38.831
1614.507;56.59;51.731;38.832
1615.523;56.592;51.729;38.83
1616.512;56.594;51.73;38.831
1617.503;56.588;51.731;38.832
1618.495;56.592;51.731;38.832
1619.487;56.593;51.729;38.83
1620.46;56.583;51.733;38.832
1621.444;56.584;51.73;38.83
1622.444;56.581;51.731;38.83
1623.451;56.619;51.73;38.823
1624.459;56.584;51.729;38.829
1625.459;56.584;51.732;38.831
1626.489;56.624;51.726;38.819
1627.486;56.579;51.73;38.829
1628.473;56.579;51.73;38.828
1629.498;56.57;51.731;38.83
1630.504;56.566;51.734;38.831
1631.495;56.571;51.733;38.83
1632.499;56.571;51.73;38.828
1633.497;56.567;51.732;38.829
1634.481;56.566;51.732;38.829
1635.494;56.563;51.733;38.829
1636.512;56.562;51.732;38.828
1637.512;56.568;51.732;38.829
1638.493;56.606;51.728;38.818
1639.504;56.568;51.729;38.825
1640.485;56.563;51.731;38.827
1641.475;56.595;51.727;38.819
1642.497;56.561;51.731;38.826
1643.492;56.557;51.733;38.828
1644.493;56.558;51.732;38.826
1645.506;56.559;51.732;38.827
1646.516;56.554;51.733;38.827
1647.496;56.553;51.733;38.827
1648.511;56.557;51.732;38.826
1649.5;56.528;51.728;38.821
1650.491;56.599;51.727;38.815
1651.488;56.59;51.728;38.818
1652.484;56.547;51.732;38.825
1653.484;56.551;51.734;38.827
1654.489;56.524;51.727;38.821
1655.492;56.552;51.733;38.828
1656.489;56.545;51.733;38.826
1657.491;56.547;51.733;38.826
1658.488;56.547;51.733;38.826
1659.468;56.581;51.73;38.816
1660.451;56.537;51.734;38.825
1661.44;56.544;51.733;38.825
1662.436;56.543;51.735;38.826
1663.443;56.541;51.734;38.825
1664.462;56.539;51.737;38.83
1665.467;56.539;51.734;38.825
1666.451;56.542;51.736;38.827
1667.448;56.535;51.735;38.826
1668.456;56.537;51.734;38.825
1669.453;56.538;51.733;38.824
1670.455;56.537;51.732;38.823
1671.432;56.564;51.731;38.815
1672.449;56.576;51.73;38.813
1673.445;56.565;51.731;38.815
1674.451;56.564;51.731;38.816
1675.463;56.567;51.73;38.814
1676.451;56.533;51.735;38.824
1677.443;56.532;51.734;38.823
1678.434;56.552;51.731;38.814
1679.416;56.557;51.728;38.811
1680.43;56.563;51.728;38.812
