IDs:;240715_06_240712E;06_DNAJB6_00_988_uM;
Concentration [uM]:;0.988;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
200.726;60.33;51.33;39.014
201.729;60.32;51.333;39.015
202.719;60.309;51.334;39.015
203.711;60.3;51.334;39.014
204.703;60.289;51.339;39.017
205.701;60.281;51.337;39.014
206.698;60.29;51.34;39.016
207.702;60.27;51.344;39.018
208.697;60.284;51.345;39.017
209.696;60.273;51.347;39.019
210.704;60.268;51.347;39.017
211.7;60.266;51.348;39.018
212.707;60.221;51.347;39.014
213.699;60.249;51.351;39.017
214.702;60.222;51.348;39.014
215.691;60.211;51.349;39.013
216.67;60.215;51.352;39.015
217.665;60.199;51.353;39.016
218.649;60.209;51.356;39.018
219.658;60.18;51.353;39.013
220.668;60.185;51.354;39.014
221.685;60.18;51.356;39.014
222.677;60.171;51.356;39.014
223.675;60.162;51.357;39.013
224.654;60.137;51.359;39.013
225.66;60.149;51.359;39.013
226.656;60.129;51.358;39.011
227.65;60.125;51.361;39.013
228.649;60.114;51.361;39.011
229.653;60.105;51.363;39.013
230.645;60.075;51.366;39.014
231.663;60.093;51.362;39.01
232.656;60.066;51.367;39.013
233.657;60.054;51.368;39.012
234.635;60.043;51.371;39.014
235.629;60.036;51.373;39.015
236.63;60.029;51.373;39.015
237.617;60.027;51.372;39.012
238.612;60.015;51.373;39.013
239.602;60.009;51.375;39.013
240.602;60.001;51.372;39.01
241.606;59.983;51.376;39.012
242.6;59.969;51.379;39.014
243.602;59.97;51.375;39.01
244.597;59.975;51.378;39.012
245.58;59.969;51.379;39.012
246.595;59.958;51.378;39.01
247.58;59.956;51.38;39.011
248.58;59.947;51.379;39.01
249.582;59.939;51.382;39.011
250.612;59.93;51.382;39.009
251.614;59.923;51.383;39.011
252.635;59.915;51.386;39.012
253.643;59.889;51.378;39.004
254.629;59.876;51.379;39.003
255.627;59.906;51.385;39.008
256.623;59.884;51.387;39.009
257.614;59.892;51.387;39.009
258.616;59.849;51.385;39.005
259.619;59.871;51.388;39.007
260.62;59.851;51.39;39.009
261.614;59.823;51.383;39.001
262.614;59.812;51.388;39.004
263.605;59.834;51.389;39.005
264.609;59.8;51.389;39.004
265.597;59.796;51.39;39.004
266.591;59.789;51.394;39.007
267.601;59.783;51.394;39.006
268.616;59.763;51.395;39.006
269.622;59.773;51.394;39.004
270.609;59.754;51.397;39.007
271.61;59.761;51.4;39.009
272.607;59.737;51.399;39.007
273.598;59.721;51.405;39.011
274.596;59.737;51.403;39.008
275.596;59.719;51.401;39.006
276.605;59.721;51.406;39.009
277.617;59.726;51.408;39.01
278.622;59.719;51.408;39.009
279.63;59.707;51.411;39.011
280.638;59.701;51.408;39.008
281.65;59.702;51.411;39.01
282.638;59.691;51.411;39.009
283.63;59.679;51.414;39.012
284.654;59.675;51.414;39.01
285.653;59.674;51.414;39.009
286.66;59.657;51.414;39.009
287.639;59.658;51.415;39.009
288.635;59.658;51.415;39.008
289.637;59.653;51.415;39.009
290.635;59.643;51.415;39.007
291.627;59.61;51.413;39.005
292.627;59.603;51.415;39.006
293.617;59.594;51.416;39.006
294.627;59.616;51.417;39.006
295.612;59.582;51.416;39.003
296.592;59.619;51.42;39.007
297.598;59.617;51.422;39.009
298.59;59.577;51.418;39.004
299.591;59.564;51.419;39.003
300.59;59.594;51.425;39.009
301.594;59.588;51.423;39.006
302.591;59.557;51.424;39.007
303.594;59.571;51.424;39.005
304.606;59.569;51.426;39.007
305.607;59.555;51.426;39.005
306.606;59.546;51.428;39.007
