IDs:;240715_07_240712F;07_DNAJB6_00_658_uM;;*shifted by 3 s
Concentration [uM]:;0.658;;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3];
186.713;61.889;51.192;39.04;
187.732;61.867;51.195;39.042;
188.728;61.846;51.196;39.041;
189.732;61.858;51.199;39.043;
190.744;61.842;51.198;39.042;
191.742;61.824;51.201;39.043;
192.744;61.809;51.201;39.042;
193.748;61.815;51.203;39.043;
194.744;61.781;51.205;39.044;
195.754;61.788;51.205;39.043;
196.763;61.78;51.208;39.044;
197.753;61.759;51.21;39.044;
198.747;61.74;51.212;39.046;
199.735;61.745;51.21;39.043;
200.725;61.726;51.21;39.042;
201.715;61.693;51.214;39.044;
202.708;61.708;51.217;39.046;
203.696;61.678;51.217;39.045;
204.71;61.673;51.219;39.046;
205.714;61.669;51.216;39.042;
206.72;61.662;51.22;39.046;
207.717;61.646;51.221;39.045;
208.723;61.633;51.221;39.043;
209.723;61.636;51.221;39.043;
210.715;61.614;51.222;39.043;
211.714;61.615;51.222;39.042;
212.708;61.601;51.224;39.043;
213.7;61.6;51.224;39.042;
214.699;61.567;51.228;39.044;
215.712;61.559;51.228;39.043;
216.703;61.571;51.227;39.042;
217.698;61.552;51.231;39.045;
218.702;61.552;51.23;39.043;
219.714;61.536;51.233;39.045;
220.719;61.541;51.233;39.044;
221.723;61.519;51.235;39.045;
222.712;61.51;51.237;39.045;
223.704;61.509;51.238;39.045;
224.701;61.483;51.238;39.045;
225.711;61.501;51.241;39.045;
226.725;61.494;51.243;39.048;
227.698;61.482;51.243;39.046;
228.7;61.47;51.243;39.045;
229.706;61.471;51.245;39.047;
230.717;61.451;51.243;39.043;
231.75;61.417;51.249;39.047;
232.755;61.412;51.252;39.049;
233.751;61.406;51.249;39.045;
234.732;61.408;51.251;39.047;
235.729;61.378;51.252;39.048;
236.722;61.378;51.253;39.048;
237.727;61.376;51.254;39.046;
238.731;61.346;51.256;39.047;
239.741;61.326;51.254;39.045;
240.734;61.333;51.258;39.048;
241.726;61.325;51.252;39.041;
242.719;61.334;51.262;39.05;
243.724;61.306;51.259;39.046;
244.707;61.304;51.258;39.045;
245.715;61.288;51.26;39.045;
246.726;61.275;51.259;39.044;
247.727;61.28;51.26;39.044;
248.735;61.26;51.261;39.043;
249.747;61.262;51.262;39.044;
250.759;61.242;51.262;39.042;
251.767;61.243;51.264;39.044;
252.752;61.231;51.265;39.044;
253.746;61.214;51.265;39.042;
254.751;61.219;51.267;39.044;
255.76;61.203;51.268;39.044;
256.772;61.197;51.269;39.044;
257.762;61.184;51.268;39.042;
258.77;61.191;51.27;39.044;
259.777;61.174;51.269;39.041;
260.788;61.15;51.273;39.045;
261.772;61.148;51.272;39.042;
262.76;61.14;51.274;39.044;
263.759;61.135;51.276;39.045;
264.762;61.129;51.274;39.042;
265.767;61.125;51.279;39.046;
266.753;61.115;51.278;39.045;
267.757;61.089;51.278;39.044;
268.732;61.091;51.281;39.046;
269.747;61.076;51.283;39.047;
270.741;61.068;51.282;39.045;
271.737;61.053;51.286;39.047;
272.74;61.05;51.286;39.046;
273.745;61.04;51.289;39.049;
274.749;61.022;51.291;39.049;
275.747;61.036;51.29;39.048;
276.744;61.014;51.294;39.05;
277.754;61.005;51.294;39.05;
278.745;61.004;51.294;39.049;
279.727;60.992;51.295;39.049;
280.748;60.986;51.296;39.05;
281.743;60.999;51.297;39.049;
282.751;60.979;51.295;39.046;
283.734;60.972;51.296;39.047;
284.741;60.974;51.296;39.046;
285.743;60.96;51.3;39.049;
286.749;60.954;51.301;39.049;
287.734;60.953;51.298;39.046;
288.722;60.958;51.299;39.047;
289.716;60.925;51.303;39.049;
290.714;60.925;51.303;39.048;
291.721;60.942;51.306;39.051;
292.713;60.918;51.307;39.051;
293.718;60.901;51.307;39.05;
294.717;60.906;51.308;39.05;
295.718;60.901;51.307;39.049;
296.726;60.893;51.31;39.051;
297.735;60.884;51.308;39.048;
298.731;60.878;51.314;39.053;
299.729;60.867;51.315;39.052;
300.745;60.873;51.316;39.053;
301.749;60.857;51.315;39.051;
302.738;60.855;51.316;39.051;
303.736;60.843;51.316;39.05;
304.734;60.839;51.317;39.05;
305.738;60.837;51.319;39.052;
306.729;60.823;51.319;39.051;
307.726;60.815;51.32;39.051;
308.734;60.816;51.321;39.052;
309.726;60.818;51.321;39.05;
310.725;60.8;51.322;39.051;
311.715;60.788;51.326;39.054;
312.72;60.789;51.325;39.052;
313.713;60.768;51.329;39.055;
314.711;60.759;51.328;39.053;
315.721;60.77;51.329;39.054;
316.711;60.752;51.334;39.057;
317.704;60.741;51.329;39.052;
318.703;60.745;51.33;39.053;
319.711;60.739;51.332;39.053;
320.72;60.721;51.336;39.056;
321.709;60.72;51.335;39.055;
322.714;60.71;51.338;39.057;
323.718;60.705;51.338;39.057;
324.728;60.696;51.335;39.052;
325.75;60.692;51.337;39.053;
326.74;60.703;51.335;39.052;
327.735;60.676;51.339;39.054;
328.732;60.68;51.338;39.053;
329.736;60.678;51.34;39.054;
330.731;60.675;51.341;39.054;
331.724;60.661;51.339;39.051;
332.713;60.666;51.341;39.052;
333.728;60.663;51.341;39.053;
334.731;60.651;51.343;39.053;
335.726;60.645;51.344;39.054;
336.711;60.644;51.342;39.051;
337.732;60.637;51.345;39.053;
338.741;60.639;51.345;39.052;
339.73;60.642;51.345;39.052;
340.741;60.616;51.346;39.052;
341.739;60.616;51.348;39.053;
342.714;60.623;51.347;39.052;
343.707;60.608;51.349;39.053;
344.696;60.604;51.349;39.051;
345.704;60.567;51.347;39.049;
346.708;60.575;51.345;39.047;
347.689;60.562;51.347;39.048;
348.677;60.554;51.348;39.049;
349.67;60.553;51.349;39.048;
350.67;60.527;51.351;39.05;
351.673;60.524;51.353;39.051;
352.655;60.53;51.351;39.049;
353.653;60.524;51.351;39.047;
354.668;60.53;51.353;39.049;
355.679;60.52;51.355;39.05;
356.69;60.501;51.356;39.05;
357.705;60.508;51.354;39.049;
358.69;60.5;51.358;39.051;
359.679;60.496;51.356;39.048;
360.67;60.472;51.361;39.052;
361.663;60.469;51.363;39.054;
362.666;60.481;51.36;39.05;
363.662;60.465;51.361;39.051;
364.655;60.435;51.366;39.053;
365.635;60.458;51.365;39.053;
