IDs:;240716_12_240712J;12_DNAJB6_00_130_uM;
Concentration [uM]:;0.13;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
201.473;71.6;50.486;39.004
202.461;71.601;50.484;39.002
203.473;71.607;50.486;39.004
204.477;71.58;50.482;39.001
205.478;71.614;50.485;39.003
206.479;71.604;50.485;39.002
207.475;71.594;50.482;39
208.483;71.608;50.485;39.003
209.458;71.578;50.482;39
210.473;71.607;50.484;39.002
211.491;71.6;50.486;39.003
212.493;71.609;50.484;39.002
213.502;71.586;50.482;39
214.493;71.608;50.483;39.001
215.486;71.568;50.484;39.002
216.486;71.62;50.483;39.001
217.479;71.602;50.485;39.002
218.47;71.603;50.484;39.002
219.466;71.61;50.485;39.003
220.466;71.624;50.483;39.001
221.47;71.602;50.483;39.001
222.477;71.607;50.485;39.003
223.486;71.579;50.48;38.998
224.469;71.586;50.479;38.997
225.466;71.606;50.482;39
226.465;71.586;50.481;38.998
227.466;71.611;50.482;39.001
228.46;71.593;50.479;38.997
229.446;71.601;50.483;39.001
230.445;71.591;50.482;38.999
231.44;71.612;50.48;38.999
232.448;71.592;50.479;38.997
233.463;71.568;50.478;38.997
234.465;71.598;50.48;38.997
235.477;71.602;50.481;38.999
236.475;71.574;50.477;38.995
237.49;71.565;50.479;38.997
238.484;71.608;50.479;38.997
239.476;71.588;50.477;38.995
240.475;71.562;50.477;38.996
241.482;71.605;50.48;38.997
242.477;71.571;50.478;38.996
243.483;71.599;50.477;38.995
244.475;71.572;50.479;38.997
245.475;71.604;50.481;38.999
246.496;71.605;50.481;38.999
247.515;71.579;50.477;38.995
248.505;71.605;50.482;39
249.505;71.616;50.48;38.998
250.507;71.597;50.479;38.997
251.514;71.606;50.481;38.999
252.494;71.579;50.481;38.998
253.508;71.566;50.479;38.997
254.516;71.58;50.477;38.995
255.501;71.579;50.478;38.996
256.493;71.609;50.48;38.999
257.485;71.596;50.478;38.996
258.484;71.579;50.479;38.997
259.477;71.538;50.479;38.996
260.468;71.617;50.481;38.999
261.469;71.596;50.483;39
262.464;71.552;50.479;38.998
263.463;71.572;50.476;38.994
264.458;71.568;50.48;38.998
265.46;71.59;50.476;38.995
266.447;71.607;50.481;38.998
267.447;71.6;50.48;38.998
