IDs:;240910_01_240906B_drop;13_b01_DNAJB6_00_130_uM;
Concentration [uM]:;0.13;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.034;70.649;49.828;38.301
6.006;70.967;49.82;38.304
6.991;71.82;49.785;38.304
7.985;71.457;49.812;38.315
8.974;71.608;49.808;38.315
9.968;71.778;49.802;38.316
10.95;71.813;49.806;38.322
11.962;71.865;49.802;38.321
12.936;71.879;49.806;38.325
13.944;71.827;49.808;38.325
14.95;71.668;49.817;38.328
15.964;71.741;49.818;38.331
16.965;71.756;49.824;38.338
17.966;71.739;49.825;38.337
18.97;71.764;49.823;38.338
19.958;71.732;49.831;38.345
20.955;71.709;49.823;38.337
21.954;71.741;49.832;38.345
22.937;71.731;49.833;38.346
23.937;71.755;49.833;38.348
24.935;71.72;49.836;38.347
25.942;71.671;49.837;38.35
26.923;71.741;49.84;38.353
27.913;71.8;49.841;38.353
28.908;71.759;49.84;38.353
29.914;71.771;49.84;38.354
30.93;71.717;49.843;38.355
31.922;71.75;49.842;38.356
32.926;71.742;49.846;38.359
33.946;71.744;49.852;38.364
34.946;71.747;49.849;38.361
35.946;71.743;49.852;38.364
36.936;71.766;49.853;38.367
37.936;71.711;49.856;38.368
38.935;71.703;49.854;38.367
39.939;71.733;49.857;38.368
40.917;71.769;49.855;38.368
41.929;71.722;49.862;38.374
42.945;71.737;49.861;38.373
43.938;71.765;49.862;38.374
44.933;71.76;49.863;38.375
45.933;71.724;49.867;38.378
46.938;71.722;49.867;38.379
47.915;71.703;49.869;38.379
48.907;71.695;49.868;38.378
49.9;71.756;49.867;38.38
50.881;71.737;49.872;38.384
51.893;71.7;49.869;38.38
52.893;71.72;49.872;38.384
53.893;71.715;49.875;38.386
54.886;71.712;49.872;38.384
55.876;71.7;49.876;38.387
56.855;71.707;49.878;38.39
57.863;71.681;49.876;38.387
58.884;71.733;49.88;38.392
59.905;71.731;49.879;38.391
60.91;71.723;49.882;38.393
61.915;71.71;49.882;38.393
62.912;71.705;49.884;38.395
63.932;71.675;49.882;38.392
64.939;71.721;49.883;38.395
65.933;71.747;49.885;38.394
66.934;71.726;49.886;38.397
67.923;71.773;49.888;38.399
68.931;71.729;49.886;38.397
69.927;71.718;49.889;38.4
70.939;71.742;49.888;38.399
71.919;71.704;49.889;38.4
72.928;71.696;49.891;38.402
73.915;71.72;49.893;38.403
74.918;71.712;49.894;38.404
75.906;71.723;49.894;38.405
76.903;71.72;49.896;38.406
77.886;71.702;49.896;38.405
78.899;71.746;49.897;38.408
79.893;71.695;49.899;38.408
80.872;71.721;49.899;38.408
81.886;71.704;49.901;38.412
82.905;71.71;49.9;38.411
83.91;71.714;49.904;38.413
84.913;71.725;49.903;38.413
85.921;71.737;49.903;38.414
86.926;71.707;49.906;38.415
87.915;71.714;49.905;38.415
88.908;71.713;49.909;38.418
89.889;71.72;49.909;38.418
90.876;71.712;49.906;38.415
91.865;71.691;49.908;38.417
92.878;71.724;49.909;38.419
93.854;71.731;49.906;38.417
94.846;71.696;49.908;38.417
95.846;71.747;49.91;38.421
96.824;71.718;49.913;38.423
97.835;71.681;49.912;38.421
98.845;71.728;49.913;38.423
99.826;71.712;49.914;38.424
100.818;71.732;49.914;38.423
101.826;71.724;49.914;38.423
102.817;71.73;49.918;38.427
103.797;71.699;49.918;38.427
104.809;71.717;49.918;38.429
105.81;71.728;49.916;38.425
106.811;71.719;49.919;38.429
107.816;71.707;49.92;38.429
108.825;71.705;49.919;38.428
109.822;71.72;49.92;38.429
110.818;71.714;49.918;38.427
111.821;71.735;49.921;38.43
112.826;71.703;49.92;38.429
113.817;71.719;49.918;38.426
114.837;71.687;49.921;38.43
115.863;71.728;49.918;38.427
116.858;71.735;49.917;38.427
117.867;71.693;49.922;38.431
118.873;71.751;49.919;38.429
119.885;71.688;49.926;38.434
120.89;71.713;49.926;38.435
121.869;71.717;49.923;38.432
122.864;71.726;49.925;38.433
123.872;71.737;49.926;38.436
124.87;71.729;49.924;38.433
125.85;71.723;49.925;38.434
126.835;71.722;49.928;38.437
127.838;71.732;49.927;38.437
128.831;71.761;49.926;38.436
129.821;71.714;49.929;38.438
130.816;71.711;49.931;38.44
131.793;71.727;49.929;38.439
132.803;71.738;49.93;38.438
133.795;71.711;49.934;38.443
134.788;71.722;49.932;38.441
135.789;71.713;49.931;38.439
136.795;71.715;49.932;38.44
137.793;71.702;49.931;38.439
