IDs:;240715_05_240712D;05_DNAJB6_01_480_uM;
Concentration [uM]:;1.48;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
200.629;59.094;51.493;39.012
201.627;59.081;51.493;39.011
202.63;59.081;51.496;39.012
203.643;59.087;51.498;39.013
204.647;59.061;51.497;39.011
205.652;59.061;51.497;39.01
206.661;59.064;51.498;39.011
207.679;59.046;51.497;39.008
208.699;59.032;51.5;39.009
209.694;59.032;51.497;39.006
210.677;59.035;51.503;39.01
211.669;59.018;51.5;39.007
212.659;59.007;51.502;39.008
213.655;59.009;51.502;39.007
214.66;58.991;51.506;39.01
215.669;58.998;51.506;39.008
216.674;58.995;51.509;39.011
217.676;58.979;51.51;39.01
218.678;58.955;51.511;39.011
219.688;58.976;51.512;39.01
220.691;58.934;51.516;39.013
221.689;58.933;51.516;39.011
222.677;58.914;51.517;39.011
223.666;58.926;51.516;39.011
224.659;58.915;51.521;39.013
225.666;58.905;51.521;39.013
226.686;58.892;51.523;39.013
227.695;58.88;51.524;39.014
228.688;58.879;51.524;39.012
229.686;58.874;51.525;39.012
230.692;58.876;51.525;39.012
231.709;58.866;51.526;39.011
232.704;58.874;51.525;39.011
233.719;58.851;51.529;39.012
234.707;58.835;51.53;39.012
235.701;58.842;51.53;39.012
236.701;58.827;51.531;39.012
237.705;58.818;51.531;39.01
238.717;58.82;51.531;39.01
239.714;58.819;51.533;39.011
240.708;58.81;51.533;39.01
241.707;58.801;51.534;39.01
242.712;58.81;51.534;39.01
243.713;58.808;51.534;39.008
244.688;58.782;51.537;39.01
245.695;58.798;51.537;39.008
246.686;58.779;51.536;39.007
247.676;58.795;51.54;39.01
248.666;58.78;51.542;39.01
249.647;58.759;51.542;39.01
250.638;58.759;51.543;39.011
251.641;58.762;51.54;39.008
252.656;58.756;51.541;39.008
253.656;58.727;51.539;39.004
254.663;58.737;51.543;39.008
255.654;58.719;51.539;39.002
256.647;58.711;51.541;39.003
257.648;58.716;51.549;39.011
258.666;58.692;51.548;39.007
259.655;58.675;51.549;39.009
260.655;58.713;51.552;39.012
261.667;58.679;51.55;39.007
262.654;58.659;51.554;39.011
263.658;58.658;51.553;39.008
264.662;58.662;51.554;39.009
265.645;58.638;51.558;39.012
266.632;58.629;51.558;39.011
267.625;58.666;51.553;39.004
268.622;58.648;51.557;39.009
269.624;58.632;51.557;39.007
270.633;58.615;51.56;39.01
271.626;58.614;51.563;39.011
272.618;58.606;51.56;39.007
273.605;58.604;51.565;39.011
274.599;58.607;51.564;39.009
275.597;58.595;51.565;39.009
276.598;58.596;51.566;39.008
277.597;58.586;51.565;39.009
278.599;58.589;51.567;39.008
279.603;58.586;51.567;39.008
280.598;58.571;51.569;39.009
281.596;58.586;51.569;39.009
282.593;58.566;51.572;39.011
283.61;58.566;51.572;39.01
284.613;58.563;51.57;39.008
285.605;58.555;51.571;39.006
286.608;58.559;51.571;39.007
