IDs:;240716_11_240712I;11_DNAJB6_00_195_uM;
Concentration [uM]:;0.195;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
200.337;71.596;50.472;38.998
201.334;71.571;50.471;38.995
202.335;71.64;50.473;38.997
203.336;71.628;50.471;38.996
204.35;71.605;50.472;38.998
205.354;71.579;50.469;38.994
206.34;71.569;50.47;38.994
207.332;71.585;50.471;38.996
208.34;71.63;50.471;38.996
209.351;71.619;50.473;38.997
210.354;71.595;50.468;38.994
211.349;71.647;50.474;38.998
212.347;71.642;50.474;38.998
213.333;71.58;50.47;38.995
214.319;71.574;50.467;38.992
215.326;71.602;50.475;38.998
216.317;71.585;50.47;38.995
217.33;71.595;50.472;38.997
218.313;71.574;50.469;38.994
219.302;71.571;50.472;38.996
220.299;71.593;50.471;38.996
221.301;71.594;50.473;38.998
222.307;71.571;50.471;38.996
223.316;71.579;50.472;38.997
224.309;71.581;50.472;38.996
225.306;71.584;50.472;38.997
226.303;71.581;50.469;38.994
227.305;71.623;50.475;38.998
228.313;71.587;50.47;38.995
229.311;71.586;50.471;38.995
230.307;71.581;50.47;38.995
231.305;71.574;50.468;38.993
232.309;71.572;50.47;38.995
233.286;71.571;50.469;38.994
234.295;71.544;50.469;38.994
235.279;71.584;50.47;38.996
236.275;71.563;50.471;38.996
237.288;71.558;50.469;38.993
238.293;71.575;50.469;38.994
239.285;71.555;50.469;38.993
240.284;71.563;50.472;38.996
241.282;71.551;50.47;38.995
242.258;71.593;50.472;38.996
243.269;71.571;50.471;38.996
244.256;71.565;50.47;38.994
245.252;71.555;50.47;38.995
246.24;71.546;50.472;38.996
247.258;71.586;50.47;38.994
248.25;71.552;50.469;38.994
249.249;71.551;50.471;38.996
250.253;71.582;50.472;38.997
251.234;71.563;50.471;38.996
252.249;71.55;50.47;38.994
253.237;71.545;50.473;38.996
254.239;71.588;50.472;38.996
255.236;71.525;50.471;38.994
256.239;71.58;50.471;38.995
257.247;71.563;50.471;38.994
258.244;71.558;50.469;38.993
259.238;71.555;50.472;38.997
260.24;71.54;50.469;38.993
261.225;71.542;50.471;38.995
262.216;71.558;50.472;38.996
263.219;71.568;50.471;38.995
264.194;71.594;50.471;38.995
265.204;71.582;50.472;38.996
266.189;71.549;50.468;38.992
267.184;71.572;50.47;38.995
268.187;71.555;50.471;38.995
269.182;71.555;50.47;38.994
270.174;71.581;50.472;38.996
271.172;71.567;50.47;38.995
272.179;71.638;50.474;38.998
273.195;71.569;50.47;38.994
274.215;71.556;50.472;38.996
275.215;71.605;50.471;38.995
276.22;71.572;50.472;38.996
277.223;71.6;50.472;38.995
278.236;71.566;50.47;38.994
279.241;71.556;50.471;38.994
280.241;71.572;50.469;38.993
281.244;71.568;50.468;38.993
282.254;71.527;50.47;38.994
283.24;71.582;50.47;38.995
284.266;71.576;50.471;38.995
285.267;71.533;50.467;38.991
286.272;71.555;50.469;38.993
287.265;71.558;50.47;38.994
288.251;71.597;50.468;38.992
289.247;71.541;50.469;38.993
290.227;71.559;50.47;38.993
291.226;71.603;50.471;38.994
292.237;71.536;50.472;38.995
293.233;71.526;50.469;38.993
294.228;71.573;50.474;38.995
295.23;71.541;50.471;38.994
296.247;71.589;50.472;38.995
297.245;71.549;50.467;38.991
298.242;71.531;50.467;38.99
299.249;71.53;50.467;38.991
300.258;71.59;50.467;38.991
