IDs:;240717_14_240712K;14_DNAJB6_00_087_uM;
Concentration [uM]:;0.087;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
200.668;71.656;50.473;39
201.666;71.612;50.472;38.999
202.665;71.676;50.47;38.998
203.664;71.598;50.471;38.999
204.671;71.632;50.474;39.001
205.656;71.6;50.474;39.001
206.641;71.631;50.475;39.002
207.632;71.624;50.474;39
208.64;71.591;50.474;39.001
209.626;71.618;50.476;39.002
210.627;71.621;50.473;38.999
211.622;71.64;50.474;39.001
212.616;71.609;50.472;38.999
213.618;71.64;50.473;39
214.615;71.594;50.472;38.999
215.613;71.628;50.473;39
216.618;71.647;50.473;39
217.624;71.629;50.473;38.999
218.622;71.629;50.476;39.003
219.615;71.615;50.474;39.001
220.612;71.604;50.475;39.002
221.616;71.639;50.476;39.003
222.626;71.603;50.472;38.999
223.613;71.642;50.474;39.001
224.602;71.603;50.472;38.999
225.61;71.623;50.474;39
226.605;71.599;50.472;38.999
227.597;71.644;50.475;39.002
228.593;71.635;50.472;38.998
229.593;71.604;50.473;39.001
230.6;71.625;50.472;38.999
231.592;71.616;50.47;38.998
232.57;71.601;50.472;38.999
233.593;71.615;50.471;38.998
234.598;71.622;50.476;39.003
235.607;71.622;50.474;39.001
236.598;71.627;50.473;39
237.603;71.596;50.474;39.001
238.595;71.605;50.471;38.998
239.579;71.636;50.472;38.999
240.561;71.596;50.472;39
241.549;71.606;50.471;38.998
242.576;71.597;50.472;38.998
243.583;71.609;50.472;38.998
244.566;71.598;50.472;38.999
245.553;71.634;50.47;38.997
246.559;71.628;50.469;38.997
247.553;71.589;50.471;38.998
248.548;71.617;50.474;39.001
249.545;71.63;50.471;38.998
250.53;71.655;50.47;38.997
251.517;71.606;50.47;38.997
252.508;71.613;50.472;38.998
253.506;71.616;50.472;38.999
254.506;71.633;50.472;38.999
255.5;71.632;50.469;38.996
256.504;71.631;50.473;39
257.524;71.614;50.472;38.998
258.525;71.639;50.472;38.999
259.519;71.599;50.471;38.997
260.524;71.611;50.474;39.001
261.518;71.617;50.474;39
262.522;71.629;50.473;39
263.539;71.593;50.471;38.997
264.551;71.599;50.471;38.998
265.542;71.618;50.473;39
266.544;71.587;50.468;38.994
267.534;71.63;50.472;38.998
268.529;71.607;50.47;38.997
269.535;71.568;50.469;38.996
270.549;71.632;50.473;38.999
