IDs:;240715_04_240712C;04_DNAJB6_02_220_uM;
Concentration [uM]:;2.22;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
198.583;58.497;51.604;39.014
199.58;58.467;51.604;39.012
200.579;58.473;51.607;39.014
201.553;58.474;51.605;39.011
202.55;58.46;51.608;39.012
203.529;58.452;51.608;39.012
204.526;58.466;51.609;39.012
205.538;58.46;51.609;39.011
206.537;58.45;51.611;39.012
207.524;58.444;51.613;39.013
208.517;58.435;51.612;39.011
209.517;58.431;51.613;39.011
210.512;58.425;51.613;39.01
211.501;58.423;51.615;39.011
212.48;58.428;51.617;39.012
213.494;58.404;51.618;39.011
214.495;58.407;51.621;39.013
215.504;58.396;51.62;39.012
216.52;58.402;51.621;39.013
217.524;58.395;51.619;39.009
218.516;58.395;51.619;39.009
219.511;58.393;51.621;39.01
220.512;58.374;51.624;39.01
221.518;58.372;51.626;39.012
222.499;58.355;51.628;39.013
223.515;58.35;51.631;39.015
224.52;58.348;51.63;39.012
225.526;58.317;51.631;39.013
226.538;58.31;51.63;39.01
227.553;58.33;51.635;39.014
228.571;58.286;51.634;39.013
229.596;58.296;51.633;39.01
230.592;58.3;51.637;39.014
231.586;58.279;51.638;39.015
232.586;58.264;51.639;39.014
233.586;58.267;51.641;39.015
234.591;58.264;51.639;39.01
235.59;58.248;51.644;39.016
236.589;58.241;51.642;39.013
237.587;58.252;51.64;39.011
238.589;58.242;51.645;39.014
239.592;58.233;51.646;39.014
240.591;58.224;51.645;39.013
241.583;58.222;51.647;39.013
242.58;58.218;51.65;39.016
243.564;58.21;51.648;39.013
244.553;58.207;51.649;39.013
245.548;58.213;51.648;39.011
246.536;58.207;51.649;39.012
247.556;58.198;51.649;39.011
248.554;58.199;51.651;39.012
249.557;58.208;51.65;39.009
250.568;58.196;51.654;39.013
251.586;58.212;51.648;39.007
252.589;58.188;51.655;39.012
253.6;58.175;51.655;39.012
254.598;58.175;51.659;39.013
255.598;58.167;51.658;39.011
256.602;58.171;51.66;39.013
257.613;58.147;51.657;39.007
258.595;58.151;51.659;39.011
259.581;58.136;51.661;39.012
260.572;58.15;51.662;39.013
261.569;58.143;51.658;39.006
262.574;58.136;51.663;39.012
263.573;58.137;51.662;39.01
264.561;58.12;51.663;39.01
265.566;58.138;51.668;39.012
266.565;58.11;51.667;39.012
267.569;58.111;51.666;39.008
268.58;58.111;51.667;39.01
269.561;58.102;51.669;39.012
270.563;58.089;51.671;39.013
271.567;58.099;51.666;39.006
272.58;58.084;51.673;39.013
273.575;58.072;51.675;39.014
274.583;58.067;51.676;39.014
275.6;58.07;51.678;39.014
276.598;58.05;51.679;39.015
277.604;58.062;51.675;39.009
278.594;58.057;51.679;39.013
279.576;58.045;51.68;39.013
280.561;58.065;51.678;39.01
281.55;58.044;51.678;39.011
282.542;58.036;51.682;39.013
283.541;58.045;51.68;39.011
284.544;58.03;51.682;39.013
285.528;58.023;51.685;39.015
286.517;58.031;51.687;39.014
287.511;58.023;51.686;39.013
288.527;58.019;51.685;39.012
289.539;58.018;51.686;39.012
290.553;58.012;51.684;39.01
291.541;58.01;51.687;39.011
292.538;57.996;51.687;39.011
293.537;58.003;51.687;39.009
294.537;58.002;51.687;39.008
295.53;57.986;51.687;39.008
296.526;57.981;51.687;39.008
297.518;57.985;51.69;39.009
298.493;57.982;51.691;39.009
299.482;57.971;51.693;39.011
300.485;57.979;51.69;39.008
301.482;57.971;51.693;39.008
302.486;57.965;51.692;39.008
303.475;57.958;51.693;39.009
304.47;57.957;51.696;39.011
305.47;57.956;51.692;39.005
306.452;57.958;51.695;39.007
307.454;57.949;51.696;39.007
308.437;57.942;51.698;39.01
309.436;57.941;51.698;39.009
310.409;57.932;51.7;39.01
311.42;57.938;51.698;39.007
312.405;57.93;51.7;39.008
313.398;57.925;51.703;39.011
314.394;57.922;51.705;39.011
315.396;57.913;51.702;39.008
316.386;57.91;51.706;39.012
317.386;57.889;51.702;39.007
318.388;57.922;51.705;39.008
319.391;57.914;51.708;39.01
320.397;57.9;51.71;39.012
321.411;57.892;51.711;39.012
322.407;57.883;51.714;39.014
323.402;57.873;51.716;39.015
324.387;57.872;51.718;39.016
325.4;57.864;51.719;39.016
326.385;57.858;51.716;39.013
327.392;57.868;51.718;39.014
328.379;57.857;51.72;39.015
329.364;57.849;51.719;39.014
330.378;57.831;51.718;39.012
331.375;57.833;51.719;39.013
332.368;57.834;51.718;39.012
333.381;57.827;51.722;39.014
334.378;57.821;51.722;39.012
335.368;57.817;51.721;39.011
336.375;57.819;51.724;39.013
337.37;57.824;51.725;39.013
338.369;57.818;51.722;39.011
339.38;57.797;51.725;39.012
340.395;57.809;51.723;39.009
341.39;57.8;51.722;39.008
342.392;57.798;51.726;39.012
343.373;57.798;51.727;39.013
344.368;57.788;51.728;39.011
345.392;57.78;51.731;39.014
346.391;57.787;51.728;39.01
347.383;57.775;51.731;39.013
348.372;57.773;51.731;39.013
349.367;57.764;51.729;39.008
350.368;57.768;51.73;39.01
351.37;57.779;51.727;39.002
352.353;57.76;51.73;39.008
353.336;57.755;51.731;39.008
354.32;57.755;51.734;39.011
355.344;57.757;51.731;39.007
356.337;57.742;51.736;39.011
357.333;57.745;51.733;39.008
358.327;57.737;51.735;39.009
359.322;57.728;51.736;39.01
360.338;57.742;51.735;39.004
361.323;57.719;51.737;39.009
362.322;57.757;51.732;38.998
363.313;57.719;51.736;39.006
364.319;57.736;51.735;39.002
365.325;57.739;51.734;38.999
366.328;57.744;51.736;38.998
367.311;57.723;51.738;39.002
368.306;57.717;51.737;38.999
369.299;57.718;51.737;39.001
370.294;57.707;51.74;39.002
371.281;57.709;51.74;39
372.283;57.703;51.739;38.999
373.26;57.697;51.743;39.002
374.269;57.691;51.739;38.997
375.255;57.688;51.744;39.002
376.248;57.678;51.743;39.001
377.232;57.667;51.747;39.004
378.214;57.674;51.744;39.001
379.203;57.663;51.747;39.003
380.198;57.672;51.747;39.001
381.22;57.653;51.749;39.003
382.208;57.647;51.751;39.004
383.202;57.641;51.751;39.003
384.2;57.644;51.75;39.002
385.205;57.647;51.752;39.003
386.188;57.661;51.745;38.988
387.179;57.674;51.746;38.989
388.182;57.675;51.746;38.989
389.17;57.628;51.753;39.001
390.164;57.629;51.753;39.001
391.152;57.657;51.749;38.99
392.138;57.661;51.748;38.987
393.122;57.608;51.755;39.001
394.116;57.653;51.747;38.984
395.125;57.641;51.751;38.991
396.123;57.646;51.749;38.986
397.123;57.644;51.75;38.987
398.126;57.625;51.752;38.989
399.114;57.634;51.75;38.985
400.123;57.597;51.758;38.999
401.119;57.594;51.751;38.987
402.117;57.606;51.753;38.987
403.122;57.601;51.753;38.987
404.132;57.6;51.754;38.986
405.14;57.567;51.757;38.991
406.142;57.58;51.756;38.99
407.122;57.577;51.756;38.989
408.109;57.587;51.754;38.984
409.097;57.603;51.756;38.985
410.092;57.556;51.757;38.988
411.092;57.537;51.757;38.987
412.096;57.545;51.758;38.987
413.074;57.568;51.759;38.988
414.085;57.552;51.755;38.982
415.101;57.593;51.76;38.987
416.091;57.565;51.759;38.983
417.087;57.538;51.758;38.984
418.076;57.59;51.76;38.984
419.091;57.546;51.76;38.983
420.08;57.527;51.763;38.987
421.072;57.551;51.759;38.98
422.073;57.552;51.762;38.983
423.067;57.529;51.763;38.984
424.069;57.506;51.763;38.984
425.059;57.518;51.763;38.983
426.049;57.508;51.764;38.984
427.029;57.523;51.763;38.982
428.036;57.503;51.766;38.985
429.025;57.531;51.768;38.985
430.01;57.499;51.765;38.983
431.003;57.504;51.762;38.979
432.002;57.487;51.768;38.985
432.988;57.473;51.77;38.986
433.984;57.494;51.766;38.979
434.965;57.48;51.768;38.982
435.976;57.471;51.77;38.982
436.979;57.486;51.769;38.98
437.969;57.482;51.769;38.98
438.966;57.471;51.772;38.982
439.966;57.47;51.774;38.983
440.97;57.453;51.775;38.986
441.95;57.44;51.78;38.989
442.933;57.447;51.777;38.984
443.937;57.466;51.776;38.982
444.938;57.443;51.778;38.984
445.942;57.457;51.778;38.984
446.953;57.421;51.782;38.987
447.94;57.445;51.78;38.983
448.93;57.44;51.781;38.985
449.926;57.425;51.783;38.988
450.934;57.426;51.784;38.988
451.94;57.416;51.785;38.987
452.952;57.435;51.784;38.985
453.935;57.397;51.786;38.99
454.923;57.412;51.783;38.985
455.914;57.408;51.785;38.986
456.909;57.416;51.783;38.983
457.894;57.399;51.786;38.986
458.888;57.392;51.785;38.983
459.89;57.392;51.786;38.985
460.883;57.395;51.782;38.979
461.864;57.395;51.782;38.979
462.834;57.397;51.781;38.977
463.837;57.387;51.784;38.98
464.821;57.38;51.784;38.979
465.822;57.378;51.782;38.977
466.826;57.379;51.784;38.978
467.84;57.376;51.782;38.976
468.82;57.366;51.783;38.978
469.825;57.381;51.781;38.973
470.811;57.362;51.784;38.977
471.819;57.372;51.785;38.978
472.806;57.366;51.783;38.974
473.798;57.361;51.784;38.974
474.799;57.365;51.784;38.974
475.801;57.363;51.784;38.973
476.807;57.357;51.785;38.974
477.79;57.351;51.786;38.976
478.807;57.342;51.788;38.977
479.799;57.346;51.787;38.975
480.795;57.34;51.787;38.975
481.798;57.344;51.789;38.976
482.775;57.347;51.79;38.976
483.786;57.341;51.789;38.975
484.807;57.342;51.789;38.975
485.799;57.332;51.789;38.973
486.811;57.331;51.791;38.975
487.818;57.329;51.79;38.975
488.831;57.32;51.79;38.974
489.813;57.343;51.788;38.97
490.8;57.287;51.798;38.986
491.791;57.324;51.791;38.972
492.789;57.317;51.789;38.971
493.791;57.288;51.798;38.984
494.804;57.303;51.793;38.973
495.797;57.27;51.802;38.987
496.779;57.272;51.803;38.988
497.77;57.276;51.801;38.984
498.772;57.264;51.804;38.987
499.771;57.343;51.794;38.966
500.788;57.299;51.795;38.973
501.799;57.353;51.791;38.962
502.801;57.335;51.794;38.964
503.81;57.257;51.804;38.985
504.805;57.328;51.792;38.961
505.808;57.248;51.807;38.986
506.82;57.327;51.796;38.965
507.82;57.245;51.804;38.984
508.821;57.325;51.797;38.964
509.817;57.24;51.808;38.985
510.801;57.246;51.806;38.983
511.8;57.233;51.808;38.984
512.802;57.236;51.81;38.986
513.812;57.228;51.81;38.984
514.799;57.223;51.812;38.987
515.79;57.263;51.808;38.976
516.786;57.223;51.813;38.987
517.819;57.224;51.814;38.987
518.814;57.212;51.817;38.988
519.79;57.262;51.811;38.976
520.799;57.26;51.811;38.976
521.809;57.208;51.818;38.987
522.794;57.242;51.815;38.978
523.784;57.234;51.814;38.977
524.776;57.233;51.816;38.978
525.777;57.239;51.817;38.979
526.782;57.226;51.819;38.98
527.775;57.224;51.818;38.98
528.776;57.235;51.818;38.978
529.781;57.223;51.821;38.98
530.78;57.219;51.823;38.984
531.775;57.227;51.82;38.978
532.763;57.21;51.823;38.982
533.756;57.212;51.824;38.983
534.759;57.225;51.821;38.978
535.747;57.218;51.824;38.98
536.756;57.217;51.823;38.979
537.765;57.216;51.825;38.981
538.755;57.199;51.828;38.984
539.761;57.197;51.828;38.984
540.746;57.203;51.827;38.981
541.74;57.21;51.826;38.98
542.749;57.202;51.828;38.982
543.731;57.194;51.828;38.982
