IDs:;240715_04_240712C;04_DNAJB6_02_220_uM;
Concentration [uM]:;2.22;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
849.849;56.498;51.932;38.954
850.868;56.488;51.932;38.954
851.858;56.495;51.929;38.951
852.852;56.486;51.933;38.955
853.851;56.485;51.931;38.953
854.855;56.476;51.935;38.957
855.86;56.476;51.932;38.954
856.841;56.478;51.932;38.953
857.855;56.474;51.933;38.954
858.842;56.478;51.932;38.951
859.834;56.475;51.933;38.953
860.826;56.47;51.933;38.953
861.821;56.472;51.935;38.953
862.819;56.465;51.935;38.954
863.823;56.465;51.935;38.954
864.83;56.467;51.935;38.954
865.81;56.455;51.938;38.956
866.805;56.453;51.936;38.953
867.799;56.461;51.937;38.954
868.79;56.45;51.939;38.956
869.791;56.451;51.938;38.953
870.779;56.46;51.937;38.953
871.786;56.444;51.941;38.957
872.778;56.449;51.939;38.954
873.778;56.447;51.939;38.954
874.778;56.443;51.94;38.953
875.785;56.454;51.94;38.954
876.799;56.45;51.938;38.951
877.799;56.444;51.937;38.95
878.779;56.432;51.941;38.954
879.768;56.437;51.939;38.953
880.767;56.441;51.936;38.949
881.771;56.44;51.939;38.951
882.785;56.436;51.939;38.951
883.786;56.429;51.94;38.952
884.793;56.42;51.94;38.952
885.779;56.43;51.941;38.952
886.771;56.432;51.941;38.952
887.773;56.428;51.938;38.947
888.782;56.433;51.939;38.948
889.765;56.419;51.941;38.951
890.754;56.413;51.94;38.95
891.747;56.418;51.942;38.95
892.749;56.419;51.94;38.947
893.754;56.418;51.94;38.948
894.763;56.413;51.94;38.947
895.767;56.419;51.942;38.949
896.77;56.405;51.942;38.95
897.787;56.412;51.944;38.949
898.805;56.399;51.944;38.95
899.792;56.403;51.944;38.95
900.788;56.394;51.946;38.951
901.785;56.392;51.947;38.952
902.777;56.392;51.947;38.952
903.789;56.388;51.947;38.951
904.801;56.396;51.946;38.948
905.784;56.386;51.948;38.951
906.776;56.387;51.947;38.949
907.786;56.381;51.95;38.953
908.785;56.392;51.948;38.949
909.78;56.393;51.95;38.951
910.755;56.387;51.949;38.951
911.759;56.379;51.949;38.949
912.753;56.381;51.952;38.953
913.746;56.381;51.952;38.952
914.748;56.377;51.951;38.95
915.731;56.376;51.951;38.951
916.727;56.377;51.953;38.953
917.731;56.366;51.953;38.951
918.727;56.37;51.955;38.953
919.726;56.376;51.952;38.948
920.732;56.367;51.954;38.952
921.74;56.373;51.953;38.95
922.739;56.345;51.954;38.952
923.745;56.359;51.956;38.953
924.755;56.36;51.955;38.952
925.772;56.361;51.954;38.949
926.793;56.36;51.957;38.952
927.8;56.364;51.957;38.951
928.805;56.37;51.956;38.95
929.823;56.367;51.959;38.951
930.81;56.353;51.96;38.953
931.799;56.357;51.957;38.95
932.793;56.364;51.958;38.95
933.778;56.361;51.957;38.948
934.763;56.364;51.956;38.947
935.757;56.345;51.957;38.95
936.763;56.356;51.958;38.948
937.759;56.347;51.959;38.95
938.764;56.345;51.96;38.951
939.739;56.352;51.959;38.951
940.726;56.343;51.961;38.951
941.722;56.34;51.956;38.947
942.701;56.334;51.959;38.949
943.692;56.346;51.958;38.946
944.702;56.34;51.957;38.945
945.701;56.333;51.962;38.952
946.688;56.345;51.956;38.943
947.67;56.328;51.959;38.948
948.656;56.336;51.957;38.944
949.641;56.334;51.961;38.948
950.62;56.324;51.96;38.948
951.638;56.335;51.96;38.946
952.635;56.333;51.962;38.947
953.633;56.329;51.962;38.948
954.639;56.331;51.961;38.946
955.65;56.327;51.961;38.947
956.667;56.33;51.963;38.948
957.659;56.328;51.962;38.946
958.659;56.324;51.963;38.947
959.661;56.323;51.964;38.947
960.669;56.312;51.963;38.946
961.652;56.316;51.964;38.947
962.67;56.316;51.963;38.947
963.662;56.322;51.964;38.947
964.662;56.304;51.963;38.945
965.665;56.316;51.966;38.949
966.672;56.307;51.965;38.948
967.682;56.318;51.967;38.948
968.665;56.296;51.969;38.953
969.68;56.313;51.968;38.949
970.671;56.315;51.97;38.949
971.68;56.312;51.969;38.947
972.682;56.303;51.971;38.951
973.67;56.295;51.972;38.953
974.663;56.305;51.97;38.947
975.653;56.305;51.97;38.948
976.656;56.289;51.969;38.948
977.659;56.301;51.971;38.949
978.657;56.291;51.972;38.95
979.651;56.288;51.971;38.948
980.632;56.287;51.97;38.946
981.625;56.298;51.972;38.949
982.628;56.283;51.972;38.949
983.629;56.295;51.973;38.947
984.629;56.297;51.975;38.95
985.647;56.297;51.973;38.948
986.653;56.296;51.975;38.948
987.641;56.268;51.973;38.948
988.643;56.287;51.975;38.949
989.62;56.28;51.972;38.947
990.602;56.277;51.973;38.948
991.604;56.274;51.974;38.948
992.607;56.283;51.975;38.948
993.618;56.265;51.973;38.947
994.607;56.271;51.974;38.947
995.602;56.269;51.974;38.946
996.607;56.261;51.974;38.947
997.613;56.276;51.974;38.945
998.596;56.282;51.975;38.944
999.583;56.255;51.978;38.949
1000.605;56.261;51.973;38.943
1001.601;56.273;51.978;38.948
1002.607;56.253;51.975;38.946
1003.612;56.26;51.975;38.945
1004.587;56.273;51.977;38.946
1005.602;56.252;51.976;38.945
1006.589;56.266;51.977;38.945
1007.584;56.254;51.976;38.946
1008.593;56.259;51.977;38.944
1009.585;56.272;51.977;38.944
1010.576;56.247;51.979;38.947
1011.573;56.248;51.977;38.944
1012.562;56.255;51.983;38.949
1013.553;56.26;51.979;38.945
1014.549;56.245;51.981;38.946
1015.551;56.242;51.982;38.947
1016.569;56.246;51.978;38.944
1017.564;56.256;51.983;38.947
1018.545;56.233;51.982;38.948
1019.541;56.252;51.981;38.945
1020.541;56.239;51.983;38.947
1021.557;56.224;51.982;38.945
1022.557;56.238;51.982;38.946
1023.566;56.229;51.981;38.945
1024.552;56.243;51.984;38.945
1025.571;56.237;51.982;38.944
1026.574;56.245;51.981;38.942
1027.561;56.219;51.985;38.946
1028.554;56.215;51.983;38.946
1029.552;56.234;51.983;38.944
1030.558;56.217;51.985;38.946
1031.548;56.221;51.983;38.943
1032.536;56.209;51.987;38.948
1033.532;56.211;51.986;38.945
1034.536;56.23;51.984;38.943
1035.548;56.224;51.985;38.945
1036.558;56.226;51.986;38.944
1037.574;56.225;51.986;38.943
1038.568;56.219;51.99;38.946
1039.565;56.217;51.989;38.945
1040.549;56.207;51.986;38.943
1041.536;56.22;51.99;38.946
1042.54;56.217;51.992;38.947
1043.549;56.214;51.989;38.946
1044.548;56.202;51.987;38.944
1045.533;56.192;51.987;38.943
1046.525;56.195;51.988;38.944
1047.514;56.196;51.988;38.942
1048.512;56.194;51.988;38.943
1049.511;56.207;51.988;38.942
1050.504;56.203;51.989;38.944
1051.499;56.205;51.99;38.943
1052.476;56.202;51.99;38.942
1053.464;56.196;51.991;38.943
1054.462;56.187;51.99;38.943
1055.459;56.185;51.989;38.942
1056.454;56.172;51.994;38.946
1057.44;56.177;51.993;38.945
1058.428;56.199;51.99;38.941
1059.451;56.176;51.991;38.943
1060.431;56.173;51.992;38.944
1061.441;56.177;51.992;38.942
1062.431;56.191;51.993;38.943
1063.429;56.166;51.994;38.946
1064.436;56.189;51.996;38.944
1065.421;56.187;51.996;38.946
1066.408;56.181;51.994;38.943
1067.416;56.172;51.993;38.942
1068.424;56.176;51.994;38.943
1069.402;56.163;51.991;38.94
1070.387;56.179;51.993;38.94
1071.387;56.182;51.994;38.941
1072.38;56.167;51.996;38.942
1073.379;56.164;51.993;38.941
1074.371;56.161;51.993;38.94
1075.374;56.173;51.992;38.938
1076.37;56.172;51.995;38.941
1077.349;56.15;51.994;38.942
1078.363;56.149;51.993;38.94
1079.382;56.164;51.993;38.939
1080.391;56.149;51.995;38.94
1081.385;56.164;51.996;38.941
1082.363;56.162;51.994;38.939
1083.356;56.164;51.994;38.938
1084.357;56.145;51.996;38.941
1085.344;56.16;51.994;38.938
1086.323;56.166;51.995;38.938
1087.308;56.157;51.997;38.94
1088.304;56.16;51.996;38.939
1089.306;56.156;51.995;38.937
1090.314;56.133;51.998;38.942
1091.298;56.151;51.997;38.94
1092.29;56.133;51.995;38.938
1093.284;56.132;51.997;38.94
1094.283;56.155;51.997;38.938
1095.29;56.154;51.997;38.937
1096.273;56.146;51.997;38.939
1097.268;56.141;51.997;38.939
1098.268;56.136;51.998;38.938
1099.268;56.14;52;38.941
1100.269;56.141;51.998;38.937
1101.253;56.152;51.999;38.937
1102.236;56.131;51.997;38.936
1103.227;56.144;51.999;38.939
1104.213;56.139;51.997;38.934
1105.22;56.133;51.998;38.935
1106.212;56.134;51.998;38.938
1107.209;56.117;51.995;38.934
1108.216;56.129;51.997;38.935
1109.192;56.125;51.998;38.935
1110.199;56.132;51.996;38.933
1111.185;56.126;51.999;38.936
1112.184;56.136;51.995;38.931
1113.181;56.133;51.998;38.935
1114.184;56.122;51.996;38.932
1115.2;56.109;51.998;38.935
1116.202;56.131;51.998;38.934
1117.198;56.122;51.995;38.93
1118.201;56.129;51.996;38.931
1119.21;56.116;51.997;38.932
1120.224;56.118;51.996;38.931
1121.246;56.112;51.998;38.932
1122.248;56.118;51.997;38.931
1123.232;56.113;51.996;38.929
1124.223;56.111;51.997;38.931
1125.228;56.113;51.996;38.93
1126.238;56.112;51.999;38.932
1127.224;56.102;51.998;38.931
1128.217;56.102;51.997;38.928
1129.214;56.11;51.999;38.93
1130.214;56.106;52;38.93
1131.222;56.111;51.999;38.93
1132.203;56.102;52.001;38.932
1133.22;56.102;52.001;38.931
1134.222;56.101;52.003;38.933
1135.198;56.104;52.001;38.932
1136.178;56.101;52.003;38.934
1137.16;56.107;52;38.93
1138.137;56.101;52.004;38.932
1139.138;56.098;52.005;38.933
1140.135;56.097;52.003;38.932
1141.13;56.097;52.003;38.931
1142.123;56.098;52.003;38.931
1143.124;56.094;52.003;38.931
1144.122;56.088;52.003;38.931
1145.107;56.088;52.004;38.933
1146.106;56.085;52.003;38.93
1147.101;56.089;52.002;38.929
1148.106;56.083;52.006;38.933
1149.094;56.085;52.002;38.927
1150.087;56.084;52.005;38.931
1151.098;56.083;52.006;38.931
1152.09;56.078;52.005;38.931
1153.087;56.079;52.005;38.931
1154.072;56.079;52.006;38.931
1155.071;56.071;52.005;38.93
1156.07;56.083;52.007;38.931
1157.081;56.075;52.006;38.931
1158.076;56.068;52.007;38.931
1159.078;56.075;52.006;38.93
1160.06;56.072;52.006;38.93
1161.052;56.075;52.005;38.928
1162.052;56.07;52.004;38.927
1163.052;56.073;52.005;38.927
1164.056;56.066;52.005;38.928
1165.063;56.065;52.005;38.927
1166.075;56.067;52.005;38.927
1167.071;56.069;52.007;38.929
1168.067;56.067;52.008;38.929
1169.068;56.064;52.006;38.926
1170.071;56.061;52.009;38.929
1171.083;56.053;52.008;38.927
1172.063;56.061;52.007;38.927
1173.072;56.051;52.009;38.928
1174.072;56.056;52.008;38.927
1175.064;56.049;52.01;38.93
1176.061;56.049;52.01;38.929
1177.056;56.044;52.009;38.927
1178.059;56.045;52.01;38.928
1179.049;56.051;52.009;38.927
1180.056;56.044;52.011;38.929
1181.069;56.045;52.008;38.924
1182.065;56.043;52.01;38.926
1183.069;56.039;52.009;38.926
1184.068;56.04;52.009;38.925
1185.073;56.034;52.011;38.928
1186.085;56.034;52.012;38.928
1187.08;56.031;52.014;38.929
1188.057;56.025;52.015;38.93
1189.054;56.035;52.011;38.926
1190.051;56.028;52.014;38.929
1191.054;56.023;52.012;38.926
1192.042;56.027;52.013;38.928
1193.031;56.011;52.015;38.929
1194.026;56.019;52.013;38.927
1195.027;56.019;52.015;38.929
1196.017;56.019;52.015;38.928
1197.008;56.013;52.014;38.927
1198.002;56.012;52.015;38.927
1199.004;56.009;52.016;38.928
1199.979;56.013;52.017;38.929
1200.958;56.009;52.015;38.926
1201.947;56.012;52.015;38.926
1202.967;56.016;52.015;38.926
1203.96;56.017;52.014;38.925
1204.964;56.01;52.017;38.928
1205.971;56.006;52.015;38.926
1206.953;56.007;52.015;38.925
1207.945;55.999;52.016;38.926
1208.963;55.994;52.016;38.926
1209.952;56;52.018;38.927
1210.947;55.992;52.017;38.925
1211.944;55.983;52.018;38.926
1212.935;56.006;52.016;38.925
1213.942;55.99;52.015;38.924
1214.939;55.998;52.016;38.924
1215.926;55.987;52.018;38.926
1216.926;55.98;52.015;38.922
1217.936;55.979;52.017;38.925
1218.928;55.986;52.017;38.924
1219.94;55.993;52.017;38.925
1220.933;55.971;52.017;38.923
1221.932;55.972;52.016;38.923
1222.917;55.976;52.016;38.923
1223.913;55.978;52.016;38.922
1224.915;55.975;52.017;38.922
1225.927;55.977;52.019;38.924
1226.945;55.968;52.017;38.922
1227.951;55.966;52.016;38.92
1228.949;55.97;52.016;38.921
1229.94;55.967;52.018;38.923
1230.926;55.962;52.017;38.922
1231.947;55.969;52.02;38.924
1232.945;55.965;52.017;38.92
1233.948;55.965;52.017;38.921
1234.926;55.965;52.019;38.922
1235.908;55.963;52.017;38.92
1236.894;55.958;52.016;38.918
1237.886;55.965;52.017;38.92
1238.882;55.958;52.018;38.92
1239.881;55.961;52.015;38.917
1240.883;55.958;52.019;38.921
1241.892;55.952;52.015;38.916
1242.871;55.947;52.017;38.917
1243.885;55.952;52.016;38.917
1244.906;55.945;52.018;38.919
1245.893;55.943;52.016;38.917
1246.875;55.949;52.015;38.915
1247.858;55.943;52.016;38.916
1248.847;55.944;52.018;38.918
1249.828;55.942;52.019;38.918
1250.822;55.946;52.019;38.918
1251.825;55.946;52.016;38.915
1252.838;55.949;52.016;38.916
1253.838;55.941;52.017;38.916
1254.841;55.938;52.019;38.917
1255.853;55.935;52.02;38.917
1256.844;55.928;52.02;38.917
1257.841;55.933;52.017;38.915
1258.824;55.935;52.018;38.916
1259.814;55.938;52.018;38.916
1260.809;55.938;52.019;38.916
1261.813;55.927;52.021;38.917
1262.8;55.939;52.021;38.917
1263.791;55.938;52.021;38.917
1264.801;55.928;52.02;38.916
1265.798;55.922;52.021;38.918
1266.793;55.91;52.019;38.915
1267.772;55.93;52.02;38.915
1268.784;55.934;52.02;38.916
1269.771;55.946;52.02;38.915
1270.793;55.923;52.021;38.915
1271.794;55.919;52.02;38.915
1272.799;55.926;52.02;38.915
1273.805;55.919;52.021;38.914
1274.815;55.899;52.02;38.913
1275.797;55.922;52.02;38.913
1276.781;55.891;52.018;38.912
1277.772;55.903;52.021;38.914
1278.77;55.905;52.021;38.914
1279.768;55.92;52.02;38.912
1280.77;55.904;52.022;38.915
1281.775;55.913;52.022;38.913
1282.773;55.91;52.021;38.914
1283.761;55.907;52.02;38.913
1284.748;55.913;52.02;38.911
1285.732;55.903;52.021;38.911
1286.726;55.897;52.021;38.913
1287.718;55.895;52.021;38.912
1288.697;55.908;52.021;38.911
1289.685;55.895;52.019;38.91
1290.683;55.882;52.02;38.911
1291.692;55.901;52.019;38.909
1292.699;55.89;52.022;38.912
1293.685;55.873;52.019;38.909
1294.682;55.887;52.02;38.91
1295.686;55.888;52.02;38.91
1296.671;55.897;52.02;38.908
1297.674;55.881;52.023;38.911
1298.657;55.889;52.022;38.91
1299.645;55.875;52.02;38.909
1300.649;55.84;52.022;38.909
1301.655;55.868;52.02;38.909
1302.668;55.865;52.022;38.91
1303.674;55.882;52.022;38.91
1304.679;55.89;52.022;38.909
1305.694;55.855;52.019;38.905
1306.687;55.877;52.022;38.908
1307.684;55.887;52.022;38.908
1308.686;55.862;52.02;38.906
1309.668;55.86;52.02;38.906
1310.663;55.853;52.021;38.907
1311.659;55.853;52.02;38.906
1312.657;55.875;52.021;38.906
1313.659;55.883;52.017;38.905
1314.668;55.836;52.02;38.904
1315.678;55.84;52.019;38.903
1316.693;55.851;52.022;38.906
1317.711;55.848;52.021;38.906
1318.702;55.856;52.022;38.906
1319.697;55.85;52.022;38.905
1320.697;55.831;52.021;38.905
1321.689;55.851;52.02;38.904
1322.671;55.859;52.023;38.906
1323.667;55.841;52.022;38.904
1324.668;55.852;52.022;38.905
1325.67;55.833;52.02;38.902
1326.651;55.843;52.022;38.904
1327.646;55.843;52.023;38.905
1328.642;55.864;52.021;38.903
1329.639;55.828;52.023;38.903
1330.627;55.826;52.021;38.902
1331.62;55.832;52.024;38.904
1332.61;55.842;52.022;38.902
1333.616;55.83;52.024;38.904
1334.622;55.817;52.021;38.901
1335.612;55.829;52.023;38.902
1336.613;55.826;52.024;38.903
1337.599;55.831;52.023;38.902
1338.601;55.836;52.022;38.902
1339.618;55.828;52.02;38.899
1340.61;55.83;52.023;38.902
1341.61;55.811;52.021;38.899
1342.613;55.82;52.023;38.901
1343.626;55.809;52.022;38.9
1344.613;55.807;52.021;38.898
1345.61;55.814;52.021;38.899
1346.608;55.806;52.023;38.9
1347.611;55.819;52.024;38.901
1348.591;55.807;52.024;38.901
1349.573;55.816;52.023;38.9
1350.59;55.804;52.022;38.898
1351.581;55.8;52.023;38.899
1352.575;55.8;52.022;38.897
1353.581;55.816;52.023;38.899
1354.588;55.802;52.022;38.898
1355.574;55.794;52.022;38.896
1356.589;55.794;52.022;38.897
1357.591;55.807;52.022;38.897
1358.588;55.796;52.023;38.897
1359.581;55.803;52.024;38.898
1360.572;55.792;52.025;38.899
1361.583;55.785;52.025;38.899
1362.587;55.789;52.024;38.897
1363.588;55.789;52.025;38.899
1364.59;55.778;52.023;38.896
1365.575;55.784;52.026;38.899
1366.561;55.789;52.024;38.897
1367.558;55.786;52.024;38.897
1368.564;55.785;52.025;38.897
1369.563;55.772;52.026;38.897
1370.541;55.763;52.025;38.895
1371.556;55.816;52.026;38.901
1372.551;55.776;52.026;38.897
1373.539;55.773;52.025;38.896
1374.557;55.768;52.025;38.895
1375.565;55.756;52.03;38.9
1376.546;55.792;52.025;38.896
1377.529;55.787;52.028;38.898
1378.527;55.764;52.027;38.897
1379.527;55.775;52.026;38.896
1380.529;55.769;52.026;38.896
1381.511;55.768;52.025;38.894
1382.494;55.759;52.029;38.896
1383.487;55.761;52.03;38.899
1384.482;55.755;52.027;38.895
1385.458;55.765;52.026;38.894
1386.479;55.759;52.028;38.897
1387.473;55.752;52.027;38.895
1388.47;55.753;52.029;38.898
1389.47;55.753;52.029;38.896
1390.446;55.745;52.028;38.895
1391.434;55.743;52.029;38.895
1392.428;55.748;52.03;38.896
1393.428;55.746;52.028;38.893
1394.428;55.736;52.032;38.898
1395.438;55.73;52.031;38.896
1396.438;55.75;52.026;38.891
1397.429;55.738;52.032;38.896
1398.415;55.734;52.032;38.897
1399.393;55.736;52.03;38.895
1400.386;55.733;52.029;38.893
1401.385;55.729;52.032;38.896
1402.393;55.733;52.029;38.893
1403.383;55.739;52.029;38.893
1404.365;55.731;52.031;38.894
1405.365;55.721;52.027;38.891
1406.363;55.716;52.035;38.897
1407.346;55.716;52.03;38.893
1408.337;55.71;52.033;38.895
1409.332;55.735;52.029;38.891
1410.33;55.722;52.031;38.894
1411.305;55.723;52.031;38.893
1412.315;55.72;52.033;38.895
1413.296;55.732;52.028;38.891
1414.282;55.725;52.031;38.893
1415.278;55.71;52.033;38.894
1416.271;55.716;52.033;38.894
1417.256;55.713;52.034;38.895
1418.275;55.716;52.032;38.892
1419.264;55.721;52.031;38.892
1420.256;55.708;52.033;38.894
1421.252;55.697;52.03;38.89
1422.251;55.715;52.033;38.893
1423.25;55.715;52.03;38.889
1424.228;55.702;52.028;38.888
1425.228;55.708;52.033;38.892
1426.219;55.707;52.033;38.892
1427.211;55.693;52.031;38.888
1428.214;55.701;52.036;38.893
1429.218;55.705;52.032;38.889
1430.22;55.683;52.032;38.89
1431.208;55.688;52.031;38.889
1432.206;55.693;52.028;38.887
1433.194;55.681;52.032;38.889
1434.189;55.694;52.031;38.888
1435.178;55.692;52.029;38.886
1436.176;55.687;52.033;38.89
1437.182;55.688;52.03;38.887
1438.196;55.695;52.034;38.89
1439.199;55.692;52.034;38.891
1440.191;55.678;52.029;38.885
1441.177;55.687;52.034;38.889
1442.173;55.678;52.031;38.887
1443.171;55.693;52.034;38.889
1444.173;55.691;52.033;38.888
1445.157;55.677;52.033;38.887
1446.143;55.698;52.03;38.884
1447.148;55.677;52.03;38.885
1448.132;55.695;52.032;38.885
1449.138;55.663;52.033;38.886
1450.149;55.681;52.033;38.887
1451.166;55.679;52.032;38.884
1452.152;55.673;52.031;38.885
1453.16;55.669;52.031;38.884
1454.152;55.683;52.03;38.883
1455.144;55.677;52.033;38.886
1456.128;55.665;52.03;38.883
1457.124;55.687;52.033;38.885
1458.12;55.674;52.036;38.888
1459.124;55.663;52.033;38.885
1460.114;55.667;52.032;38.882
1461.113;55.655;52.035;38.887
1462.093;55.657;52.033;38.885
1463.078;55.655;52.032;38.882
1464.055;55.677;52.036;38.885
1465.063;55.67;52.038;38.886
1466.053;55.664;52.037;38.886
1467.058;55.644;52.038;38.889
1468.041;55.639;52.036;38.885
1469.043;55.662;52.031;38.879
1470.048;55.648;52.032;38.882
1471.033;55.649;52.034;38.884
1472.036;55.642;52.034;38.883
1473.042;55.652;52.036;38.882
1474.031;55.651;52.035;38.881
1475.02;55.644;52.037;38.885
1476.012;55.651;52.033;38.88
1477.012;55.638;52.034;38.881
1478.016;55.653;52.04;38.887
1478.993;55.65;52.034;38.88
1479.975;55.645;52.035;38.882
1480.965;55.649;52.032;38.878
1481.959;55.654;52.035;38.881
1482.96;55.647;52.035;38.88
1483.965;55.647;52.036;38.881
1484.972;55.653;52.04;38.885
1485.951;55.646;52.035;38.88
1486.94;55.644;52.035;38.878
1487.927;55.632;52.039;38.885
1488.95;55.646;52.037;38.881
1489.948;55.64;52.037;38.881
1490.948;55.642;52.036;38.879
1491.935;55.651;52.042;38.885
1492.937;55.637;52.038;38.881
1493.919;55.633;52.039;38.882
1494.911;55.638;52.037;38.879
1495.913;55.638;52.041;38.883
1496.922;55.628;52.038;38.881
1497.9;55.635;52.037;38.879
1498.888;55.637;52.037;38.879
1499.885;55.633;52.038;38.879
1500.876;55.629;52.04;38.879
1501.879;55.637;52.042;38.883
1502.891;55.63;52.04;38.88
1503.894;55.634;52.04;38.881
1504.902;55.626;52.041;38.88
1505.887;55.619;52.045;38.887
1506.886;55.624;52.043;38.882
1507.904;55.62;52.044;38.885
1508.906;55.625;52.042;38.881
1509.89;55.627;52.04;38.879
1510.875;55.632;52.041;38.88
1511.867;55.627;52.043;38.881
1512.866;55.616;52.041;38.879
1513.861;55.62;52.042;38.879
1514.85;55.621;52.041;38.879
1515.841;55.622;52.04;38.878
1516.839;55.623;52.042;38.879
1517.84;55.622;52.041;38.878
1518.847;55.62;52.041;38.878
1519.839;55.62;52.041;38.879
1520.834;55.607;52.043;38.88
1521.831;55.617;52.039;38.875
1522.826;55.615;52.042;38.878
1523.818;55.609;52.043;38.878
1524.813;55.607;52.045;38.882
1525.805;55.607;52.045;38.881
1526.812;55.605;52.043;38.877
1527.789;55.612;52.042;38.877
1528.78;55.61;52.042;38.877
1529.782;55.6;52.045;38.879
1530.769;55.603;52.046;38.88
1531.775;55.601;52.045;38.88
1532.793;55.605;52.044;38.878
1533.793;55.599;52.043;38.877
1534.791;55.589;52.039;38.872
1535.791;55.589;52.047;38.88
1536.791;55.59;52.042;38.874
1537.795;55.59;52.045;38.878
1538.777;55.593;52.041;38.873
1539.772;55.593;52.042;38.875
1540.769;55.592;52.041;38.875
1541.773;55.591;52.041;38.874
1542.789;55.589;52.042;38.875
1543.777;55.588;52.04;38.872
1544.772;55.586;52.04;38.872
1545.769;55.579;52.043;38.874
1546.77;55.581;52.041;38.873
1547.747;55.582;52.038;38.87
1548.727;55.582;52.042;38.874
1549.744;55.58;52.045;38.876
1550.733;55.572;52.04;38.871
1551.714;55.572;52.037;38.868
1552.719;55.573;52.042;38.873
1553.714;55.581;52.041;38.872
1554.705;55.579;52.041;38.872
1555.7;55.574;52.043;38.874
1556.701;55.568;52.042;38.872
1557.7;55.559;52.041;38.87
1558.692;55.57;52.04;38.87
1559.69;55.57;52.039;38.869
1560.674;55.567;52.042;38.871
1561.668;55.573;52.043;38.872
1562.657;55.561;52.039;38.868
1563.653;55.567;52.043;38.872
1564.655;55.561;52.043;38.871
1565.666;55.561;52.041;38.869
1566.659;55.556;52.04;38.868
1567.662;55.556;52.041;38.868
1568.681;55.554;52.038;38.867
1569.693;55.557;52.041;38.869
1570.711;55.554;52.04;38.867
1571.709;55.553;52.044;38.871
1572.711;55.559;52.041;38.868
1573.721;55.561;52.045;38.871
1574.717;55.558;52.044;38.871
1575.722;55.551;52.04;38.866
1576.702;55.558;52.043;38.869
1577.694;55.544;52.039;38.865
1578.721;55.556;52.041;38.868
1579.728;55.549;52.039;38.865
1580.738;55.547;52.041;38.867
1581.72;55.546;52.042;38.867
1582.705;55.547;52.04;38.865
1583.695;55.541;52.038;38.863
1584.682;55.538;52.041;38.866
1585.675;55.549;52.042;38.867
1586.658;55.537;52.04;38.864
1587.642;55.535;52.042;38.866
1588.618;55.532;52.043;38.867
1589.624;55.541;52.043;38.867
1590.622;55.544;52.044;38.867
1591.61;55.536;52.043;38.866
1592.611;55.535;52.041;38.864
1593.591;55.529;52.042;38.864
1594.598;55.538;52.045;38.868
1595.61;55.533;52.041;38.864
1596.602;55.525;52.046;38.867
1597.609;55.535;52.043;38.865
1598.615;55.53;52.047;38.869
1599.617;55.529;52.045;38.866
1600.617;55.519;52.049;38.868
1601.623;55.524;52.046;38.867
1602.61;55.522;52.043;38.864
1603.6;55.526;52.046;38.867
1604.6;55.52;52.048;38.868
1605.608;55.525;52.052;38.872
1606.627;55.515;52.047;38.867
1607.614;55.516;52.049;38.867
1608.613;55.523;52.046;38.866
1609.611;55.52;52.044;38.864
1610.613;55.519;52.044;38.864
1611.59;55.524;52.047;38.867
1612.576;55.517;52.048;38.867
1613.573;55.511;52.048;38.866
1614.567;55.513;52.048;38.867
1615.562;55.509;52.049;38.867
1616.561;55.512;52.048;38.867
1617.539;55.506;52.048;38.866
1618.54;55.504;52.049;38.866
1619.556;55.505;52.047;38.864
1620.555;55.503;52.047;38.864
1621.569;55.501;52.048;38.864
1622.565;55.504;52.047;38.864
1623.552;55.496;52.048;38.864
1624.559;55.499;52.049;38.865
1625.553;55.502;52.046;38.862
1626.561;55.496;52.047;38.864
1627.548;55.499;52.047;38.863
1628.538;55.495;52.045;38.86
1629.542;55.504;52.044;38.86
1630.53;55.494;52.049;38.864
1631.523;55.509;52.042;38.859
1632.519;55.497;52.046;38.861
1633.521;55.494;52.047;38.861
1634.532;55.49;52.045;38.859
1635.518;55.487;52.049;38.865
1636.515;55.48;52.053;38.867
1637.531;55.486;52.048;38.861
1638.528;55.488;52.047;38.861
1639.531;55.481;52.048;38.862
1640.518;55.478;52.05;38.863
1641.503;55.49;52.045;38.858
1642.493;55.489;52.045;38.858
1643.514;55.476;52.049;38.863
1644.51;55.48;52.044;38.857
1645.515;55.483;52.046;38.859
1646.495;55.479;52.049;38.861
1647.493;55.476;52.047;38.858
1648.487;55.473;52.048;38.859
1649.49;55.465;52.048;38.86
1650.49;55.476;52.046;38.858
1651.497;55.467;52.046;38.857
1652.491;55.472;52.046;38.858
1653.499;55.472;52.048;38.86
1654.491;55.467;52.048;38.858
1655.505;55.469;52.048;38.86
1656.508;55.468;52.047;38.858
1657.5;55.466;52.047;38.858
1658.493;55.47;52.048;38.859
1659.495;55.465;52.047;38.857
1660.506;55.456;52.05;38.86
1661.508;55.467;52.048;38.858
1662.515;55.457;52.051;38.861
1663.504;55.457;52.048;38.858
1664.498;55.461;52.048;38.859
1665.5;55.452;52.051;38.86
1666.484;55.458;52.047;38.857
1667.474;55.461;52.047;38.857
1668.499;55.455;52.049;38.858
1669.501;55.451;52.049;38.858
1670.509;55.454;52.049;38.857
1671.521;55.451;52.051;38.859
1672.541;55.457;52.047;38.854
1673.564;55.45;52.049;38.857
