IDs:;240714_01_240712A;01_DNAJB6_05_000_uM;
Concentration [uM]:;5;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
198.888;58.46;51.512;38.928
199.892;58.459;51.514;38.93
200.901;58.44;51.515;38.929
201.916;58.44;51.516;38.929
202.92;58.425;51.518;38.931
203.92;58.418;51.521;38.933
204.926;58.432;51.519;38.929
205.906;58.418;51.522;38.931
206.921;58.413;51.521;38.929
207.907;58.408;51.522;38.929
208.898;58.401;51.524;38.931
209.906;58.362;51.521;38.926
210.911;58.388;51.528;38.932
211.913;58.351;51.525;38.928
212.908;58.374;51.53;38.932
213.902;58.336;51.528;38.929
214.908;58.332;51.529;38.929
215.905;58.326;51.533;38.931
216.899;58.309;51.534;38.931
217.906;58.309;51.536;38.932
218.896;58.294;51.538;38.932
219.901;58.286;51.539;38.934
220.892;58.288;51.54;38.932
221.891;58.282;51.538;38.93
222.878;58.283;51.541;38.931
223.868;58.275;51.54;38.93
224.853;58.27;51.542;38.93
225.874;58.266;51.544;38.931
226.876;58.265;51.543;38.93
227.867;58.254;51.546;38.932
228.858;58.259;51.544;38.929
229.861;58.25;51.547;38.93
230.863;58.254;51.547;38.927
231.86;58.257;51.546;38.926
232.86;58.237;51.548;38.929
233.865;58.231;51.547;38.927
234.88;58.241;51.548;38.926
235.869;58.214;51.55;38.926
236.867;58.211;51.551;38.927
237.853;58.216;51.551;38.926
238.838;58.214;51.55;38.924
239.826;58.187;51.556;38.931
240.82;58.191;51.556;38.928
241.824;58.181;51.556;38.927
242.834;58.185;51.557;38.928
243.842;58.177;51.557;38.926
244.851;58.207;51.562;38.928
245.842;58.19;51.563;38.93
246.845;58.177;51.56;38.926
247.831;58.182;51.565;38.931
248.831;58.184;51.565;38.929
249.839;58.151;51.564;38.927
250.828;58.137;51.564;38.926
251.814;58.172;51.569;38.93
252.812;58.166;51.572;38.932
253.794;58.153;51.573;38.932
254.78;58.149;51.574;38.932
255.782;58.138;51.577;38.934
256.784;58.107;51.571;38.927
257.765;58.127;51.578;38.933
258.782;58.129;51.58;38.933
259.775;58.118;51.58;38.932
260.774;58.119;51.582;38.933
261.766;58.11;51.582;38.931
262.755;58.077;51.581;38.931
263.75;58.066;51.581;38.929
264.749;58.091;51.585;38.933
265.754;58.095;51.586;38.932
266.76;58.06;51.585;38.931
267.773;58.061;51.586;38.932
268.791;58.056;51.588;38.932
269.792;58.051;51.588;38.932
270.787;58.047;51.589;38.933
271.79;58.048;51.59;38.932
272.803;58.046;51.588;38.927
273.796;58.041;51.589;38.928
274.802;58.037;51.591;38.93
275.805;58.034;51.592;38.931
276.816;58.026;51.593;38.93
277.801;58.023;51.594;38.931
278.79;58.018;51.595;38.931
279.777;58.005;51.595;38.93
280.767;58.01;51.598;38.931
281.762;58.004;51.598;38.932
282.771;58.003;51.599;38.931
283.787;57.995;51.599;38.929
284.794;57.99;51.602;38.932
285.782;57.993;51.602;38.932
286.777;58.031;51.597;38.918
287.778;57.985;51.603;38.931
288.78;58.01;51.598;38.918
289.764;57.976;51.604;38.93
290.763;57.97;51.605;38.93
291.769;58.002;51.601;38.918
292.748;58.007;51.602;38.919
293.736;57.958;51.609;38.931
294.725;57.983;51.605;38.92
295.717;57.949;51.611;38.931
296.731;57.979;51.609;38.921
297.742;57.97;51.61;38.923
298.759;57.923;51.614;38.932
299.748;57.96;51.611;38.921
300.743;57.944;51.614;38.925
301.747;57.938;51.618;38.925
302.753;57.932;51.618;38.927
303.731;57.919;51.619;38.927
304.719;57.932;51.619;38.924
305.721;57.913;51.621;38.928
306.717;57.896;51.62;38.926
307.718;57.891;51.622;38.928
308.722;57.897;51.62;38.923
309.729;57.886;51.622;38.927
310.74;57.851;51.626;38.934
311.729;57.884;51.625;38.928
312.727;57.865;51.63;38.936
313.724;57.847;51.63;38.935
314.704;57.849;51.63;38.933
315.691;57.864;51.626;38.924
316.688;57.838;51.629;38.931
317.676;57.83;51.63;38.931
318.663;57.826;51.632;38.933
319.69;57.825;51.632;38.932
320.698;57.819;51.632;38.93
321.7;57.841;51.628;38.92
322.692;57.84;51.63;38.921
323.686;57.829;51.63;38.92
324.693;57.826;51.631;38.922
325.665;57.832;51.633;38.923
326.656;57.83;51.63;38.918
327.649;57.817;51.632;38.921
328.651;57.81;51.633;38.92
329.646;57.805;51.633;38.919
330.645;57.786;51.634;38.921
331.62;57.8;51.637;38.923
332.626;57.805;51.635;38.918
333.64;57.781;51.636;38.919
334.627;57.77;51.632;38.912
335.608;57.761;51.634;38.916
336.614;57.766;51.635;38.917
337.592;57.76;51.634;38.915
338.609;57.775;51.64;38.919
339.597;57.732;51.637;38.915
340.588;57.756;51.641;38.919
341.58;57.727;51.642;38.919
342.574;57.734;51.641;38.917
343.57;57.709;51.64;38.916
344.57;57.69;51.643;38.919
345.573;57.715;51.644;38.918
346.57;57.683;51.643;38.915
347.573;57.691;51.644;38.914
348.573;57.677;51.643;38.915
349.577;57.681;51.642;38.908
350.569;57.659;51.645;38.915
351.585;57.682;51.641;38.905
352.582;57.656;51.648;38.916
353.573;57.674;51.643;38.906
354.575;57.728;51.647;38.906
355.573;57.672;51.643;38.903
356.558;57.723;51.649;38.907
357.563;57.667;51.644;38.902
358.55;57.716;51.651;38.907
359.54;57.652;51.646;38.904
360.54;57.71;51.651;38.905
361.547;57.645;51.645;38.902
362.534;57.706;51.649;38.903
363.529;57.691;51.654;38.909
364.53;57.695;51.653;38.905
365.539;57.679;51.656;38.907
366.55;57.62;51.649;38.902
367.539;57.677;51.655;38.906
368.55;57.677;51.655;38.904
369.527;57.656;51.655;38.905
370.517;57.607;51.651;38.901
371.51;57.66;51.659;38.906
372.51;57.654;51.659;38.906
373.516;57.647;51.661;38.907
374.524;57.643;51.658;38.904
375.533;57.655;51.66;38.904
376.516;57.643;51.661;38.904
377.507;57.64;51.662;38.904
378.504;57.627;51.662;38.905
379.501;57.633;51.661;38.903
380.508;57.624;51.665;38.906
381.523;57.629;51.663;38.903
382.515;57.61;51.667;38.908
383.52;57.616;51.663;38.902
384.513;57.606;51.669;38.908
385.493;57.598;51.667;38.905
386.496;57.607;51.665;38.902
387.476;57.599;51.667;38.903
388.469;57.575;51.67;38.908
389.457;57.595;51.666;38.901
390.449;57.578;51.668;38.902
391.468;57.581;51.67;38.903
392.454;57.569;51.67;38.903
393.464;57.564;51.674;38.905
394.48;57.56;51.674;38.905
395.479;57.553;51.675;38.907
396.486;57.549;51.677;38.906
397.469;57.544;51.679;38.907
398.471;57.546;51.675;38.903
399.451;57.525;51.68;38.907
400.465;57.523;51.68;38.908
401.452;57.53;51.678;38.905
402.447;57.521;51.68;38.906
403.444;57.512;51.682;38.907
404.463;57.521;51.681;38.906
405.447;57.503;51.683;38.907
406.462;57.49;51.685;38.908
407.449;57.511;51.685;38.905
408.45;57.504;51.685;38.905
409.452;57.487;51.687;38.908
410.455;57.492;51.685;38.903
411.44;57.49;51.686;38.904
412.413;57.485;51.685;38.904
413.415;57.478;51.689;38.907
414.413;57.476;51.688;38.905
415.419;57.475;51.689;38.905
416.422;57.472;51.69;38.905
417.406;57.47;51.69;38.904
418.39;57.472;51.691;38.905
419.377;57.472;51.69;38.902
420.373;57.451;51.692;38.906
421.376;57.454;51.693;38.906
422.368;57.465;51.691;38.901
423.374;57.451;51.693;38.906
424.382;57.474;51.69;38.899
425.378;57.448;51.696;38.906
426.38;57.463;51.69;38.899
427.375;57.439;51.694;38.903
428.372;57.451;51.693;38.9
429.355;57.44;51.695;38.902
430.357;57.435;51.697;38.904
431.348;57.424;51.699;38.907
432.339;57.43;51.697;38.903
433.333;57.432;51.696;38.901
434.333;57.422;51.698;38.903
435.338;57.422;51.697;38.901
436.348;57.415;51.696;38.899
437.334;57.417;51.696;38.898
438.353;57.401;51.698;38.901
439.345;57.408;51.699;38.9
440.345;57.416;51.699;38.899
441.348;57.391;51.702;38.902
442.348;57.409;51.701;38.9
443.33;57.396;51.704;38.902
444.325;57.389;51.703;38.901
445.344;57.388;51.705;38.903
446.335;57.38;51.704;38.902
447.34;57.397;51.704;38.9
448.347;57.373;51.705;38.901
