IDs:;240716_10_240712H;10_DNAJB6_00_293_uM;
Concentration [uM]:;0.293;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
199.484;71.587;50.479;39.007
200.467;71.51;50.474;39.002
201.454;71.536;50.476;39.005
202.463;71.596;50.476;39.005
203.444;71.517;50.477;39.006
204.432;71.547;50.477;39.004
205.419;71.532;50.478;39.006
206.413;71.541;50.477;39.005
207.414;71.547;50.478;39.005
208.419;71.568;50.48;39.007
209.401;71.553;50.479;39.006
210.386;71.504;50.477;39.004
211.389;71.574;50.479;39.006
212.39;71.492;50.477;39.004
213.362;71.563;50.48;39.007
214.351;71.54;50.478;39.004
215.365;71.541;50.48;39.006
216.361;71.5;50.478;39.004
217.343;71.537;50.479;39.005
218.331;71.49;50.48;39.006
219.347;71.524;50.478;39.004
220.343;71.474;50.48;39.006
221.326;71.525;50.483;39.009
222.321;71.48;50.48;39.005
223.327;71.509;50.478;39.005
224.318;71.484;50.478;39.004
225.316;71.484;50.48;39.005
226.315;71.492;50.481;39.007
227.319;71.469;50.479;39.004
228.329;71.485;50.484;39.008
229.349;71.482;50.484;39.009
230.354;71.516;50.481;39.006
231.355;71.448;50.48;39.004
232.339;71.475;50.484;39.008
233.323;71.487;50.482;39.006
234.341;71.469;50.481;39.005
235.336;71.458;50.481;39.005
236.338;71.458;50.481;39.004
237.344;71.442;50.484;39.007
238.327;71.41;50.478;39.001
239.304;71.436;50.48;39.003
240.306;71.434;50.483;39.006
241.313;71.413;50.481;39.004
242.297;71.406;50.48;39.003
243.284;71.409;50.484;39.006
244.286;71.373;50.48;39.002
245.279;71.406;50.486;39.007
246.273;71.377;50.481;39.003
247.265;71.391;50.485;39.006
248.263;71.362;50.483;39.004
249.26;71.364;50.485;39.006
250.247;71.38;50.482;39.003
251.244;71.39;50.487;39.008
252.236;71.367;50.484;39.005
253.244;71.351;50.483;39.004
254.24;71.367;50.482;39.003
255.231;71.361;50.484;39.004
256.229;71.351;50.486;39.005
257.215;71.339;50.488;39.008
258.232;71.304;50.484;39.003
259.23;71.328;50.484;39.003
260.209;71.348;50.487;39.007
261.208;71.318;50.488;39.006
262.214;71.325;50.487;39.006
263.206;71.29;50.489;39.007
264.229;71.293;50.489;39.007
265.23;71.299;50.488;39.006
266.238;71.284;50.491;39.008
267.222;71.252;50.49;39.007
268.22;71.236;50.487;39.004
269.223;71.274;50.491;39.008
270.228;71.257;50.491;39.007
271.221;71.254;50.489;39.006
272.208;71.253;50.493;39.009
273.232;71.244;50.493;39.009
274.227;71.243;50.493;39.009
275.226;71.22;50.491;39.006
276.227;71.228;50.493;39.008
277.223;71.229;50.492;39.007
278.225;71.222;50.492;39.007
279.237;71.211;50.489;39.004
280.232;71.222;50.492;39.007
281.232;71.212;50.493;39.007
282.221;71.212;50.492;39.006
283.218;71.183;50.493;39.006
284.227;71.185;50.492;39.005
285.226;71.154;50.49;39.003
286.231;71.17;50.49;39.004
287.226;71.134;50.492;39.004
288.213;71.151;50.495;39.007
289.224;71.152;50.492;39.004
290.239;71.155;50.493;39.005
291.227;71.138;50.49;39.002
292.226;71.142;50.496;39.007
293.212;71.141;50.493;39.004
294.2;71.126;50.492;39.003
295.195;71.155;50.494;39.005
296.194;71.121;50.494;39.005
297.203;71.102;50.491;39
298.2;71.089;50.493;39.002
299.213;71.098;50.491;39
300.222;71.06;50.493;39.002
301.209;71.078;50.493;39.001
302.229;71.076;50.493;39.001
303.222;71.061;50.492;39
304.223;71.069;50.494;39.001
305.23;71.061;50.493;38.999
306.239;71.058;50.493;39
307.237;71.075;50.494;39.001
308.231;71.046;50.494;38.999
309.234;71.043;50.494;39
310.228;71.037;50.493;38.999
311.225;71.016;50.494;38.999
312.239;71.011;50.493;38.998
313.247;71.007;50.494;38.999
314.251;71.01;50.492;38.996
315.25;71.01;50.494;38.998
316.234;70.992;50.496;38.999
317.214;70.97;50.497;38.999
318.213;70.96;50.495;38.998
319.216;70.956;50.497;38.999
320.212;70.965;50.494;38.996
321.219;70.956;50.496;38.998
322.206;70.957;50.496;38.998
323.227;70.967;50.496;38.998
324.208;70.958;50.497;38.999
325.225;70.939;50.497;38.997
326.246;70.916;50.496;38.996
327.262;70.909;50.499;38.998
328.277;70.899;50.497;38.996
329.274;70.913;50.498;38.997
330.275;70.855;50.498;38.994
331.284;70.882;50.5;38.998
332.295;70.846;50.5;38.996
333.289;70.848;50.501;38.997
334.283;70.861;50.496;38.993
335.283;70.854;50.499;38.995
336.268;70.853;50.499;38.995
337.274;70.828;50.497;38.992
338.288;70.834;50.499;38.995
339.276;70.819;50.498;38.993
340.272;70.797;50.5;38.995
341.271;70.804;50.5;38.994
342.28;70.795;50.5;38.993
343.258;70.787;50.5;38.993
344.252;70.786;50.501;38.994
345.238;70.769;50.5;38.993
346.241;70.755;50.501;38.993
347.248;70.736;50.502;38.993
348.247;70.718;50.502;38.992
349.23;70.728;50.504;38.995
350.235;70.691;50.504;38.993
351.241;70.686;50.506;38.994
352.228;70.682;50.505;38.994
353.222;70.682;50.505;38.993
354.23;70.655;50.508;38.995
355.208;70.668;50.506;38.994
356.219;70.614;50.508;38.993
357.206;70.597;50.51;38.995
358.197;70.623;50.509;38.995
359.18;70.597;50.508;38.993
360.163;70.592;50.508;38.992
361.18;70.578;50.51;38.994
362.176;70.571;50.511;38.994
363.175;70.546;50.512;38.994
364.178;70.562;50.511;38.993
365.189;70.539;50.513;38.995
366.199;70.529;50.512;38.993
367.182;70.507;50.515;38.995
368.2;70.505;50.514;38.994
369.191;70.498;50.516;38.996
370.197;70.48;50.516;38.995
371.188;70.481;50.516;38.994
372.165;70.448;50.517;38.995
373.16;70.466;50.518;38.996
374.158;70.452;50.516;38.993
375.152;70.426;50.518;38.994
376.157;70.41;50.519;38.995
377.137;70.39;50.519;38.993
378.129;70.402;50.518;38.993
379.128;70.397;50.519;38.993
380.139;70.348;50.518;38.99
381.128;70.364;50.52;38.993
382.147;70.374;50.52;38.992
383.161;70.338;50.518;38.99
384.159;70.348;50.519;38.99
385.174;70.296;50.52;38.991
386.164;70.302;50.519;38.988
387.157;70.307;50.523;38.992
388.156;70.268;50.52;38.988
389.134;70.263;50.521;38.989
390.148;70.265;50.524;38.991
391.165;70.25;50.522;38.989
392.171;70.26;50.526;38.992
393.179;70.234;50.523;38.989
394.182;70.227;50.523;38.988
395.183;70.227;50.523;38.987
396.186;70.197;50.524;38.988
397.194;70.185;50.525;38.988
398.204;70.176;50.528;38.991
399.187;70.156;50.528;38.99
400.174;70.153;50.528;38.989
401.168;70.153;50.528;38.989
402.166;70.15;50.528;38.988
403.168;70.104;50.53;38.989
404.175;70.083;50.532;38.99
405.174;70.064;50.532;38.989
406.177;70.071;50.533;38.991
407.175;70.056;50.532;38.989
408.185;70.024;50.535;38.991
409.161;70.015;50.537;38.992
410.158;69.993;50.537;38.992
411.143;69.987;50.538;38.992
412.157;69.938;50.537;38.989
413.149;69.948;50.54;38.992
414.147;69.943;50.539;38.991
415.138;69.933;50.54;38.99
416.139;69.892;50.539;38.99
417.125;69.889;50.541;38.991
418.122;69.875;50.54;38.988
419.117;69.868;50.542;38.991
420.099;69.833;50.544;38.991
421.108;69.853;50.543;38.99
422.101;69.822;50.545;38.991
423.096;69.808;50.547;38.991
424.1;69.786;50.546;38.989
425.116;69.784;50.544;38.988
426.106;69.774;50.546;38.989
427.101;69.765;50.548;38.99
428.102;69.738;50.546;38.987
429.106;69.734;50.549;38.989
430.09;69.735;50.55;38.99
431.082;69.716;50.55;38.989
432.093;69.684;50.55;38.988
433.098;69.685;50.55;38.986
434.107;69.669;50.552;38.988
435.086;69.687;50.551;38.988
436.1;69.652;50.553;38.988
437.086;69.638;50.554;38.988
438.109;69.622;50.554;38.987
439.108;69.621;50.555;38.988
440.115;69.607;50.555;38.986
441.132;69.58;50.554;38.984
442.13;69.581;50.556;38.986
443.139;69.559;50.558;38.988
444.135;69.537;50.556;38.984
445.139;69.522;50.56;38.988
446.124;69.51;50.561;38.987
447.125;69.475;50.561;38.986
448.121;69.457;50.564;38.989
449.122;69.425;50.561;38.984
450.125;69.41;50.566;38.988
451.106;69.4;50.566;38.988
452.095;69.396;50.566;38.987
453.093;69.362;50.565;38.987
454.098;69.376;50.569;38.989
455.107;69.327;50.57;38.989
456.095;69.342;50.568;38.986
457.09;69.32;50.57;38.987
458.091;69.261;50.569;38.986
459.073;69.25;50.572;38.988
460.084;69.21;50.571;38.985
461.087;69.18;50.572;38.984
462.092;69.172;50.571;38.983
463.101;69.165;50.573;38.985
464.087;69.189;50.574;38.984
465.085;69.162;50.574;38.985
466.089;69.189;50.578;38.988
467.103;69.12;50.575;38.984
468.092;69.105;50.575;38.983
469.081;69.09;50.574;38.981
470.078;69.108;50.577;38.984
471.081;69.073;50.574;38.979
472.087;69.066;50.577;38.982
473.085;69.046;50.577;38.98
474.077;69.007;50.577;38.979
475.076;69.002;50.578;38.979
476.089;68.951;50.579;38.977
477.092;68.961;50.58;38.979
478.076;68.948;50.58;38.978
479.069;68.94;50.58;38.978
480.075;68.911;50.582;38.978
481.056;68.914;50.582;38.978
482.066;68.875;50.582;38.978
483.067;68.872;50.585;38.98
484.075;68.83;50.586;38.979
485.067;68.799;50.588;38.98
486.062;68.784;50.588;38.979
487.04;68.79;50.589;38.979
488.041;68.741;50.592;38.981
489.04;68.723;50.59;38.978
490.045;68.706;50.597;38.983
491.027;68.689;50.594;38.981
492.014;68.675;50.596;38.981
493.007;68.672;50.594;38.979
494.002;68.64;50.597;38.98
495.006;68.633;50.598;38.98
496.019;68.632;50.599;38.981
497.015;68.619;50.599;38.98
498.009;68.596;50.599;38.979
499.005;68.583;50.601;38.98
500.006;68.581;50.599;38.977
500.988;68.573;50.6;38.977
502.006;68.549;50.602;38.978
503.009;68.512;50.602;38.976
504;68.518;50.605;38.979
504.979;68.503;50.604;38.977
505.971;68.489;50.604;38.976
506.979;68.479;50.606;38.978
507.971;68.451;50.606;38.976
508.985;68.45;50.608;38.978
509.981;68.421;50.61;38.979
510.974;68.403;50.61;38.977
