IDs:;240911_03_240712D;15_b01_DNAJB6_00_087_uM;
Concentration [uM]:;0.087;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
198.761;71.673;49.871;38.378
199.748;71.708;49.871;38.378
200.761;71.645;49.872;38.379
201.759;71.701;49.871;38.38
202.747;71.711;49.87;38.378
203.722;71.668;49.872;38.379
204.729;71.687;49.873;38.38
205.708;71.69;49.873;38.382
206.701;71.686;49.872;38.381
207.705;71.692;49.872;38.379
208.694;71.666;49.873;38.381
209.707;71.719;49.871;38.379
210.697;71.636;49.872;38.379
211.712;71.686;49.872;38.38
212.702;71.687;49.87;38.378
213.701;71.659;49.873;38.381
214.708;71.691;49.871;38.379
215.706;71.665;49.874;38.381
216.723;71.682;49.871;38.378
217.709;71.677;49.874;38.381
218.705;71.674;49.873;38.381
219.713;71.678;49.873;38.38
220.701;71.702;49.873;38.38
221.695;71.693;49.872;38.379
222.695;71.67;49.873;38.38
223.681;71.684;49.871;38.379
224.665;71.679;49.872;38.379
225.653;71.672;49.873;38.38
226.647;71.697;49.873;38.38
227.646;71.682;49.875;38.382
228.657;71.694;49.874;38.382
229.671;71.711;49.872;38.38
230.673;71.667;49.874;38.381
231.675;71.68;49.874;38.381
232.679;71.674;49.876;38.383
233.669;71.676;49.873;38.38
234.664;71.686;49.874;38.381
235.659;71.694;49.877;38.385
236.669;71.694;49.874;38.381
237.659;71.666;49.877;38.384
238.663;71.691;49.875;38.383
239.659;71.697;49.874;38.381
240.666;71.684;49.877;38.385
241.649;71.688;49.877;38.385
242.635;71.691;49.876;38.384
243.634;71.659;49.877;38.384
244.636;71.692;49.875;38.382
245.621;71.693;49.875;38.382
246.61;71.677;49.873;38.38
247.633;71.695;49.877;38.385
248.636;71.705;49.875;38.383
249.63;71.704;49.876;38.383
250.628;71.666;49.878;38.385
251.633;71.678;49.878;38.385
252.614;71.691;49.877;38.384
253.615;71.671;49.877;38.384
254.614;71.71;49.876;38.384
255.619;71.696;49.876;38.383
256.631;71.65;49.878;38.386
257.648;71.677;49.877;38.384
258.669;71.687;49.878;38.385
259.664;71.688;49.877;38.384
260.665;71.684;49.877;38.384
261.652;71.674;49.877;38.384
262.634;71.716;49.878;38.386
263.626;71.683;49.88;38.387
264.626;71.683;49.881;38.388
265.643;71.697;49.877;38.384
266.627;71.65;49.877;38.384
267.622;71.697;49.876;38.383
268.608;71.71;49.876;38.384
269.599;71.724;49.879;38.387
270.601;71.641;49.876;38.382
271.59;71.701;49.881;38.388
272.587;71.664;49.881;38.389
273.594;71.69;49.88;38.387
274.601;71.673;49.879;38.386
275.59;71.669;49.878;38.384
276.589;71.699;49.879;38.387
277.575;71.685;49.882;38.39
278.578;71.682;49.88;38.387
279.59;71.684;49.88;38.386
280.566;71.679;49.882;38.389
281.575;71.666;49.881;38.389
282.567;71.677;49.883;38.39
283.569;71.701;49.881;38.388
284.576;71.675;49.882;38.389
285.562;71.712;49.882;38.389
286.563;71.685;49.881;38.387
287.583;71.662;49.883;38.39
288.568;71.682;49.882;38.389
289.567;71.652;49.881;38.388
290.569;71.666;49.884;38.391
291.578;71.712;49.88;38.388
292.559;71.687;49.882;38.389
293.544;71.668;49.884;38.391
294.542;71.699;49.882;38.39
295.537;71.652;49.885;38.391
296.541;71.703;49.884;38.392
297.531;71.686;49.885;38.391
298.525;71.694;49.882;38.389
299.527;71.69;49.885;38.392
300.516;71.683;49.884;38.391
301.51;71.685;49.883;38.389
302.502;71.698;49.884;38.391
303.515;71.696;49.884;38.391
304.516;71.685;49.886;38.393
305.524;71.691;49.885;38.393
306.521;71.658;49.883;38.389
307.514;71.695;49.885;38.393
308.522;71.653;49.887;38.393
309.541;71.67;49.886;38.392
310.54;71.701;49.884;38.391
311.545;71.689;49.885;38.393
312.555;71.674;49.886;38.392
313.572;71.681;49.887;38.394
314.566;71.697;49.886;38.393
315.553;71.706;49.884;38.392
316.538;71.683;49.886;38.392
317.528;71.697;49.886;38.393
318.521;71.683;49.884;38.391
319.519;71.67;49.884;38.39
320.523;71.711;49.887;38.395
321.502;71.686;49.887;38.394
322.516;71.694;49.886;38.393
323.537;71.695;49.884;38.391
324.531;71.699;49.885;38.392
325.52;71.684;49.885;38.392
326.537;71.662;49.888;38.394
327.524;71.692;49.887;38.394
328.514;71.704;49.885;38.394
329.509;71.667;49.886;38.391
