IDs:;240911_02_240906B_drop;13_b02_DNAJB6_00_130_uM;
Concentration [uM]:;0.13;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
199.623;71.921;49.851;38.384
200.641;71.941;49.846;38.381
201.626;71.937;49.848;38.382
202.612;71.886;49.848;38.382
203.602;71.942;49.847;38.381
204.598;71.905;49.853;38.386
205.597;71.93;49.853;38.386
206.598;71.915;49.848;38.382
207.588;71.925;49.851;38.385
208.587;71.927;49.844;38.379
209.588;71.935;49.847;38.382
210.601;71.962;49.848;38.384
211.606;71.88;49.85;38.382
212.609;71.924;49.846;38.38
213.609;71.937;49.844;38.378
214.585;71.93;49.846;38.381
215.586;71.929;49.849;38.383
216.589;71.925;49.848;38.381
217.587;71.933;49.848;38.383
218.584;71.938;49.846;38.38
219.589;71.942;49.847;38.381
220.61;71.912;49.85;38.383
221.627;71.939;49.849;38.382
222.614;71.914;49.85;38.383
223.61;71.929;49.847;38.381
224.611;71.932;49.85;38.384
225.621;71.943;49.849;38.383
226.614;71.931;49.848;38.382
227.607;71.935;49.847;38.381
228.594;71.934;49.847;38.38
229.577;71.932;49.851;38.385
230.596;71.897;49.85;38.383
231.591;71.927;49.852;38.385
232.6;71.904;49.853;38.386
233.61;71.929;49.851;38.385
234.595;71.932;49.852;38.386
235.594;71.94;49.85;38.385
236.588;71.907;49.852;38.385
237.587;71.928;49.852;38.386
238.59;71.911;49.852;38.384
239.586;71.924;49.851;38.385
240.594;71.93;49.85;38.384
241.58;71.942;49.852;38.385
242.568;71.947;49.855;38.388
243.568;71.94;49.853;38.387
244.563;71.932;49.853;38.387
245.542;71.919;49.857;38.389
246.549;71.938;49.854;38.388
247.528;71.948;49.853;38.387
248.545;71.94;49.854;38.388
249.54;71.913;49.855;38.388
250.549;71.945;49.856;38.39
251.548;71.914;49.856;38.388
252.545;71.925;49.853;38.386
253.551;71.923;49.857;38.391
254.563;71.913;49.856;38.389
255.553;71.93;49.857;38.39
256.579;71.936;49.857;38.39
257.583;71.921;49.855;38.388
258.592;71.915;49.857;38.39
259.592;71.951;49.855;38.39
260.586;71.923;49.859;38.391
261.586;71.937;49.857;38.391
262.592;71.927;49.855;38.388
263.607;71.918;49.857;38.39
264.594;71.912;49.857;38.391
265.586;71.925;49.857;38.39
266.585;71.922;49.86;38.393
267.597;71.921;49.86;38.393
268.598;71.914;49.858;38.39
269.589;71.922;49.861;38.395
270.58;71.929;49.86;38.393
271.585;71.935;49.86;38.394
272.592;71.93;49.855;38.388
273.59;71.933;49.863;38.396
274.583;71.877;49.867;38.398
275.572;71.952;49.862;38.395
276.582;71.903;49.864;38.396
277.584;71.907;49.863;38.396
278.591;71.939;49.86;38.394
279.597;71.907;49.863;38.396
280.588;71.937;49.862;38.396
281.587;71.908;49.862;38.395
282.59;71.924;49.864;38.397
283.584;71.964;49.862;38.396
284.595;71.925;49.864;38.396
285.593;71.906;49.866;38.398
286.589;71.906;49.866;38.398
287.597;71.903;49.866;38.399
288.58;71.907;49.865;38.398
289.568;71.943;49.864;38.397
290.56;71.926;49.866;38.399
291.558;71.891;49.866;38.397
292.563;71.93;49.867;38.4
293.552;71.915;49.868;38.402
294.538;71.93;49.867;38.4
295.559;71.899;49.867;38.4
296.552;71.89;49.864;38.395
297.549;71.929;49.862;38.395
298.547;71.895;49.866;38.398
299.547;71.924;49.866;38.398
300.552;71.914;49.867;38.4
301.527;71.893;49.866;38.399
302.53;71.937;49.864;38.397
303.53;71.943;49.865;38.398
304.539;71.933;49.863;38.396
305.539;71.917;49.864;38.397
306.534;71.922;49.865;38.398
307.541;71.922;49.866;38.399
308.549;71.929;49.868;38.4
309.542;71.905;49.866;38.398
310.561;71.94;49.865;38.398
311.563;71.94;49.867;38.4
312.555;71.933;49.865;38.399
313.551;71.934;49.863;38.396
314.553;71.922;49.867;38.4
315.537;71.897;49.866;38.399
316.527;71.933;49.869;38.401
317.523;71.883;49.867;38.399
318.529;71.927;49.869;38.402
319.539;71.889;49.866;38.398
320.558;71.926;49.868;38.401
321.552;71.901;49.867;38.4
322.542;71.928;49.869;38.402
323.556;71.905;49.868;38.4
324.574;71.92;49.871;38.403
325.568;71.955;49.871;38.405
326.566;71.938;49.872;38.405
327.568;71.905;49.874;38.405
328.574;71.906;49.868;38.4
329.582;71.918;49.865;38.398
330.569;71.917;49.87;38.402
331.559;71.946;49.866;38.4
332.57;71.921;49.868;38.4
333.575;71.89;49.87;38.402
334.569;71.929;49.871;38.404
335.57;71.928;49.87;38.402
336.576;71.96;49.874;38.408
337.59;71.895;49.87;38.402
338.587;71.927;49.873;38.405
339.599;71.908;49.871;38.403
340.597;71.95;49.871;38.405
341.582;71.945;49.868;38.402
342.569;71.906;49.869;38.401
343.581;71.93;49.87;38.402
344.584;71.926;49.869;38.401
345.574;71.905;49.872;38.404
346.573;71.895;49.871;38.403
347.59;71.921;49.868;38.401
348.587;71.903;49.871;38.404
349.599;71.92;49.869;38.401
350.588;71.94;49.869;38.402
351.584;71.892;49.871;38.403
352.585;71.928;49.871;38.404
353.605;71.926;49.869;38.401
354.622;71.95;49.872;38.406
355.624;71.905;49.87;38.401
356.627;71.905;49.873;38.405
357.605;71.904;49.873;38.406
358.617;71.935;49.872;38.405
359.636;71.925;49.871;38.404
360.629;71.938;49.868;38.401
361.622;71.914;49.872;38.404
362.623;71.925;49.869;38.402
363.628;71.887;49.872;38.403
364.619;71.929;49.871;38.404
365.64;71.887;49.874;38.406
366.63;71.939;49.873;38.405
367.625;71.936;49.869;38.402
368.625;71.931;49.872;38.404
369.604;71.903;49.874;38.405
370.604;71.933;49.874;38.406
371.61;71.906;49.875;38.407
372.601;71.89;49.876;38.408
373.61;71.909;49.874;38.406
374.618;71.924;49.877;38.41
375.612;71.913;49.874;38.406
376.606;71.918;49.876;38.408
377.585;71.935;49.875;38.408
378.578;71.93;49.875;38.408
379.576;71.899;49.879;38.409
380.558;71.928;49.873;38.405
381.557;71.933;49.875;38.408
382.558;71.921;49.876;38.408
383.543;71.909;49.877;38.409
384.534;71.9;49.878;38.41
385.529;71.934;49.874;38.407
386.52;71.923;49.877;38.408
387.496;71.936;49.875;38.408
388.485;71.905;49.877;38.409
389.485;71.924;49.877;38.409
390.485;71.911;49.876;38.409
391.49;71.926;49.877;38.41
392.471;71.883;49.877;38.408
393.461;71.904;49.875;38.407
394.452;71.947;49.874;38.407
395.455;71.893;49.877;38.408
396.46;71.9;49.881;38.413
397.435;71.911;49.878;38.41
398.447;71.866;49.879;38.41
399.449;71.902;49.879;38.411
400.447;71.91;49.881;38.413
401.449;71.879;49.88;38.411
402.455;71.915;49.879;38.411
403.437;71.88;49.882;38.413
404.437;71.937;49.88;38.412
405.437;71.925;49.88;38.412
406.419;71.887;49.881;38.412
407.422;71.882;49.879;38.41
408.423;71.906;49.882;38.413
409.413;71.913;49.877;38.409
410.415;71.892;49.88;38.412
411.43;71.897;49.88;38.411
412.427;71.895;49.881;38.413
413.435;71.919;49.883;38.414
414.425;71.909;49.883;38.414
415.401;71.929;49.88;38.412
416.411;71.921;49.884;38.416
417.402;71.922;49.882;38.414
418.4;71.929;49.882;38.414
419.411;71.885;49.884;38.415
420.398;71.903;49.884;38.415
421.392;71.913;49.884;38.416
422.392;71.901;49.886;38.418
423.381;71.905;49.886;38.417
424.387;71.909;49.884;38.416
425.39;71.92;49.884;38.416
426.375;71.89;49.884;38.416
427.391;71.883;49.887;38.417
428.385;71.905;49.883;38.415
429.378;71.929;49.884;38.417
430.382;71.868;49.885;38.415
431.386;71.914;49.886;38.418
432.397;71.906;49.885;38.416
433.386;71.92;49.886;38.418
434.406;71.901;49.886;38.418
435.399;71.902;49.887;38.418
436.399;71.933;49.885;38.418
437.405;71.886;49.888;38.419
438.403;71.895;49.885;38.416
439.403;71.933;49.886;38.419
440.392;71.91;49.887;38.418
441.386;71.902;49.887;38.418
442.387;71.913;49.886;38.418
443.399;71.915;49.887;38.419
444.397;71.933;49.887;38.418
445.401;71.923;49.887;38.419
446.381;71.92;49.885;38.417
447.367;71.893;49.886;38.417
448.374;71.875;49.889;38.419
449.36;71.888;49.888;38.42
450.356;71.921;49.889;38.422
451.374;71.968;49.889;38.421
452.361;71.889;49.89;38.422
453.357;71.896;49.886;38.418
454.359;71.896;49.891;38.421
455.342;71.892;49.888;38.419
456.34;71.932;49.886;38.418
457.346;71.901;49.887;38.418
458.327;71.916;49.889;38.42
459.313;71.902;49.886;38.417
460.302;71.874;49.889;38.419
461.299;71.921;49.888;38.419
462.299;71.921;49.887;38.419
463.304;71.927;49.889;38.421
464.319;71.907;49.89;38.421
465.322;71.919;49.888;38.419
466.318;71.899;49.893;38.424
467.313;71.911;49.89;38.422
468.292;71.913;49.888;38.42
469.286;71.916;49.889;38.42
470.269;71.915;49.891;38.422
471.265;71.912;49.888;38.419
472.26;71.902;49.89;38.421
473.259;71.881;49.892;38.423
474.264;71.923;49.888;38.419
475.25;71.912;49.889;38.42
476.246;71.91;49.891;38.422
477.247;71.912;49.893;38.424
478.236;71.919;49.891;38.422
479.224;71.899;49.89;38.42
480.205;71.913;49.891;38.422
481.217;71.92;49.891;38.423
482.221;71.892;49.895;38.426
483.226;71.924;49.892;38.424
484.234;71.92;49.892;38.424
485.222;71.93;49.888;38.421
486.218;71.909;49.892;38.423
487.217;71.917;49.893;38.424
488.2;71.927;49.891;38.424
489.198;71.911;49.89;38.421
490.2;71.873;49.895;38.425
491.202;71.887;49.891;38.421
492.21;71.899;49.893;38.424
493.225;71.901;49.892;38.423
494.246;71.907;49.896;38.427
495.253;71.912;49.895;38.426
496.257;71.903;49.892;38.423
497.254;71.934;49.893;38.425
498.251;71.91;49.892;38.423
499.245;71.903;49.894;38.425
500.251;71.921;49.894;38.426
501.247;71.892;49.897;38.427
502.257;71.891;49.895;38.426
503.266;71.886;49.896;38.426
504.272;71.921;49.898;38.429
505.268;71.916;49.895;38.426
506.268;71.878;49.897;38.427
507.255;71.951;49.894;38.426
508.255;71.928;49.897;38.428
509.245;71.906;49.895;38.426
510.258;71.915;49.894;38.426
511.268;71.939;49.893;38.425
512.259;71.927;49.893;38.425
513.26;71.907;49.899;38.431
514.269;71.875;49.9;38.43
515.255;71.951;49.897;38.429
516.229;71.954;49.895;38.427
517.237;71.899;49.898;38.428
518.226;71.92;49.898;38.429
519.226;71.897;49.9;38.43
520.233;71.918;49.897;38.428
521.214;71.898;49.902;38.432
522.2;71.933;49.9;38.431
523.191;71.931;49.896;38.428
524.184;71.907;49.9;38.43
525.183;71.917;49.9;38.431
526.198;71.885;49.901;38.432
527.216;71.93;49.898;38.43
528.234;71.916;49.902;38.433
529.227;71.899;49.901;38.432
530.225;71.893;49.899;38.429
531.226;71.903;49.899;38.43
532.23;71.912;49.896;38.427
533.225;71.911;49.896;38.427
534.241;71.88;49.901;38.431
535.238;71.924;49.897;38.428
536.242;71.911;49.896;38.427
537.241;71.882;49.902;38.432
538.232;71.908;49.899;38.429
539.237;71.906;49.901;38.432
540.224;71.92;49.896;38.427
541.21;71.906;49.898;38.428
542.221;71.916;49.895;38.426
543.209;71.913;49.899;38.428
544.206;71.899;49.897;38.427
545.212;71.867;49.904;38.433
546.232;71.915;49.899;38.43
547.236;71.896;49.901;38.431
548.222;71.946;49.897;38.429
549.216;71.923;49.903;38.435
550.218;71.909;49.902;38.432
551.196;71.872;49.903;38.432
552.209;71.898;49.899;38.428
553.228;71.919;49.898;38.429
554.229;71.918;49.898;38.429
555.237;71.927;49.899;38.43
556.221;71.876;49.902;38.432
557.21;71.908;49.898;38.429
558.233;71.917;49.899;38.431
559.253;71.885;49.901;38.432
560.237;71.894;49.899;38.429
561.223;71.904;49.9;38.43
562.214;71.905;49.9;38.43
563.211;71.902;49.902;38.432
564.214;71.879;49.899;38.429
565.222;71.902;49.901;38.431
566.231;71.923;49.899;38.43
567.246;71.885;49.901;38.432
568.232;71.912;49.9;38.431
569.221;71.874;49.901;38.431
570.211;71.898;49.898;38.428
571.206;71.937;49.898;38.429
572.205;71.908;49.902;38.432
573.207;71.895;49.903;38.433
574.187;71.936;49.903;38.434
575.186;71.873;49.902;38.432
576.172;71.915;49.898;38.428
577.173;71.889;49.902;38.432
578.178;71.899;49.903;38.433
579.194;71.894;49.901;38.432
580.216;71.894;49.901;38.431
581.201;71.883;49.907;38.437
582.204;71.91;49.899;38.43
583.2;71.897;49.905;38.435
584.204;71.898;49.905;38.435
585.194;71.897;49.901;38.431
586.197;71.876;49.907;38.437
587.19;71.922;49.905;38.435
588.197;71.901;49.906;38.437
589.208;71.88;49.906;38.436
590.2;71.905;49.904;38.434
591.208;71.919;49.907;38.438
592.216;71.89;49.899;38.43
593.204;71.918;49.907;38.437
594.187;71.882;49.908;38.438
595.202;71.889;49.903;38.433
596.192;71.906;49.907;38.437
597.181;71.928;49.903;38.433
598.179;71.836;49.909;38.438
599.187;71.905;49.909;38.44
600.199;71.918;49.905;38.435
601.216;71.874;49.903;38.432
602.234;71.904;49.904;38.434
603.226;71.882;49.91;38.44
604.222;71.909;49.904;38.435
605.223;71.895;49.905;38.435
606.227;71.856;49.904;38.433
607.231;71.928;49.904;38.435
608.224;71.916;49.905;38.436
609.219;71.899;49.903;38.433
610.202;71.917;49.906;38.436
611.202;71.895;49.905;38.436
612.203;71.905;49.902;38.432
613.184;71.881;49.906;38.436
614.172;71.909;49.906;38.436
615.152;71.897;49.906;38.436
616.165;71.89;49.903;38.433
617.162;71.914;49.903;38.434
618.166;71.892;49.906;38.435
619.182;71.901;49.907;38.437
620.175;71.912;49.905;38.435
621.167;71.879;49.912;38.442
622.178;71.91;49.906;38.436
623.166;71.897;49.906;38.435
624.16;71.899;49.905;38.435
625.14;71.866;49.909;38.438
626.127;71.922;49.907;38.438
627.123;71.864;49.907;38.436
628.127;71.884;49.907;38.437
629.132;71.888;49.902;38.431
630.146;71.873;49.907;38.437
631.126;71.918;49.907;38.438
632.131;71.904;49.904;38.434
633.143;71.905;49.907;38.437
634.129;71.918;49.904;38.435
635.121;71.893;49.906;38.436
636.116;71.884;49.91;38.44
637.115;71.894;49.905;38.435
638.086;71.906;49.905;38.435
639.092;71.893;49.905;38.435
640.109;71.901;49.905;38.434
641.109;71.915;49.906;38.436
642.109;71.891;49.906;38.435
643.113;71.92;49.906;38.437
644.101;71.916;49.91;38.441
645.095;71.866;49.909;38.438
646.095;71.923;49.905;38.436
647.099;71.861;49.906;38.436
648.083;71.919;49.902;38.433
649.059;71.9;49.907;38.437
650.071;71.88;49.909;38.439
651.071;71.875;49.909;38.438
652.081;71.902;49.905;38.436
653.071;71.886;49.906;38.436
654.086;71.893;49.906;38.437
655.075;71.893;49.907;38.437
656.08;71.909;49.909;38.439
657.076;71.898;49.907;38.437
