IDs:;240718_15_240712K;15_DNAJB6_00_087_uM;
Concentration [uM]:;0.087;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.953;72.161;50.305;38.864
6.966;72.078;50.308;38.865
7.956;71.6;50.329;38.87
8.951;71.936;50.323;38.873
9.949;71.775;50.329;38.873
10.951;71.698;50.335;38.877
11.961;71.728;50.331;38.876
12.941;71.724;50.336;38.878
13.926;71.725;50.33;38.876
14.916;71.742;50.337;38.881
15.91;71.752;50.336;38.879
16.894;71.715;50.336;38.88
17.903;71.704;50.333;38.877
18.878;71.751;50.339;38.882
19.874;71.751;50.341;38.884
20.865;71.774;50.336;38.881
21.848;71.701;50.334;38.878
22.844;71.663;50.339;38.882
23.837;71.733;50.344;38.887
24.831;71.696;50.342;38.885
25.819;71.716;50.34;38.883
26.814;71.681;50.342;38.886
27.805;71.711;50.338;38.882
28.805;71.716;50.343;38.885
29.787;71.681;50.343;38.886
30.769;71.697;50.343;38.885
31.765;71.728;50.344;38.887
32.772;71.708;50.342;38.885
33.76;71.683;50.344;38.887
34.77;71.735;50.347;38.89
35.785;71.72;50.345;38.887
36.791;71.735;50.346;38.889
37.797;71.747;50.347;38.889
38.785;71.686;50.344;38.887
39.772;71.684;50.344;38.887
40.773;71.701;50.343;38.885
41.773;71.736;50.348;38.89
42.779;71.773;50.344;38.888
43.768;71.697;50.345;38.886
44.754;71.699;50.347;38.889
45.745;71.715;50.345;38.888
46.734;71.665;50.342;38.884
47.742;71.701;50.346;38.888
48.733;71.691;50.342;38.885
49.729;71.672;50.344;38.887
50.729;71.728;50.347;38.89
51.737;71.671;50.345;38.888
52.719;71.74;50.349;38.891
53.731;71.738;50.346;38.888
54.731;71.678;50.345;38.887
55.734;71.697;50.344;38.887
56.731;71.693;50.345;38.887
57.735;71.706;50.35;38.891
58.724;71.755;50.348;38.889
59.721;71.736;50.35;38.891
60.709;71.728;50.348;38.889
61.714;71.712;50.347;38.889
62.702;71.739;50.352;38.893
63.72;71.681;50.347;38.888
64.722;71.682;50.349;38.889
65.726;71.697;50.347;38.888
66.733;71.727;50.352;38.893
67.729;71.685;50.347;38.888
68.735;71.692;50.351;38.893
69.741;71.725;50.35;38.891
70.741;71.717;50.352;38.893
71.753;71.721;50.351;38.892
72.729;71.715;50.351;38.892
73.738;71.693;50.349;38.89
74.719;71.723;50.35;38.891
75.72;71.719;50.352;38.893
76.726;71.705;50.349;38.89
77.734;71.693;50.349;38.891
78.745;71.692;50.349;38.89
79.72;71.683;50.348;38.889
80.708;71.688;50.349;38.891
81.696;71.703;50.348;38.89
82.721;71.693;50.347;38.889
83.732;71.669;50.349;38.89
84.716;71.683;50.347;38.89
85.705;71.718;50.352;38.893
86.712;71.673;50.346;38.888
87.723;71.698;50.35;38.892
88.737;71.642;50.347;38.888
89.737;71.677;50.35;38.892
90.734;71.675;50.346;38.887
91.733;71.701;50.351;38.892
92.734;71.642;50.349;38.889
93.734;71.698;50.352;38.892
94.704;71.638;50.35;38.89
95.7;71.677;50.349;38.891
96.69;71.675;50.351;38.891
97.668;71.698;50.349;38.89
98.673;71.632;50.349;38.891
99.667;71.708;50.352;38.892
100.673;71.655;50.349;38.891
101.678;71.7;50.352;38.892
102.663;71.721;50.351;38.891
103.681;71.674;50.35;38.891
104.681;71.693;50.351;38.892
105.677;71.662;50.351;38.892
106.672;71.708;50.352;38.892
107.673;71.699;50.354;38.894
108.653;71.678;50.352;38.893
109.655;71.64;50.352;38.892
110.656;71.697;50.352;38.893
111.667;71.702;50.357;38.896
112.661;71.686;50.353;38.894
113.659;71.714;50.352;38.892
114.654;71.666;50.352;38.893
115.657;71.692;50.354;38.894
116.665;71.643;50.353;38.894
117.66;71.651;50.35;38.891
118.653;71.74;50.352;38.893
119.649;71.625;50.354;38.895
120.651;71.704;50.356;38.896
121.654;71.707;50.347;38.889
122.651;71.698;50.356;38.896
123.651;71.693;50.349;38.891
124.663;71.691;50.354;38.895
125.663;71.709;50.354;38.894
126.665;71.672;50.352;38.894
127.664;71.649;50.351;38.891
128.671;71.719;50.355;38.896
129.667;71.727;50.35;38.891
130.671;71.687;50.354;38.894
131.668;71.645;50.353;38.893
132.652;71.662;50.352;38.892
133.652;71.65;50.35;38.891
134.655;71.73;50.356;38.896
135.648;71.698;50.354;38.894
136.67;71.647;50.352;38.893
137.685;71.711;50.355;38.895
138.669;71.624;50.353;38.893
139.697;71.623;50.353;38.893
140.698;71.678;50.352;38.893
141.706;71.711;50.356;38.896
142.706;71.645;50.35;38.891
143.705;71.671;50.354;38.894
144.69;71.715;50.355;38.895
145.691;71.708;50.353;38.892
146.701;71.657;50.354;38.895
147.701;71.633;50.349;38.889
148.696;71.665;50.353;38.894
149.703;71.654;50.349;38.89
150.702;71.645;50.353;38.893
151.685;71.68;50.352;38.893
152.673;71.689;50.354;38.893
153.671;71.702;50.353;38.893
154.68;71.68;50.352;38.893
155.692;71.671;50.354;38.895
