IDs:;240716_09_240712G;09_DNAJB6_00_439_uM;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
858.411;61.188;51.143;38.944
859.417;61.189;51.144;38.946
860.431;61.173;51.143;38.944
861.418;61.18;51.144;38.945
862.412;61.175;51.144;38.944
863.408;61.162;51.144;38.944
864.416;61.179;51.144;38.944
865.393;61.183;51.144;38.944
866.391;61.185;51.144;38.943
867.379;61.173;51.145;38.944
868.372;61.173;51.144;38.943
869.368;61.164;51.145;38.943
870.372;61.161;51.145;38.943
871.387;61.161;51.144;38.942
872.397;61.143;51.144;38.942
873.393;61.157;51.144;38.942
874.379;61.144;51.145;38.942
875.378;61.149;51.145;38.941
876.365;61.152;51.145;38.942
877.36;61.154;51.147;38.943
878.403;61.133;51.145;38.94
879.382;61.15;51.146;38.942
880.384;61.14;51.146;38.941
881.363;61.148;51.145;38.94
882.345;61.155;51.144;38.94
883.365;61.122;51.145;38.939
884.357;61.129;51.147;38.941
885.362;61.133;51.145;38.939
886.375;61.12;51.146;38.94
887.357;61.12;51.146;38.94
888.353;61.114;51.145;38.938
889.348;61.098;51.147;38.94
890.349;61.114;51.145;38.937
891.335;61.102;51.142;38.935
892.318;61.097;51.147;38.939
893.308;61.106;51.147;38.939
894.3;61.04;51.144;38.935
895.288;61.107;51.146;38.938
896.303;61.078;51.148;38.939
897.299;61.089;51.146;38.936
898.294;61.09;51.146;38.937
899.298;61.1;51.147;38.937
900.299;61.072;51.147;38.937
901.294;61.067;51.147;38.936
902.298;61.091;51.146;38.936
903.304;61.078;51.146;38.934
904.295;61.077;51.145;38.934
905.303;61.066;51.146;38.935
906.288;61.076;51.146;38.934
907.287;61.057;51.148;38.936
908.293;61.076;51.146;38.933
909.279;61.063;51.147;38.934
910.276;61.039;51.145;38.932
911.255;61.061;51.148;38.935
912.258;61.035;51.143;38.93
913.262;61.045;51.148;38.935
914.25;61.041;51.147;38.932
915.241;61.031;51.144;38.93
916.236;61.041;51.148;38.933
917.241;61.023;51.144;38.929
918.224;61.036;51.147;38.931
919.219;61.037;51.148;38.932
920.221;61.022;51.147;38.931
921.228;61.027;51.148;38.932
922.232;61.026;51.148;38.931
923.245;61.011;51.149;38.932
924.26;61.021;51.15;38.932
925.245;61.035;51.148;38.931
926.235;60.995;51.146;38.929
927.235;61.013;51.149;38.931
928.237;61.021;51.149;38.932
929.229;60.982;51.146;38.928
930.22;61.01;51.149;38.931
931.205;61.016;51.151;38.932
932.204;60.993;51.153;38.933
933.191;60.974;51.147;38.927
934.191;60.991;51.151;38.932
935.186;61.003;51.15;38.93
936.19;60.999;51.152;38.932
937.178;60.982;51.152;38.931
938.173;60.969;51.152;38.93
939.162;60.975;51.152;38.931
940.161;60.962;51.156;38.934
941.169;60.965;51.154;38.932
942.185;60.957;51.154;38.931
943.188;60.947;51.155;38.932
944.19;60.964;51.153;38.93
945.19;60.941;51.156;38.932
946.195;60.956;51.15;38.927
947.179;60.973;51.152;38.929
948.178;60.944;51.156;38.931
949.183;60.935;51.156;38.931
950.187;60.925;51.153;38.929
951.182;60.945;51.153;38.929
952.184;60.915;51.158;38.931
953.189;60.896;51.155;38.929
954.168;60.935;51.157;38.931
955.181;60.917;51.156;38.93
956.197;60.913;51.156;38.929
957.187;60.929;51.156;38.929
958.211;60.894;51.157;38.929
959.213;60.902;51.157;38.93
960.193;60.895;51.158;38.93
961.189;60.905;51.156;38.928
962.188;60.885;51.154;38.926
963.178;60.889;51.158;38.929
964.157;60.881;51.157;38.928
965.156;60.892;51.159;38.93
966.137;60.861;51.156;38.926
967.143;60.885;51.157;38.927
968.143;60.894;51.159;38.929
969.156;60.858;51.156;38.925
970.152;60.881;51.158;38.928
971.157;60.859;51.157;38.926
972.164;60.853;51.155;38.924
973.17;60.873;51.158;38.926
974.157;60.865;51.159;38.927
975.162;60.848;51.159;38.927
976.152;60.843;51.157;38.925
977.157;60.83;51.156;38.923
978.141;60.83;51.156;38.924
979.149;60.853;51.158;38.925
980.153;60.837;51.156;38.923
981.164;60.834;51.159;38.926
982.148;60.826;51.156;38.923
983.141;60.862;51.159;38.925
984.144;60.807;51.158;38.923
985.149;60.834;51.157;38.923
986.158;60.809;51.157;38.922
987.169;60.831;51.16;38.924
988.184;60.802;51.158;38.922
989.173;60.817;51.159;38.924
990.161;60.826;51.161;38.925
991.159;60.791;51.16;38.923
992.148;60.828;51.16;38.924
993.144;60.809;51.161;38.924
994.146;60.804;51.16;38.923
995.135;60.784;51.157;38.92
996.109;60.766;51.157;38.919
997.122;60.802;51.162;38.924
998.142;60.795;51.16;38.923
999.139;60.798;51.16;38.922
1000.145;60.805;51.16;38.922
1001.132;60.767;51.16;38.921
1002.13;60.787;51.161;38.921
1003.11;60.785;51.162;38.922
1004.112;60.794;51.163;38.923
1005.117;60.801;51.162;38.922
1006.103;60.766;51.161;38.92
1007.101;60.794;51.164;38.924
1008.104;60.765;51.16;38.92
1009.107;60.783;51.164;38.923
1010.11;60.754;51.161;38.92
1011.107;60.752;51.16;38.918
1012.104;60.761;51.162;38.921
1013.118;60.758;51.163;38.921
1014.105;60.754;51.163;38.92
1015.125;60.773;51.163;38.921
1016.126;60.732;51.161;38.917
1017.133;60.733;51.161;38.918
1018.116;60.741;51.161;38.918
1019.101;60.747;51.163;38.919
1020.098;60.724;51.161;38.917
1021.095;60.735;51.163;38.919
1022.095;60.741;51.162;38.917
1023.11;60.74;51.164;38.919
1024.111;60.744;51.162;38.917
1025.113;60.725;51.162;38.917
1026.099;60.732;51.162;38.917
1027.1;60.722;51.162;38.917
1028.095;60.714;51.164;38.917
1029.083;60.711;51.165;38.918
1030.09;60.713;51.162;38.916
1031.105;60.699;51.161;38.914
1032.122;60.7;51.162;38.915
1033.125;60.708;51.161;38.914
1034.126;60.69;51.162;38.915
1035.13;60.709;51.164;38.915
1036.146;60.713;51.163;38.916
1037.139;60.705;51.163;38.914
1038.14;60.688;51.164;38.915
1039.156;60.699;51.164;38.914
1040.143;60.694;51.163;38.914
1041.154;60.686;51.165;38.915
1042.171;60.687;51.166;38.916
1043.168;60.684;51.163;38.913
1044.168;60.684;51.164;38.914
1045.173;60.682;51.162;38.912
1046.171;60.675;51.165;38.914
1047.187;60.663;51.164;38.912
1048.2;60.686;51.162;38.911
1049.215;60.68;51.165;38.913
1050.234;60.677;51.163;38.911
1051.227;60.675;51.164;38.912
1052.219;60.663;51.164;38.911
1053.223;60.659;51.162;38.909
1054.226;60.646;51.164;38.911
1055.22;60.661;51.161;38.909
1056.22;60.635;51.165;38.911
1057.237;60.648;51.163;38.909
1058.228;60.664;51.163;38.909
1059.231;60.651;51.163;38.909
1060.222;60.638;51.161;38.907
1061.227;60.645;51.164;38.909
1062.216;60.65;51.163;38.908
1063.229;60.654;51.164;38.909
1064.252;60.643;51.162;38.907
1065.257;60.634;51.162;38.906
1066.241;60.633;51.161;38.905
1067.238;60.629;51.164;38.908
1068.228;60.636;51.164;38.908
1069.231;60.629;51.161;38.905
1070.24;60.637;51.165;38.909
1071.251;60.626;51.165;38.908
1072.231;60.628;51.165;38.908
1073.237;60.603;51.163;38.905
1074.247;60.582;51.165;38.907
1075.262;60.618;51.164;38.906
1076.253;60.598;51.164;38.906
1077.247;60.604;51.163;38.905
1078.256;60.592;51.165;38.906
1079.268;60.586;51.165;38.905
1080.28;60.593;51.163;38.904
1081.299;60.579;51.165;38.905
1082.294;60.568;51.166;38.906
1083.289;60.565;51.164;38.904
1084.288;60.569;51.166;38.906
1085.28;60.573;51.167;38.906
1086.285;60.572;51.165;38.905
1087.287;60.583;51.165;38.904
1088.274;60.565;51.165;38.903
1089.258;60.559;51.166;38.904
1090.258;60.545;51.169;38.907
1091.243;60.562;51.168;38.906
1092.242;60.552;51.167;38.904
1093.231;60.552;51.167;38.905
1094.242;60.548;51.164;38.901
1095.244;60.551;51.168;38.905
1096.232;60.55;51.167;38.904
1097.234;60.539;51.169;38.905
1098.242;60.538;51.167;38.903
1099.228;60.516;51.168;38.903
1100.218;60.538;51.17;38.904
1101.22;60.53;51.167;38.902
1102.229;60.522;51.168;38.903
1103.246;60.524;51.166;38.901
1104.251;60.515;51.169;38.903
1105.249;60.503;51.168;38.901
1106.242;60.522;51.167;38.901
1107.243;60.501;51.168;38.902
1108.249;60.501;51.167;38.9
1109.258;60.507;51.171;38.904
1110.242;60.506;51.168;38.901
1111.231;60.5;51.169;38.901
1112.258;60.506;51.168;38.9
1113.254;60.496;51.171;38.903
1114.253;60.501;51.169;38.901
1115.255;60.495;51.168;38.899
1116.242;60.486;51.169;38.9
1117.219;60.485;51.171;38.902
1118.221;60.481;51.17;38.9
1119.21;60.493;51.171;38.902
1120.195;60.485;51.17;38.901
1121.176;60.474;51.171;38.901
1122.192;60.481;51.169;38.899
1123.193;60.47;51.17;38.9
1124.203;60.479;51.169;38.899
1125.203;60.458;51.172;38.901
1126.198;60.468;51.17;38.899
1127.198;60.46;51.172;38.901
1128.202;60.469;51.169;38.898
1129.192;60.46;51.171;38.899
1130.192;60.454;51.172;38.9
1131.179;60.45;51.171;38.898
1132.169;60.449;51.172;38.899
1133.174;60.442;51.171;38.899
1134.183;60.445;51.172;38.899
1135.198;60.426;51.17;38.897
1136.187;60.444;51.17;38.897
1137.181;60.445;51.169;38.896
1138.181;60.452;51.17;38.896
1139.182;60.446;51.171;38.897
1140.174;60.444;51.17;38.897
1141.174;60.423;51.17;38.896
1142.174;60.435;51.169;38.895
1143.181;60.431;51.171;38.896
1144.159;60.429;51.17;38.895
1145.142;60.434;51.171;38.896
1146.159;60.425;51.171;38.895
1147.148;60.418;51.172;38.896
1148.142;60.416;51.17;38.894
1149.142;60.409;51.169;38.892
1150.133;60.404;51.171;38.895
1151.134;60.406;51.17;38.894
1152.11;60.41;51.171;38.894
1153.115;60.396;51.172;38.894
1154.101;60.405;51.174;38.896
1155.103;60.407;51.171;38.894
1156.101;60.399;51.172;38.894
1157.106;60.406;51.173;38.896
1158.104;60.4;51.175;38.898
1159.111;60.399;51.171;38.893
1160.103;60.388;51.172;38.894
1161.108;60.401;51.171;38.893
1162.115;60.387;51.176;38.897
1163.103;60.386;51.174;38.894
1164.083;60.38;51.174;38.894
1165.071;60.38;51.173;38.893
1166.066;60.379;51.175;38.895
1167.05;60.381;51.173;38.893
1168.035;60.38;51.174;38.893
1169.034;60.362;51.172;38.892
1170.037;60.374;51.175;38.894
1171.04;60.368;51.175;38.894
1172.022;60.374;51.173;38.892
1173.01;60.368;51.176;38.894
1173.995;60.368;51.173;38.892
1174.975;60.364;51.172;38.89
1175.959;60.358;51.174;38.892
1176.978;60.351;51.175;38.892
1177.974;60.349;51.175;38.892
1178.98;60.358;51.177;38.894
1179.987;60.354;51.176;38.893
1180.978;60.348;51.175;38.892
1181.972;60.348;51.177;38.893
1182.958;60.34;51.175;38.891
1183.935;60.344;51.174;38.89
1184.931;60.361;51.178;38.894
1185.922;60.347;51.177;38.893
1186.918;60.339;51.175;38.891
1187.927;60.344;51.174;38.889
1188.924;60.346;51.177;38.891
1189.935;60.339;51.176;38.891
1190.952;60.34;51.176;38.891
1191.956;60.337;51.174;38.889
1192.958;60.331;51.177;38.891
1193.94;60.332;51.177;38.891
1194.931;60.331;51.176;38.89
1195.933;60.328;51.178;38.891
1196.939;60.328;51.179;38.892
1197.952;60.328;51.18;38.892
1198.944;60.319;51.175;38.888
1199.944;60.311;51.178;38.89
1200.95;60.309;51.179;38.89
1201.938;60.316;51.176;38.889
1202.934;60.324;51.176;38.888
1203.938;60.303;51.179;38.89
1204.948;60.319;51.178;38.89
1205.93;60.305;51.18;38.891
1206.922;60.311;51.178;38.889
1207.916;60.311;51.177;38.889
1208.886;60.297;51.178;38.889
1209.886;60.304;51.177;38.888
1210.875;60.306;51.177;38.887
1211.898;60.299;51.178;38.888
1212.895;60.297;51.177;38.886
1213.896;60.293;51.176;38.886
1214.899;60.304;51.18;38.888
1215.883;60.294;51.178;38.887
1216.881;60.288;51.178;38.887
1217.876;60.286;51.177;38.885
1218.881;60.29;51.177;38.886
1219.881;60.291;51.176;38.884
1220.874;60.286;51.175;38.884
1221.864;60.278;51.179;38.887
1222.865;60.28;51.178;38.886
1223.876;60.273;51.179;38.886
1224.875;60.276;51.178;38.885
1225.865;60.276;51.177;38.884
1226.876;60.279;51.177;38.885
1227.868;60.264;51.178;38.884
1228.872;60.268;51.179;38.885
1229.868;60.27;51.177;38.883
1230.868;60.267;51.178;38.884
1231.872;60.255;51.179;38.884
1232.884;60.273;51.178;38.884
1233.871;60.263;51.178;38.884
1234.891;60.262;51.178;38.883
1235.896;60.255;51.179;38.884
1236.893;60.263;51.177;38.883
1237.886;60.256;51.177;38.882
1238.887;60.244;51.179;38.883
1239.892;60.25;51.178;38.883
1240.902;60.247;51.18;38.884
1241.915;60.245;51.179;38.883
1242.913;60.256;51.179;38.883
1243.913;60.243;51.181;38.884
1244.917;60.246;51.179;38.883
1245.926;60.254;51.179;38.882
1246.934;60.238;51.177;38.879
1247.963;60.243;51.178;38.88
1248.965;60.241;51.179;38.882
1249.962;60.24;51.178;38.88
1250.944;60.235;51.178;38.88
1251.939;60.238;51.179;38.881
1252.928;60.233;51.181;38.882
1253.901;60.233;51.179;38.881
1254.883;60.23;51.177;38.878
1255.874;60.227;51.18;38.881
1256.877;60.229;51.181;38.882
1257.863;60.22;51.18;38.88
1258.854;60.23;51.178;38.879
1259.844;60.223;51.18;38.881
1260.857;60.222;51.181;38.881
1261.848;60.219;51.178;38.879
1262.832;60.204;51.182;38.882
1263.824;60.216;51.178;38.877
1264.825;60.201;51.184;38.882
1265.834;60.213;51.179;38.878
1266.817;60.201;51.18;38.878
1267.808;60.206;51.181;38.879
1268.804;60.201;51.181;38.879
1269.806;60.205;51.179;38.878
1270.785;60.2;51.181;38.88
1271.767;60.196;51.182;38.88
1272.756;60.186;51.182;38.88
1273.75;60.189;51.18;38.877
1274.748;60.181;51.183;38.88
1275.751;60.189;51.18;38.877
1276.739;60.2;51.177;38.875
1277.725;60.203;51.18;38.877
1278.716;60.181;51.183;38.879
1279.712;60.177;51.184;38.88
1280.708;60.168;51.184;38.88
1281.71;60.189;51.179;38.875
1282.715;60.18;51.182;38.878
1283.712;60.178;51.182;38.877
1284.706;60.18;51.18;38.876
1285.711;60.176;51.182;38.877
1286.705;60.163;51.182;38.876
1287.694;60.155;51.185;38.879
1288.701;60.158;51.181;38.875
1289.696;60.168;51.18;38.875
1290.683;60.153;51.183;38.877
1291.679;60.138;51.184;38.877
1292.675;60.143;51.183;38.876
1293.674;60.146;51.184;38.878
1294.68;60.14;51.186;38.879
1295.669;60.131;51.186;38.878
1296.681;60.152;51.185;38.877
1297.671;60.146;51.184;38.877
1298.671;60.138;51.186;38.877
1299.68;60.147;51.185;38.877
1300.661;60.142;51.186;38.877
1301.648;60.13;51.186;38.877
1302.641;60.132;51.185;38.876
1303.641;60.141;51.186;38.877
1304.647;60.143;51.183;38.874
1305.653;60.129;51.186;38.877
1306.669;60.12;51.185;38.876
1307.686;60.127;51.184;38.875
1308.683;60.115;51.185;38.876
1309.684;60.115;51.187;38.877
1310.689;60.109;51.187;38.876
1311.698;60.112;51.187;38.876
1312.713;60.125;51.187;38.876
1313.701;60.111;51.186;38.875
1314.695;60.112;51.187;38.876
1315.693;60.107;51.187;38.876
1316.697;60.096;51.189;38.877
1317.673;60.106;51.185;38.874
1318.685;60.11;51.187;38.875
1319.7;60.111;51.187;38.875
1320.685;60.106;51.187;38.875
1321.704;60.096;51.186;38.874
1322.709;60.09;51.189;38.876
1323.709;60.091;51.188;38.874
1324.712;60.089;51.188;38.875
1325.695;60.086;51.188;38.875
1326.684;60.079;51.186;38.872
1327.67;60.087;51.186;38.873
1328.667;60.079;51.188;38.874
1329.657;60.078;51.185;38.871
1330.651;60.079;51.187;38.873
1331.632;60.075;51.187;38.873
1332.617;60.077;51.189;38.874
1333.617;60.083;51.186;38.871
1334.594;60.077;51.187;38.872
1335.588;60.066;51.189;38.874
1336.571;60.073;51.188;38.873
1337.554;60.077;51.187;38.872
1338.541;60.064;51.187;38.871
1339.535;60.063;51.189;38.873
1340.543;60.06;51.189;38.872
1341.554;60.06;51.191;38.875
1342.544;60.066;51.19;38.873
1343.569;60.07;51.188;38.872
1344.568;60.063;51.188;38.87
1345.57;60.059;51.19;38.873
1346.567;60.067;51.188;38.871
1347.562;60.058;51.189;38.872
1348.576;60.059;51.186;38.869
1349.594;60.054;51.187;38.87
1350.582;60.058;51.185;38.868
1351.583;60.054;51.186;38.869
1352.601;60.053;51.19;38.871
1353.601;60.052;51.188;38.87
1354.585;60.041;51.19;38.871
1355.566;60.047;51.189;38.871
1356.55;60.043;51.186;38.868
1357.529;60.048;51.185;38.867
1358.518;60.04;51.187;38.868
1359.512;60.039;51.19;38.87
1360.512;60.027;51.188;38.867
1361.525;60.041;51.186;38.867
1362.514;60.032;51.186;38.866
1363.513;60.029;51.187;38.867
1364.51;60.031;51.189;38.869
1365.511;60.032;51.186;38.865
1366.491;60.036;51.186;38.866
1367.504;60.026;51.187;38.866
1368.492;60.024;51.187;38.866
1369.488;60.029;51.188;38.867
1370.486;60.026;51.186;38.865
1371.489;60.035;51.187;38.866
1372.504;60.021;51.186;38.865
1373.49;60.011;51.188;38.865
1374.484;60.021;51.189;38.867
1375.481;60.029;51.186;38.864
1376.479;60.018;51.188;38.866
1377.484;60.005;51.188;38.865
1378.473;60.019;51.188;38.866
1379.474;59.984;51.184;38.862
1380.456;60.015;51.187;38.864
1381.451;60.011;51.187;38.864
1382.437;60.007;51.187;38.864
1383.445;59.983;51.183;38.859
1384.442;60.012;51.188;38.864
1385.429;59.997;51.189;38.865
1386.424;60.006;51.186;38.862
1387.429;60.005;51.188;38.863
1388.434;59.996;51.188;38.864
1389.44;59.972;51.184;38.86
1390.448;60.002;51.187;38.862
1391.47;60.006;51.186;38.861
1392.467;59.996;51.187;38.862
1393.479;59.989;51.188;38.863
1394.477;59.984;51.187;38.862
1395.475;59.989;51.188;38.863
1396.479;59.95;51.183;38.857
1397.458;59.978;51.187;38.861
1398.472;59.944;51.186;38.859
1399.465;59.995;51.186;38.86
1400.466;59.983;51.189;38.863
1401.47;59.986;51.187;38.861
1402.477;59.975;51.188;38.861
1403.459;59.979;51.187;38.861
1404.441;59.976;51.187;38.859
1405.441;59.974;51.188;38.861
1406.432;59.943;51.185;38.857
1407.441;59.971;51.187;38.859
1408.427;59.943;51.184;38.857
1409.426;59.975;51.188;38.86
1410.415;59.976;51.186;38.859
1411.423;59.984;51.186;38.859
1412.421;59.968;51.186;38.858
1413.42;59.934;51.183;38.856
1414.405;59.932;51.184;38.856
1415.398;59.922;51.183;38.854
1416.379;59.973;51.186;38.857
1417.367;59.952;51.187;38.858
1418.363;59.958;51.188;38.858
1419.371;59.93;51.184;38.854
1420.384;59.93;51.183;38.854
1421.378;59.95;51.187;38.858
1422.385;59.921;51.183;38.853
1423.371;59.914;51.182;38.852
1424.367;59.917;51.186;38.854
1425.37;59.913;51.184;38.853
1426.38;59.915;51.184;38.853
1427.373;59.917;51.182;38.851
1428.37;59.911;51.182;38.851
1429.352;59.912;51.183;38.852
1430.337;59.909;51.185;38.853
1431.328;59.907;51.183;38.851
1432.323;59.901;51.183;38.851
1433.324;59.907;51.183;38.852
1434.33;59.905;51.183;38.851
1435.343;59.906;51.184;38.852
1436.355;59.909;51.183;38.851
1437.35;59.908;51.184;38.852
1438.326;59.903;51.184;38.851
1439.314;59.896;51.181;38.848
1440.302;59.904;51.183;38.851
1441.3;59.896;51.183;38.85
1442.293;59.903;51.182;38.848
1443.288;59.898;51.183;38.85
1444.292;59.896;51.182;38.848
1445.283;59.896;51.181;38.848
1446.289;59.889;51.181;38.848
1447.277;59.887;51.18;38.847
1448.281;59.878;51.183;38.849
1449.266;59.879;51.183;38.848
1450.262;59.875;51.181;38.846
1451.247;59.876;51.181;38.846
1452.242;59.874;51.185;38.85
1453.224;59.879;51.182;38.847
1454.208;59.873;51.182;38.847
1455.202;59.886;51.182;38.847
1456.201;59.878;51.184;38.849
1457.217;59.872;51.183;38.847
1458.236;59.867;51.182;38.846
1459.233;59.871;51.184;38.848
1460.233;59.866;51.182;38.845
1461.236;59.874;51.184;38.847
1462.217;59.879;51.183;38.847
1463.205;59.857;51.182;38.846
1464.198;59.866;51.183;38.846
1465.197;59.865;51.183;38.847
1466.201;59.864;51.183;38.846
1467.218;59.848;51.184;38.846
1468.235;59.858;51.184;38.846
1469.223;59.866;51.184;38.847
1470.215;59.851;51.183;38.844
1471.212;59.859;51.184;38.846
1472.213;59.843;51.184;38.845
1473.194;59.851;51.184;38.845
1474.192;59.838;51.185;38.846
1475.185;59.845;51.185;38.846
1476.191;59.843;51.184;38.845
1477.197;59.846;51.185;38.846
1478.192;59.846;51.184;38.844
1479.186;59.841;51.183;38.844
1480.175;59.838;51.185;38.845
1481.191;59.845;51.185;38.846
1482.186;59.853;51.186;38.846
1483.195;59.844;51.185;38.845
1484.191;59.832;51.185;38.844
1485.17;59.832;51.187;38.846
1486.154;59.84;51.185;38.844
1487.173;59.825;51.186;38.845
1488.174;59.83;51.185;38.844
1489.18;59.824;51.186;38.845
1490.172;59.789;51.182;38.841
1491.171;59.825;51.185;38.843
1492.162;59.829;51.185;38.844
1493.157;59.819;51.185;38.843
1494.158;59.816;51.185;38.843
1495.166;59.805;51.185;38.842
1496.18;59.825;51.186;38.844
1497.183;59.81;51.185;38.841
1498.185;59.816;51.185;38.843
1499.193;59.799;51.185;38.841
1500.179;59.808;51.185;38.841
1501.164;59.801;51.185;38.842
1502.154;59.816;51.185;38.842
1503.165;59.823;51.185;38.842
1504.139;59.807;51.185;38.842
1505.135;59.803;51.184;38.84
1506.146;59.815;51.189;38.844
1507.148;59.79;51.186;38.84
1508.139;59.808;51.183;38.839
1509.137;59.8;51.185;38.841
1510.159;59.794;51.186;38.841
1511.151;59.787;51.186;38.841
1512.158;59.793;51.185;38.84
1513.15;59.798;51.186;38.84
1514.143;59.782;51.183;38.837
1515.146;59.811;51.185;38.84
1516.153;59.801;51.185;38.84
1517.167;59.789;51.187;38.841
1518.159;59.79;51.187;38.841
1519.176;59.8;51.185;38.839
1520.19;59.787;51.185;38.839
1521.187;59.774;51.184;38.837
1522.179;59.797;51.185;38.839
1523.166;59.785;51.188;38.841
1524.173;59.77;51.185;38.839
1525.185;59.761;51.185;38.838
1526.17;59.759;51.187;38.84
1527.16;59.768;51.187;38.84
1528.164;59.769;51.186;38.839
1529.167;59.78;51.19;38.843
1530.171;59.755;51.186;38.838
1531.181;59.787;51.189;38.841
1532.164;59.769;51.189;38.84
1533.151;59.743;51.184;38.835
1534.139;59.776;51.189;38.841
1535.136;59.765;51.191;38.842
1536.124;59.761;51.19;38.84
1537.121;59.763;51.186;38.837
1538.131;59.758;51.186;38.837
1539.11;59.756;51.187;38.838
1540.113;59.763;51.191;38.841
1541.097;59.768;51.192;38.842
1542.101;59.73;51.185;38.835
1543.081;59.738;51.189;38.838
1544.074;59.744;51.191;38.841
1545.079;59.758;51.19;38.84
1546.072;59.726;51.188;38.837
1547.07;59.74;51.188;38.838
1548.064;59.724;51.188;38.837
1549.065;59.746;51.192;38.841
1550.046;59.753;51.19;38.838
1551.031;59.746;51.189;38.838
1552.029;59.738;51.191;38.839
1553.039;59.703;51.187;38.835
1554.026;59.702;51.188;38.835
1555.021;59.736;51.191;38.84
1556.019;59.702;51.189;38.836
1557.023;59.723;51.189;38.837
1558.002;59.701;51.188;38.835
1558.984;59.716;51.19;38.837
1560;59.716;51.192;38.838
1560.991;59.717;51.193;38.839
1561.99;59.686;51.19;38.837
1562.994;59.718;51.192;38.839
1563.975;59.707;51.193;38.839
1564.959;59.698;51.19;38.837
1565.946;59.696;51.19;38.836
1566.942;59.696;51.19;38.836
1567.938;59.711;51.192;38.837
1568.936;59.699;51.19;38.836
1569.939;59.672;51.187;38.833
1570.939;59.712;51.192;38.837
1571.927;59.688;51.189;38.834
1572.923;59.709;51.19;38.835
1573.929;59.695;51.192;38.836
1574.917;59.681;51.191;38.835
1575.921;59.695;51.189;38.833
1576.936;59.703;51.194;38.838
1577.936;59.684;51.193;38.836
1578.949;59.673;51.187;38.831
1579.93;59.691;51.19;38.833
1580.937;59.694;51.191;38.835
1581.939;59.674;51.191;38.834
1582.929;59.687;51.192;38.836
1583.934;59.687;51.193;38.835
1584.944;59.688;51.193;38.835
1585.942;59.7;51.192;38.835
1586.945;59.685;51.192;38.835
1587.928;59.672;51.189;38.831
1588.918;59.681;51.191;38.833
1589.942;59.683;51.191;38.833
1590.947;59.671;51.193;38.834
1591.954;59.675;51.193;38.834
1592.939;59.68;51.191;38.833
1593.977;59.667;51.192;38.833
1594.986;59.665;51.191;38.832
1595.998;59.658;51.191;38.831
1597.013;59.668;51.192;38.833
1598.005;59.658;51.191;38.831
1598.998;59.655;51.19;38.83
1599.993;59.673;51.192;38.833
1600.967;59.66;51.192;38.832
1601.98;59.644;51.187;38.827
1602.987;59.65;51.191;38.831
1603.971;59.661;51.191;38.831
1604.972;59.661;51.191;38.83
1605.961;59.656;51.191;38.831
1606.946;59.657;51.19;38.829
1607.951;59.649;51.191;38.83
1608.936;59.659;51.192;38.831
1609.937;59.649;51.19;38.828
1610.903;59.646;51.189;38.828
1611.902;59.644;51.19;38.829
1612.911;59.643;51.189;38.828
1613.925;59.649;51.191;38.83
1614.917;59.647;51.192;38.83
1615.923;59.643;51.192;38.83
1616.936;59.631;51.189;38.827
1617.926;59.638;51.189;38.827
1618.926;59.635;51.19;38.828
1619.907;59.624;51.191;38.828
1620.929;59.634;51.191;38.828
1621.924;59.639;51.189;38.827
1622.935;59.64;51.19;38.827
1623.95;59.628;51.187;38.824
1624.942;59.631;51.192;38.829
1625.937;59.63;51.19;38.827
1626.937;59.631;51.19;38.826
1627.941;59.617;51.191;38.827
1628.92;59.621;51.19;38.826
1629.932;59.618;51.192;38.827
1630.912;59.62;51.191;38.827
1631.903;59.613;51.188;38.823
1632.916;59.631;51.191;38.827
1633.914;59.611;51.191;38.826
1634.91;59.619;51.19;38.826
1635.905;59.62;51.191;38.827
1636.915;59.614;51.19;38.825
1637.904;59.611;51.191;38.826
1638.895;59.593;51.19;38.824
1639.879;59.606;51.189;38.823
1640.859;59.59;51.19;38.823
1641.85;59.599;51.191;38.825
1642.845;59.601;51.188;38.823
1643.837;59.589;51.188;38.822
1644.848;59.608;51.191;38.824
1645.831;59.597;51.188;38.822
1646.83;59.588;51.19;38.823
1647.835;59.58;51.191;38.823
1648.85;59.604;51.189;38.822
1649.849;59.59;51.189;38.822
1650.857;59.588;51.188;38.822
1651.873;59.602;51.188;38.821
1652.895;59.608;51.189;38.822
1653.897;59.576;51.189;38.821
1654.901;59.596;51.189;38.822
1655.912;59.589;51.188;38.82
1656.895;59.596;51.189;38.822
1657.883;59.608;51.19;38.822
1658.864;59.554;51.186;38.818
1659.874;59.582;51.189;38.82
1660.89;59.579;51.187;38.819
1661.876;59.568;51.189;38.82
1662.869;59.549;51.187;38.818
1663.863;59.573;51.187;38.818
1664.862;59.578;51.189;38.82
1665.864;59.578;51.185;38.816
1666.87;59.568;51.188;38.819
1667.859;59.578;51.188;38.819
1668.865;59.57;51.186;38.817
1669.862;59.575;51.189;38.819
1670.86;59.556;51.187;38.817
1671.847;59.573;51.186;38.816
1672.824;59.556;51.188;38.818
1673.828;59.551;51.189;38.818
1674.84;59.556;51.188;38.817
1675.862;59.557;51.188;38.818
1676.857;59.553;51.187;38.817
1677.857;59.556;51.186;38.815
1678.85;59.545;51.188;38.817
1679.857;59.549;51.186;38.815
1680.856;59.557;51.187;38.816
1681.861;59.555;51.189;38.817
1682.873;59.555;51.186;38.815
