IDs:;240716_09_240712G;09_DNAJB6_00_439_uM;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
200.046;69.57;50.567;39.004
201.065;69.539;50.569;39.003
202.082;69.493;50.57;39.003
203.075;69.462;50.575;39.006
204.093;69.401;50.577;39.006
205.08;69.358;50.581;39.008
206.098;69.331;50.582;39.007
207.091;69.293;50.586;39.009
208.089;69.253;50.588;39.008
209.091;69.205;50.591;39.009
210.105;69.204;50.59;39.007
211.102;69.177;50.592;39.007
212.105;69.135;50.595;39.008
213.115;69.1;50.595;39.006
214.102;69.063;50.597;39.007
215.087;69.047;50.599;39.006
216.094;69.036;50.602;39.007
217.089;68.989;50.604;39.008
218.093;68.941;50.605;39.006
219.102;68.842;50.611;39.009
220.083;68.788;50.615;39.01
221.068;68.748;50.614;39.008
222.051;68.717;50.614;39.005
223.047;68.704;50.616;39.006
224.061;68.646;50.617;39.005
225.055;68.6;50.62;39.005
226.048;68.574;50.618;39.001
227.053;68.548;50.622;39.003
228.034;68.52;50.625;39.004
229.021;68.48;50.627;39.004
230.029;68.46;50.627;39.002
231.048;68.411;50.629;39.001
232.05;68.352;50.633;39.003
233.068;68.32;50.636;39.003
234.057;68.256;50.64;39.005
235.058;68.219;50.642;39.005
236.061;68.184;50.642;39.003
237.051;68.125;50.645;39.004
238.049;68.079;50.646;39.002
239.049;68.049;50.65;39.004
240.047;68.044;50.653;39.004
241.05;67.985;50.652;39.002
242.038;67.968;50.654;39.001
243.04;67.914;50.656;38.999
244.035;67.884;50.66;39.003
245.018;67.857;50.661;39.001
246.021;67.786;50.662;39
247.018;67.72;50.669;39.003
248.016;67.708;50.669;39.002
249.008;67.677;50.673;39.003
249.983;67.638;50.675;39.004
250.961;67.587;50.679;39.005
251.947;67.572;50.68;39.004
252.941;67.538;50.682;39.003
253.932;67.494;50.685;39.003
254.937;67.476;50.687;39.004
255.94;67.441;50.689;39.003
256.949;67.392;50.693;39.005
257.958;67.37;50.695;39.005
258.943;67.314;50.698;39.005
259.936;67.264;50.701;39.005
260.935;67.223;50.704;39.006
261.936;67.166;50.708;39.007
262.924;67.134;50.708;39.005
263.921;67.122;50.712;39.007
264.914;67.097;50.713;39.006
265.901;67.054;50.714;39.003
266.909;67.036;50.717;39.005
267.911;66.975;50.72;39.004
268.898;66.952;50.723;39.006
269.896;66.929;50.725;39.005
270.882;66.853;50.725;39.002
271.869;66.822;50.727;39.002
272.85;66.819;50.732;39.005
273.843;66.759;50.736;39.007
274.842;66.678;50.736;39.004
275.85;66.678;50.743;39.008
276.83;66.627;50.742;39.006
277.818;66.584;50.742;39.004
278.824;66.545;50.747;39.005
279.818;66.517;50.747;39.003
280.812;66.486;50.751;39.005
281.802;66.459;50.753;39.004
282.798;66.417;50.754;39.002
283.799;66.378;50.757;39.003
284.802;66.366;50.758;39.002
285.808;66.314;50.763;39.004
286.822;66.275;50.765;39.004
287.804;66.248;50.766;39.002
288.807;66.193;50.772;39.006
289.807;66.162;50.773;39.003
290.809;66.108;50.776;39.003
291.805;66.083;50.778;39.002
292.801;66.064;50.781;39.002
293.804;66.014;50.785;39.003
294.785;65.977;50.781;38.999
295.783;65.962;50.784;38.999
296.776;65.935;50.79;39.002
297.789;65.882;50.79;39
298.776;65.847;50.793;39.002
299.774;65.804;50.798;39.004
300.785;65.751;50.8;39.003
301.776;65.735;50.803;39.004
302.774;65.652;50.805;39.002
303.759;65.646;50.806;39.001
304.754;65.609;50.809;39.003
305.756;65.609;50.809;39
306.763;65.578;50.811;39.001
307.748;65.529;50.813;39
308.766;65.504;50.816;39.001
309.758;65.473;50.816;38.998
310.735;65.48;50.816;38.998
311.73;65.458;50.82;38.999
312.727;65.398;50.823;39
313.725;65.366;50.826;39.001
314.73;65.337;50.83;39.002
315.738;65.308;50.83;39
316.73;65.282;50.834;39.001
317.75;65.244;50.837;39.002
318.74;65.235;50.839;39.002
319.734;65.213;50.838;38.999
320.736;65.162;50.84;38.999
321.739;65.151;50.84;38.998
322.734;65.132;50.841;38.997
323.726;65.099;50.845;38.999
324.72;65.053;50.842;38.994
325.708;65.046;50.844;38.993
326.694;65.031;50.849;38.997
327.691;64.974;50.849;38.994
328.688;64.949;50.85;38.993
329.704;64.935;50.855;38.996
330.696;64.862;50.854;38.993
331.688;64.853;50.857;38.994
332.683;64.847;50.863;38.998
333.704;64.791;50.864;38.997
334.724;64.775;50.865;38.997
335.702;64.744;50.869;38.998
336.699;64.744;50.868;38.997
337.699;64.707;50.869;38.995
338.716;64.704;50.87;38.994
339.714;64.681;50.872;38.993
340.697;64.649;50.873;38.993
341.681;64.633;50.873;38.992
342.671;64.624;50.875;38.992
343.667;64.599;50.875;38.99
344.668;64.581;50.878;38.992
345.677;64.537;50.881;38.992
346.69;64.529;50.885;38.994
347.697;64.508;50.886;38.993
348.698;64.487;50.887;38.992
349.704;64.461;50.889;38.993
350.718;64.427;50.891;38.994
351.708;64.438;50.893;38.995
352.698;64.403;50.897;38.996
353.693;64.367;50.898;38.994
354.699;64.354;50.9;38.996
355.711;64.331;50.901;38.995
356.706;64.319;50.902;38.994
357.699;64.304;50.904;38.995
358.692;64.27;50.902;38.991
359.693;64.266;50.904;38.993
360.699;64.24;50.906;38.993
361.695;64.225;50.909;38.994
362.674;64.212;50.909;38.993
363.662;64.19;50.91;38.991
364.648;64.171;50.911;38.991
365.652;64.16;50.913;38.992
366.651;64.133;50.916;38.993
367.657;64.112;50.917;38.993
368.66;64.108;50.918;38.992
369.652;64.075;50.919;38.991
370.669;64.051;50.92;38.991
371.674;64.031;50.925;38.994
372.676;64.018;50.926;38.994
373.691;63.997;50.927;38.993
374.708;63.969;50.93;38.995
375.701;63.965;50.933;38.996
376.697;63.949;50.93;38.993
377.697;63.914;50.935;38.996
378.671;63.899;50.936;38.995
379.678;63.899;50.935;38.992
380.689;63.869;50.936;38.992
381.685;63.859;50.932;38.988
382.683;63.832;50.936;38.99
383.684;63.834;50.935;38.988
384.683;63.811;50.936;38.987
385.681;63.816;50.938;38.988
386.681;63.786;50.938;38.987
387.673;63.784;50.941;38.989
388.681;63.768;50.939;38.986
389.661;63.756;50.938;38.984
390.654;63.72;50.942;38.986
391.651;63.718;50.943;38.986
392.667;63.715;50.943;38.985
393.682;63.682;50.945;38.985
394.671;63.674;50.945;38.985
395.674;63.637;50.95;38.987
396.689;63.626;50.949;38.986
397.677;63.58;50.954;38.989
398.691;63.588;50.954;38.987
399.676;63.575;50.957;38.99
400.666;63.56;50.956;38.988
401.661;63.537;50.958;38.987
402.661;63.545;50.958;38.987
403.67;63.532;50.96;38.987
404.682;63.508;50.962;38.988
405.685;63.498;50.963;38.988
406.687;63.489;50.964;38.988
407.694;63.422;50.961;38.982
408.705;63.46;50.959;38.982
409.721;63.455;50.965;38.986
410.707;63.418;50.963;38.983
411.702;63.432;50.964;38.983
412.702;63.4;50.965;38.983
413.702;63.363;50.964;38.981
414.718;63.365;50.966;38.982
415.711;63.34;50.965;38.98
