IDs:;240814 04_240812A_elasticity2;04_DNAJB6_00_439_uM_expansion_corrected;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
160.627;71.5211003628841;26.899;17.258
161.634;71.0563516961732;26.898;17.257
162.626;70.910597775192;26.902;17.26
163.637;71.5913465207856;26.902;17.261
164.634;71.4633465207856;26.902;17.261
165.616;71.3588490558909;26.901;17.259
166.603;70.9983516961732;26.897;17.257
167.6;71.3228544416459;26.894;17.255
168.617;71.1838544416459;26.896;17.255
169.604;71.3051058538329;26.893;17.254
170.6;71.2911003628841;26.899;17.258
171.6;71.4268544416459;26.896;17.255
172.608;71.0516030557599;26.897;17.256
173.626;71.2198544416459;26.897;17.255
174.632;71.0438544416459;26.897;17.255
175.635;70.3351058538329;26.895;17.254
176.643;70.8003516961732;26.9;17.257
177.655;70.5546087571167;26.893;17.252
178.642;70.5796030557599;26.899;17.256
179.636;70.6151058538329;26.895;17.254
180.643;70.6101058538329;26.895;17.254
181.648;71.1728490558909;26.901;17.259
182.659;70.4586030557599;26.898;17.256
183.675;71.009597775192;26.903;17.26
184.664;70.8648440908435;26.906;17.263
185.655;71.765597775192;26.902;17.26
186.663;71.09609529267;26.906;17.262
187.669;70.4783465207856;26.906;17.261
188.645;70.0841003628841;26.901;17.258
189.64;70.4783516961732;26.898;17.257
190.655;71.129597775192;26.903;17.26
191.647;70.1863516961732;26.901;17.257
192.635;70.4871058538329;26.896;17.254
193.633;69.9026030557599;26.899;17.256
194.619;69.9246030557599;26.899;17.256
195.622;69.5231058538329;26.899;17.254
196.61;70.1361058538329;26.897;17.254
197.609;70.4493516961732;26.898;17.257
198.611;70.5036030557599;26.898;17.256
199.616;69.9633516961732;26.9;17.257
200.598;70.5133465207856;26.905;17.261
201.584;70.1638544416459;26.898;17.255
202.582;69.6313572923226;26.897;17.253
203.588;69.5296087571168;26.897;17.252
204.587;70.0053572923226;26.897;17.253
205.588;69.7511058538329;26.899;17.254
206.562;69.7978544416459;26.899;17.255
207.576;70.2666030557599;26.901;17.256
208.562;69.6263572923226;26.897;17.253
209.566;69.7946030557599;26.901;17.256
210.57;69.5321003628841;26.904;17.258
211.56;69.6613516961732;26.903;17.257
212.549;69.4013516961732;26.904;17.257
213.548;69.6691003628841;26.904;17.258
214.552;69.5408490558909;26.906;17.259
215.566;69.6083465207856;26.909;17.261
216.583;69.6611003628841;26.904;17.258
217.574;69.1786030557599;26.904;17.256
218.546;69.5188544416459;26.901;17.255
219.548;69.9366030557599;26.9;17.256
220.538;69.4933516961732;26.903;17.257
221.533;69.1638544416459;26.903;17.255
222.55;68.7263516961732;26.906;17.257
223.555;69.6033516961732;26.904;17.257
224.551;69.7161003628841;26.905;17.258
225.553;68.9198490558909;26.908;17.259
226.544;69.4533516961732;26.904;17.257
227.54;69.1866030557599;26.904;17.256
228.535;68.9463516961732;26.905;17.257
229.53;68.9156030557599;26.905;17.256
230.543;69.5953516961732;26.904;17.257
231.536;69.0926030557599;26.904;17.256
232.527;68.9198544416459;26.904;17.255
233.518;68.7896030557599;26.905;17.256
234.518;68.8198544416459;26.904;17.255
235.528;69.2723516961732;26.905;17.257
236.519;68.6898544416459;26.904;17.255
237.52;68.8328544416459;26.905;17.255
238.524;68.7051003628841;26.909;17.258
239.518;68.4981003628841;26.908;17.258
240.525;68.453597775192;26.913;17.26
241.518;68.7161003628841;26.908;17.258
242.515;68.6078544416459;26.906;17.255
243.526;68.536597775192;26.914;17.26
244.536;68.4696030557599;26.907;17.256
245.527;68.6076030557599;26.907;17.256
246.519;68.6211003628841;26.91;17.258
247.53;68.197597775192;26.915;17.26
248.539;68.4771003628841;26.909;17.258
249.549;69.0693516961732;26.908;17.257
250.531;68.7293516961732;26.908;17.257
251.551;67.6913465207856;26.917;17.261
252.545;68.187597775192;26.915;17.26
253.542;68.45709529267;26.916;17.262
254.54;68.1433516961732;26.909;17.257
255.542;67.94909529267;26.918;17.262
256.534;68.10609529267;26.917;17.262
257.528;67.85709529267;26.918;17.262
258.507;67.90009529267;26.918;17.262
259.498;67.3438440908435;26.921;17.263
260.509;68.618597775192;26.913;17.26
261.509;67.9953465207856;26.915;17.261
262.504;67.84409529267;26.916;17.262
263.497;68.1198440908435;26.919;17.263
264.493;67.7040906430818;26.924;17.266
265.487;67.1635884759886;26.927;17.268
266.491;67.7388440908435;26.92;17.263
267.479;67.9735929153045;26.922;17.264
268.474;67.7935929153044;26.921;17.264
269.476;68.0890906430819;26.923;17.266
270.458;67.5083417660511;26.924;17.265
271.462;67.5333417660511;26.923;17.265
272.472;67.8225929153044;26.921;17.264
273.462;67.9928440908435;26.919;17.263
274.46;68.1395929153045;26.921;17.264
275.445;67.5168440908435;26.922;17.263
276.432;67.3795929153044;26.923;17.264
277.421;67.9678440908435;26.92;17.263
278.42;66.5125929153044;26.925;17.264
279.424;66.8628440908435;26.924;17.263
280.416;66.6535929153044;26.926;17.264
281.402;66.8623417660511;26.926;17.265
282.398;67.4895929153044;26.923;17.264
283.398;67.1605929153045;26.924;17.264
284.396;67.1130906430818;26.926;17.266
285.385;66.8248440908435;26.924;17.263
286.378;66.9708440908435;26.924;17.263
287.376;66.9515929153045;26.925;17.264
288.377;67.18309529267;26.922;17.262
289.384;67.26909529267;26.921;17.262
290.379;66.9143465207856;26.921;17.261
291.369;66.730597775192;26.921;17.26
292.353;66.610597775192;26.921;17.26
293.353;66.4483465207856;26.923;17.261
294.337;66.508597775192;26.922;17.26
295.314;66.3673465207856;26.923;17.261
296.308;66.7583465207856;26.922;17.261
297.292;66.556597775192;26.922;17.26
298.282;66.6533465207856;26.923;17.261
299.273;66.8533465207856;26.922;17.261
300.27;66.2423465207856;26.924;17.261
301.274;67.2398440908435;26.924;17.263
302.284;66.4903465207856;26.924;17.261
303.306;66.2421003628841;26.921;17.258
304.295;65.6558490558909;26.923;17.259
305.282;66.271597775192;26.923;17.26
306.279;65.895597775192;26.924;17.26
307.267;66.0031003628841;26.921;17.258
308.283;66.401597775192;26.923;17.26
309.282;66.0868490558909;26.922;17.259
310.288;66.4578490558909;26.922;17.259
311.269;66.2693465207856;26.925;17.261
312.284;66.0423516961732;26.921;17.257
313.274;65.6893465207856;26.927;17.261
314.268;66.221597775192;26.924;17.26
315.269;65.7023516961732;26.923;17.257
316.275;66.1678440908435;26.927;17.263
317.267;66.169597775192;26.924;17.26
318.264;66.209597775192;26.924;17.26
319.271;65.3528440908435;26.93;17.263
320.274;65.7783465207856;26.927;17.261
321.281;66.17309529267;26.925;17.262
322.294;65.7293465207856;26.927;17.261
323.276;65.6063465207856;26.926;17.261
324.263;66.0148440908435;26.929;17.263
325.251;65.395597775192;26.926;17.26
326.244;65.2808440908435;26.932;17.263
327.227;65.2605929153044;26.933;17.264
328.219;66.0558440908435;26.929;17.263
329.221;64.83509529267;26.932;17.262
330.223;65.9033465207856;26.927;17.261
331.22;65.66009529267;26.928;17.262
332.228;65.5795929153045;26.933;17.264
333.231;65.3725929153044;26.931;17.264
334.224;64.7155929153044;26.935;17.264
335.206;65.7603465207856;26.927;17.261
336.192;65.0328440908435;26.931;17.263
337.177;64.61509529267;26.931;17.262
338.164;64.8715929153045;26.933;17.264
339.145;65.0180906430819;26.936;17.266
340.131;64.624597775192;26.929;17.26
341.128;65.8798440908435;26.929;17.263
342.144;65.4825884759886;26.938;17.268
343.146;64.9493465207856;26.928;17.261
344.153;65.25309529267;26.929;17.262
345.14;64.6420906430818;26.938;17.266
346.15;65.1638395463949;26.936;17.267
347.155;65.0473465207856;26.928;17.261
348.18;64.9213465207856;26.93;17.261
349.173;65.0270906430818;26.937;17.266
350.17;64.9933417660511;26.936;17.265
351.168;65.3918440908435;26.931;17.263
352.171;64.1050906430818;26.94;17.266
353.179;65.0315884759885;26.939;17.268
354.159;64.5855929153045;26.933;17.264
355.172;64.8400906430818;26.936;17.266
356.191;65.2963374318612;26.94;17.269
357.182;65.0888395463949;26.938;17.267
358.174;64.8915929153044;26.933;17.264
359.184;64.2680906430819;26.939;17.266
360.171;64.4868395463949;26.939;17.267
361.162;64.7258395463949;26.94;17.267
362.157;64.8818440908435;26.932;17.263
363.163;64.5298395463949;26.939;17.267
364.163;65.3495884759886;26.939;17.268
365.162;64.5940906430818;26.939;17.266
366.165;64.3470906430818;26.94;17.266
367.158;64.5348440908435;26.933;17.263
368.162;64.7845884759886;26.94;17.268
369.159;63.9338395463949;26.941;17.267
370.145;64.7173417660511;26.935;17.265
371.156;64.528086414011;26.943;17.27
372.175;64.1978395463949;26.941;17.267
373.18;64.6728354224364;26.944;17.271
374.188;64.9433374318612;26.939;17.269
375.179;64.5048354224364;26.945;17.271
376.19;64.6523374318612;26.943;17.269
377.206;64.8775884759886;26.939;17.268
378.204;64.7943374318612;26.942;17.269
379.206;64.277086414011;26.943;17.27
380.196;64.395086414011;26.943;17.27
381.187;63.9358395463949;26.94;17.267
382.207;64.364086414011;26.944;17.27
383.219;63.7203374318612;26.944;17.269
384.207;64.3385844571356;26.947;17.272
385.226;63.965086414011;26.944;17.27
386.225;63.807333518107;26.948;17.273
387.223;64.0065844571356;26.947;17.272
388.227;63.7938354224364;26.947;17.271
389.234;63.6570826053488;26.95;17.274
390.246;63.7255844571356;26.947;17.272
391.227;64.289333518107;26.947;17.273
392.215;64.065333518107;26.947;17.273
393.204;64.2690826053488;26.95;17.274
394.217;63.553333518107;26.95;17.273
395.206;63.9938317188594;26.95;17.275
396.215;64.2548354224364;26.945;17.271
397.2;63.8548354224364;26.946;17.271
398.188;64.8100792169866;26.952;17.278
399.179;64.040580858637;26.951;17.276
400.18;64.0565844571356;26.947;17.272
