IDs:;240814 04_240812A_elasticity2;04_DNAJB6_00_439_uM_expansion_area_tension
Concentration [uM]:;0.439;
Area [mm^2];Surface tension [mJ/m^2];
26.9;59.3;
32.7;59.9;
38.2;60;
43.7;59.9;
49.2;59.9;
