ID#	1
Name	AB(m1-42)_TIC
	Data Filename	Sample Type	Sample Name	Vial#	Ret. Time	Area	Conc.	Height	Std. Conc.	Accuracy[%]	Cal. Point	Peak Start	Peak End	Quant. Limit(QL)	S/N	Tailing F.
35	240510 WideTempSol t2(5days)_10 deg_001_14.lcd	Unknown	10 deg	A10	4.432	872186	17.571	249316	-----	-----	-----	4.333	4.700	2.01	87.40	1.472
36	240510 WideTempSol t2(5days)_10 deg_001_08.lcd	Unknown	10 deg	A9	4.417	2259541	45.641	645974	-----	-----	-----	4.333	4.650	1.77	258.48	1.451
37	240510 WideTempSol t2(5days)_10 deg_001_02.lcd	Unknown	10 deg	A8	4.409	4442719	89.814	1120302	-----	-----	-----	4.317	4.7	2.02	445.62	1.503
38	240510 WideTempSol t2(5days)_10 deg buffer_014_20.lcd	Unknown	10 deg buffer	A11	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
39	240510 WideTempSol t1(65h)_none_001_26.lcd	Control	none	-1	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
40	240510 WideTempSol t1(65h)_none_001_01.lcd	Control	none	-1	4.624	1179	-0.053	338	-----	-----	-----	4.583	4.683	-0.36	1.47	--
41	240510 WideTempSol t1(65h)_70deg_001_19.lcd	Unknown	70deg	F4	4.418	362431	7.257	83541	-----	-----	-----	4.267	4.7	1.82	39.89	1.408
42	240510 WideTempSol t1(65h)_70deg_001_13.lcd	Unknown	70deg	F3	4.431	260080	5.186	59833	-----	-----	-----	4.267	4.7	1.69	30.75	1.358
43	240510 WideTempSol t1(65h)_70deg_001_07.lcd	Unknown	70deg	F2	4.425	469686	9.427	101505	-----	-----	-----	4.233	4.7	2.57	36.75	1.443
44	240510 WideTempSol t1(65h)_70deg-buffer_001_25.lcd	Unknown	70deg-buffer	F5	4.632	534	-0.066	171	-----	-----	-----	-----	4.717	-8.32	0.08	1.882
45	240510 WideTempSol t1(65h)_40deg_001_18.lcd	Unknown	40deg	E4	4.425	45236	0.839	12272	-----	-----	-----	4.350	4.617	1.71	4.89	1.431
46	240510 WideTempSol t1(65h)_40deg_001_12.lcd	Unknown	40deg	E3	4.422	42241	0.778	11345	-----	-----	-----	4.300	4.617	1.27	6.14	1.303
47	240510 WideTempSol t1(65h)_40deg_001_06.lcd	Unknown	40deg	E2	4.427	41572	0.765	13546	-----	-----	-----	4.233	6.450	1.07	7.15	1.521
48	240510 WideTempSol t1(65h)_40deg-buffer_001_24.lcd	Unknown	40deg-buffer	E5	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
49	240510 WideTempSol t1(65h)_30deg_001_17.lcd	Unknown	30deg	D4	4.422	61244	1.163	17281	-----	-----	-----	4.200	4.617	1.77	6.56	1.546
50	240510 WideTempSol t1(65h)_30deg_001_11.lcd	Unknown	30deg	D3	4.428	64067	1.220	17636	-----	-----	-----	4.350	4.700	2.01	6.07	1.526
51	240510 WideTempSol t1(65h)_30deg_001_05.lcd	Unknown	30deg	D2	4.422	77412	1.490	20935	-----	-----	-----	4.333	4.700	1.73	8.60	1.459
52	240510 WideTempSol t1(65h)_30deg-buffer_001_23.lcd	Unknown	30deg-buffer	D5	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
53	240510 WideTempSol t1(65h)_23deg_001_16.lcd	Unknown	23deg	C4	4.420	193547	3.840	56900	-----	-----	-----	4.300	5.483	2.03	18.91	1.351
54	240510 WideTempSol t1(65h)_23deg_001_10.lcd	Unknown	23deg	C3	4.426	177353	3.512	47738	-----	-----	-----	4.317	4.7	2.04	17.22	1.566
55	240510 WideTempSol t1(65h)_23deg_001_04.lcd	Unknown	23deg	C2	4.425	166039	3.283	44992	-----	-----	-----	4.317	4.7	1.96	16.77	1.453
56	240510 WideTempSol t1(65h)_23deg-buffer_001_22.lcd	Unknown	23deg-buffer	C5	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
57	240510 WideTempSol t1(65h)_18deg_001_15.lcd	Unknown	18deg	B4	4.427	323655	6.472	91133	-----	-----	-----	4.283	4.667	1.96	33.10	1.417
58	240510 WideTempSol t1(65h)_18deg_001_09.lcd	Unknown	18deg	B3	4.426	275557	5.499	77103	-----	-----	-----	4.27	4.7	1.98	27.78	1.478
59	240510 WideTempSol t1(65h)_18deg_001_03.lcd	Unknown	18deg	B2	4.417	371351	7.437	109840	-----	-----	-----	4.267	4.7	1.73	43.10	1.370
60	240510 WideTempSol t1(65h)_18deg-buffer_001_21.lcd	Unknown	18deg-buffer	B5	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
