time/h	3 uM CTDSTA	3 uM CTDSTA	3 uM CTDSTA	3 uM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	Ab42	Ab42	Ab42	Ab42
2.0583	15050	14937	15745	15843	15079	14992	14848	15444	21062	19830	20254	20355	84652	84622	92268	82390
2.0944	14950	14849	16010	15325	15317	15203	15280	15683	21740	20630	20622	20920	85939	85086	89342	83263
2.1306	14861	14695	15847	15645	15200	15277	14953	15430	22212	20882	21219	21132	84834	84931	91764	83879
2.1667	14972	14648	15929	15633	15642	15107	15601	15671	22447	21687	21720	21425	85167	85952	95109	84122
2.2028	14750	14796	15917	15528	15386	15134	15799	15659	23621	22046	21998	22361	88659	87639	93986	83782
2.2389	14936	14542	15935	15593	15626	15537	15438	15712	24027	22161	22466	23081	85831	85145	92254	84500
2.2750	14915	14936	16028	15281	15678	15266	15581	15596	24572	23143	23236	23458	85081	84681	93323	83819
2.3111	14906	14905	15869	15530	15584	15312	15543	15841	25254	23889	23857	24553	88957	86339	94709	87702
2.3472	14648	14236	16120	15207	15367	15382	15823	16231	25777	24477	24153	25446	85827	85522	93567	85759
2.3833	15093	14782	15737	15433	15760	15873	15731	15789	26096	24789	25275	25675	88778	84405	92485	84425
2.4194	15264	14652	15750	15340	15814	15968	15715	15776	27630	25912	26252	26110	89336	86278	94863	84972
2.4556	14445	14656	16064	15276	15856	15985	15641	16160	28953	26434	26982	26793	86629	86089	93217	86104
2.4917	15044	14692	15716	15154	15904	15817	15816	16387	29988	27830	28435	28089	84766	85554	93723	85255
2.5278	15134	14552	15810	15657	15867	15933	16022	16233	30759	28768	28472	28740	87460	85481	93740	84505
2.5639	15121	14965	15725	15481	16103	16124	16454	16096	31779	28817	29850	30180	87260	84493	96009	84378
2.6000	15123	14565	15640	15371	16322	16363	16129	16954	33139	30205	30961	31008	86134	85130	94441	84443
2.6361	14811	14590	15507	15319	16322	16444	16641	16515	34606	31839	31955	32288	85671	84667	91874	84397
2.6722	14967	14978	15807	15342	16906	16773	16322	16983	36285	32497	33462	33458	88018	83894	94348	85593
2.7083	14892	14625	15965	15391	16717	16842	16470	17099	37738	34119	34670	34856	87722	85241	96303	85847
2.7444	14757	14638	16221	15322	16361	16761	16563	17266	39150	35245	35998	36150	87132	84427	92216	85897
2.7806	15006	14792	16091	15354	16697	16907	16802	17168	41243	37284	37320	37411	87343	85066	94122	86160
2.8167	15044	14523	16070	15710	16995	17177	16948	17531	41707	38496	38616	39438	87582	84539	95669	87927
2.8528	15003	14641	15884	15551	17156	17136	17052	17593	44297	39445	40592	40729	87532	84792	93103	87244
2.8889	14738	14623	16294	15641	17068	17304	17409	17731	45933	41192	41971	41791	87831	84313	93207	86833
2.9250	14860	14906	15737	15214	17010	17064	17474	17623	47267	43211	43324	43571	87194	84968	95753	87395
2.9611	14980	15072	16234	15316	17227	17451	17168	18009	48942	44581	45010	45449	87122	83916	93825	86291
2.9972	14934	14815	16127	15499	17451	17607	17903	18147	50685	45566	46495	46766	86004	83653	94725	85689
3.0333	15294	15019	16069	15328	17616	17825	17881	17912	52728	47397	48854	49023	88027	84420	96972	87193
3.0694	15050	14881	15811	15326	18003	18038	17717	18589	53806	49153	50181	50152	87445	83162	94556	87008
3.1056	14974	15056	16049	15809	18281	17910	17894	18393	55492	50347	50613	51313	86054	82958	94851	86536
3.1417	14956	15055	16155	15511	17879	18421	17898	18723	56661	51932	52965	53446	86908	82513	94640	85940
3.1778	15158	15169	15939	15420	18020	18663	18669	18668	57695	52776	53496	54895	86852	82902	96123	87003
3.2139	15296	15331	16169	15334	18474	18495	18571	19010	59224	54661	55731	55870	85490	82551	95374	87170
3.2500	15062	15137	16048	15189	19074	19262	18336	19228	59958	55497	56661	56277	85873	82937	93790	86220
3.2861	14782	14964	16371	15349	18636	19009	18711	19091	61011	56699	57528	58993	85064	83101	95021	86934
3.3222	15325	15156	16045	15335	18708	19238	18866	19412	62230	58187	59191	59367	86261	82828	94462	86895
3.3583	14847	15444	16464	15444	19034	19537	18934	19937	62747	58691	59945	60570	85742	83166	95700	87394
3.3944	15104	14873	16087	15574	19355	19398	19124	20141	63321	59053	59939	60945	85278	83730	93749	86172
3.4306	15168	15013	16512	15592	19344	19450	19553	19903	65236	60309	61158	61933	86230	82014	93932	85768
3.4667	15074	15337	16452	15827	19920	19756	19540	20243	64719	60712	61590	62853	85161	83562	95506	85816
3.5028	15188	15299	16382	15200	20107	19933	19884	20008	64770	60751	62595	62711	84049	84305	93230	86314
3.5389	15364	15837	16405	15575	19737	20705	19680	20503	66019	61485	63336	63381	85300	84331	93950	86235
3.5750	14872	15345	16208	15578	19785	20337	20134	20843	66057	62213	65202	63489	85300	83898	94534	85032
3.6111	15069	15448	16288	15487	19591	20367	20144	21211	65824	62659	63459	63590	84533	83541	94715	85161
3.6472	15298	15544	16559	15217	20411	20465	20458	21174	66015	61194	64091	64360	84516	84764	93827	85318
3.6833	14967	15957	16348	15765	20888	20747	20480	21431	65567	62372	65598	64015	84646	83831	93738	86610
3.7194	15366	16033	16936	15700	20766	21449	21171	21495	66112	62833	63500	64465	84199	83904	93664	87011
3.7556	15245	16120	16514	15881	20864	21561	21373	21536	66600	62974	65645	63875	84738	84326	93906	86354
3.7917	15110	15942	16615	15727	21343	21763	21577	22362	65962	62729	65564	64848	83742	84601	93793	86151
3.8278	15443	15992	16663	15444	21412	21898	21477	22321	66194	63031	64941	64604	84110	84106	94334	85313
3.8639	15227	15766	16643	15751	21855	22441	21922	22724	66320	63423	66087	65260	84675	84369	94723	86055
3.9000	15479	16003	16790	15962	21998	22126	22278	23257	65583	62793	66682	65143	84467	84516	94642	85675
3.9361	15231	16216	17031	16104	22169	22366	22219	22630	65958	63575	65752	65347	84436	84855	94343	85791
3.9722	15746	16072	16829	15941	22180	22795	22838	23529	65920	62814	66152	65202	84662	84224	93762	85079
4.0083	15569	15683	17162	16014	22946	22694	22891	23304	66027	63222	66389	65699	84688	84891	94204	85511
4.0444	15810	16245	16805	15959	22886	23207	22953	23699	66396	63363	66572	65428	84590	85348	94380	86236
4.0806	15250	16405	16786	16005	22658	23264	23320	23809	66089	63090	65608	65758	84245	84357	94600	85917
4.1167	15940	16301	16682	16305	23409	23541	23023	24414	66231	63888	65906	66517	84430	85537	94357	85116
4.1528	15548	16517	16962	16321	23726	23863	23918	24770	66512	63392	65602	65917	84886	84876	94354	85648
