time/h	3 uM CTDSTA	3 uM CTDSTA	3 uM CTDSTA	3 uM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	Ab42	Ab42	Ab42	Ab42
18.850	74307	77692	85185	72810	53920	54301	54521	55238	74021	70844	72534	74060	96531	96936	1.0603e+05	93682
18.886	73894	78676	85016	72769	55252	54066	54763	56236	73496	71773	72898	73801	96085	97441	1.0602e+05	93263
18.922	74428	77420	84353	72409	54128	54658	54170	55809	73946	70628	71883	72948	95576	97303	1.0672e+05	93701
18.958	73641	78554	85139	73784	55044	54482	54326	54815	74615	70868	73075	73496	95348	96114	1.0571e+05	93349
18.994	73184	78314	84352	72641	55016	54953	55083	56045	74073	71514	72706	73684	95349	97865	1.0623e+05	93708
19.031	73661	79596	84680	73495	54364	55192	54869	56195	74240	71196	72803	73520	96020	96576	1.0670e+05	93321
19.067	73488	78041	84395	72362	54481	53616	54489	56175	74094	71503	73323	73506	97528	96441	1.0589e+05	94450
19.103	73014	78550	84712	72530	54247	54682	54639	56237	74014	70590	73068	73623	96672	97498	1.0724e+05	94183
19.139	73451	78388	85391	73127	54879	54590	54816	55430	74115	71258	72680	73138	95817	96955	1.0691e+05	93326
19.175	72960	78209	85905	73065	54462	54837	55141	55170	75380	71479	72292	73077	95163	97137	1.0774e+05	92944
19.211	73565	79208	85169	73034	54250	54959	55404	55443	74837	70845	72941	73354	95636	96588	1.0535e+05	93730
19.247	72712	79512	85625	73877	54971	54228	54924	55596	74476	70849	72809	73206	96987	97239	1.0740e+05	93263
19.283	72720	79649	85335	72668	54977	54296	54712	55270	74291	70633	72742	73287	95621	97624	1.0629e+05	92585
19.319	72575	78587	84655	72854	54797	54652	54624	55578	74142	71996	73577	73151	96067	98537	1.0657e+05	93025
19.356	73274	79068	86177	74039	54378	54573	55355	55933	73744	70569	73159	73276	96533	97428	1.0677e+05	93116
19.392	72915	78648	84839	72650	53953	54627	54867	55463	74108	71270	72847	72361	95593	97632	1.0793e+05	93700
19.428	72657	77654	84936	74333	53469	54837	54942	55806	74180	71650	72868	73935	96810	96784	1.0613e+05	93395
19.464	73918	78797	85415	73315	54099	54147	54590	54834	74710	71743	72290	72790	96067	97179	1.0635e+05	92849
19.500	73661	78542	85680	73476	54599	54657	55039	55987	74371	72009	72488	72537	96522	97523	1.0737e+05	93719
19.536	74054	79216	85374	73248	54152	54750	54771	55229	73879	71288	72767	73037	95275	98513	1.0785e+05	93928
19.572	73138	78468	85323	73225	54285	53974	54746	55645	74696	70858	72575	73215	97129	97617	1.0630e+05	93325
19.608	73630	78217	84158	73976	53831	54685	54291	55339	74103	71079	73481	72233	95919	98078	1.0649e+05	93217
19.644	73752	78171	86277	72885	54343	54490	55237	56003	73544	71190	73240	73752	95053	96970	1.0727e+05	92808
19.681	73936	78839	85227	73909	53945	54979	54193	55630	73540	71514	72686	72768	95967	96830	1.0656e+05	92571
19.717	74077	79373	84725	72867	54933	54741	54118	56240	74456	71104	73110	72977	95620	97819	1.0632e+05	93277
19.753	74884	79621	85878	73174	54492	54983	55241	55802	74674	71212	73255	73473	96346	97480	1.0745e+05	93474
19.789	73497	78083	85684	73093	54762	54375	54197	55344	74874	71265	72398	72218	95800	97401	1.0679e+05	92934
19.825	74242	78443	85475	72931	54785	54679	54404	55241	74168	72472	72801	73349	96884	97595	1.0621e+05	94049
19.861	73267	79297	85211	73560	54977	54280	54996	55635	74735	71063	72239	72778	95524	97199	1.0685e+05	92726
19.897	73984	79864	86111	74115	54290	54483	55104	55427	74201	71133	72320	73256	97488	97570	1.0702e+05	93472
19.933	73633	78644	86045	72803	54929	54708	53852	55013	74844	71568	73294	73340	95821	98142	1.0759e+05	93626
19.969	73718	79051	85148	73561	54644	54102	54366	55679	75101	70940	71964	72883	96862	97922	1.0560e+05	93187
20.006	74165	79766	85132	73061	54758	54297	54360	55916	74880	71089	72998	73058	96356	97518	1.0656e+05	94337
20.042	73557	79322	85374	73472	54394	55528	55233	55058	73807	71100	72853	73906	95787	96317	1.0767e+05	93936
20.078	74269	78984	86077	73316	53758	54066	54309	55694	75284	71496	72885	73742	95782	97228	1.0605e+05	93846
20.114	73922	79305	86077	72369	55387	54290	54360	55421	73913	71744	71941	72702	96580	98615	1.0683e+05	94027
20.150	74508	79871	85771	72961	54693	54845	54778	55251	74410	70646	71955	72910	95849	98853	1.0717e+05	93250
20.186	73992	79265	85968	73579	54261	54336	54641	55888	74262	71811	73190	72038	95654	96426	1.0649e+05	94346
20.222	74419	78659	85937	73553	54705	54331	54594	55456	73586	71763	73223	73389	95785	97605	1.0633e+05	92530
20.258	74147	79402	85777	73835	54467	54399	54819	55833	74446	71969	73183	73216	95188	97944	1.0674e+05	94000
20.294	74306	80294	85654	73953	54098	53742	54936	55216	74552	70756	73295	73667	97615	97985	1.0616e+05	94165
20.331	73582	79261	85546	73505	54290	54209	54382	55013	74127	71053	72812	73833	97590	97670	1.0691e+05	93844
20.367	74534	78878	85905	73871	54490	54322	54772	55364	74101	71959	72869	73186	96971	97956	1.0733e+05	94008
20.403	74222	79544	86458	73953	54817	54605	54530	55449	74679	70881	73437	73671	96857	97887	1.0526e+05	94056
20.439	73827	79397	86460	72702	54181	54395	54569	54986	74812	71584	73017	73601	95931	97502	1.0746e+05	94337
20.475	73831	78915	85514	74061	54975	55062	54630	54788	74993	71909	72448	74538	95378	98783	1.0786e+05	93612
20.511	74276	79708	86074	74056	53909	54404	54154	56173	73850	71859	73931	73426	96573	98687	1.0607e+05	93005
20.547	74070	79927	86102	73167	54912	54228	54688	55723	74196	70868	73355	72877	97021	98244	1.0654e+05	93345
20.583	74297	79271	85806	73099	54464	54579	54748	55688	73840	71457	72754	72914	96659	98470	1.0672e+05	93959
20.619	75011	79438	85867	73323	55127	53893	54100	55760	74611	71018	72810	72875	96826	98427	1.0593e+05	93560
20.656	73703	80036	85513	74102	55343	54635	54707	55791	73833	71223	72872	73224	96749	97700	1.0726e+05	94333
20.692	74139	80236	85972	73323	54911	54923	54709	54663	74346	70835	72961	74339	96284	96740	1.0623e+05	94610
20.728	74975	79100	86565	73977	54533	53688	54502	55139	74371	70992	72676	73331	96458	98488	1.0650e+05	94298
20.764	74765	79428	86046	73904	54412	54274	54514	55659	73771	70837	72594	73205	96752	97813	1.0667e+05	93814
20.800	74454	79486	87328	73947	53961	54324	54664	55149	73446	71118	72618	73235	97084	98194	1.0622e+05	93204
20.836	74803	78984	85455	73370	53752	54588	54000	55733	74390	70999	72451	73031	96509	98078	1.0659e+05	92592
20.872	74230	79681	86258	74342	54534	54164	54279	54822	74468	70889	72872	73620	95523	97203	1.0641e+05	93757
20.908	73926	80540	86353	72828	54164	53885	54497	55257	74812	72143	72107	73718	95677	97072	1.0744e+05	94206
20.944	74423	79247	86825	74045	54273	54800	54214	55671	74597	70769	72856	73360	96371	98051	1.0658e+05	93610
20.981	74579	79711	86493	73478	54415	54037	54636	55094	74306	71285	73413	73366	96784	98107	1.0708e+05	94652
21.017	74360	78745	85758	73819	54096	54056	54238	54952	74374	71238	72480	73389	97041	98579	1.0707e+05	93045
21.053	74160	80140	86742	73200	54674	53977	54407	55850	74817	71205	72699	72892	96325	97507	1.0636e+05	93933
21.089	74211	78781	86385	73592	54687	54063	54078	55024	75270	71030	72421	72699	95988	98249	1.0664e+05	93952
21.125	74087	79189	86604	73368	54961	54981	54103	55555	74575	71246	73049	73460	96789	97962	1.0707e+05	94260
21.161	74005	79123	86432	73564	54210	54849	54819	56003	74242	71422	73234	74113	97009	97629	1.0694e+05	94455
21.197	73725	79326	87385	73362	54063	54546	54514	54716	73898	71435	72726	75213	96985	98091	1.0666e+05	93524
21.233	73824	79321	86868	73047	54552	54389	53855	56023	74673	70971	73738	73699	96394	98573	1.0733e+05	94467
21.269	74455	79370	86030	73634	53506	55012	54241	55892	73814	71388	72730	73480	96909	97842	1.0621e+05	93165
21.306	74076	78418	86716	73453	54555	54739	53490	54876	74553	71201	72637	74191	96721	98713	1.0744e+05	94002
21.342	74206	79494	85859	74060	53845	54308	54152	55189	74509	70976	72976	73237	97364	98295	1.0562e+05	93702
21.378	74351	79378	85832	72677	54802	54662	54155	55158	74756	71072	73182	73625	96712	97914	1.0804e+05	93433
21.414	74683	79643	87234	73685	54778	54627	54478	55302	74645	71462	73199	73881	96228	97279	1.0709e+05	92910
21.450	74875	79509	86097	73729	54667	54107	54492	55263	75052	71642	73185	73188	97026	97582	1.0704e+05	94474
21.486	74802	79510	86561	73554	54837	54122	54627	55697	74407	71511	72546	73141	96444	98007	1.0763e+05	93949
21.522	74457	80328	86034	73481	54565	54121	54683	55259	74461	70956	72998	72830	96780	98639	1.0753e+05	93784
21.558	73856	80064	86970	72519	54754	54223	54360	54548	75395	71114	72932	73773	96995	97797	1.0657e+05	92761
21.594	74959	79389	86409	73269	54377	54299	53940	55339	75017	72198	72768	72970	96601	99715	1.0696e+05	93659
21.631	74855	79009	86495	72429	53715	54322	54523	55830	74451	72237	73021	72542	96386	98116	1.0724e+05	94790
21.667	73408	79726	86602	73865	54759	53930	53893	55187	74242	71791	74030	73768	96164	98301	1.0721e+05	93964
21.703	74666	79467	86225	73349	54545	54289	54046	55389	75324	70857	73125	73883	97530	98020	1.0647e+05	93742
21.739	74274	79338	87037	73519	54041	53994	54584	55292	75200	71156	73486	73345	96040	98846	1.0726e+05	92818
21.775	74233	79870	86200	73749	54328	54590	54841	55366	75176	71517	73327	73492	97621	99374	1.0742e+05	93474
21.811	73544	79481	86398	73237	54705	54238	53723	55803	74992	70965	72873	73913	95999	97865	1.0732e+05	93035
21.847	74460	78853	86795	73038	54125	54044	54283	54929	75289	71511	72781	74001	95871	98509	1.0591e+05	93239
21.883	74845	79974	86700	72996	54129	53849	54551	55483	74439	72266	72674	73182	96343	97429	1.0693e+05	93540
21.919	74183	78996	85652	73261	54347	54375	54397	55202	74828	71354	73003	72518	95975	97737	1.0782e+05	93563
21.956	75368	80122	86575	73366	54195	54410	53617	54491	74324	70956	72178	73830	96725	98105	1.0637e+05	93571
21.992	75388	80275	86506	73144	54061	54424	53953	56630	74639	72427	73683	73429	97421	98176	1.0725e+05	93293
22.028	73607	80290	86797	74164	54527	54050	53888	55091	74108	70428	73237	73696	96724	98738	1.0703e+05	94692
22.064	74218	80229	87484	72479	54067	53356	53974	55450	74557	70832	72724	73573	96398	98611	1.0752e+05	93333
22.100	75332	80211	86776	73636	54208	53711	54277	56137	75004	71151	73681	74123	96621	97548	1.0622e+05	94184
22.136	74577	80689	86135	73660	54252	54105	53609	55437	74284	71848	73514	73449	97784	98117	1.0741e+05	94636
22.172	74852	80284	87309	73677	53638	54273	54620	55459	74664	70194	73726	73916	97215	97185	1.0707e+05	93673
22.208	74980	79887	86956	74160	54481	54755	54176	55478	75063	71555	73210	72984	97091	97896	1.0732e+05	93961
22.244	74361	80603	87116	73313	54753	54175	54254	55259	74283	71529	73116	73756	97017	97597	1.0675e+05	94414
22.281	75121	80043	86853	74128	54528	54718	54328	55412	74702	71559	72907	73592	96838	98030	1.0748e+05	93123
22.317	74667	80210	87002	74090	53523	54933	54573	54973	73709	70520	72862	73124	96716	98441	1.0648e+05	93535
22.353	73914	80996	86804	73266	54151	53737	53709	55724	74321	71221	73360	73416	95931	97994	1.0701e+05	93594
22.389	75143	80324	86046	73412	54082	54149	54338	55009	74902	70924	72330	73627	96850	98219	1.0789e+05	93252
22.425	75011	80403	86735	73390	54922	54815	54044	55275	74038	71240	72884	73690	96424	97746	1.0720e+05	93634
22.461	74640	80174	86310	74135	54226	53978	54427	54925	74784	71464	72740	72828	96027	97685	1.0688e+05	93494
22.497	74745	79467	87701	73518	54407	54257	53972	55751	74117	71883	72059	72883	98327	98758	1.0787e+05	93598
22.533	74183	79586	87226	73262	54056	53858	53398	55863	75525	71372	73139	72922	96775	99745	1.0678e+05	93629
22.569	75266	80551	86697	73644	54531	53690	54274	55605	74656	71765	73233	73472	96451	98673	1.0695e+05	93651
22.606	74834	79788	86669	72719	54323	54174	54070	55130	73996	71173	73128	72983	96855	98069	1.0701e+05	93350
22.642	74866	81092	86440	73511	54507	53783	54159	54741	74782	71514	72545	73394	96037	98433	1.0667e+05	93938
22.678	74465	80893	87589	73470	54351	54161	54335	55764	75423	71299	71538	73470	95467	98930	1.0743e+05	94400
22.714	75543	80166	87072	73517	54490	54159	53912	55888	74495	72159	73287	73829	97904	97702	1.0783e+05	93849
22.750	75604	79718	86859	73804	54991	53820	53799	55209	74478	71062	72627	74158	96335	98468	1.0761e+05	94582
22.786	74457	81174	87304	73705	54104	53932	53530	54544	75239	71614	73413	73483	96588	98698	1.0685e+05	93748
22.822	75194	80654	86429	73470	54455	53931	53495	55276	73946	71699	72791	73568	96872	97758	1.0806e+05	93271
22.858	74772	80862	86881	73182	53833	54453	54020	54946	74826	71268	73393	72849	96694	98272	1.0788e+05	93434
22.894	75269	80614	86915	73055	54340	53528	54121	54416	74175	70898	73177	74010	96530	98599	1.0772e+05	93675
22.931	74410	80514	86992	74418	54147	53981	53965	54793	74259	71484	72897	73842	96499	99021	1.0737e+05	94491
22.967	75424	80525	86838	72937	54424	53838	54194	55706	74037	71000	72799	74841	96872	98454	1.0745e+05	92660
23.003	73960	80684	85852	73369	54996	53936	53847	55348	75452	71549	72857	73166	96455	98822	1.0740e+05	94123
23.039	75228	80193	85807	73055	54481	54245	53475	54606	74162	71136	72893	74360	96530	98302	1.0664e+05	93748
23.075	74346	81068	86441	73695	54057	54453	54639	55283	74666	71589	72488	73915	97914	99357	1.0677e+05	93983
23.111	75176	80516	87019	74597	54767	53972	54048	55879	73663	70997	72064	73672	97613	97852	1.0626e+05	95076
23.147	74766	81485	87174	74064	53690	53143	54326	55226	74492	72214	73016	73587	95665	98743	1.0742e+05	93993
23.183	74120	80001	86293	73512	54747	54138	54050	54832	74611	71947	73238	73395	97463	98185	1.0687e+05	94130
23.219	74669	80050	87222	73920	54026	53711	53398	55366	74244	71077	72900	73058	96924	98858	1.0793e+05	94054
23.256	75154	80217	86421	73062	54477	53828	53580	54819	74427	70998	72484	73481	96887	98106	1.0716e+05	93214
23.292	74392	80686	86903	73438	54168	53879	54005	54883	74289	71549	73386	72706	96538	97896	1.0674e+05	94149
23.328	74644	80655	86870	74066	53945	53972	53731	55459	75143	71570	72590	73438	96766	99236	1.0768e+05	92972
23.364	74387	80579	86976	73537	54547	53767	53891	55578	74668	71012	72986	74008	97393	99529	1.0774e+05	94048
23.400	74954	80865	88073	74004	53724	54358	54342	55624	73951	70965	73123	72600	96666	98973	1.0767e+05	93348
23.436	75920	79393	87610	72649	54737	53799	53806	54914	74730	71204	72902	73768	97463	98664	1.0788e+05	94144
23.472	74539	80731	86589	74388	53845	53896	53270	54948	74686	71088	73175	73262	97342	98333	1.0760e+05	93628
23.508	74709	79564	86762	73354	54204	53605	53592	55674	74847	71195	73123	73486	97011	99292	1.0741e+05	93886
23.544	74110	79974	86872	74321	53706	54012	53929	54845	74418	71609	72256	73828	97680	98556	1.0738e+05	94183
23.581	75006	80556	86876	73634	54013	53989	53548	54312	75098	72027	73068	73508	96369	97887	1.0700e+05	93816
23.617	74542	80547	87155	73646	54132	54091	54159	54726	73638	71338	73125	73521	97797	98168	1.0817e+05	93732
23.653	75125	79932	86955	73869	54952	53498	53082	54956	74128	71742	73335	72831	97016	98231	1.0716e+05	94048
23.689	75020	80345	86049	73778	53253	53140	54650	55007	75200	71878	73439	72692	96811	99197	1.0694e+05	92900
23.725	74671	81172	87540	74327	54195	53487	54256	54547	74113	70616	72908	73011	97373	98011	1.0782e+05	93536
23.761	74553	80344	86961	73199	53839	53697	53986	55241	74476	70022	72768	72752	97175	99295	1.0618e+05	93796
23.797	74694	81033	86582	72638	53959	53778	53730	55097	74569	71184	73670	73803	97359	99009	1.0596e+05	93804
23.833	75257	80043	86836	73708	54243	53596	53981	54940	75070	71297	72707	73210	96381	98602	1.0695e+05	93761
23.869	75645	80251	86387	74108	54119	53826	54008	54955	75166	71430	72702	74185	96593	99072	1.0674e+05	93201
23.906	74577	80600	86670	72741	54318	53356	53671	55703	74224	71119	73596	73584	97627	99066	1.0685e+05	93956
23.942	73997	80272	87240	73070	54238	53451	54017	54890	74658	70922	72805	73566	97570	98793	1.0807e+05	93852
23.978	74933	80899	87555	73168	54738	53757	53529	54853	73540	70926	72929	73350	97521	99287	1.0798e+05	93248
24.014	75146	79213	86840	73767	54092	53858	54108	55125	74426	70632	72196	72927	97151	97776	1.0796e+05	93199
24.050	75098	80213	86903	73752	54374	53688	53678	54038	75029	71679	72710	74102	97379	99408	1.0700e+05	93240
24.086	74778	80229	87255	73334	53649	53700	53598	54866	74436	71223	71927	73486	96458	98751	1.0611e+05	93615
24.122	75848	80597	87155	73611	53772	53551	54134	55358	74186	71046	73502	74168	97027	99165	1.0757e+05	93842
24.158	75386	80875	86147	73879	54258	53662	53518	54744	74283	70977	72608	73748	97706	98852	1.0714e+05	94020
24.194	75004	80106	87734	73600	54417	53260	54090	55238	74031	71015	73107	73609	97846	99029	1.0741e+05	94250
24.231	74830	80981	86237	73268	53906	53678	53405	54405	74240	70818	72345	73053	97965	97610	1.0705e+05	93386
24.267	74790	80759	86233	73386	54127	53387	53265	55012	74165	71123	72670	73247	96989	98600	1.0805e+05	94597
24.303	75080	80738	86408	73583	53813	53977	53327	54947	74583	71996	72306	73515	97662	98735	1.0665e+05	93944
24.339	74675	80756	86167	73290	54258	53718	53207	54882	74243	70504	72682	73801	97480	99197	1.0764e+05	94812
24.375	75448	80429	86585	73888	54196	53427	53410	55133	74025	71308	73517	73961	97251	98236	1.0728e+05	94113
24.411	74560	80851	87133	73957	53461	53703	53493	55394	74064	70340	72306	73172	96624	99535	1.0775e+05	93769
24.447	75108	80660	87403	73666	53540	53531	53524	54930	74195	71601	73317	72743	97713	99087	1.0770e+05	94357
24.483	76054	80780	85212	73455	54370	53738	53793	54649	73358	71104	73287	73965	97032	99026	1.0730e+05	93613
24.519	74599	80860	85971	73586	53715	54128	54225	54726	73798	71388	72522	74008	97443	99893	1.0792e+05	93921
24.556	75121	80793	86197	73213	54247	52365	53617	54805	75101	71771	72951	73038	97535	99280	1.0920e+05	94573
24.592	74699	79606	86616	72852	53841	53509	53561	54407	74918	71821	72992	73821	97650	99439	1.0713e+05	93295
24.628	74723	80830	87345	72675	53947	53752	53800	54941	74453	71459	72678	74038	97257	99214	1.0851e+05	94981
24.664	75084	81021	87190	73861	53901	53420	53524	55321	74623	70585	72028	73379	97475	98247	1.0713e+05	94356
24.700	75180	80871	86660	73798	54776	53731	53680	54173	74402	71941	73501	74105	98014	99349	1.0673e+05	93496
24.736	75360	81021	85514	72781	54346	53504	53601	54652	73742	71309	73050	74014	97843	99105	1.0765e+05	94068
24.772	75120	80233	87325	74004	53900	53603	53228	54364	75030	71103	72318	73621	97922	99434	1.0808e+05	95024
24.808	75167	80730	86735	73799	54705	53455	53629	54775	74256	71355	72886	73444	98232	1.0011e+05	1.0712e+05	93011
24.844	74589	80073	87940	73784	54192	53412	53991	55075	74722	71351	73259	74041	97749	1.0043e+05	1.0811e+05	94120
24.881	74348	80760	86726	73646	54730	53558	53731	54947	75139	70701	72408	73577	98008	98451	1.0766e+05	94352
24.917	75765	80231	87308	74010	54133	53911	53346	55030	74809	71552	72570	73402	98063	98677	1.0825e+05	93969
24.953	74817	80100	87375	73998	54352	53252	54375	55077	74474	71593	73169	73384	98045	99280	1.0835e+05	94282
24.989	75532	80416	87109	73788	54762	53074	53349	55201	74834	71271	72530	72522	98361	99068	1.0626e+05	93774
25.025	75342	80788	85613	73988	53082	54012	52791	55205	74414	70854	73145	73949	98061	98574	1.0712e+05	94655
25.061	74560	80285	86424	73884	54327	53550	53752	55061	74180	71240	72396	73768	98664	99064	1.0762e+05	94271
25.097	75224	80713	86616	74184	54376	53992	54055	54861	74166	71020	72894	73904	96711	99025	1.0749e+05	94297
25.133	74976	81235	86478	74652	54660	53642	54189	54509	74671	71942	72673	72712	97749	99372	1.0714e+05	94585
25.169	74697	80897	86255	73489	53505	53601	54097	55071	74655	71850	72818	74080	98108	98490	1.0831e+05	93273
25.206	74817	80948	85405	74579	53674	54018	53731	55091	75082	71318	72165	73738	97352	99902	1.0750e+05	93819
25.242	75054	79592	84998	73114	53790	53667	53327	54190	74581	71213	72834	73431	96800	99696	1.0651e+05	94088
25.278	74998	80598	86852	73465	53727	53762	53886	54300	74899	72239	72477	73473	98089	99865	1.0764e+05	94258
25.314	74435	79985	86694	73754	53584	53644	53647	54224	75309	71850	72528	73790	97183	98946	1.0772e+05	94619
25.350	74903	80258	85839	72562	53998	54427	54019	55442	74415	71256	73492	73758	98227	99362	1.0852e+05	94521
25.386	74829	80646	87313	73824	53694	53867	53781	54146	75171	71263	72433	73944	97442	99165	1.0701e+05	94540
25.422	74228	80176	86086	73291	53794	53934	53342	54900	74410	71008	72842	73677	98041	99142	1.0820e+05	93837
25.458	74829	80829	86737	73030	53772	53639	54126	55131	74112	71175	74103	73213	97326	98641	1.0838e+05	93246
25.494	74139	80723	86629	73401	53889	53178	54005	54889	75397	71151	72496	73996	96596	99163	1.0801e+05	94570
25.531	74185	80192	86993	72748	54260	53039	54194	54298	75424	71315	73349	73056	98527	1.0021e+05	1.0748e+05	94074
25.567	74290	81331	87048	74351	53486	53322	54266	54756	74680	72007	72929	73901	97793	99124	1.0816e+05	93732
25.603	74574	80451	86228	73738	54309	53352	53570	54944	74057	71605	72730	74984	98031	98887	1.0810e+05	92918
25.639	73952	80484	86372	73278	53161	53337	53313	55737	74940	71601	72213	73181	98597	99903	1.0750e+05	93831
25.675	74864	81026	86491	74292	53809	54177	53898	55211	74310	71267	72992	73902	96522	98462	1.0724e+05	93814
25.711	74242	79727	85785	73496	53406	53652	54296	54961	74008	71191	73478	74308	98326	99833	1.0841e+05	94434
25.747	74031	80752	84636	73152	54180	53270	53133	54678	74282	71161	72621	73171	98512	99500	1.0778e+05	94374
25.783	74551	79799	86172	73070	53398	53343	54381	55132	74514	70756	73014	74152	99076	99460	1.0657e+05	93641
25.819	75196	81073	87027	73547	53925	53605	54069	54326	74392	71549	72761	73276	97127	1.0017e+05	1.0781e+05	94268
25.856	75147	80912	86758	73120	53368	53447	53316	54586	74524	71407	73194	73763	97655	98600	1.0808e+05	94455
25.892	74927	80647	86587	73921	54335	53387	53366	55303	74521	71243	72848	74253	98124	99700	1.0763e+05	94378
25.928	75119	80330	86711	72880	54431	53392	52680	54674	74818	71453	73215	73870	98349	99639	1.0784e+05	94525
25.964	75159	80349	85766	73953	53745	53233	54068	54734	74648	71861	72227	73562	98154	98716	1.0765e+05	94562
26.000	75061	80979	86415	73415	53659	52682	53299	55604	74632	70460	72662	72777	97926	99455	1.0707e+05	93541
26.036	74322	79251	86131	73298	53217	53522	53081	54467	74678	71856	72980	73276	98424	98659	1.0696e+05	94771
26.072	73882	80221	86055	72428	53152	53345	54596	54731	75113	71125	73316	74404	98950	99634	1.0664e+05	94544
26.108	75082	80349	85561	73451	53520	53333	52901	55202	74305	71244	72266	73880	97994	99274	1.0692e+05	94550
26.144	74406	80089	86212	72827	53963	53830	53489	54416	74321	71497	72600	73624	97639	1.0021e+05	1.0688e+05	94506
26.181	73547	80468	85973	73280	54166	53828	53857	54338	74011	70631	72556	74078	97929	99155	1.0838e+05	93689
26.217	75776	80410	85479	74005	53661	53793	53408	54022	75410	71259	72984	73105	98149	99437	1.0811e+05	93869
26.253	75058	79138	86887	72421	53607	54028	53185	54625	74128	71775	73306	73601	97695	99366	1.0715e+05	94357
26.289	75666	80085	85776	73103	54014	53519	53542	54815	74153	71440	72198	73607	98279	1.0040e+05	1.0818e+05	93405
26.325	75227	80642	85593	73202	53375	52647	53174	54364	74794	71217	72371	73447	97389	1.0022e+05	1.0841e+05	93644
26.361	74580	80204	86004	73488	53991	53606	52896	54147	75263	70461	72540	73654	98569	99196	1.0716e+05	94221
26.397	74940	79763	85060	73108	53810	54095	53791	55111	75586	71176	72777	72855	97808	99556	1.0695e+05	92574
26.433	74605	79983	85498	72315	53849	53914	53890	53875	74634	71057	73586	74093	97918	99421	1.0733e+05	93698
26.469	74083	80354	86256	73045	53724	53823	54053	53965	74752	71279	72664	74250	97442	98845	1.0760e+05	94366
26.506	74769	80442	86426	73275	53585	54043	53444	54833	75260	70479	73082	73719	97313	99070	1.0836e+05	94433
26.542	75135	80201	85816	73688	53194	52953	53461	54498	74496	71066	72393	73925	97064	98967	1.0735e+05	94315
26.578	75308	79560	85152	73454	53671	53224	53574	54898	75899	72248	72381	73477	98720	98844	1.0748e+05	93737
26.614	74179	79831	84751	74144	53443	52985	53623	54982	74615	71909	72645	72782	98186	99358	1.0763e+05	94488
26.650	74384	79975	84986	73515	53468	52943	53975	54794	75598	71540	72554	74132	99445	1.0004e+05	1.0740e+05	93993
26.686	74079	80188	85484	73808	53883	53584	53472	54372	75117	71447	72681	74276	98351	98955	1.0814e+05	93976
26.722	74912	80072	85010	72808	53908	53750	53412	55200	74063	71590	73362	74603	98800	99394	1.0719e+05	94122
26.758	74075	79848	85486	72801	53147	53285	53093	53890	75169	71767	73465	73435	97481	98902	1.0701e+05	94552
26.794	73857	80570	85192	73385	53530	53392	53631	54660	74953	71257	72837	73516	97644	98930	1.0711e+05	94338
26.831	74388	80913	85785	73697	53289	53961	53421	54438	74696	72140	72706	73892	98190	99518	1.0785e+05	94266
26.867	73997	79384	85844	73023	53388	52919	53664	53842	75799	71132	72637	73725	98697	99910	1.0833e+05	94420
26.903	74517	80363	86232	73150	54195	53759	53383	54327	75102	71782	72370	72619	98477	1.0020e+05	1.0792e+05	95480
26.939	74873	79581	85474	73192	53556	53082	53270	54396	74758	71387	73386	73597	98438	99663	1.0709e+05	94119
26.975	75056	81002	85625	73087	53366	53201	53086	54220	75131	71467	71647	74130	97578	1.0027e+05	1.0782e+05	94349
27.011	75256	79989	86784	73036	53639	53396	53344	55352	74730	71437	73483	73117	97503	99362	1.0695e+05	94530
27.047	74920	80906	84796	73148	53925	52821	52574	54583	75273	71710	73081	73631	97746	99248	1.0716e+05	93986
27.083	75033	79762	85225	73391	54522	53073	54107	54064	74633	71871	73402	74294	97758	1.0039e+05	1.0741e+05	93304
27.119	74844	79517	85779	72869	53652	53402	53671	54465	75067	71218	73033	73436	97850	99485	1.0770e+05	94427
27.156	74402	80578	85584	73388	54681	52938	53102	54358	74695	71858	73124	74100	97875	99416	1.0671e+05	94263
27.192	73887	80467	85602	74035	53257	52929	52748	54542	74483	71173	73177	74532	97134	99805	1.0867e+05	94410
27.228	74492	79718	86301	73352	54080	54338	53564	54697	74497	71516	73100	73394	98296	99099	1.0794e+05	94301
27.264	74964	80268	86389	72718	53202	53336	52998	54716	75387	71231	73027	73555	98229	99392	1.0803e+05	93449
27.300	74488	80743	85142	73314	53699	53632	53561	54544	74401	72100	72318	73713	98462	99176	1.0723e+05	93821
27.336	74755	80399	85067	73307	53132	53188	53037	54021	74383	71200	73054	73877	98629	99476	1.0718e+05	93765
27.372	74500	80022	85160	72474	53405	52899	53111	53872	74866	70650	72931	73499	98983	99475	1.0790e+05	94744
27.408	75044	80363	85286	74065	53769	53465	53729	54504	74696	71657	72867	74019	97872	98559	1.0840e+05	93869
27.444	74840	80231	84582	73478	53979	53060	53621	54915	74721	71570	72569	74398	99265	1.0008e+05	1.0758e+05	94132
27.481	75696	79700	85125	72759	53859	53474	53899	54830	75239	71201	72653	73051	98669	99221	1.0749e+05	93707
27.517	74248	80507	86066	74460	53477	53663	53141	54507	75270	71947	72463	72788	98942	98568	1.0711e+05	93826
