"q (Å^-1)"	"Intensity (cm^-1) AB 20-34 5 mM"	"Intensity (cm^-1) Monomer random coil model"	"Intensity (cm^-1) low q slope"
2.879079000	0.03256587000000	0.00001979586578	
2.871836000	0.01067379000000	0.00001989572384	
2.864593000	0.00995673000000	0.00001999633909	
2.857351000	0.00353596000000	0.00002009770514	
2.850108000	-0.00875602000000	0.00002019985775	
2.842866000	0.00387610000000	0.00002030277660	
2.835623000	0.00054106000000	0.00002040649805	
2.828380000	-0.00042824000000	0.00002051101604	
2.821138000	0.00193106000000	0.00002061632412	
2.813895000	0.00450239000000	0.00002072245967	
2.806653000	-0.00186961000000	0.00002082940176	
2.799410000	0.00202347000000	0.00002093718842	
2.792167000	-0.00033028000000	0.00002104581353	
2.784925000	0.00130743000000	0.00002115527065	
2.777682000	0.00130230000000	0.00002126559882	
2.770440000	-0.00212636000000	0.00002137677653	
2.763197000	0.00386363000000	0.00002148884353	
2.755954000	0.00112623000000	0.00002160179372	
2.748712000	0.00109834000000	0.00002171562061	
2.741469000	0.00341175000000	0.00002183036506	
2.734227000	0.00293897000000	0.00002194600494	
2.726984000	-0.00013417000000	0.00002206258186	
2.719741000	0.00650664000000	0.00002218008970	
2.712499000	0.00205396000000	0.00002229852199	
2.705256000	0.00509880000000	0.00002241792150	
2.698014000	-0.00002961000000	0.00002253826546	
2.690771000	0.00305426000000	0.00002265959744	
2.683528000	0.00595405000000	0.00002278191137	
2.676286000	0.00241267000000	0.00002290520077	
2.669043000	-0.00032152000000	0.00002302951045	
2.661801000	0.00203262000000	0.00002315481700	
2.654558000	0.00379940000000	0.00002328116608	
2.647315000	0.00330073000000	0.00002340855166	
2.640073000	0.00089775000000	0.00002353696731	
2.632830000	0.00465407000000	0.00002366646000	
2.625588000	-0.00025081000000	0.00002379700565	
2.618345000	0.00275374000000	0.00002392865216	
2.611102000	0.00279921000000	0.00002406139357	
2.603860000	0.00272091000000	0.00002419522349	
2.596617000	0.00158468000000	0.00002433019122	
2.589375000	0.00346034000000	0.00002446627201	
2.582132000	0.00387663000000	0.00002460351611	
2.574889000	0.00384525000000	0.00002474191768	
2.567647000	0.00467559000000	0.00002488147041	
